verdict	cle	voie	hote	legi	distance_hote	texte	article_du_texte	numero_cite	code_cite	article_du_fonds	mention_hote	contexte	url
juste	011d475ac650f26a	declaree	suppose	non	221	assemblee/13-projets-pl1769.asp	1er b	L311-9-1	code de la consommation	L311-9-1 (2003-08-02) S'agissant de l'opération de crédit visée à l'article L. 311-9, le prêteur est tenu d'adresser à l'emprunteur, mensuellement et dans un délai raisonnable avant la date de paiement, un état actualisé de l'exécution du contrat de crédit, faisant clairement référence à l'état précédent et précisant : […]	l qui est remis au Parlement et au Gouvernement. » Article 1er B (nouveau) Le chapitre Ier du titre Ier du livre III du code de la consommation est ainsi modifié : 1° Les articles L. 311-6, L. 311-7 et L. 311-7-1 deviennent respectivement les articles L. 311-27 à L. 311-29 ; 2° L	teur général du Trésor et de la politique économique. Il se réunit à l’initiative de son président au moins une fois par trimestre. Il établit un rapport annuel qui est remis au Parlement et au Gouvernement. » Article 1er B (nouveau) Le chapitre Ier du titre Ier du livre III du code de la consommation est ainsi modifié : 1° Les articles L. 311-6, L. 311-7 et L. 311-7-1 deviennent respectivement les articles L. 311-27 à L. 311-29 ; 2° L’article L. 311-9 devient l’article L. 311-16 ; 3° L’article L. 311-9-1 devient l’article L. 311-26 ; 4° L’article L. 311-12 devient l’article L. 311-19 ; 5° L’article L. 311-14 devient l’article L. 311-20 ; 6° L’article L. 311-16 devient l’article L. 311-14 et l’article L. 311-17 devient l’article L. 311-15 ; 7° Les articles L. 311-20 à L. 311-25 deviennent les articles L. 311-31 à L. 311-36 ; 8° L’article L. 311-25-1 devient l’article L. 311-38 ; 9° Les articles L. 311-26 à L. 311-28 deviennent les articles L. 311-39 à L. 311-41 ; 10° L’article L. 311-2	https://www.assemblee-nationale.fr/13/projets/pl1769.asp
juste	01e5b004e34188c8	declaree	suppose	non	583	assemblee/13-ta-ta0510.asp	1er ter a	L112-7	code de la consommation	"L112-7 (2001-05-16) Les dénominations ""chocolat pur beurre de cacao"" et ""chocolat traditionnel"" et toutes les autres dénominations équivalentes sont réservées aux chocolats fabriqués à partir des seules graisses tirées des fèves de cacaoyer, sans adjonction de matière grasse végétale."	légumes, qu’ils soient ou non directement consommables. » Article 1er bis Le chapitre II du titre Ier du livre Ier du code de la consommation est complété par un article L. 112-11 ainsi rédigé : « Art. L. 112-11. – Sans préjudice des dispositions spécifiques relatives au mode d	L. 112-11. – Sans préjudice des dispositions spécifiques relatives au mode d’indication de l’origine des denrées alimentaires, l’indication du pays d’origine peut être rendue obligatoire pour les produits agricoles et alimentaires et les produits de la mer, à l’état brut ou transformé. « La liste des produits concernés et les modalités d’application de l’indication de l’origine mentionnée au premier alinéa sont fixées par décret en Conseil d’État. » Article 1er ter A (nouveau) Après l’article L. 112-7 du même code, il est inséré un article L. 112-7-1 ainsi rédigé : « Art. L. 112-7-1. – L’utilisation de mentions faisant état de présence de truffes ou de produits dérivés dans les produits alimentaires fait l’objet des dispositions suivantes. « 1. Les dénominations “truffé” ou “à la truffe” sont réservées aux produits alimentaires contenant un minimum de 3 % de truffe. « Le produit proposé à la consommation doit en outre indiquer le nom usuel de l’espèce de truffe utilisée dans la compo	http://www.assemblee-nationale.fr/13/ta/ta0510.asp
juste	03d353f76b0b3aad	declaree	suppose	non	1590	assemblee/13-ta-ta0504.asp	228	L121-15-3	code de la consommation	L121-15-3 (2004-06-22) Les articles L. 121-15-1 et L. 121-15-2 sont également applicables aux publicités, offres, concours ou jeux à destination des professionnels. Les infractions aux dispositions des articles L. 121-15-1 et L. 121-15-2 sont passibles des peines prévues à l'article L. 121-6. Elles sont recherchées et  […]	déduites des sommes mises à la charge de la société mère en application des alinéas précédents. » Article 228 I. – Le code de la consommation est ainsi modifié : 1° Le chapitre II du titre Ier du livre Ier est complété par un article L. 112-10 ainsi rédigé : « Art. L. 112-10. –	spectives des acteurs économiques, les modalités d’enregistrement des données et les modalités d’accès aux données scientifiques fondant cette information, ainsi que les catégories de produits visées par cette obligation. « Des décrets en Conseil d’État précisent, sur la base des règles ainsi définies, pour chaque catégorie de produits, la nature des informations pertinentes selon leur mode de distribution, les supports d’information ainsi que les référentiels à utiliser. » ; 2° Après l’article L. 121-15-3, il est inséré un article L. 121-15-4 ainsi rédigé : « Art. L. 121-15-4. – Lorsque des publicités, quel que soit leur support, présentent des produits soumis à l’étiquetage énergétique communautaire en indiquant leur prix de vente, elles comportent la mention de la classe énergétique de ces produits de façon aussi visible, lisible et intelligible que l’indication de leur prix de vente. » ; 3° L’article L. 214-1 est complété par un 10° ainsi rédigé : « 10° Les exigences de précision,	http://www.assemblee-nationale.fr/13/ta/ta0504.asp
juste	04112fe51b7552ef	declaree	suppose	non	718	assemblee/14-ta-ta0176.asp	22 quinquies	L334-9	code de la consommation	L334-9 (2004-08-21) Les articles L. 330-1 et L. 331-2 à L. 333-5, à l'exclusion de l'avant-dernière phrase des articles L. 331-7 et L. 331-7-1, sont applicables aux îles Wallis et Futuna, sous réserve de remplacer à l'article L. 331-2 la référence au revenu minimum d'insertion par la référence à un montant fixé par l'a […]	de la loi n° 89-462 du 6 juillet 1989 précitée est supprimé. Article 22 quinquies (nouveau) I. – L’article L. 334-5 du code de la consommation est ainsi modifié : 1° Le premier alinéa est ainsi modifié : a) La référence : « L. 333-5 » est remplacée par les références : « L. 333-	dernière phrase de l’article L. 332-9 » est remplacée par les références : « , de la dernière phrase de l’article L. 332-9 et du deuxième alinéa de l’article L. 333-8 » ; 2° Sont ajoutés des f à h ainsi rédigés : « f) À l’article L. 333-9, la référence : “L. 331-1” est remplacée par la référence : “L. 334-4” ; « g) Le troisième alinéa de l’article L. 333-14 est supprimé ; « h) À l’article L. 333-17, le montant : “15 000 €” est remplacé par le montant : “1 789 976 francs CFP”. » II. – L’article L. 334-9 du même code est ainsi modifié : 1° Le premier alinéa est remplacé par des I et II ainsi rédigés : « I. – L’article L. 330-1, les articles L. 331-2 à L. 333-21 et l’article L. 333-23, à l’exclusion de la troisième phrase du huitième alinéa de l’article L. 331-7, de la troisième phrase du 2° de l’article L. 331-7-1, ainsi que du deuxième alinéa de l’article L. 333-8, sont applicables aux îles Wallis et Futuna, sous réserve des adaptations prévues au II du présent article. « II. – A. – À	http://www.assemblee-nationale.fr/14/ta/ta0176.asp
juste	04f901acce6d3c68	declaree	suppose	non	106	assemblee/14-ta-ta0295.asp	67	L333-6	code de la consommation	L333-6 (1993-07-27) Dans les départements d'outre-mer, l'institut d'émission des départements d'outre-mer exerce, en liaison avec la Banque de France, les attributions dévolues à celle-ci par le présent article.	es crédits aux particuliers Article 67 I. – La division et l’intitulé du chapitre III bis du titre III du livre III du code de la consommation sont supprimés. L’article L. 333-7 devient un article L. 333-3-2. II. – L’article L. 333-6 du même code devient un article L. 333-3-3 et	squ’elles sont relatives aux obligations prévues par les articles L. 241-1 et L. 241-2, prennent la forme d’attestations d’assurance. Un arrêté du ministre chargé de l’économie fixe les mentions minimales devant figurer dans ces attestations. » Section 3 Registre national des crédits aux particuliers Article 67 I. – La division et l’intitulé du chapitre III bis du titre III du livre III du code de la consommation sont supprimés. L’article L. 333-7 devient un article L. 333-3-2. II. – L’article L. 333-6 du même code devient un article L. 333-3-3 et, à la fin, le mot : « chapitre » est remplacé par le mot : « titre ». III. – Le chapitre III du titre III du livre III du même code est ainsi modifié : 1° Au début, est insérée une section 1 intitulée : « Dispositions communes relatives au traitement des situations de surendettement des particuliers », qui comprend les articles L. 333-1 à L. 333-3-3 ; 2° Est insérée une section 2 intitulée : « Fichier national des incidents de remboursement	http://www.assemblee-nationale.fr/14/ta/ta0295.asp
faux	0579cb9a9533dbd0	declaree	suppose	non	181	assemblee/13-ta-commission-r3112-a0.asp	27 ter	L522-2	code de la consommation »	L522-2 (2016-07-01) L'action de l'administration pour la sanction d'un manquement passible d'une amende administrative excédant 3 000 euros pour une personne physique ou 15 000 euros pour une personne morale se prescrit par trois années révolues à compter du jour où le manquement a été commis si, dans ce délai, il n'a  […]	s deux périodes, », sont insérés les mots : « et pour les ventes autres que celles mentionnées à l’article L. 121-16 du code de la consommation ». Article 27 bis (Suppression maintenue) Article 27 ter (Non modifié) Le chapitre II du titre II du livre V du même code est ainsi mo	as 2, 3 et 4 » sont remplacées par les références : « troisième à cinquième alinéas ». Article 27 bis A (Non modifié) Au 1° du I de l’article L. 310-3 du code de commerce, après les mots : « pour ces deux périodes, », sont insérés les mots : « et pour les ventes autres que celles mentionnées à l’article L. 121-16 du code de la consommation ». Article 27 bis (Suppression maintenue) Article 27 ter (Non modifié) Le chapitre II du titre II du livre V du même code est ainsi modifié : 1° L’article L. 522-2 est ainsi rédigé : « Art. L. 522-2. – L’arrêté préfectoral statuant sur la demande d’agrément est motivé. » ; 1° bis À la fin de l’article L. 522-8, les mots : « , après consultation des organismes visés à l’article L. 522-2 » sont supprimés ; 2° L’article L. 522-11 est ainsi modifié : a) Au I, les mots : « , à titre exceptionnel, » sont supprimés ; b) À la fin de la seconde phrase du 2° du II, les mots : « agréée par le tribunal de commerce dans le ressort duquel est situé l’établissem	http://www.assemblee-nationale.fr/13/ta-commission/r3112-a0.asp
faux	066a10807403934d	declaree	suppose	non	165	senat/petite-loi-ameli-2010-2011-405.html	6 bis a	L522-2	code de la consommation »	L522-2 (2016-07-01) L'action de l'administration pour la sanction d'un manquement passible d'une amende administrative excédant 3 000 euros pour une personne physique ou 15 000 euros pour une personne morale se prescrit par trois années révolues à compter du jour où le manquement a été commis si, dans ce délai, il n'a  […]	s deux périodes, », sont insérés les mots : « et pour les ventes autres que celles mentionnées à l'article L. 121-16 du code de la consommation ». (S1) Article 27 bis (Supprimé) (S1) Article 27 ter 48 Le chapitre II du titre II du livre V du même code est ainsi modifié : 1° L'art	linéas de larticle 14 de la loi n° 49‑956 du 16 juillet 1949 sur les publications destinées à la jeunesse ». (S1) Article 27 bis A 47 Au 1° du I de l'article L. 310-3 du code de commerce, après les mots : « pour ces deux périodes, », sont insérés les mots : « et pour les ventes autres que celles mentionnées à l'article L. 121-16 du code de la consommation ». (S1) Article 27 bis (Supprimé) (S1) Article 27 ter 48 Le chapitre II du titre II du livre V du même code est ainsi modifié : 1° L'article L. 522-2 est ainsi rédigé : « Art. L. 522-2.  L'arrêté préfectoral statuant sur la demande d'agrément est motivé. » ; 2° 1° bis À la fin de l'article L. 522-8, les mots : « , après consultation des organismes visés à l'article L. 522-2 » sont supprimés ; 3° 2° L'article L. 522-11 est ainsi modifié : a) Au I, les mots : « , à titre exceptionnel, » sont supprimés ; b) À la seconde phrase du 2° du II, les mots : « agréée par le tribunal de commerce dans le ressort duquel est situé l'établissement	http://www.senat.fr/petite-loi-ameli/2010-2011/405.html
faux	08d74338fba568cd	declaree	suppose	non	13535	senat/leg-tas06-135.html	34	L332-2	code de la consommation	L332-2 (1993-07-27) Au vu des éléments déclarés par le débiteur et, le cas échéant, des informations qu'il aura recueillies, le juge ouvre la procédure. Il peut faire publier un appel aux créanciers ; il s'assure du caractère certain, exigible et liquide des créances. Nonobstant toute disposition contraire, il peut obt […]	chapitre, on entend par « indication géographique » : « a) Les appellations d'origine définies à l'article L. 115-1 du code de la consommation ; « b) Les appellations d'origine protégées et les indications géographiques protégées prévues par la réglementation communautaire relat	nnés de porter atteinte à un droit d'auteur, ou leur remise entre les mains d'un tiers afin d'empêcher leur introduction ou leur circulation dans les circuits commerciaux. » ; 4° Dans le septième alinéa, la référence : « 4°» est remplacée par la référence : « 5°» ; 5° Le dernier alinéa est ainsi rédigé : « Le président du tribunal de grande instance peut, dans les ordonnances prévues ci-dessus, ordonner la constitution préalable de garanties par le saisissant. » Article 34 Le début de l'article L. 332-2 du même code est ainsi rédigé : « Dans un délai fixé par voie réglementaire, le saisi ... ( le reste sans changement ) ». Article 35 Dans l'article L. 332-3 du même code, les mots : « dans les trente jours » sont remplacés par les mots : « dans un délai fixé par voie réglementaire ». Article 36 L'article L. 332-4 du même code est ainsi modifié : 1° La seconde phrase du premier alinéa est ainsi rédigée : « Le président peut ordonner la saisie réelle des objets réalisés ou fabriqués illic	http://www.senat.fr/leg/tas06-135.html
faux	0e27619b062734d3	declaree	suppose	non	1047	senat/petite-loi-ameli-2009-2010-567.html	1er	L134-2	code de la consommation	L134-2 (2004-06-22) Lorsque le contrat est conclu par voie électronique et qu'il porte sur une somme égale ou supérieure à un montant fixé par décret, le contractant professionnel assure la conservation de l'écrit qui le constate pendant un délai déterminé par ce même décret et en garantit à tout moment l'accès à son c […]	"x conditions prévues par larticle L. 271-6, un organisme ayant certifié, au sens des articles L. 115‑27 à L. 115-32 du code de la consommation, la performance énergétique du bâtiment ou de la partie du bâtiment réhabilitée dans le cadre de la délivrance dun label de "" haute per"	permis de construire, le maître douvrage fournit à lautorité qui a délivré lautorisation de construire un document attestant que la réglementation acoustique a été prise en compte par le maître duvre ou, en son absence, par le maître douvrage. » ; 6° Larticle L. 134-1 est complété par deux alinéas ainsi rédigés : « Il est établi par une personne répondant aux conditions prévues par larticle L. 271-6. « Sa durée de validité est fixée par décret. » ; 6° bis La première phrase de larticle L. 134-2 est complétée par les mots : « , qui indique, à partir du 1er janvier 2013, les émissions de gaz à effet de serre de ce bâtiment, estimées suivant une méthode de calcul adaptée aux bâtiments neufs et tenant compte des différents usages des énergies » ; 7° Larticle L. 134-3 est ainsi modifié : a) Le premier alinéa est ainsi rédigé : « En cas de vente de tout ou partie dun immeuble bâti, le diagnostic de performance énergétique est communiqué à lacquéreur dans les conditions et selon l	http://www.senat.fr/petite-loi-ameli/2009-2010/567.html
juste	0eb94767bf4b9c1f	declaree	suppose	non	918	assemblee/13-projets-pl1965.asp	85	L121-15-3	code de la consommation	L121-15-3 (2004-06-22) Les articles L. 121-15-1 et L. 121-15-2 sont également applicables aux publicités, offres, concours ou jeux à destination des professionnels. Les infractions aux dispositions des articles L. 121-15-1 et L. 121-15-2 sont passibles des peines prévues à l'article L. 121-6. Elles sont recherchées et  […]	encontre de la société dont elle est la filiale au sens de l’article L. 233-1 du code de commerce. » Article 85 I. – Le code de la consommation est ainsi modifié : 1° Le chapitre II du titre Ier du livre II est complété par un article L. 112-10 ainsi rédigé : « Art. L. 112-10. –	naturelles ou de l’impact sur les milieux naturels qui sont imputables à ces produits au cours de leur cycle de vie. « Des décrets en Conseil d’État précisent les modalités et conditions d’application du présent article pour chaque catégorie de produits, selon leur mode de distribution et en tenant compte de la spécificité des très petites entreprises à remplir cet objectif, notamment la liste précise des informations destinées au consommateur ainsi que les référentiels. » ; 2° Après l’article L. 121-15-3, il est inséré un article L. 121-15-4 ainsi rédigé : « Art. L. 121-15-4. – Lorsque des publicités, quel que soit leur support, présentent des produits soumis à l’étiquetage énergétique communautaire en indiquant leur prix de vente, elles comportent la mention de la classe énergétique de ces produits de façon aussi visible, lisible et intelligible que l’indication de leur prix de vente. » ; 3° L’article L. 214-1 est complété par un 10° ainsi rédigé : « 10° Les exigences de précision,	https://www.assemblee-nationale.fr/13/projets/pl1965.asp
