verdict	cle	chambre	amendement	sort	auteur	article	formule	dossier	subdivision	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	009dcb79da8fae8f	assemblee	17000	Rejeté	M. Jean-Charles Taugourdeau	L113-8	rédigé	JORFDOLE000027383756	ART. 4	Après l’alinéa 34, insérer l’alinéa suivant : « Art. L. 113‑8. – Le matériel informatique proposé à la vente avec des logiciels intégrés constitue une vente par lots. Tout professionnel vendeur de matériel informatique fournissant des logiciels intégrés doit, avant tout paiement du prix par le consommateur, l’informer par voie d’affichage des caractéristiques essentielles et du prix public toutes taxes comprises du lot ainsi que du prix de chacun des logiciels composant individuellement le lot. L’indication de ces prix doit figurer sur la facture remise au consommateur. ».	L113-8 (2014-06-14) Les transporteurs aériens et les personnes physiques ou morales commercialisant des titres de transport aérien remboursent les taxes et redevances individualisées et affichées comme telles dans le prix du titre qu'ils ont vendu, dont l'exigibilité procède de l'embarquement effectif du passager, lorsque le titre n'est p […]		juste		sonnet-A	sonnet-B		Le dispositif insère un alinéa créant explicitement « Art. L. 113-8 » dans le code de la consommation.	Le dispositif insère et rédige entièrement l'article L. 113-8, qu'il crée ex nihilo dans le texte de l'amendement.		2026-09-24
juste	0126e9f07c321181	senat	70267	Rejeté	M. LE CAM	L311-5	complété	JORFDOLE000027383756	art. add. après Article 18	Après l’article 18 Insérer un article additionnel ainsi rédigé : L’article L. 311‑5 du code de la consommation est complété par un alinéa ainsi rédigé : « Le démarchage à domicile, le démarchage à distance et le démarchage itinérant des crédits sont prohibés. »	"L311-5 (1993-07-27) Est interdite, hors des lieux de vente, toute publicité : 1° Comportant la mention ""crédit gratuit"" ou proposant un avantage équivalent ou concernant la prise en charge totale ou partielle des frais de crédit par le vendeur ; 2° Portant sur une opération de financement proposée pour l'acquisition ou la location avec op […]"	//www.senat.fr/amendements/2012-2013/810/Amdt_477.html	juste		sonnet-A	sonnet-B		Le dispositif complète explicitement l'article L. 311-5 du code de la consommation par un alinéa.	Le dispositif complète expressément l'article L. 311-5 du code de la consommation par un nouvel alinéa interdisant le démarchage des crédits.		2026-09-24
juste	012af71064809fd7	senat	77348	Retiré	Mme SCHILLINGER	L312-8	inséré	JORFDOLE000029883713	art. add. après Article 25 decies	Après l’article 25 decies Insérer un article additionnel ainsi rédigé : Le code de la consommation est ainsi modifié : 1° Après le 4° bis de l’article L. 312‑8, il est inséré un 4° ter ainsi rédigé : « 4° ter Mentionne que l’emprunteur peut souscrire auprès de la société de financement de son choix une caution solidaire dans les conditions fixées à l’article L. 312‑9-1; » 2° Après l’article L. 312‑9, il est inséré un article L. 312‑9‑1 ainsi rédigé : « Art. L. 312‑9‑1. – Lorsque le prêteur propose à l’emprunteur un contrat de cautionnement en vue de se substituer à l’emprunteur dans le paiemen […]	L312-8 (1993-07-27) L'offre définie à l'article précédent : 1° Mentionne l'identité des parties, et éventuellement des cautions déclarées ; 2° Précise la nature, l'objet, les modalités du prêt, notamment celles qui sont relatives aux dates et conditions de mise à disposition des fonds ainsi qu'à l'échéancier des amortissements ; 3° Indiqu […]	//www.senat.fr/amendements/2014-2015/371/Amdt_385.html	juste		sonnet-A	sonnet-B		Le dispositif insère un 4° ter après le 4° bis de l'article L. 312-8, modifiant directement son contenu ; l'article L. 312-9 n'y sert que d'ancre pour créer L. 312-9-1.	Le 1° du dispositif insère un 4° ter dans l'article L. 312-8, ce qui le modifie bien ; le 2° crée par ailleurs un article distinct, L. 312-9-1, sans incidence sur ce constat.		2026-09-24
juste	025829ef3056b78e	assemblee	17111	Adopté	M. Razzy Hammadi	L121-34	rédigé	JORFDOLE000027383756	ART. 5	I. - Supprimer les alinéas 70 à 77 et l’alinéa 129 ; II. – A l’alinéa 78, remplacer la référence « L. 121-20-2 » par la référence « L. 121-20-1 » ; III. – A l’alinéa 79, remplacer la référence « L. 121-20-3 » par la référence « L. 121-20-2 » ; IV. - Compléter l’article 5 par les alinéas suivants : « III. – La section 4 du même chapitre Ier est ainsi rédigé : « Section 4 « Régime d’opposition au démarchage téléphonique « Art. L. 121-34. – Le consommateur qui ne souhaite pas faire l’objet de prospection commerciale par voie téléphonique peut gratuitement s’inscrire sur une liste d’opposition au  […]	L121-34 (1993-07-27) Les règles relatives aux ventes directes aux consommateurs ainsi qu'à la commercialisation des productions déclassées sont fixées par l'article 39 de la loi n° 73-1193 du 27 décembre 1973 d'orientation du commerce et de l'artisanat reproduit ci-après : Les ventes directes aux consommateurs et la commercialisation des p […]		juste		sonnet-A	sonnet-B		Le dispositif réécrit la section 4 du chapitre et crée explicitement « Art. L. 121-34 ».	Le IV du dispositif rédige entièrement la section 4 et crée l'article L. 121-34 (ainsi qu'un L. 121-34-1 distinct).		2026-09-24
juste	0317a161fcf46e0a	senat	86968	Rejeté	M. SUEUR	L223-1	modifié	JORFDOLE000037775649	Article 5 (Supprimé)	Rétablir cet article dans la rédaction suivante : L’article L. 223‑1 du code de la consommation est ainsi modifié : 1° À la fin du second alinéa, les mots : « sauf en cas de relations contractuelles préexistantes » sont remplacés par les mots : « à l’exception des sollicitations ayant un lien direct avec l’objet d’un contrat en cours » ; 2° (Supprimé)	L223-1 (2016-07-01) Le consommateur qui ne souhaite pas faire l'objet de prospection commerciale par voie téléphonique peut gratuitement s'inscrire sur une liste d'opposition au démarchage téléphonique. Il est interdit à un professionnel, directement ou par l'intermédiaire d'un tiers agissant pour son compte, de démarcher téléphoniquement […]	//www.senat.fr/amendements/2018-2019/311/Amdt_32.html	juste		sonnet-A	sonnet-B		Le dispositif modifie explicitement l'article L. 223-1 (remplacement de mots au second alinéa).	Le dispositif modifie explicitement le second alinéa de l'article L. 223-1 du code de la consommation.		2026-09-24
juste	046410816381a11c	assemblee	14024	Rejeté	M. Nicolas Sansu	L312-8	rédigé	JORFDOLE000026795365	ART. 18	Après l’alinéa 20, insérer les deux alinéas suivants : « 4° bis A Le 4° de l’article L. 312‑8 est ainsi rédigé : « 4° Énonce les assurances et, en donnant une évaluation de leur coût, les stipulations et les sûretés réelles ou personnelles exigées, qui conditionnent la conclusion du prêt ; » ;» .	L312-8 (1993-07-27) L'offre définie à l'article précédent : 1° Mentionne l'identité des parties, et éventuellement des cautions déclarées ; 2° Précise la nature, l'objet, les modalités du prêt, notamment celles qui sont relatives aux dates et conditions de mise à disposition des fonds ainsi qu'à l'échéancier des amortissements ; 3° Indiqu […]		juste		sonnet-A	sonnet-B		Le dispositif réécrit explicitement le 4° de l'article L. 312-8.	Le dispositif réécrit le 4° de l'article L. 312-8 du code de la consommation.		2026-09-24
juste	04f14f94af035c74	senat	70480	Adopté	M. Martial BOURQUIN	L121-36	rédigé	JORFDOLE000027383756	Article 72 quater	Alinéas 8 à 11 Remplacer ces alinéas par six alinéas ainsi rédigés : I bis. – Les articles L. 121-36 et L. 121-37 du code de la consommation sont ainsi rédigés : « Art. L. 121-36. - Les pratiques commerciales, mises en œuvre par les professionnels sous la forme d'opérations promotionnelles, tendant à faire naître l'espérance d'un gain attribué à chacun des participants, quelles que soient les modalités de tirage au sort ou d'intervention d’un élément aléatoire, et pour lesquelles la participation des consommateurs est conditionnée à une obligation d’achat, ne sont illicites que dans la mesure  […]	L121-36 (1993-07-27) Les opérations publicitaires réalisées par voie d'écrit qui tendent à faire naître l'espérance d'un gain attribué à chacun des participants, quelles que soient les modalités de tirage au sort, ne peuvent être pratiquées que si elles n'imposent aux participants aucune contrepartie financière ni dépense sous quelque form […]	//www.senat.fr/amendements/2012-2013/810/Amdt_691.html	juste		sonnet-A	sonnet-B		Le dispositif réécrit explicitement les articles L. 121-36 et L. 121-37, dont le texte cité de L. 121-36.	Le dispositif réécrit entièrement l'article L. 121-36 (et, dans la foulée, L. 121-37) du code de la consommation.		2026-09-24
juste	06f7934835446aff	assemblee	16768	Rejeté	M. Lionel Tardy	L111-3	rédigé	JORFDOLE000027383756	ART. 4	Rédiger ainsi les alinéas 12 et 13 : « Art. L. 111-3. - Le fabricant ou l’importateur de biens meubles doit informer le vendeur professionnel des coordonnées des réparateurs professionnels agréés par le fabricant assurant la distribution de pièces détachées indispensables à l’utilisation des biens. Lors de l’achat du bien, le vendeur met à disposition du consommateur les coordonnées d’au moins un réparateur professionnel agréé par le fabricant. « Le fabricant ou l’importateur de biens meubles doit informer les réparateurs professionnels visés au précédent alinéa des modalités selon lesquelles  […]	L111-3 (1993-07-27) Les dispositions des deux articles précédents s'appliquent sans préjudice des dispositions plus favorables aux consommateurs qui soumettent certaines activités à des règles particulières en ce qui concerne l'information du consommateur.		juste		sonnet-A	sonnet-B		Le dispositif réécrit les alinéas correspondants et donne le texte intégral de « Art. L. 111-3 ».	Le dispositif rédige entièrement l'article L. 111-3 du code de la consommation ; l'amendement ayant été rejeté, le texte actuel de L. 111-3 ne correspond pas à cette rédaction, ce qui ne change rien à ce que vise le dispositif.		2026-09-24
juste	076850405e73b895	senat	78586	Rejeté	LE GOUVERNEMENT	L141-1	complété	JORFDOLE000029883713	Article 17 ter	Alinéa 6 Rétablir le II dans la rédaction suivante : II. – Le III de l’article L. 141‑1 du code de la consommation est complété par un 17° ainsi rédigé : « 17° Du deuxième alinéa de l’article 15 de l’ordonnance du 10 septembre 1817 qui réunit, sous la dénomination d’Ordre des avocats au Conseil d’État et à la Cour de cassation, l’ordre des avocats aux conseils et le collège des avocats à la Cour de cassation, fixe irrévocablement, le nombre des titulaires, et contient des dispositions pour la discipline intérieure de l’Ordre, dans le respect du secret professionnel qui, en toutes matières, que […]	L141-1 (1993-07-27) I. - Sont constatées et poursuivies dans les conditions fixées par les articles 45, premier et troisième alinéa, 46, 47 et 52 de l'ordonnance n° 86-1243 du 1er décembre 1986 relative à la liberté des prix et de la concurrence, reproduits au paragraphe IV ci-après, les infractions aux dispositions prévues au présent cod […]	//www.senat.fr/amendements/2014-2015/371/Amdt_1626.html	juste		sonnet-A	sonnet-B		Le dispositif complète explicitement le III de l'article L. 141-1 par un 17°.	Le dispositif complète le III de l'article L. 141-1 du code de la consommation par un 17°.		2026-09-24
juste	0a9bb11e48ae0e75	senat	90541	Retiré	M. LUREL	L441-2	complété	JORFDOLE000043113774	art. add. après Article 13	Après l’article 13 Insérer un article additionnel ainsi rédigé : L’article L. 441‑2 du code de la consommation est complété par un alinéa ainsi rédigé : « Ces techniques peuvent notamment inclure l’introduction volontaire d’une défectuosité, d’une fragilité, d’un arrêt programmé ou prématuré, d’une limitation technique, d’une impossibilité de réparer ou d’une non compatibilité. »	L441-2 (2016-07-01) Est interdite la pratique de l'obsolescence programmée qui se définit par le recours à des techniques par lesquelles le responsable de la mise sur le marché d'un produit vise à en réduire délibérément la durée de vie pour en augmenter le taux de remplacement.	//www.senat.fr/amendements/2020-2021/667/Amdt_1634.html	juste		sonnet-A	sonnet-B		Le dispositif complète explicitement l'article L. 441-2 par un alinéa.	Le dispositif complète expressément l'article L. 441-2 du code de la consommation par un alinéa sur l'obsolescence programmée.		2026-09-24
