verdict	cle	voie	hote	legi	distance_hote	texte	article_du_texte	numero_cite	code_cite	article_du_fonds	mention_hote	contexte	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	00014795ca9c5e9a	citation	suppose	oui	5490	assemblee/14-ta-ta0176.asp	1er	L423-5	code de la consommation	L423-11 (2014-03-19) Le professionnel procède à l'indemnisation individuelle des préjudices subis par chaque consommateur, dans les conditions, limites et délais fixés par le jugement mentionné à l'article L. 423-3.	ir les numéros : 1015, 1156, 1110, 1116 et 1123. Chapitre Ier Action de groupe Article 1er Le titre II du livre IV du code de la consommation est complété par un chapitre III ainsi rédigé : « Chapitre III « Action de groupe « Section 1 « Champ d’application de l’action de group	s les termes de la décision. « En cas d’inexécution par le professionnel, à l’égard des consommateurs ayant accepté l’indemnisation, de la décision rendue dans le délai fixé, les articles L. 423-6 et L. 423-7 sont applicables et l’acceptation de l’indemnisation dans les termes de la décision vaut mandat aux fins d’indemnisation au profit de l’association. « Un décret en Conseil d’État fixe les conditions d’application de la présente section. « Section 3 « Liquidation des préjudices et exécution « Art. L. 423-5. – Le professionnel procède à l’indemnisation individuelle des préjudices subis par chaque consommateur, dans les conditions, limites et délais fixés par le jugement mentionné à l’article L. 423-3. « Art. L. 423-6. – Le juge ayant statué sur la responsabilité tranche les difficultés qui s’élèvent à l’occasion de la phase de liquidation des préjudices. « Il statue dans un même jugement sur toutes les demandes d’indemnisation auxquelles le professionnel n’a pas fait droit. « Art. L	http://www.assemblee-nationale.fr/14/ta/ta0176.asp	juste	juste	sonnet+sonnet	agent:claude-sonnet-5	agent:claude-sonnet-5	accord des deux juges	Art. 1er (ta0176) écrit sous « Art. L. 423-5 » un texte identique mot pour mot à la version 2014-03-19 de L423-11 (indemnisation individuelle, jugement de L423-3).	Le premier alinéa écrit « Art. L. 423-5. » dans l'article 1er du texte AN (pl1015 ta0176) reprend mot pour mot le texte donné pour L423-11 (2014-03-19) dans article_du_fonds ; le contenu écrit sous L423-5 est bien devenu L423-11.	2026-09-20
juste	001de37d53a29440	citation	suppose	oui	11129	senat/petite-loi-ameli-2013-2014-348.html	11	L121-110	code de la consommation	L121-111 (2014-10-01) Toute somme versée d'avance par le consommateur au professionnel doit lui être restituée, sous réserve du paiement des factures restant dues, au plus tard dans un délai de trente jours à compter du paiement de la dernière facture. Les sommes versées par le consommateur au titre d'un dépôt de garan […]	................................. Section 5 Autres contrats Article 11 I.  Le chapitre Ier du titre II du livre Ier du code de la consommation est complété par des sections 14 à 17 ainsi rédigées : « Section 14 « Contrats conclus dans les foires et salons « Art. L. 121-97.  Ava	s nouvelles conditions, résilier le contrat, sans pénalité de résiliation et sans droit à dédommagement, jusque dans un délai de trois mois après lentrée en vigueur de la modification. « Pour les contrats à durée déterminée ne comportant pas de clause déterminant précisément les hypothèses pouvant entraîner une modification contractuelle ou de clause portant sur la modification du prix, le consommateur peut exiger lapplication des conditions initiales jusquau terme de la durée contractuelle. « Art. L. 121-110.  Toute somme versée davance par le consommateur au professionnel doit lui être restituée, sous réserve du paiement des factures restant dues, au plus tard dans un délai de trente jours à compter du paiement de la dernière facture. « Les sommes versées par le consommateur au titre dun dépôt de garantie lui sont restituées par le professionnel au plus tard dans un délai de trente jours à compter de la reprise par ce dernier de lobjet garanti, qui est effectuée au plus tard d	http://www.senat.fr/petite-loi-ameli/2013-2014/348.html	juste	juste	sonnet+sonnet	agent:claude-sonnet-5	agent:claude-sonnet-5	accord des deux juges	Art. 11 (petite-loi 348) écrit sous « Art. L. 121-110 » un texte identique à la version 2014-10-01 de L121-111 (restitution des sommes versées d'avance / dépôt de garantie).	Le contexte cite « Art. L. 121-110. » de l'article 11 du texte (petite loi Sénat 348) avec un texte qui correspond à celui donné pour L121-111 (2014-10-01) dans article_du_fonds, aux guillemets typographiques près.	2026-09-20
juste	00fb779a1bee3664	citation	suppose	oui	21453	assemblee/14-projets-pl1015.asp	5	L121-20-2	code de la consommation	L121-34-1-1 (2014-06-14) Les conditions de la prospection directe au moyen d'un automate d'appel, d'un télécopieur ou d'un courrier électronique sont prévues à l'article L. 34-5 du code des postes et des communications électroniques.	s Section 1 Définition du consommateur et informations précontractuelles Article 3 Il est inséré, avant le livre Ier du code de la consommation, un article liminaire ainsi rédigé : « Article liminaire « Au sens du présent code, est considérée comme un consommateur toute personne	nique, les conditions dans lesquelles les entreprises ont accès à une version actualisée de la liste et les modalités du contrôle de l’État sur l’organisme gestionnaire. « Les interdictions prévues aux deuxième et troisième alinéas ne s’appliquent pas à la prospection en vue de la fourniture de journaux, de périodiques ou de magazines. « Le présent article s’applique sans préjudice des articles 38 à 40 de la loi n° 78-17 du 6 janvier 1978 relative à l’informatique, aux fichiers et aux libertés. « Art. L. 121-20-2. – Les conditions de la prospection directe au moyen d’un automate d’appel, d’un télécopieur ou d’un courrier électronique sont fixées par l’article L. 34-5 du code des postes et des communications électroniques. « Sous-section 6 « Droit de rétractation applicable aux contrats conclus à distance et hors établissement « Art. L. 121-21. – Le consommateur dispose d’un délai de quatorze jours pour exercer son droit de rétractation d’un contrat conclu à distance, à la suite d’un dé	https://www.assemblee-nationale.fr/14/projets/pl1015.asp	juste	juste	sonnet+sonnet	agent:claude-sonnet-5	agent:claude-sonnet-5	accord des deux juges	Art. 5 (pl1015) écrit sous « Art. L. 121-20-2 » la même disposition que L121-34-1-1 (2014-06-14) : même sujet (prospection par automate d'appel/télécopieur/courriel) et même renvoi à L.34-5 du CPCE, seule la formulation du verbe diffère (« fixées par » / « prévues à »).	Le contexte cite « Art. L. 121-20-2. » de l'article 5 du texte AN (pl1015) : le contenu (conditions de la prospection par automate d'appel renvoyées à L.34-5 du CPCE) correspond à celui de L121-34-1-1 (2014-06-14) donné dans article_du_fonds, malgré une reformulation mineure du verbe (« sont fixées par » devenu « sont prévues à ») probable en cours de navette.	2026-09-20
juste	02201e9fd02478b9	citation	suppose	oui	6298	assemblee/14-ta-commission-r1574-a0.asp	1er	L423-8	code de la consommation	L423-15 (2014-03-19) Seule l'association requérante peut participer à une médiation, dans les conditions fixées au chapitre Ier du titre II de la loi n° 95-125 du 8 février 1995 relative à l'organisation des juridictions et à la procédure civile, pénale et administrative, afin d'obtenir la réparation des préjudices ind […]	, 809, 810, 792, 793, 795 et T.A. 213 (2012-2013). Chapitre Ier Action de groupe Article 1er Le titre II du livre IV du code de la consommation est complété par un chapitre III ainsi rédigé : « Chapitre III « Action de groupe « Section 1 « Champ d’application de l’action de group	difficultés qui s’élèvent à l’occasion de la phase de liquidation des préjudices. « Il statue dans un même jugement sur toutes les demandes d’indemnisation auxquelles le professionnel n’a pas fait droit. « Art. L. 423-7. – (Non modifié) L’association requérante représente les consommateurs membres du groupe qui n’ont pas été indemnisés par le professionnel dans les délais fixés, aux fins de l’exécution forcée du jugement mentionné au second alinéa de l’article L. 423-6. « Section 4 « Médiation « Art. L. 423-8. – (Non modifié) Seule l’association requérante peut participer à une médiation, dans les conditions fixées au chapitre Ier du titre II de la loi n° 95-125 du 8 février 1995 relative à l’organisation des juridictions et à la procédure civile, pénale et administrative, afin d’obtenir la réparation des préjudices individuels mentionnés à l’article L. 423-1. « Art. L. 423-9. – (Non modifié) Tout accord négocié au nom du groupe est soumis à l’homologation du juge, qui vérifie s’il es	http://www.assemblee-nationale.fr/14/ta-commission/r1574-a0.asp	juste	juste	sonnet+sonnet	agent:claude-sonnet-5	agent:claude-sonnet-5	accord des deux juges	Art. 1er (commission r1574-a0) écrit sous « Art. L. 423-8 » un texte identique mot pour mot à la version 2014-03-19 de L423-15 (médiation, loi n°95-125).	Le contexte cite « Art. L. 423-8. » de l'article 1er du texte AN (r1574-a0) : le texte relatif à la médiation par l'association requérante correspond mot pour mot à celui donné pour L423-15 (2014-03-19) dans article_du_fonds.	2026-09-20
juste	0332fc01ef94bab3	citation	suppose	oui	5736	assemblee/14-ta-commission-r1156-a0.asp	1er	L423-8	code de la consommation	L423-15 (2014-03-19) Seule l'association requérante peut participer à une médiation, dans les conditions fixées au chapitre Ier du titre II de la loi n° 95-125 du 8 février 1995 relative à l'organisation des juridictions et à la procédure civile, pénale et administrative, afin d'obtenir la réparation des préjudices ind […]	: Assemblée nationale : 1015, 1110, 1116 et 1123. Chapitre Ier Action de groupe Article 1er Le titre II du livre IV du code de la consommation est complété par un chapitre III ainsi rédigé : « Chapitre III « Action de groupe « Section 1 « Champ d’application de l’action de group	ur la responsabilité tranche les difficultés qui s’élèvent à l’occasion de la phase de liquidation des préjudices. « Il statue dans un même jugement sur toutes les demandes d’indemnisation auxquelles le professionnel n’a pas fait droit. « Art. L. 423-7. – L’association requérante représente les consommateurs qui n’ont pas été indemnisés par le professionnel dans les délais fixés, aux fins de l’exécution forcée du jugement mentionné au second alinéa de l’article L. 423-6. « Section 4 « Médiation « Art. L. 423-8. – L’association requérante peut participer à une médiation, dans les conditions fixées au chapitre Ier du titre II de la loi n° 95-125 du 8 février 1995 relative à l’organisation des juridictions et à la procédure civile, pénale et administrative, afin d’obtenir la réparation des préjudices individuels mentionnés à l’article L. 423-1. « Art. L. 423-9. – Tout accord négocié au nom du groupe est soumis à l’homologation du juge, qui lui donne force exécutoire. « Le juge peut prévoi	http://www.assemblee-nationale.fr/14/ta-commission/r1156-a0.asp	juste	juste	sonnet+sonnet	agent:claude-sonnet-5	agent:claude-sonnet-5	accord des deux juges	Art. 1er (commission r1156-a0) écrit sous « Art. L. 423-8 » un texte identique mot pour mot à la version 2014-03-19 de L423-15 (médiation, loi n°95-125).	Le contexte cite « Art. L. 423-8. » de l'article 1er du texte AN (r1156-a0) : le contenu correspond à celui donné pour L423-15 (2014-03-19) dans article_du_fonds (seul l'adverbe « Seule » a été ajouté plus tard).	2026-09-20
juste	043eb0704feb6dab	citation	suppose	oui	6910	assemblee/14-ta-commission-r1773-a0.asp	1er	L423-7	code de la consommation	L423-13 (2014-03-19) L'association requérante représente les consommateurs membres du groupe qui n'ont pas été indemnisés par le professionnel dans les délais fixés, aux fins de l'exécution forcée du jugement mentionné au second alinéa de l'article L. 423-12.	1 (2013-2014). Commission mixte paritaire : 347. Chapitre IER Action de groupe Article 1er Le titre II du livre IV du code de la consommation est complété par un chapitre III ainsi rédigé : « Chapitre III « Action de groupe « Section 1 « Champ d’application de l’action de g	et exécution « Art. L. 423-5. – Le professionnel procède à l’indemnisation individuelle des préjudices subis par chaque consommateur, dans les conditions, limites et délais fixés par le jugement mentionné à l’article L. 423-3. « Art. L. 423-6. – Le juge ayant statué sur la responsabilité tranche les difficultés qui s’élèvent à l’occasion de la mise en œuvre du jugement. « Il statue dans un même jugement sur toutes les demandes d’indemnisation auxquelles le professionnel n’a pas fait droit. « Art. L. 423-7. – L'association requérante représente les consommateurs membres du groupe qui n'ont pas été indemnisés par le professionnel dans les délais fixés, aux fins de l'exécution forcée du jugement mentionné au second alinéa de l'article L. 423-6. « Art. L. 423-7-1. – L’intégralité des frais et des droits proportionnels de recouvrement ou d’encaissement prévus à l’article L. 111-8 du code des procédures civiles d’exécution, pour l’application des sections 1, 2 et 3 du présent chapitre,	http://www.assemblee-nationale.fr/14/ta-commission/r1773-a0.asp	juste	juste	sonnet+sonnet	agent:claude-sonnet-5	agent:claude-sonnet-5	accord des deux juges	Art. 1er (commission r1773-a0) écrit sous « Art. L. 423-7 » un texte identique à la version 2014-03-19 de L423-13, y compris le renvoi interne (L.423-6 dans le texte = L.423-12 au fond, même décalage de +6).	Le contexte cite « Art. L. 423-7. » de l'article 1er du texte AN (r1773-a0) : le contenu correspond à celui donné pour L423-13 (2014-03-19) dans article_du_fonds, le renvoi interne (L.423-6 devenu L.423-12) confirmant la renumérotation en navette.	2026-09-20
juste	051bc774527f1115	citation	suppose	oui	2101	senat/leg-pjl12-810.html	72 bis	L121-46	code de la consommation	L121-47 (2016-03-18) Tout fournisseur d'un service téléphonique au public, au sens du 7° de l'article L. 32 du code des postes et des communications électroniques, propose au consommateur une option gratuite permettant de bloquer les communications à destination de certaines tranches de numéros à valeur ajoutée. Ces tr […]	tre V du livre IV du code de commerce. » Article 72 bis I. - La section 7 du chapitre I er du titre II du livre I er du code de la consommation est ainsi rédigée : « Section 7 « Achats par l'intermédiaire des opérateurs de communications électroniques « Art. L. 121-42. - (Non mod	out prestataire cocontractant associé à la promotion du produit ou du service. « Art. L. 121-44. - (Non modifié) La présente section est applicable aux consommateurs et aux non-professionnels. « Art. L. 121-45. - (Non modifié) Tout manquement aux articles L. 121-42 et L. 121-43 est passible d'une amende administrative dont le montant ne peut excéder 3 000 € pour une personne physique et 15 000 € pour une personne morale. L'amende est prononcée dans les conditions prévues à l'article L. 141-1-2. « Art. L. 121-46 . - (Non modifié) Tout fournisseur d'un service téléphonique au public, au sens du 7° de l'article L. 32 du code des postes et des communications électroniques, propose au consommateur une option gratuite permettant de bloquer les communications à destination de certaines tranches de numéros à valeur ajoutée. Ces tranches de numéros sont définies par un arrêté conjoint des ministres chargés de la consommation et de l'économie numérique, pris après avis de l'Autorité de régulatio	http://www.senat.fr/leg/pjl12-810.html	juste	juste	sonnet+sonnet	agent:claude-sonnet-5	agent:claude-sonnet-5	accord des deux juges	Art. 72 bis (leg-pjl12-810) écrit sous « Art. L. 121-46 » un texte identique mot pour mot à la version 2016-03-18 de L121-47 (option de blocage des numéros surtaxés).	Le contexte cite « Art. L. 121-46. » de l'article 72 bis du texte Sénat (pjl12-810) : le contenu (option gratuite de blocage des numéros à valeur ajoutée) correspond mot pour mot à celui donné pour L121-47 (2016-03-18) dans article_du_fonds.	2026-09-20
juste	075e10be19082a92	citation	suppose	oui	2516	assemblee/14-projets-pl1357.asp	11	L121-98	code de la consommation	L121-99 (2014-03-19) Tout professionnel proposant des opérations d'achat de métaux précieux, notamment d'or, d'argent ou de platine, sous quelque forme que ce soit, auprès des consommateurs indique, par voie d'affichage, les prix proposés, selon des modalités fixées par arrêté du ministre chargé de l'économie, pris apr […]	5 et L. 138-6. – (Non modifiés) » Section 5 Autres contrats Article 11 I. – Le chapitre Ier du titre II du livre Ier du code de la consommation est complété par des sections 14 à 16 ainsi rédigées : « Section 14 « Contrats conclus dans les foires et salons « Art. L. 121-97. – Ava	de résolution du contrat de vente ou de prestation de services consécutive à l’exercice du droit de rétractation sur le crédit affecté, le vendeur ou le prestataire de services est tenu de rembourser, sur simple demande, toute somme que l’acheteur aurait versée d’avance sur le prix. À compter du huitième jour suivant la demande de remboursement, cette somme est productive d’intérêts, de plein droit, au taux de l’intérêt légal majoré de moitié. « Section 15 « Contrats d’achat de métaux précieux « Art. L. 121-98. – Tout professionnel proposant des opérations d’achat de métaux précieux, notamment d’or, d’argent ou de platine, sous quelque forme que ce soit, auprès des consommateurs indique, par voie d’affichage, les prix proposés, selon des modalités fixées par arrêté du ministre chargé de l’économie, après consultation du Conseil national de la consommation. « Art. L. 121-99. – Toute opération d’achat de métaux précieux, notamment d’or, d’argent ou de platine, sous quelque forme que ce	https://www.assemblee-nationale.fr/14/projets/pl1357.asp	juste	juste	sonnet+sonnet	agent:claude-sonnet-5	agent:claude-sonnet-5	accord des deux juges	Art. 11 (pl1357) écrit sous « Art. L. 121-98 » un texte identique mot pour mot à la version 2014-03-19 de L121-99 (affichage des prix, métaux précieux).	Le contexte cite « Art. L. 121-98. » de l'article 11 du texte AN (pl1357) : le contenu (affichage des prix d'achat de métaux précieux) correspond à celui donné pour L121-99 (2014-03-19) dans article_du_fonds.	2026-09-20
juste	0820018dea49430f	citation	suppose	oui	2510	assemblee/14-ta-commission-r1574-a0.asp	11	L121-98	code de la consommation	L121-99 (2014-03-19) Tout professionnel proposant des opérations d'achat de métaux précieux, notamment d'or, d'argent ou de platine, sous quelque forme que ce soit, auprès des consommateurs indique, par voie d'affichage, les prix proposés, selon des modalités fixées par arrêté du ministre chargé de l'économie, pris apr […]	5 et L. 138-6. – (Non modifiés) » Section 5 Autres contrats Article 11 I. – Le chapitre Ier du titre II du livre Ier du code de la consommation est complété par des sections 14 à 16 ainsi rédigées : « Section 14 « Contrats conclus dans les foires et salons « Art. L. 121-97. – Ava	de résolution du contrat de vente ou de prestation de services consécutive à l’exercice du droit de rétractation pour le crédit affecté, le vendeur ou le prestataire de services est tenu de rembourser, sur simple demande, toute somme que l’acheteur aurait versée d’avance sur le prix. À compter du huitième jour suivant la demande de remboursement, cette somme est productive d’intérêts, de plein droit, au taux de l’intérêt légal majoré de moitié. « Section 15 « Contrats d’achat de métaux précieux « Art. L. 121-98. – Tout professionnel proposant des opérations d’achat de métaux précieux, notamment d’or, d’argent ou de platine, sous quelque forme que ce soit, auprès des consommateurs indique, par voie d’affichage, les prix proposés, selon des modalités fixées par arrêté du ministre chargé de l’économie, pris après consultation du Conseil national de la consommation. « Art. L. 121-99. – Toute opération d’achat de métaux précieux, notamment d’or, d’argent ou de platine, sous quelque forme qu	http://www.assemblee-nationale.fr/14/ta-commission/r1574-a0.asp	juste	juste	sonnet+sonnet	agent:claude-sonnet-5	agent:claude-sonnet-5	accord des deux juges	Art. 11 (commission r1574-a0) écrit sous « Art. L. 121-98 » un texte identique mot pour mot à la version 2014-03-19 de L121-99 (affichage des prix, métaux précieux).	Le contexte cite « Art. L. 121-98. » de l'article 11 du texte AN (r1574-a0) : le contenu (affichage des prix d'achat de métaux précieux) correspond mot pour mot à celui donné pour L121-99 (2014-03-19) dans article_du_fonds.	2026-09-20
juste	09d23cb4f472dbf5	citation	suppose	oui	4487	senat/leg-pjl13-283.html	11	L121-101	code de la consommation	L121-102 (2014-03-19) Le consommateur dispose d'un délai de vingt-quatre heures à compter de la signature du contrat pour exercer son droit de rétractation, sans avoir à justifier de motifs ni à payer de pénalités. L'exécution des obligations contractuelles incombant aux parties est suspendue jusqu'à l'expiration de ce […]	ession maintenue) Section 5 Autres contrats Article 11 (Non modifié) I. - Le chapitre I er du titre II du livre I er du code de la consommation est complété par des sections 14 à 17 ainsi rédigées : « Section 14 « Contrats conclus dans les foires et salons « Art. L. 121-97 . - Av	iens objets du contrat, dont le poids et, le cas échéant, la pureté exprimée en millièmes ; « 7° (Supprimé) « 8° Le prix de vente ainsi que toutes taxes ou tous frais éventuels à la charge du consommateur-vendeur. « Le contrat comprend un formulaire détachable destiné à faciliter l'exercice du droit de rétractation dans les conditions prévues à l'article L. 121-101. Un décret en Conseil d'État précise les conditions de présentation de ce formulaire et les mentions devant figurer sur ce dernier. « Art. L. 121-101 . - Le consommateur dispose d'un délai de vingt-quatre heures à compter de la signature du contrat pour exercer son droit de rétractation, sans avoir à justifier de motifs ni à payer de pénalités. L'exécution des obligations contractuelles incombant aux parties est suspendue jusqu'à l'expiration de ce délai de rétractation. « Ce délai de rétractation ne s'applique pas aux opérations d'or investissement. « Toute clause du contrat par laquelle le consommateur-vendeur abandonne so	http://www.senat.fr/leg/pjl13-283.html	juste	juste	sonnet+sonnet	agent:claude-sonnet-5	agent:claude-sonnet-5	accord des deux juges	Art. 11 (leg-pjl13-283) écrit sous « Art. L. 121-101 » un texte identique mot pour mot à la version 2014-03-19 de L121-102 (délai de rétractation de 24h, or investissement).	Le contexte cite « Art. L. 121-101. » de l'article 11 du texte Sénat (pjl13-283) : le contenu (délai de rétractation de vingt-quatre heures) correspond mot pour mot à celui donné pour L121-102 (2014-03-19) dans article_du_fonds.	2026-09-20
