verdict	cle	chambre	amendement	sort	auteur	article	formule	dossier	subdivision	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	00168d5cb493e972	senat	30662	Adopté	LE GOUVERNEMENT	L511-12	complété	JORFDOLE000036562265	art. add. après Article 14 (Supprimé)	Après l'article 14 Insérer un article additionnel ainsi rédigé : L’article L. 511-12 du code de la consommation est complété par un alinéa ainsi rédigé : « ...° Les manquements aux chapitres III et IV du titre V du livre II code rural et de la pêche maritime. »	L511-12 (2016-07-01) Les agents sont habilités à rechercher et à constater : 1° Les infractions aux dispositions réglementaires prises en application du II de l'article L. 231-1, des articles L. 231-5, L. 231-6, L. 236-1, L. 236-2 et L. 236-4 du code rural et de la pêche maritime, à l'exception de celles relatives à la production primaire  […]	//www.senat.fr/amendements/2017-2018/571/Amdt_757.html	juste	juste	deepseek+glm	agent:deepseek-v4p1-flash	agent:glm-5p3-flash		Le dispositif énonce que l'article L. 511-12 du code de la consommation est complété par un alinéa : l'article du code est bien l'objet de la modification et non une simple citation ou une ancre. L'article_du_fonds confirme le code de la consommation.	Arête vise : le dispositif ne fait pas qu'ancrer ou citer L511-12, il l'achève expressément (« est complété par un alinéa ainsi rédigé ») en visant nommément le code de la consommation. La liste numérotée de l'article du fonds (2016-07-01) s'accorde avec l'ajout d'un « ...° ». Confirmé par le tableau comparatif du texte définitif : l'article 14 bis A insère le 3° « manquements aux chapitres III et IV du titre V du livre II du code rural », attribué à l'Amdt n° 757 rect.	2026-09-19
faux	007311fc21fd74da	senat	20023	Rejeté	M. LABBÉ	L122-3	abrogé	JORFDOLE000028196878	Article 30	I. – Alinéa 2 Remplacer cet alinéa par deux alinéas ainsi rédigés : 1° Le c du 2° de l’article L. 122-3 est abrogé ; 2° (supprimé) II. – Alinéas 3 et 4 Supprimer ces alinéas. III. – Alinéas 5 et 6 Remplacer ces alinéas par un alinéa ainsi rédigé : 4° L’article L. 124-2 est abrogé ; IV. – Alinéa 37 Rédiger ainsi cet alinéa : 2° La section 2 du chapitre III du titre I er est abrogée ; V. – Alinéas 38 et 39 Remplacer ces alinéas par un alinéa ainsi rédigé : 3° Au 4° de l'article L. 321-1, les mots : « et les codes de bonnes pratiques sylvicoles » sont supprimés ;	L122-3 (1993-07-27) Tout professionnel vendeur de bien ou prestataire de services qui aura indûment perçu d'un consommateur un paiement sans engagement exprès et préalable de ce dernier est tenu de restituer les sommes ainsi prélevées qui sont productives d'intérêts au taux légal calculés à compter de la date du paiement indu et d'intérêt […]	//www.senat.fr/amendements/2013-2014/387/Amdt_172.html	faux	faux	deepseek+glm	agent:deepseek-v4p1-flash	agent:glm-5p3-flash		Le dispositif porte sur l'article L. 122-3 du code forestier : l'Article 30 du texte modifie le livre Ier du code forestier, le 'c du 2°' abrogé est une subdivision de cet article, et l'amendement vise aussi L. 124-2 et L. 321-1 du même code. La fiche l'apparie à L. 122-3 du code de la consommation (texte consommateur de 1993, sans 2° c) : c'est un homonyme d'un autre code.	L'article 30 du texte en discussion réécrit le livre Ier du code forestier : le « c du 2° de l'article L. 122-3 » que l'amendement abroge est celui de l'article L. 122-3 du code forestier (documents de gestion des forêts), non celui du code de la consommation. La restitution a retenu le L122-3 du code de la consommation (paiement indûment perçu, 1993) qui n'a même pas de 2° c : même numéro, autre code, lien faux.	2026-09-19
juste	011ec9a58c7c0f0c	assemblee	3067	Adopté	M. Frédéric Barbier	L136-1	modifié	JORFDOLE000027383756	APRÈS ART. 17	Le code de la consommation est ainsi modifié : 1° Le premier alinéa de l’article L. 136‑1 est ainsi modifié : a) Après le mot : « écrit », sont insérés les mots : « , par lettre nominative ou courrier électronique dédiés » ; b) Il est complété par une phrase ainsi rédigée : « Cette information délivrée dans des termes clairs et compréhensibles fait apparaître dans un encadré apparent la date limite de résiliation. » ; 2° Après l’article L. 136‑1, est inséré un article L. 136‑1‑1 ainsi rédigé : « Art. L. 136‑1‑1. – Les dispositions de l’article L. 136‑1 sont reproduites intégralement dans les c […]	L136-1 (2005-07-28) Le professionnel prestataire de services informe le consommateur par écrit, au plus tôt trois mois et au plus tard un mois avant le terme de la période autorisant le rejet de la reconduction, de la possibilité de ne pas reconduire le contrat qu'il a conclu avec une clause de reconduction tacite. Lorsque cette informati […]		juste	juste	deepseek+glm	agent:deepseek-v4p1-flash	agent:glm-5p3-flash		Le dispositif modifie expressément le premier alinéa de l'article L. 136-1 du code de la consommation (insertion de mots, ajout d'une phrase), donc l'amendement porte bien sur l'article L. 136-1 visé.	Le dispositif modifie réellement l'article L. 136-1 du code de la consommation : son 1° réécrit le premier alinéa (« est ainsi modifié », insertion après « écrit », phrase sur la date limite de résiliation), ce n'est pas une simple mention-ancre comme le 2°. L'article du fonds L136-1 (information du consommateur avant reconduction tacite) correspond exactement à l'objet des insertions.	2026-09-19
faux	016f6e0c17aa6fc9	assemblee	4515		M. Jean-Louis Bricout	L121-105	rédigé	JORFDOLE000027383756	ART. 11	I. – Au 1er alinéa, remplacer les mots : « 14 à 16 » par les mots : « 14 à 17 » : II. – Compléter cet article par les vingt-sept alinéas suivants : « Section 17 « Contrats relatifs au gaz de pétrole liquéfié « Art. L. 121‑105. – Les dispositions de la présente section s’appliquent aux contrats souscrits par un consommateur ayant pour objet la fourniture de gaz de pétrole liquéfié en vrac, la mise à disposition ou la vente de matériels de stockage de gaz de pétrole liquéfiés en vrac d’un poids supérieur à 50 kilogrammes, ou l’entretien de tels matériels. « Art. L. 121‑106. – Les contrats visés  […]	L121-105 (2014-03-19) Lorsque le consommateur prend personnellement livraison des objets transportés et lorsque le voiturier ne justifie pas lui avoir laissé la possibilité de vérifier effectivement leur bon état, le délai mentionné à l'article L. 133-3 du code de commerce est porté à dix jours.		faux	faux	deepseek+glm	agent:deepseek-v4p1-flash	agent:glm-5p3-flash		Le dispositif crée une section 17 « gaz de pétrole liquéfié » dont le premier article est numéroté L. 121-105, mais l'article L. 121-105 du code est celui, tout autre, de la section 16 « contrats de transport hors déménagement » : l'amendement ne touche que la section 16 en étendant de « 14 à 16 » à « 14 à 17 » le nombre de sections et en ajoutant la section 17. La section GPL a d'ailleurs été publiée aux articles L. 121-106 et suivants (décalage de la renumérotation du texte) : collision de numérotation, l'arête rattache l'amendement à un article qu'il ne modifie pas.	Le dispositif crée une section 17 GPL dont le champ d'application est proposé sous le numéro L. 121-105, mais le L121-105 du fonds (version 2014-03-19) est l'article voiturier (objets transportés, délai de dix jours), issu de la section 16 et jamais touché par cet amendement. Dans le texte définitif (TA 295, loi 2014-344), le décalage de +1 reporte la disposition portée par l'amendement sur L121-106. Le lien repose donc sur une coïncidence de numéro avec un autre article.	2026-09-19
faux	019e793b4a032ba1	senat	17616	Retiré	M. PLANCADE	L411-2	rédigé	JORFDOLE000027383756	Article 1er	Rédiger ainsi cet article : I. – Après le chapitre I er du titre II de la loi n° 95-125 du 8 février 1995 relative à l’organisation des juridictions et à la procédure civile, pénale et administrative, il est inséré un chapitre I er bis ainsi rédigé : « CHAPITRE I er bis « L’action de groupe « Section 1 « Dispositions générales « Art. 26. – L’action de groupe est ouverte, dans les cas et conditions définis par la loi, à toute association habilitée à l’exercer en vue de faire reconnaître la responsabilité civile d’une personne agissant en tant que professionnel à l’égard d’un groupe de personnes […]	L411-2 (2016-07-01) Tout opérateur ayant connaissance, après avoir acquis ou cédé des produits, d'une non-conformité à la réglementation portant sur une qualité substantielle de tout ou partie de ces produits, en informe sans délai, par tous moyens dont il peut justifier, celui qui lui a fourni ces produits et ceux à qui il les a cédés.	//www.senat.fr/amendements/2013-2014/283/Amdt_33.html	juste	faux	agent:qwen3p8-max	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	Le dispositif intégral (partie III) crée bien un « L. 411-2 », mais c'est l'habilitation des associations à exercer l'action de groupe, dans le livre IV « associations de consommateurs » de la numérotation antérieure à 2016 — numéro vacant à l'époque, jamais promulqué (amendement retiré). Le L411-2 du corpus est un autre article : l'alerte par l'opérateur, né L217-5 (loi 2014-344, art. 89) et renuméroté par l'ordonnance 2016-301 (lignée déclarée dans le graphe). Même numéro, autre article : mauvais article.	Le dispositif complet (partie III) dispose : « Le livre IV du code de la consommation est ainsi modifié : 1° Le chapitre Ier du titre Ier est complété par un article L. 411-2 ainsi rédigé : Art. L. 411-2. – … » : l'amendement crée donc bien l'article L. 411-2 du code de la consommation, conformément à la formule « rédigé » et à l'article visé. La fenêtre tronquée ne montrait que la partie I (loi 95-125), mais l'article du code est explicite dans le dispositif.	Article_entier : l'art. 1er du projet de loi relatif à la consommation complète le titre II du livre IV du code de la consommation par un chapitre III « Action de groupe » (art. L423-1 et suivants) ; L411-2 n'y est jamais modifié (L411-1 seulement cité pour l'agrément). L'amendement lui-même réécrit l'art. 1er pour insérer l'action de groupe dans la loi n° 95-125 du 8 février 1995 (art. 26 et suiv.), un autre texte que le code de la consommation.	2026-09-19
faux	022c18452d02d252	senat	18411	Adopté	M. VANDIERENDONCK	L711-1	rédigé	JORFDOLE000027617351	Article 23	Alinéas 8 à 35 Remplacer ces alinéas par vingt‑quatre alinéas ainsi rédigés : « Art. L. 711‑1. – I. – Afin de faciliter la connaissance des pouvoirs publics sur l’état des copropriétés et la mise en œuvre des actions destinées à prévenir la survenance de dysfonctionnements, il est institué un registre auquel sont immatriculés les syndicats de copropriétaires définis à l’article 14 de la loi n° 65‑557 du 10 juillet 1965 fixant le statut de la copropriété des immeubles bâtis, qui administrent des immeubles à destination partielle ou totale d’habitation. « II. – Le registre des syndicats de copro […]	L711-1 (2016-07-01) Le bénéfice des mesures de traitement des situations de surendettement est ouvert aux personnes physiques de bonne foi. La situation de surendettement est caractérisée par l'impossibilité manifeste de faire face à l'ensemble de ses dettes non professionnelles exigibles et à échoir. Le seul fait d'être propriétaire de s […]	//www.senat.fr/amendements/2013-2014/66/Amdt_97.html	faux	faux	deepseek+glm	agent:deepseek-v4p1-flash	agent:glm-5p3-flash		Le dispositif insère un nouvel Art. L. 711-1 dans un Livre VII « Immeubles relevant du statut de la copropriété » du Code de la construction et de l'habitation (il renvoie à « l'article L. 615-6 du présent code »), alors que l'article_du_fonds visé est le L. 711-1 du Code de la consommation sur le surendettement : homonyme d'un autre code.	Mauvais code : l'amendement rédige un « Art. L. 711-1 » qui est celui du code de la construction et de l'habitation (registre d'immatriculation des copropriétés, article 23 du projet de loi Logement et urbanisme complétant le CCH d'un livre VII), non le L711-1 du code de la consommation (surendettement) cité dans le fonds.	2026-09-19
juste	02602319e230957a	senat	29027	Irrecevable art. 45, al. 1 C (cavalier)	M. BOUVARD	L732-3	complété	JORFDOLE000032319792	Article 25 bis (Supprimé)	Rétablir cet article dans la rédaction suivante : I. – Le titre III du livre VII du code de la consommation est ainsi modifié : 1° À l’intitulé du chapitre I er , les mots : « de la capacité de remboursement » sont remplacés par les mots : « du montant des remboursements » ; 2° À l’article L. 731‑1, les mots : « la capacité de remboursement est fixée » sont remplacés par les mots : « le montant des remboursements est fixé » ; 3° À l’article L. 732‑1, après la référence : « L. 724‑1 », sont insérés les mots : « et que le débiteur est propriétaire d’un bien immobilier » ; 4° L’article L. 732‑3 e […]	L732-3 (2016-07-01) Le plan prévoit les modalités de son exécution. Sa durée totale, y compris lorsqu'il fait l'objet d'une révision ou d'un renouvellement, ne peut excéder sept années. Les mesures peuvent cependant excéder cette durée lorsqu'elles concernent le remboursement de prêts contractés pour l'achat d'un bien immobilier constitua […]	//www.senat.fr/amendements/2015-2016/713/Amdt_404.html	juste	juste	deepseek+glm	agent:deepseek-v4p1-flash	agent:glm-5p3-flash		Le dispositif (rétabli par l'amendement 29027) modifie bien le code de la consommation : son 4° dispose que « L'article L. 732-3 est complété par un alinéa ainsi rédigé » (vérifié dans le texte adopté du dossier, le champ dispositif de la fiche étant tronqué). L'article visé est donc bien modifié, et non simplement cité ou pris pour ancre.	L'amendement (rétablir l'art. 25 bis supprimé) réécrit le bloc « Le titre III du livre VII du code de la consommation est ainsi modifié » dont le 4° dit : « L'article L. 732-3 est complété par un alinéa ainsi rédigé » — vérifié identique dans le texte en discussion (r4045, ta0830). Article et formule « complété » donc exacts.	2026-09-19
juste	026d32b6f5f7d507	senat	42015	Rejeté	M. LAHELLEC	L223-5	complété	JORFDOLE000051045642	Article 3	Après l’alinéa 22 Insérer un alinéa ainsi rédigé : …) Le premier alinéa de l’article L. 223‑5 est complété par les mots : « ainsi que de denrées alimentaires et de produits destinés à l’alimentation des animaux de compagnie dans le cadre d’une livraison alimentaire à domicile » ;	L223-5 (2016-07-01) Les interdictions prévues aux articles L. 223-1 et L. 223-3 ne s'appliquent pas à la prospection en vue de la fourniture de journaux, de périodiques ou de magazines.	//www.senat.fr/amendements/2024-2025/469/Amdt_51.html	juste	juste	deepseek+glm	agent:deepseek-v4p1-flash	agent:glm-5p3-flash		Le dispositif énonce « Le premier alinéa de l'article L. 223-5 est complété par les mots… » : il modifie bien l'article L. 223-5 du code de la consommation (article du fonds conforme, formule « complété »), et ne le cite pas comme simple ancre.	Le dispositif insère un alinéa qui dispose que « le premier alinéa de l'article L. 223-5 est complété par les mots : … » : modification opérante de L. 223-5 du code de la consommation, pas une citation ni une ancre. L'article du fonds correspond bien à cet article du code, dont le texte en discussion confirme qu'il a un premier alinéa.	2026-09-19
faux	02c5db779ef4c26e	senat	26732	Retiré	Mme CUKIERMAN	L141-3	complété	JORFDOLE000030962821	art. add. après Article 52	Après l’article 52 Insérer un article additionnel ainsi rédigé : L’article L. 141‑3 du code de la consommation est complété par un paragraphe ainsi rédigé : « … – Par exception à l’article 11 du code de procédure pénale ou aux dispositions relatives au secret professionnel, l’autorité administrative chargée de la concurrence et de la consommation informe les associations de consommateurs agréées au niveau national et justifiant d’une activité procédurale dans l’intérêt collectif des consommateurs des procès‑verbaux transmis au parquet à la suite de la constatation d’infractions au titre des ar […]	L141-3 (2024-11-15) Les articles L. 133-1 à L. 133-3 sont applicables en Nouvelle-Calédonie, en Polynésie française et dans les îles Wallis et Futuna.	//www.senat.fr/amendements/2015-2016/122/Amdt_165.html	juste	faux	agent:qwen3p8-max	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	Le dispositif complète « L. 141-3 du code de la consommation » tel qu'en vigueur en 2016 : l'ancien article sur les procès-verbaux, l'article 11 du code de procédure pénale et le secret professionnel, abrogé au 2016-07-01 et renuméroté L. 512-18. L'arête pointe un autre L141-3 du même code, créé le 2024-11-15 et relatif à l'application des L. 133-1 à L. 133-3 en Nouvelle-Calédonie — homonyme de même numéro, pas le même article.	Le dispositif nomme explicitement « L'article L. 141-3 du code de la consommation » et le complète par un paragraphe ; la formule « complété » concorde. L'article du fonds appartient bien au code de la consommation (LEGITEXT000006069565) et ses versions 2005/2011 portent sur l'article 11 du CPP et le secret professionnel, objet même du paragraphe ajouté.	Le dispositif nomme bien L141-3 et le « complète », mais le L141-3 visé en 2016 (exception à l'art. 11 du CPP / secret professionnel pour les agents de la DGCCRF, thème même du paragraphe ajouté) a été abrogé au 1er juillet 2016 par l'ordonnance n° 2016-301 de recodification, avec CONCORDANCE vers L512-18/L512-19. Le L141-3 affiché (2024-11-15) est un article créé par l'ordonnance n° 2024-1019 — clause d'applicabilité de L133-1 à L133-3 en Nouvelle-Calédonie — sans filiation (ANCIEN_ID vide) ni rapport avec l'amendement : l'arête vise en réalité un autre article, la bonne cible actuelle serait L512-18/L512-19.	2026-09-19
juste	0342c931c2f39c08	senat	22534	Retiré	M. MIQUEL	L213-4-1	rédigé	JORFDOLE000029310724	Article 22 ter A	Alinéa 4 Rédiger ainsi cet alinéa : « Art. L. 213‑4‑1. – I. – L’obsolescence programmée se définit par tout stratagème par lequel un bien voit sa durée de vie sciemment réduite dès sa conception, limitant ainsi sa durée d’usage pour des raisons de modèle économique.	L213-4-1 (2015-08-19) I.-L'obsolescence programmée se définit par l'ensemble des techniques par lesquelles un metteur sur le marché vise à réduire délibérément la durée de vie d'un produit pour en augmenter le taux de remplacement. II.-L'obsolescence programmée est punie d'une peine de deux ans d'emprisonnement et de 300 000 € d'amende. III […]	//www.senat.fr/amendements/2014-2015/530/Amdt_88.html	juste	juste	deepseek+glm	agent:deepseek-v4p1-flash	agent:glm-5p3-flash		L'alinéa 4 de l'article 22 ter A (texte leg-pjl14-530, l.7389-7395) est précisément l'attaque « Art. L. 213-4-1. – I. » ; le dispositif le réécrit, donc l'amendement modifie bien l'article L. 213-4-1 du code de la consommation. Formule 'rédigé' cohérente.	Le dispositif réécrit « l'alinéa 4 » de l'article 22 ter A, qui est dans le texte du Sénat (pjl n° 530) le paragraphe « Art. L. 213-4-1. – I. – L'obsolescence programmée se définit… » (après l'instruction d'insertion et les deux titres de section). L'amendement propose donc bien une nouvelle rédaction de L213-4-1 I. du code de la consommation, définition de l'obsolescence programmée, conformément à l'article du fonds.	2026-09-19
