verdict	cle	voie	hote	legi	distance_hote	texte	article_du_texte	numero_cite	code_cite	article_du_fonds	mention_hote	contexte	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	002d12f98ad8adca	citation	suppose	oui	12021	assemblee/13-ta-commission-r1722-a0.asp	15	L121-74	code de la consommation	L121-74 (1998-07-09) — écrit par la loi du dossier, 2010-01-01 : Le professionnel ne peut, directement ou indirectement, faire supporter au consommateur qui exe […] ‖ avant, 1998-07-09 : Lorsque le bien ou l'un des biens est situé sur le territoire d'un Etat membre de la Communauté européenne, et lorsque la loi qui régit le contrat  […]	é. » II. – (Non modifié) Le I est applicable à Mayotte. III. – La section 9 du chapitre Ier du titre II du livre Ier du code de la consommation est ainsi rédigé : « Section 9 « Contrats d'utilisation de biens à temps partagé, contrats de produit de vacances à long terme, contrats	tion des délais définis aux articles L. 121-69, L. 121-70 et L. 121-71, par lettre recommandée avec demande d’avis de réception ou, à défaut, par tout autre moyen présentant des garanties équivalentes permettant de prouver cet envoi. « Le consommateur peut utiliser, suivant les mêmes formalités de transmission, le formulaire standard de rétractation visé à l’article L. 121-68. « L’exercice de son droit de rétractation par le consommateur met fin à l’obligation des parties d’exécuter le contrat. « Art. L. 121-74. – Le professionnel ne peut, directement ou indirectement, faire supporter au consommateur qui exerce son droit de rétractation aucun coût, y compris ceux afférents à d’éventuels services fournis avant l’exercice de son droit de rétractation. « Art. L. 121-75. – Le professionnel ne peut demander et recevoir du consommateur, sous quelque forme que ce soit, le paiement d’avance, une constitution de garanties, une reconnaissance de dettes, une réserve d’argent sur des comptes, pour	https://www.assemblee-nationale.fr/13/ta-commission/r1722-a0.asp	juste		sonnet-juge-a	sonnet-juge-b		le contenu de « Art. L. 121-74 » (« Le professionnel ne peut… faire supporter au consommateur qui exerce son droit de rétractation aucun coût ») est celui que la loi a promulgué sous L121-74.	L. 121-74 écrit dans la citation « le professionnel ne peut... aucun coût » est mot pour mot le contenu du fonds produit par la loi.		2026-09-26
juste	01187ef45603cb1f	citation	suppose	oui	8799	assemblee/14-ta-ta0792.asp	18 sexies	L733-16	code de la consommation	L733-16 (2016-07-01) — écrit par la loi du dossier, 2018-01-01 : Les créanciers auxquels les mesures imposées par la commission en application des articles L. 7 […] ‖ avant, 2016-07-01 : Les mesures recommandées en application des dispositions des articles L. 733-7 et L. 733-8 et rendues exécutoires par l'application des disposition […]	cureur de la République. » Chapitre IV Dispositions relatives au surendettement Article 18 sexies I. – Le livre VII du code de la consommation est ainsi modifié : 1° Au premier alinéa de l’article L. 711-5, les références : « L. 741-3, L. 741-7, L. 741-8 » sont remplacées par le	personnalisé, dans les conditions prévues au livre II du code de l’action sociale et des familles. « Section 3 « Dispositions communes aux mesures imposées et à leur contestation « Art. L. 733-15. – Les mesures imposées en application des articles L. 733-1, L. 733-4 et L. 733-7 ou celles prises par le juge en application de l’article L. 733-13 ne sont pas opposables aux créanciers dont l’existence n’a pas été signalée par le débiteur et qui n’ont pas été avisés de ces mesures par la commission. « Art. L. 733-16. – Les créanciers auxquels les mesures imposées par la commission en application des articles L. 733-1, L. 733-4 et L. 733-7 ou celles prises par le juge en application de l’article L. 733-13 sont opposables ne peuvent exercer des procédures d’exécution à l’encontre des biens du débiteur pendant la durée d’exécution de ces mesures. « Art. L. 733-17. – L’effacement d’une créance en application des articles L. 733-9 ou L. 733-13 du présent code vaut régularisation de l’incident de	http://www.assemblee-nationale.fr/14/ta/ta0792.asp	juste		sonnet-juge-a	sonnet-juge-b		« Art. L. 733-16 » écrit « Les créanciers auxquels les mesures imposées… ne peuvent exercer des procédures d’exécution… », identique au fonds L733-16.	L. 733-16 écrit dans la citation « les créanciers auxquels les mesures... » correspond mot pour mot à la version 2018 du fonds.		2026-09-26
juste	01eb3ae5369fc4ba	citation	suppose	oui	15094	assemblee/13-ta-commission-r1722-a0.asp	15	L121-79-1	code de la consommation	L121-79-1 (2010-01-01) — écrit par la loi du dossier, 2010-01-01 : Lorsque la loi applicable est celle d'un pays tiers, est réputée non écrite toute clause qui prive le consommateur des droits qui lui sont conférés par la présente section, dès lors : ― pour les contrats définis par l'article L. 121-61 et portant sur la […]	é. » II. – (Non modifié) Le I est applicable à Mayotte. III. – La section 9 du chapitre Ier du titre II du livre Ier du code de la consommation est ainsi rédigé : « Section 9 « Contrats d'utilisation de biens à temps partagé, contrats de produit de vacances à long terme, contrats	e par le consommateur de son droit de rétractation du contrat d'utilisation de biens à temps partagé, du contrat de produits de vacances à long terme, de revente ou d'échange emporte la résiliation de plein droit, sans frais ni indemnité, du contrat de crédit. « Art. L. 121-79. – Lorsque la loi applicable au contrat est la loi d’un État membre de l’Union européenne, est réputée non écrite toute clause par laquelle le consommateur renonce aux droits qui lui sont conférés par la présente section. « Art. L. 121-79-1. – Lorsque la loi applicable est celle d’un pays tiers, est réputée non écrite toute clause qui prive le consommateur des droits qui lui sont conférés par la présente section, dès lors : « – pour les contrats définis par l’article L. 121-61 et portant sur la jouissance de tout ou partie d’un bien immobilier, que ce bien immobilier est situé sur le territoire d’un État membre de l’Union européenne ; « – pour les autres contrats définis à l’article L. 121-61, que le professionne	https://www.assemblee-nationale.fr/13/ta-commission/r1722-a0.asp	juste		sonnet-juge-a	sonnet-juge-b		« Art. L. 121-79-1 » écrit mot pour mot la clause sur la loi d’un pays tiers que porte le fonds L121-79-1.	L. 121-79-1 écrit dans la citation reprend mot pour mot le fonds produit par la loi du dossier.		2026-09-26
juste	01fdb6e4466b5d9f	citation	suppose	oui	6391	assemblee/13-ta-ta0057.asp	12 bis	L122-13	code de la consommation	L122-13 (2008-01-05) — écrit par la loi du dossier, 2008-01-05 : Les personnes physiques coupables du délit prévu à l'article L. 122-12 encourent une interdiction, pour une durée de cinq ans au plus, d'exercer directement ou indirectement une activité commerciale.	de la publication de chaque ordonnance. Article 12 bis (nouveau) I. – Avant le chapitre Ier du titre II du livre Ier du code de la consommation, il est inséré un chapitre préliminaire ainsi rédigé : « Chapitre préliminaire « Pratiques commerciales déloyales « Art. L. 120-1. – Les	tées et insistantes ou de l’usage d’une contrainte physique ou morale : « 1° Elle altère ou est de nature à altérer de manière significative la liberté de choix d’un consommateur ; « 2° Elle vicie ou est de nature à vicier le consentement d’un consommateur ; « 3° Elle entrave l’exercice des droits contractuels d’un consommateur. « Art. L. 122-12. – Le fait de mettre en œuvre une pratique commerciale agressive est puni d’un emprisonnement de deux ans au plus et d’une amende de 150 000 € au plus. « Art. L. 122-13. – Les personnes physiques coupables du délit prévu à l’article L. 122-12 encourent une interdiction, pour une durée de cinq ans au plus, d’exercer directement ou indirectement une activité commerciale. « Art. L. 122-14. – Les personnes morales coupables du délit prévu à l’article L. 122-12 encourent les peines mentionnées à l’article 131-39 du code pénal. « Art. L. 122-15. – Lorsqu’une pratique commerciale agressive aboutit à la conclusion d’un contrat, celui-ci est nul et de n	http://www.assemblee-nationale.fr/13/ta/ta0057.asp	juste		sonnet-juge-a	sonnet-juge-b		« Art. L. 122-13 » écrit l’interdiction d’exercer une activité commerciale que porte exactement le fonds L122-13.	L. 122-13 écrit dans la citation (peine d'interdiction) correspond mot pour mot au fonds.		2026-09-26
faux	02090ba0a6a78f23	citation	suppose	oui	3609	assemblee/dyn-17-textes-l17b0633_texte-adopte-commission	3	L224-115	code de la consommation	L224-115 (2025-07-02) — écrit par la loi du dossier, 2025-07-02 : I. - Avant la conclusion d'un contrat ayant pour objet l'offre de prestations de services, la vente d'équipements ou la réalisation de travaux afférents à des logements en vue de la réalisation d'économies d'énergie ou de la production d'énergie renouvel […]	icle L. 151-2 » sont remplacés par les mots : « les infractions prévues aux articles L. 151-2 et L. 151-2-1 ». II. – Le code de la consommation est ainsi modifié : 1° Le titre II est ainsi modifié : A. – Le livre II est ainsi modifié : aa)(nouveau) La seconde phrase du premier al	consommateur, de manière lisible et compréhensible, sur un support durable, les informations suivantes : « 1° L’identité du ou des sous-traitants ; « 2° Si le sous-traitant ne bénéficie pas d’un label ou d’un signe de qualité auquel est subordonné l’octroi d’aides financières, une mention indiquant que les travaux ne peuvent pas bénéficier d’une aide financière. « Les informations mentionnées au présent II figurent, de manière lisible et compréhensible, sur un support durable, dans le contrat. « Art. L. 224-115(nouveau) . – Pour les contrats mentionnés au I de l’article L. 224-114, le professionnel peut demander au consommateur le versement de sommes sur le prix à titre d’acompte, dans la limite d’un plafond exprimé en pourcentage du montant de la prestation. Ce plafond est fixé par décret. » ; 2° Le titre IV est ainsi modifié : a) Après la section 3 du chapitre II, est insérée une section 3 bis ainsi rédigée : « Section 3 bis « Autres modes de prospection commerciale « Art. L. 242-16	https://www.assemblee-nationale.fr/dyn/17/textes/l17b0633_texte-adopte-commission	faux		sonnet-juge-a	sonnet-juge-b		le texte écrit l’acompte/plafond sous « Art. L. 224-115(nouveau) », mais le fonds L224-115 porte l’obligation d’information sur les sous-traitants — c’est le passage qui précède, écrit sous « Art. L. 224-114 » dans ce même texte, qui correspond au contenu du fonds L224-115 ; numéro glissé d’un cran.	Le fonds L. 224-115 (vérifié en base) porte le contrôle des sous-traitants (I/II/III), disposition que ce même texte numérote L. 224-114 ; la citation « L. 224-115(nouveau) » porte en réalité sur un plafond d'acompte, jamais retrouvé promulgué — numéro glissé, contenu sans rapport.		2026-09-26
juste	020e6e6e642ec768	citation	suppose	oui	22323	senat/petite-loi-ameli-2013-2014-348.html	5	L121-21-8	code de la consommation	L121-21-8 (2014-06-14) — écrit par la loi du dossier, 2014-06-14 : Le droit de rétractation ne peut être exercé pour les contrats : 1° De fourniture de services pleinement exécutés avant la fin du délai de rétractation et dont l'exécution a commencé après accord préalable exprès du consommateur et renoncement exprès à  […]	A, I AB, I AC.  (Supprimés) I A, I B, I C.  (Supprimés) I.  La section 2 du chapitre Ier du titre II du livre Ier du code de la consommation est ainsi rédigée : « Section 2 « Contrats conclus à distance et hors établissement « Sous-section 1 « Définitions et champ dapplicatio	cles L. 121-18-1 et L. 121-19-2. « Art. L. 121-21-7.  Lexercice du droit de rétractation met fin à lobligation des parties soit dexécuter le contrat à distance ou le contrat hors établissement, soit de le conclure lorsque le consommateur a fait une offre. « Lexercice du droit de rétractation dun contrat principal à distance ou hors établissement met automatiquement fin à tout contrat accessoire, sans frais pour le consommateur autres que ceux prévus aux articles L. 121-21-3 à L. 121-21-5. « Art. L. 121-21-8.  Le droit de rétractation ne peut être exercé pour les contrats : « 1° De fourniture de services pleinement exécutés avant la fin du délai de rétractation et dont lexécution a commencé après accord préalable exprès du consommateur et renoncement exprès à son droit de rétractation ; « 2° De fourniture de biens ou de services dont le prix dépend de fluctuations sur le marché financier échappant au contrôle du professionnel et susceptibles de se produire pendant le délai de ré	http://www.senat.fr/petite-loi-ameli/2013-2014/348.html	juste		sonnet-juge-a	sonnet-juge-b		« Art. L. 121-21-8 » énumère les exceptions au droit de rétractation identiques au fonds L121-21-8.	L. 121-21-8 écrit dans la citation (cas d'exclusion du droit de rétractation) correspond mot pour mot au fonds.		2026-09-26
juste	0273864e93b6ffae	citation	suppose	oui	2707	assemblee/14-ta-ta0295.asp	1er	L423-5	code de la consommation	L423-5 (2014-03-19) — écrit par la loi du dossier, 2014-03-19 : Dans la même décision prononçant la responsabilité du professionnel, le juge fixe le délai dont disposent les consommateurs pour adhérer au groupe afin d'obtenir la réparation de leur préjudice. Ce délai ne peut être inférieur à deux mois ni supérieur à si […]	xte paritaire : 347, 348 et T.A. 77 (2013-2014). Chapitre IER Action de groupe Article 1er Le titre II du livre IV du code de la consommation est complété par un chapitre III ainsi rédigé : « Chapitre III « Action de groupe « Section 1 « Champ d’application de l’action de group	elles détenues par le professionnel. « Art. L. 423-4. – S’il juge que la responsabilité du professionnel est engagée, le juge ordonne par la même décision les mesures adaptées pour informer de cette décision les consommateurs susceptibles d’appartenir au groupe. « Les mesures de publicité de la décision sont à la charge du professionnel. Elles ne peuvent être mises en œuvre qu’une fois que la décision sur la responsabilité n’est plus susceptible de recours ordinaires ni de pourvoi en cassation. « Art. L. 423-5. – Dans la même décision prononçant la responsabilité du professionnel, le juge fixe le délai dont disposent les consommateurs pour adhérer au groupe afin d’obtenir la réparation de leur préjudice. Ce délai ne peut être inférieur à deux mois ni supérieur à six mois après l’achèvement des mesures de publicité ordonnées par lui. « Il détermine les modalités de cette adhésion et précise si les consommateurs s’adressent directement au professionnel ou par l’intermédiaire de l’associa	http://www.assemblee-nationale.fr/14/ta/ta0295.asp	juste		sonnet-juge-a	sonnet-juge-b		« Art. L. 423-5 » fixe le délai d’adhésion au groupe dans les mêmes termes que le fonds L423-5.	L. 423-5 écrit dans la citation (délai d'adhésion au groupe) correspond mot pour mot au fonds.		2026-09-26
juste	028aae4db2d1ee51	citation	suppose	oui	1211	senat/petite-loi-ameli-2012-2013-810.html	4 bis a	L121-82-2	code de la consommation	L121-82-2 (2014-03-19) — écrit par la loi du dossier, 2014-03-19 : Le titre de maître-restaurateur distingue les personnes physiques qui dirigent une entreprise exploitant un fonds de commerce de restauration ou y exercent leur activité pour la qualité de leur établissement et de leur cuisine. Il est délivré par le rep […]	u service est déterminé a posteriori. » Article 4 bis A Après la section 10 du chapitre Ier du titre II du livre Ier du code de la consommation, est insérée une section 10 bis ainsi rédigée : « Section 10 bis « Qualité et transparence dans lélaboration des plats proposés dans le	ats préparés a lieu en dehors de létablissement du professionnel, sur place sentend au sens de préparé dans les locaux de lentreprise qui commercialise le service ou le plat. « Les modalités de mise en uvre de la mention « fait maison », les conditions délaboration des plats « faits maison » et celles permettant au consommateur didentifier les plats« faits maison » et ceux qui ne le sont pas sont précisées par un décret conjoint des ministres chargés du commerce et de la consommation. « Art. L. 121-82-2.  Le titre de maître-restaurateur distingue les personnes physiques qui dirigent une entreprise exploitant un fonds de commerce de restauration ou y exercent leur activité, pour la qualité de leur établissement et de leur cuisine. « Il est délivré par le préfet du département de létablissement pour lequel le titre est demandé. « Les conditions dans lesquelles le titre de maître-restaurateur est délivré par lautorité administrative et le cahier des charges est établi sont dé	http://www.senat.fr/petite-loi-ameli/2012-2013/810.html	juste		sonnet-juge-a	sonnet-juge-b		« Art. L. 121-82-2 » définit le titre de maître-restaurateur dans les mêmes termes que le fonds L121-82-2.	L. 121-82-2 écrit dans la citation (titre de maître-restaurateur) correspond mot pour mot au fonds.		2026-09-26
juste	0337cb902c7defaf	citation	suppose	oui	3376	assemblee/13-ta-ta0451.asp	35	L534-9	code de la consommation	L534-9 (2010-07-03) — écrit par la loi du dossier, 2010-07-03 : Les commissions mentionnées aux articles L. 534-1, L. 534-4 et L. 534-7 peuvent se faire communiquer tous les renseignements ou consulter sur place tous les documents qu'elles estiment utiles à l'accomplissement de leurs missions respectives, sans que puis […]	n les règles applicables lors du prononcé de la décision de première instance. V. – (Supprimé) Article 35 (nouveau) Le code de la consommation est ainsi modifié : 1° Au deuxième alinéa de l’article L. 132-1, la référence : « L. 132-2 » est remplacée par la référence : « L. 534-1	taire et financier et par l’article L. 112-2 du code des assurances. « Art. L. 534-8. – Les commissions mentionnées aux articles L. 534-1, L. 534-4 et L. 534-7 assurent la diffusion des informations, avis et recommandations qu’elles estiment nécessaires de porter à la connaissance du public. Les informations, avis et recommandations diffusés par la commission mentionnée à l’article L. 534-1 ne peuvent contenir aucune indication de nature à permettre l’identification de situations individuelles. « Art. L. 534-9. – Les commissions mentionnées aux articles L. 534-1, L. 534-4 et L. 534-7 peuvent se faire communiquer tous les renseignements ou consulter sur place tous les documents qu’elles estiment utiles à l’accomplissement de leurs missions respectives, sans que puissent leur être opposés les articles 226-13 et 226-14 du code pénal et L. 1227-1 du code du travail. « Les présidents de ces commissions peuvent, par décision motivée, procéder ou faire procéder par les membres des commissions	http://www.assemblee-nationale.fr/13/ta/ta0451.asp	juste		sonnet-juge-a	sonnet-juge-b		« Art. L. 534-9 » sur la communication de renseignements aux commissions reprend le fonds L534-9 au mot.	L. 534-9 écrit dans la citation (pouvoirs des commissions) correspond mot pour mot au fonds.		2026-09-26
juste	0349f91b79cb3fe4	citation	suppose	oui	146	assemblee/15-ta-commission-r2454-a0.asp	4 quater d	L217-21	code de la consommation	L217-21 (2020-02-12) — écrit par la loi du dossier, 2020-02-12 : Le fabricant de biens comportant des éléments numériques informe le vendeur de la durée au cours de laquelle les mises à jour des logiciels fournis lors de l'achat du bien restent compatibles avec un usage normal de l'appareil. L'usage du bien est considé […]	ticles L. 441-2, L. 441-3 et L. 441-4 sont punis ». Article 4 quater D I. – Le chapitre VII du titre Ier du livre II du code de la consommation est complété par une section 5 ainsi rédigée : « Section 5 « Information du consommateur sur les mises à jour de logiciel « Art. L. 217-	produits est interdit. » II (nouveau). – Au début du premier alinéa de l’article L. 454-6 du code de la consommation, les mots : « Le délit prévu à l’article L. 441-2 est puni » sont remplacés par les mots : « Les délits prévus aux articles L. 441-2, L. 441-3 et L. 441-4 sont punis ». Article 4 quater D I. – Le chapitre VII du titre Ier du livre II du code de la consommation est complété par une section 5 ainsi rédigée : « Section 5 « Information du consommateur sur les mises à jour de logiciel « Art. L. 217-21. – Le fabricant d’appareils numériques informe le vendeur de la durée au cours de laquelle les mises à jour des logiciels fournis lors de l’achat du bien restent compatibles avec un usage normal de l’appareil. L’usage de l’appareil est dans ce cas considéré comme normal lorsque ses fonctionnalités répondent aux attentes légitimes du consommateur. Le vendeur met ces informations à disposition du consommateur. Les modalités d’application du présent article sont précisées par décre	http://www.assemblee-nationale.fr/15/ta-commission/r2454-a0.asp	juste		sonnet-juge-a	sonnet-juge-b		« Art. L. 217-21 » sur l’information des mises à jour de logiciel reprend le fonds L217-21.	Le fonds L. 217-21 (vérifié en base) partage la même phrase que la citation, seule la formule « fabricant d'appareils numériques » a été remplacée par « fabricant de biens comportant des éléments numériques » lors de la navette — même disposition.		2026-09-26
