verdict	cle	chambre	amendement	sort	auteur	article	formule	dossier	subdivision	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	026d32b6f5f7d507	senat	42015	Rejeté	M. LAHELLEC	L223-5	complété	JORFDOLE000051045642	Article 3	Après l’alinéa 22 Insérer un alinéa ainsi rédigé : …) Le premier alinéa de l’article L. 223‑5 est complété par les mots : « ainsi que de denrées alimentaires et de produits destinés à l’alimentation des animaux de compagnie dans le cadre d’une livraison alimentaire à domicile » ;	L223-5 (2016-07-01) Les interdictions prévues aux articles L. 223-1 et L. 223-3 ne s'appliquent pas à la prospection en vue de la fourniture de journaux, de périodiques ou de magazines.	//www.senat.fr/amendements/2024-2025/469/Amdt_51.html	juste	juste	sonnet+sonnet	agent:claude-sonnet-5	agent:claude-sonnet-5	accord des deux juges	Le dispositif complète le premier alinéa de L. 223-5 par de nouveaux mots (modification directe). L'article 3 du texte modifie aussi le code de commerce (L. 123-38-1) mais la disposition 'a ter' de ce même article 3, sous « Le code de la consommation est ainsi modifié », cite L. 223-5 avec un extrait identique au texte donné par article_du_fonds, confirmant qu'il s'agit du code de la consommation.	Article 3 PPL 469 : l'alinéa 22 du texte est exactement l'instruction « a ter) Au début du premier alinéa de l'article L. 223-5… » dans la section II (code de la consommation) ; l'amendement s'insère juste après pour compléter ce même alinéa 1 de L223-5 (exception démarchage téléphonique pour denrées alimentaires), donc modifie bien le L223-5 du code de la consommation et non l'homonyme du code de commerce (SARL).	2026-09-20
juste	0621990c2a24b2f9	senat	42026	Rejeté	M. LOZACH	L223-5	complété	JORFDOLE000051045642	Article 3	Après l’alinéa 22 Insérer un alinéa ainsi rédigé : …) Le premier alinéa de l’article L. 223-5 est complété par les mots : « ainsi que de produits mis en vente par les entreprises labellisées Entreprises du patrimoine vivant (EPV) » ;	L223-5 (2016-07-01) Les interdictions prévues aux articles L. 223-1 et L. 223-3 ne s'appliquent pas à la prospection en vue de la fourniture de journaux, de périodiques ou de magazines.	//www.senat.fr/amendements/2024-2025/469/Amdt_62.html	juste	juste	sonnet+sonnet	agent:claude-sonnet-5	agent:claude-sonnet-5	accord des deux juges	Même dispositif type que les autres amendements sur cet article 3 (JORFDOLE000051045642) : complète le premier alinéa de L. 223-5. Le comptage par pastille montre que l'alinéa 22 de l'article 3 porte déjà l'instruction « a ter) Au début du premier alinéa de l'article L. 223-5… » sous « II. – Le code de la consommation est ainsi modifié », donc L. 223-5 y désigne bien ce code, pas un homonyme du code de commerce modifié plus haut dans le même article.	Même article 3 du même texte (PPL 469) : l'alinéa 22 est l'instruction « a ter) …L. 223-5… » de la section II (code de la consommation) ; l'amendement s'insère juste après pour compléter ce même alinéa 1 de L223-5 (exception pour produits EPV), donc vise bien le L223-5 du code de la consommation.	2026-09-20
juste	0b44840e2bcf7081	senat	42065	Rejeté	M. DUPLOMB	L223-5	complété	JORFDOLE000051045642	Article 3	Après l’alinéa 22 Insérer un alinéa ainsi rédigé : …) Le premier alinéa de l’article L. 223‑5 est complété par les mots : « ainsi que de denrées alimentaires et de produits destinés à l’alimentation des animaux de compagnie dans le cadre d’une livraison alimentaire à domicile » ;	L223-5 (2016-07-01) Les interdictions prévues aux articles L. 223-1 et L. 223-3 ne s'appliquent pas à la prospection en vue de la fourniture de journaux, de périodiques ou de magazines.	//www.senat.fr/amendements/2024-2025/469/Amdt_101.html	juste	juste	sonnet+sonnet	agent:claude-sonnet-5	agent:claude-sonnet-5	accord des deux juges	Identique aux autres amendements sur l'article 3 (JORFDOLE000051045642) : insertion après l'alinéa 22, qui porte selon le comptage par pastille l'instruction sur L. 223-5 dans le bloc « Le code de la consommation est ainsi modifié ». Le dispositif complète bien cet article de ce code, pas un homonyme.	Même article 3 (PPL 469) : alinéa 22 = « a ter) …L. 223-5… » de la section II (code de la consommation) ; l'amendement s'insère juste après pour compléter le même alinéa 1 de L223-5, donc vise bien le L223-5 du code de la consommation.	2026-09-20
juste	1487784f6bb2bd27	senat	16631	Retiré	Mme LIENEMANN	L332-9	insérés	JORFDOLE000026795365	Article 22	Après l’alinéa 23 Insérer trois alinéas ainsi rédigés : ...° Après le deuxième alinéa des articles L. 332-5 et L. 332-9, sont insérés deux alinéas ainsi rédigés : « Le montant des dettes effacées correspond à celui qui a été arrêté par la commission de surendettement lors de l’établissement de l’état du passif et le cas échéant, par le juge lors de sa saisine ou le mandataire qu’il a désigné en application des dispositions de l’article L. 332-6. Le jugement de clôture précise le montant des dettes à effacer. « S’agissant des dettes locatives, après vérification des créances, le juge retient le […]	L332-9 (2003-08-02) Lorsque l'actif réalisé est suffisant pour désintéresser les créanciers, le juge prononce la clôture de la procédure. Lorsque l'actif réalisé est insuffisant pour désintéresser les créanciers ou lorsque le débiteur ne possède rien d'autre que des biens meublants nécessaires à la vie courante et des biens non profession […]	//www.senat.fr/amendements/2012-2013/423/Amdt_198.html	juste	juste	sonnet+sonnet	agent:claude-sonnet-5	agent:claude-sonnet-5	accord des deux juges	L'article 22 du texte (JORFDOLE000026795365) n'a pas de pastille ; en comptant les lignes non vides, l'alinéa 23 est le 10° du bloc « I. - Le code de la consommation est ainsi modifié », avant le « II. » (alinéa 25) sur le code de la sécurité sociale. L'insertion après l'alinéa 23 relève donc de ce même bloc I, et le dispositif insère deux alinéas après le deuxième alinéa de L. 332-5 et L. 332-9, modifiant directement ce dernier.	Article 22 PJL 423 : le bloc I. (alinéas 1-23) modifie le code de la consommation (L. 330-1 à L. 333-7) et s'arrête juste avant le II. sur le code de la sécurité sociale (alinéa 24, L. 542-7-1) ; l'amendement s'insère après l'alinéa 23, donc dans le prolongement du bloc I., et vise L. 332-5/L. 332-9 qui sont bien du code de la consommation (surendettement), cohérent avec les articles voisins déjà cités (L. 332-5-1, L. 332-11).	2026-09-20
juste	158b0c262ab42013	assemblee	4500	Adopté	M. Razzy Hammadi	L121-34-1	rédigé	JORFDOLE000027383756	ART. 5	I. - Supprimer les alinéas 70 à 77 et l’alinéa 129 ; II. – A l’alinéa 78, remplacer la référence « L. 121-20-2 » par la référence « L. 121-20-1 » ; III. – A l’alinéa 79, remplacer la référence « L. 121-20-3 » par la référence « L. 121-20-2 » ; IV. - Compléter l’article 5 par les alinéas suivants : « III. – La section 4 du même chapitre Ier est ainsi rédigé : « Section 4 « Régime d’opposition au démarchage téléphonique « Art. L. 121-34. – Le consommateur qui ne souhaite pas faire l’objet de prospection commerciale par voie téléphonique peut gratuitement s’inscrire sur une liste d’opposition au  […]	L121-34-1 (2014-06-14) Tout manquement à l'article L. 121-34 est passible d'une amende administrative dont le montant ne peut excéder 15 000 € pour une personne physique et 75 000 € pour une personne morale. L'amende est prononcée dans les conditions prévues à l'article L. 141-1-2.		juste	juste	sonnet+sonnet	agent:claude-sonnet-5	agent:claude-sonnet-5	accord des deux juges	L'article 5 du texte (JORFDOLE000027383756) s'ouvre sur « Les sections 2 et 3 du chapitre Ier du titre II du livre Ier du code de la consommation sont ainsi rédigées » : article à code unique. Le dispositif crée l'article L. 121-34-1 dont le texte reproduit mot pour mot l'article_du_fonds (amende administrative pour manquement à L. 121-34), confirmant qu'il s'agit bien de ce code.	Article 5 du texte (BTC1574) : le I. de l'article ouvre par « La section 2 du chapitre Ier du titre II du livre Ier du code de la consommation est ainsi rédigée » ; le IV de l'amendement ajoute un « III. – La section 4 du même chapitre Ier », donc du même code de la consommation, et y rédige un Art. L. 121-34-1 dont le texte est identique mot pour mot à l'article_du_fonds.	2026-09-20
juste	179475b7ab6856f2	assemblee	4384	Adopté	M. Jean-Louis Bricout	L121-106	rédigé	JORFDOLE000027383756	ART. 11	I. – Après l’alinéa 35, insérer les vingt-cinq alinéas suivants : « Section 17 « Contrats relatifs au gaz de pétrole liquéfié « Art. L. 121‑105. – Les dispositions de la présente section s’appliquent aux contrats souscrits par un consommateur ayant pour objet la fourniture de gaz de pétrole liquéfié en vrac, la mise à disposition ou la vente de matériels de stockage de gaz de pétrole liquéfié en vrac d’un poids supérieur à 50 kilogrammes, ou l’entretien de tels matériels. « Art. L. 121‑106. – Les contrats visés à l’article L. 121‑105 sont écrits, le consommateur n’étant engagé que par sa signa […]	L121-106 (2014-10-01) La présente section s'applique aux contrats souscrits par un consommateur ayant pour objet la fourniture de gaz de pétrole liquéfié en vrac, la mise à disposition ou la vente de matériels de stockage de gaz de pétrole liquéfié en vrac d'un poids supérieur à 50 kilogrammes ou l'entretien de tels matériels.		juste	juste	sonnet+sonnet	agent:claude-sonnet-5	agent:claude-sonnet-5	accord des deux juges	Le dispositif de l'amendement 4384 crée une nouvelle section 17 (Art. L. 121-105 à L. 121-111) et se termine par « les dispositions de la section 17… issues de la présente loi entrent en vigueur… » en nommant explicitement le code de la consommation dans son propre I bis. L. 121-106 y est donc bien créé dans ce code.	Le dispositif nomme lui-même le code dans son I bis : « la section 17 du chapitre Ier du titre II du livre Ier du code de la consommation ». Le contenu proposé pour l'« Art. L. 121-105 » (scope gaz de pétrole liquéfié) est mot pour mot celui de l'actuel L121-106 (2014-10-01) ; la BDD montre qu'un L121-105 différent existait déjà (livraison/voiturier, 2014-03-19), ce qui explique le décalage de numérotation d'un cran entre le texte proposé et l'article finalement codifié — l'amendement crée bien l'actuel L121-106 du code de la consommation.	2026-09-20
juste	198c559a79b3cbc9	senat	42056	Adopté	M. VERZELEN	L223-2	rédigé	JORFDOLE000051045642	Article 3	Alinéa 21 Remplacer cet alinéa par trois alinéas ainsi rédigés : a bis) L’article L. 223‑2 est ainsi rédigé : « Art. L. 223‑2 . – Lorsqu’un professionnel est amené à recueillir les données téléphoniques d’un consommateur, il informe celui‑ci que, en l’absence d’un contrat en cours d’exécution, toute sollicitation téléphonique effectuée à des fins commerciales suppose son consentement préalable. Lorsque ce recueil de données téléphoniques se fait à l’occasion de la conclusion d’un contrat, le contrat mentionne, de manière claire et compréhensible, qu’il est interdit de démarcher téléphoniquemen […]	L223-2 (2016-07-01) Lorsqu'un professionnel est amené à recueillir auprès d'un consommateur des données téléphoniques, il l'informe de son droit à s'inscrire sur la liste d'opposition au démarchage téléphonique. Lorsque ce recueil d'information se fait à l'occasion de la conclusion d'un contrat, le contrat mentionne, de manière claire et  […]	//www.senat.fr/amendements/2024-2025/469/Amdt_92.html	juste	juste	sonnet+sonnet	agent:claude-sonnet-5	agent:claude-sonnet-5	accord des deux juges	Le comptage par pastille montre que l'alinéa 21 de l'article 3 (JORFDOLE000051045642) est « a bis) Les articles L. 223-2 à L. 223-4 sont abrogés » sous « II. – Le code de la consommation est ainsi modifié ». Le dispositif complet de l'amendement 42056 remplace cet alinéa par « a bis) L'article L. 223-2 est ainsi rédigé : … », ce qui réécrit directement cet article de ce code.	Article 3 PPL 469 : l'alinéa 21 du texte est l'instruction « a bis) Les articles L. 223-2 à L. 223-4 sont abrogés » dans la section II (code de la consommation) ; l'amendement remplace cet alinéa par une nouvelle rédaction complète de L. 223-2, donc reste dans le même bloc « code de la consommation » et modifie bien L223-2 de ce code.	2026-09-20
juste	1ab3c930159e200f	assemblee	4066	Adopté	M. Razzy Hammadi	L121-30	modifié	JORFDOLE000027383756	ART. 5	Rédiger ainsi l’alinéa 173 : « 7° L’article L. 121‑20‑13, dans sa rédaction antérieure à la présente loi, devient l’article L. 121‑30 et le I est ainsi modifié : ».	L121-30 (2014-06-14) I.-Les contrats pour lesquels s'applique le délai de rétractation mentionné à l'article L. 121-29 ne peuvent recevoir de commencement d'exécution par les parties avant l'arrivée du terme de ce délai sans l'accord du consommateur. Lorsque celui-ci exerce son droit de rétractation, il ne peut être tenu qu'au paiement pro […]		juste	juste	sonnet+sonnet	agent:claude-sonnet-5	agent:claude-sonnet-5	accord des deux juges	L'article 5 (JORFDOLE000027383756) ne modifie que le code de la consommation (« Les sections 2 et 3… du code de la consommation sont ainsi rédigées »). Le dispositif fait devenir l'ancien L. 121-20-13 le nouvel article L. 121-30 et modifie son I, ce qui crée/modifie directement cet article, conforme à l'article_du_fonds daté du même texte (2014-06-14).	Article 5 (BTC1574), alinéa 173 : c'est l'item 7° de la série de renumérotations L. 121-20-1x → L. 121-2x/L. 121-3x du code de la consommation (encadré par les items 5°, 6°, 8°, 9° voisins tous sur le même code) ; l'amendement réécrit cet alinéa pour corriger sa formulation mais vise bien le même article L. 121-30 du code de la consommation.	2026-09-20
juste	1d8e719af8458857	assemblee	4384	Adopté	M. Jean-Louis Bricout	L121-110	rédigé	JORFDOLE000027383756	ART. 11	I. – Après l’alinéa 35, insérer les vingt-cinq alinéas suivants : « Section 17 « Contrats relatifs au gaz de pétrole liquéfié « Art. L. 121‑105. – Les dispositions de la présente section s’appliquent aux contrats souscrits par un consommateur ayant pour objet la fourniture de gaz de pétrole liquéfié en vrac, la mise à disposition ou la vente de matériels de stockage de gaz de pétrole liquéfié en vrac d’un poids supérieur à 50 kilogrammes, ou l’entretien de tels matériels. « Art. L. 121‑106. – Les contrats visés à l’article L. 121‑105 sont écrits, le consommateur n’étant engagé que par sa signa […]	L121-110 (2014-10-01) Tout projet de modification des conditions contractuelles à l'initiative du professionnel est communiqué par écrit par ce professionnel au consommateur au moins un mois avant son entrée en vigueur, assorti de l'information, énoncée de manière claire, précise et visible, selon laquelle ce dernier peut, tant qu'il n'a pa […]		juste	juste	sonnet+sonnet	agent:claude-sonnet-5	agent:claude-sonnet-5	accord des deux juges	Même dispositif que pour L. 121-106 (amendement 4384) : crée la section 17 avec les articles L. 121-105 à L. 121-111, et le I bis du dispositif nomme explicitement le code de la consommation. L. 121-110 y est donc bien créé dans ce code, pas un homonyme.	Même amendement 4384 que L121-106 : le I bis du dispositif nomme explicitement « la section 17 du chapitre Ier du titre II du livre Ier du code de la consommation ». Le texte proposé pour l'« Art. L. 121-109 » (préavis d'un mois, résiliation sans pénalité) correspond mot pour mot à l'actuel L121-110 (2014-10-01), avec le même décalage de numérotation d'un cran déjà vérifié pour L121-106/105.	2026-09-20
juste	27bae21e3badcfc3	senat	21338	Non soutenu	M. CADIC	L121-16-1	modifié	JORFDOLE000029134377	Article 34	Après l’alinéa 4 Insérer quatre alinéas ainsi rédigés : ...) L’article L. 121‑16‑1 est ainsi modifié : - Le I est complété par un alinéa ainsi rédigé : « 12° Les contrats ayant pour objet la construction, l’acquisition ou le transfert de biens immobiliers, ainsi que ceux relatifs à des droits portant sur des biens immobiliers ou à la location de biens à usage d’habitation principale. » ; - Le II est abrogé ;	L121-16-1 (2014-06-14) I.-Sont exclus du champ d'application de la présente section : 1° Les contrats portant sur les services sociaux, y compris le logement social, l'aide à l'enfance et aux familles, à l'exception des services à la personne mentionnés à l'article L. 7231-1 du code du travail ; 2° Les contrats portant sur les services de sa […]	//www.senat.fr/amendements/2014-2015/60/Amdt_27.html	juste	juste	sonnet+sonnet	agent:claude-sonnet-5	agent:claude-sonnet-5	accord des deux juges	L'article 34 du texte (JORFDOLE000029134377) est entièrement « Le code de la consommation est ainsi modifié » ; l'insertion se fait après l'alinéa 4, qui correspond à « 2° La section 2 du chapitre Ier du titre II du livre Ier est ainsi modifiée », donc dans ce même bloc. Le dispositif modifie directement le I et abroge le II de L. 121-16-1, dans ce code.	Article 34 du texte (petite loi 2014-2015-60) : alinéa 1 pose « Le code de la consommation est ainsi modifié » et l'alinéa 4 est « 2° La section 2 du chapitre Ier du titre II du livre Ier est ainsi modifiée » ; L. 121-16-1 fait bien partie de cette section 2 (vu à l'article 5 du même texte, qui la nomme explicitement code de la consommation) ; l'amendement s'insère juste après l'alinéa 4, dans ce même bloc, et modifie donc L121-16-1 du code de la consommation.	2026-09-20
