verdict	cle	chambre	amendement	sort	auteur	dossier	article	segment	longueur_fenetre	vise	nb_segments_fenetre	fenetre	dispositif	segment_texte	url
juste	98e1a93b47d5d27d	senat	661 rect.	Adopté	LE GOUVERNEMENT	JORFDOLE000027383756	L218-1	LEGIARTI000028748371:4	60	oui	2	e contrôle des opérations faisant appel à l'informatique, il	Après l’article 37 Insérer un article additionnel ainsi rédigé : L'article L. 218-1 du code de la consommation est ainsi modifié : 1° Au premier alinéa, les mots : « , en présence de l’occupant des lieux ou de son représentant, » et les mots : « auprès du professionnel, qui est tenu de les fournir, » sont supprimés ; 2° Il est ajouté trois alinéas ainsi rédigés : « Les agents peuvent exiger la com […]	Pour le contrôle des opérations faisant appel à l'informatique, ils ont accès aux logiciels et aux données stockées ainsi qu'à la restitution en clair des informations propres à faciliter l'accomplissement de leurs missions. Ils peuvent en demander la transcription par tout traitement approprié dans des documents directement utilisables pour les besoins du contrôle.	//www.senat.fr/amendements/2012-2013/810/Amdt_661.html
juste	996515b9e4718c42	assemblee	391	Adopté	Mme Catherine Vautrin	JORFDOLE000027383756	L113-8	LEGIARTI000028742316:0	60	sans visée	1	s taxes et redevances individualisées et affichées comme tel	Après l’alinéa 18, insérer les deux alinéas suivants : « II bis. – Après le premier alinéa du même article, est inséré un alinéa ainsi rédigé : « Les transporteurs aériens remboursent, sans frais, les taxes et redevances individualisées et affichées comme telles dans le prix du titre de transport dont l’exigibilité procède de l’embarquement effectif du passager, lorsque le titre de transport n’est […]	Les transporteurs aériens et les personnes physiques ou morales commercialisant des titres de transport aérien remboursent les taxes et redevances individualisées et affichées comme telles dans le prix du titre qu'ils ont vendu, dont l'exigibilité procède de l'embarquement effectif du passager, lorsque le titre n'est plus valide et n'a pas donné lieu à transport. Ce remboursement intervient au plu […]	
juste	999c1976a211f85c	senat	1238 rect.	Adopté	LE GOUVERNEMENT	JORFDOLE000029589477	L141-1	LEGIARTI000031932457:38	60	sans visée	1	ode de la santé publique et des dispositions complémentaires	A. – Alinéa 1 Remplacer cet alinéa par dix‑huit alinéas ainsi rédigés : I. – Le code de la santé publique est ainsi modifié : 1° L’article L. 1111‑3 est ainsi rédigé : « Art. L. 1111‑3. – Toute personne a droit à une information sur les frais auxquels elle pourrait être exposée à l’occasion d’activités de prévention, de diagnostic et de soins et, le cas échéant, sur les conditions de leur prise en […]	17° Des articles L. 1111-3 et L. 1111-3-2 à L. 1111-3-5 du code de la santé publique et des dispositions complémentaires prises pour leur application.	//www.senat.fr/amendements/2014-2015/654/Amdt_1238.html
juste	9a976b5963b7916f	senat	98 rect.	Adopté	M. RIETMANN	JORFDOLE000043701629	L412-11	LEGIARTI000044224587:0	60	sans visée	1	s les établissements titulaires d'une licence de débit de bo	I. – Alinéa 4 Remplacer cet alinéa par quatre alinéas ainsi rédigés : b) Les deuxième à avant-dernier alinéas sont ainsi rédigés : « Le consommateur est informé, au moyen de l’étiquetage, de l’origine du cacao des produits à base de cacao et de chocolat et de l’origine de la gelée royale. « Il est également informé de tous les pays d’origine des miels composant un mélange de miels en provenance de […]	Dans les établissements titulaires d'une licence de débit de boissons à consommer sur place ou à emporter ou d'une licence de restaurant, les consommateurs sont informés, par un affichage lisible sur les menus, les cartes des vins ou tout autre support, de la provenance et, le cas échéant, de la dénomination de l'appellation d'origine protégée ou de l'indication géographique protégée des vins mis  […]	//www.senat.fr/amendements/2020-2021/829/Amdt_98.html
juste	9ab4754d2b287438	assemblee	2	Adopté	M. Razzy Hammadi	JORFDOLE000027383756	L121-34	LEGIARTI000028747663:1	60	oui	1	est interdit à un professionnel, directement ou par l'inter	I. - Supprimer les alinéas 70 à 77 et l’alinéa 129 ; II. – A l’alinéa 78, remplacer la référence « L. 121-20-2 » par la référence « L. 121-20-1 » ; III. – A l’alinéa 79, remplacer la référence « L. 121-20-3 » par la référence « L. 121-20-2 » ; IV. - Compléter l’article 5 par les alinéas suivants : « III. – La section 4 du même chapitre Ier est ainsi rédigé : « Section 4 « Régime d’opposition au dé […]	Il est interdit à un professionnel, directement ou par l'intermédiaire d'un tiers agissant pour son compte, de démarcher téléphoniquement un consommateur inscrit sur cette liste, sauf en cas de relations contractuelles préexistantes.	
juste	9b11ea6f8f3b7136	assemblee	2	Adopté	M. Razzy Hammadi	JORFDOLE000027383756	L121-34	LEGIARTI000028747663:7	60	oui	1	présent article s'applique sans préjudice des articles 38 à	I. - Supprimer les alinéas 70 à 77 et l’alinéa 129 ; II. – A l’alinéa 78, remplacer la référence « L. 121-20-2 » par la référence « L. 121-20-1 » ; III. – A l’alinéa 79, remplacer la référence « L. 121-20-3 » par la référence « L. 121-20-2 » ; IV. - Compléter l’article 5 par les alinéas suivants : « III. – La section 4 du même chapitre Ier est ainsi rédigé : « Section 4 « Régime d’opposition au dé […]	Le présent article s'applique sans préjudice des articles 38 à 40 de la loi n° 78-17 du 6 janvier 1978 relative à l'informatique, aux fichiers et aux libertés.	
juste	9e9b083c21e3dca6	senat	616	Adopté	LE GOUVERNEMENT	JORFDOLE000027383756	L215-2-2	LEGIARTI000028748385:0	60	oui, par renumérotation	2	es agents mentionnés à l'article l. 215-1 sont habilités à r	A. - Alinéa 18 Remplacer cet alinéa par deux alinéas ainsi rédigés : IV - L’article L. 215-2-4 du code de la consommation est ainsi rédigé : « Art. L. 215-2-4. - Les agents mentionnés à l'article L. 215-1 sont habilités à rechercher et à constater, dans les conditions prévues au présent livre, les infractions aux dispositions du chapitre VII du titre V du livre V du code de l'environnement lorsqu' […]	Les agents mentionnés à l'article L. 215-1 sont habilités à rechercher et à constater, dans les conditions prévues au présent livre, les infractions à la loi n° 2010-729 du 30 juin 2010 tendant à suspendre la commercialisation de tout conditionnement comportant du bisphénol A et destiné à recevoir des produits alimentaires.	//www.senat.fr/amendements/2012-2013/810/Amdt_616.html
juste	9f8fd853eb1e5fbc	senat	174	Adopté	M. COINTAT	JORFDOLE000027383756	L311-8-1	LEGIARTI000028748057:0	60	oui	1	pour un montant supérieur à un seuil fixé par décret, le pr	Alinéa 2 Rédiger ainsi cet alinéa : « Art. L. 311-8-1 - Lorsqu'un consommateur se voit proposer une offre de crédit renouvelable pour un montant supérieur à un seuil fixé par décret, le prêteur, l'établissement de crédit ou l'intermédiaire de crédit est tenu d'accompagner systématiquement cette offre de crédit renouvelable d'une offre de crédit amortissable, selon des modalités définies par arrêté […]	Lorsqu'un consommateur se voit proposer, sur le lieu de vente ou par un moyen de vente de biens ou de services à distance, un contrat de crédit renouvelable pour financer l'achat de biens ou de prestations de services particuliers pour un montant supérieur à un seuil fixé par décret, le prêteur ou l'intermédiaire de crédit accompagne l'offre de crédit renouvelable d'une proposition de crédit amort […]	//www.senat.fr/amendements/2013-2014/283/Amdt_174.html
juste	9ff18b9c2678c466	assemblee	30	Adopté	M. Jean-Louis Bricout	JORFDOLE000027383756	L121-111	LEGIARTI000028741268:1	60	sans visée	2	mmes versées par le consommateur au titre d'un dépôt de gara	I. – Après l’alinéa 35, insérer les vingt-cinq alinéas suivants : « Section 17 « Contrats relatifs au gaz de pétrole liquéfié « Art. L. 121‑105. – Les dispositions de la présente section s’appliquent aux contrats souscrits par un consommateur ayant pour objet la fourniture de gaz de pétrole liquéfié en vrac, la mise à disposition ou la vente de matériels de stockage de gaz de pétrole liquéfié en v […]	Les sommes versées par le consommateur au titre d'un dépôt de garantie lui sont restituées par le professionnel au plus tard dans un délai de trente jours à compter de la reprise par ce dernier de l'objet garanti, qui est effectuée au plus tard dans un délai de trois mois à compter de la résiliation du contrat.	
juste	a19bd04d4a2d9b19	assemblee	637	Adopté	M. Razzy Hammadi	JORFDOLE000027383756	L311-17-1	LEGIARTI000028748091:0	60	sans visée	1	soit à un compte de dépôt et à un crédit renouvelable, soit	Au premier alinéa de l’article L. 311‑17‑1 du code de la consommation, les mots : « à la fois à un compte de dépôt et à un crédit renouvelable », sont remplacés par les mots : « soit à un compte de dépôt et à un crédit renouvelable, soit à un compte de paiement et à un crédit renouvelable ».	Lorsqu'une carte de paiement émise par un établissement de crédit est associée soit à un compte de dépôt et à un crédit renouvelable, soit à un compte de paiement et à un crédit renouvelable, l'utilisation du crédit doit résulter de l'accord exprès du consommateur exprimé lors du paiement avec la carte ou dans un délai raisonnable, à réception de l'état actualisé de l'exécution du contrat de crédi […]	
