verdict	cle	chambre	amendement	sort	auteur	article	formule	dossier	subdivision	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
faux	01e47f55d1e61b87	assemblee	3661	Rejeté	M. Frédéric Lefebvre	L423-24	rédigé	JORFDOLE000027383756	ART. PREMIER	Rédiger ainsi cet article : Le titre II du livre IV du code de la consommation est complété par un chapitre III ainsi rédigé : « Chapitre III « L’action en réparation des préjudices de consommation « Section 1 « Champ d’application « Art. L. 423‑1. – L’action en réparation des préjudices de consommation a pour objet la réparation du préjudice matériel subi par un nombre significatif de consommateurs, personnes physiques, ayant contracté avec un même professionnel pour la vente d’un produit ou la fourniture d’un service et se trouvant dans des situations de droit ou de fait identiques ou simila […]	L423-24 (2014-03-19) Toute association de défense des consommateurs représentative au niveau national et agréée en application de l'article L. 411-1 peut demander au juge, à compter de sa saisine en application de l'article L. 423-1 et à tout moment, sa substitution dans les droits de l'association requérante, en cas de défaillance de cett […]		juste	faux	sonnet (arbitrage)	agent:claude-sonnet-5	agent:claude-sonnet-5	L'amendement 3661 réécrit tout l'article 1er selon son propre plan (« Rédiger ainsi cet article »), sans ancrage sur les alinéas du texte. Son « Art. L. 423-16 » écrit la règle du titre exécutoire (jugement devenu titre exécutoire) ; l'article L423-24 promulgué porte sur la substitution de l'association requérante défaillante — deux dispositions sans rapport, coïncidence de plan.	L'amendement 3661 (rédaction alternative de tout l'ART. PREMIER) écrit « Art. L. 423-16. – Lorsqu'il acquiert la force exécutoire... » ; dans le texte en discussion (r1156), le même numéro L. 423-16 porte exactement ce contenu (« Toute association de défense des consommateurs... sa substitution dans les droits de l'association requérante »), identique mot pour mot à la première version de L423-24 en base. La place désignée par le numéro écrit est donc bien devenue L423-24.	Le dispositif de l'amendement 3661 (rejeté) ne rédige que les articles L.423-1 à L.423-17 selon sa propre numérotation ; aucun n'évoque la substitution d'une association défaillante, objet propre de L.423-24 promulgué (« sa substitution dans les droits de l'association requérante, en cas de défaillance »). Ni le numéro écrit ni le fond ne correspondent à la place devenue L.423-24.	2026-09-20
faux	05d016d55b94a03e	assemblee	3661	Rejeté	M. Frédéric Lefebvre	L423-17	rédigé	JORFDOLE000027383756	ART. PREMIER	Rédiger ainsi cet article : Le titre II du livre IV du code de la consommation est complété par un chapitre III ainsi rédigé : « Chapitre III « L’action en réparation des préjudices de consommation « Section 1 « Champ d’application « Art. L. 423‑1. – L’action en réparation des préjudices de consommation a pour objet la réparation du préjudice matériel subi par un nombre significatif de consommateurs, personnes physiques, ayant contracté avec un même professionnel pour la vente d’un produit ou la fourniture d’un service et se trouvant dans des situations de droit ou de fait identiques ou simila […]	L423-17 (2014-03-19) Lorsque les manquements reprochés au professionnel portent sur le respect des règles définies au titre II du livre IV du code de commerce ou des articles 101 et 102 du traité sur le fonctionnement de l'Union européenne, la responsabilité du professionnel ne peut être prononcée dans le cadre de l'action mentionnée à l'a […]		juste	faux	sonnet (arbitrage)	agent:claude-sonnet-5	agent:claude-sonnet-5	L'amendement 3661 réécrit l'article 1er en entier selon son propre plan. Son « Art. L. 423-10 » donne au ministre le pouvoir de demander réparation et cessation des pratiques ; L423-17 promulgué limite la responsabilité du professionnel pour manquements au titre II du livre IV du code de commerce ou aux articles 101-102 TFUE — sujets distincts, coïncidence de numéro de plan.	L'amendement 3661 rédige « Art. L. 423-10. – Lors de cette action, le ministre... » ; dans le texte en discussion (r1156), l'article L. 423-10 porte « Lorsque les manquements reprochés au professionnel... portent sur le respect des règles définies au titre II du livre IV du code de commerce... », dont la substance se retrouve dans la première version de L423-17 en base. La place que désigne ce numéro dans le texte amendé est bien devenue L423-17.	Le texte r1156 (BTC1156) numérote lui-même « Art. L. 423-10 » sa disposition sur la concurrence, devenue L423-17 promulgué. Or l'amendement 3661, qui réécrit tout l'article 1er selon son propre plan, appelle « Art. L. 423-10 » une disposition sur la réparation demandée par le ministre et la cessation des pratiques illicites — sans rapport avec la concurrence ni avec L423-17.	2026-09-20
faux	24fe58d69e4e14b0	assemblee	3661	Rejeté	M. Frédéric Lefebvre	L423-22	rédigé	JORFDOLE000027383756	ART. PREMIER	Rédiger ainsi cet article : Le titre II du livre IV du code de la consommation est complété par un chapitre III ainsi rédigé : « Chapitre III « L’action en réparation des préjudices de consommation « Section 1 « Champ d’application « Art. L. 423‑1. – L’action en réparation des préjudices de consommation a pour objet la réparation du préjudice matériel subi par un nombre significatif de consommateurs, personnes physiques, ayant contracté avec un même professionnel pour la vente d’un produit ou la fourniture d’un service et se trouvant dans des situations de droit ou de fait identiques ou simila […]	L423-22 (2014-03-19) L'adhésion au groupe ne fait pas obstacle au droit d'agir selon les voies de droit commun pour obtenir la réparation des préjudices n'entrant pas dans le champ défini par la décision du juge mentionnée à l'article L. 423-3 ou d'un accord homologué en application de l'article L. 423-16.		juste	faux	sonnet (arbitrage)	agent:claude-sonnet-5	agent:claude-sonnet-5	L'amendement 3661 réécrit tout l'article 1er avec son propre plan. Son « Art. L. 423-14 » fixe les conditions d'allocation des dommages-intérêts par le jugement ; L423-22 promulgué préserve le droit d'agir individuellement hors du champ de la décision de groupe — dispositions différentes, la place ne coïncide pas au fond.	L'amendement 3661 rédige « Art. L. 423-14. – Le jugement prévoit les conditions... » ; dans le texte en discussion (r1156), L. 423-14 porte « L'adhésion au groupe ne fait pas obstacle au droit d'agir selon les voies de droit commun... », identique (avec un renvoi ajouté) à la première version de L423-22 en base. La place est bien devenue L423-22.	Dans r1156, « Art. L. 423-14 » (« L'adhésion au groupe ne fait pas obstacle... ») est devenu L423-22 promulgué. L'amendement 3661 appelle « Art. L. 423-14 » une tout autre disposition, sur les conditions d'allocation des dommages-intérêts par le jugement : aucun rapport avec l'adhésion au groupe ni avec L423-22.	2026-09-20
faux	4ec3cbeee38eafc1	assemblee	4495	Non soutenu	M. Frédéric Lefebvre	L423-22	rédigé	JORFDOLE000027383756	ART. PREMIER	Rédiger ainsi cet article : « Le titre II du livre IV du code de la consommation est complété par un chapitre III ainsi rédigé : « Chapitre III « L’action en réparation des préjudices de consommation « Section 1 « Champ d’application « Art. L. 423‑1. – L’action en réparation des préjudices de consommation a pour objet la réparation du préjudice matériel subi par un nombre significatif de consommateurs, personnes physiques, ayant contracté avec un même professionnel pour la vente d’un produit ou la fourniture d’un service et se trouvant dans des situations de droit ou de fait identiques ou simi […]	L423-22 (2014-03-19) L'adhésion au groupe ne fait pas obstacle au droit d'agir selon les voies de droit commun pour obtenir la réparation des préjudices n'entrant pas dans le champ défini par la décision du juge mentionnée à l'article L. 423-3 ou d'un accord homologué en application de l'article L. 423-16.		juste	faux	sonnet (arbitrage)	agent:claude-sonnet-5	agent:claude-sonnet-5	L'amendement 4495 (même auteur, même rédaction que 3661) réécrit l'article 1er en entier selon son propre plan. Son « Art. L. 423-14 » fixe les conditions d'allocation des dommages-intérêts ; L423-22 promulgué porte sur le droit d'agir individuellement — sans rapport de fond.	L'amendement 4495 rédige « Art. L. 423-14. – Le jugement prévoit les conditions... » ; dans le texte en discussion (r1574, deuxième lecture, article « (Non modifié) »), L. 423-14 porte mot pour mot « L'adhésion au groupe ne fait pas obstacle au droit d'agir selon les voies de droit commun... ou d'un accord homologué en application de l'article L. 423-9 », identique à la première version de L423-22 en base (renvoi L423-9→L423-16 mis à part). La place est bien devenue L423-22.	Dans r1574 (BTC1574), « Art. L. 423-14 » (« L'adhésion au groupe ne fait pas obstacle... ») est devenu L423-22 promulgué. L'amendement 4495, qui réécrit tout l'article 1er selon son propre plan ministériel, appelle « Art. L. 423-14 » les conditions d'allocation des dommages-intérêts par le jugement : sujet différent, sans rapport avec L423-22.	2026-09-20
juste	4fe33447b2dfa0fe	assemblee	3701	Adopté	M. Razzy Hammadi	L423-21	rédigé	JORFDOLE000027383756	ART. PREMIER	I. - Compléter l’alinéa 46 par les mots : « ou L. 423‑4‑1 ». II. - En conséquence, à l'alinéa 47, après la référence : « L. 423‑3 », insérer les mots : « ou de l’article L. 423‑4‑1 ». III. - En conséquence, rédiger ainsi le début de l’alinéa 48 : « Art. L. 423‑13. – Les décisions prévues aux articles L. 423‑3 et L. 423‑4‑1 ainsi que celle résultant... (le reste sans changement) ».	L423-21 (2014-03-19) Les décisions prévues aux articles L. 423-3 et L. 423-10 ainsi que celle résultant de l'application de l'article L. 423-16 ont également autorité de la chose jugée à l'égard de chacun des membres du groupe dont le préjudice a été réparé au terme de la procédure.		juste	juste	sonnet+sonnet	agent:claude-sonnet-5	agent:claude-sonnet-5	accord des deux juges	L'amendement 3701 (adopté) rédige le début de l'alinéa 48 du texte en discussion (r1156), qui porte « Art. L. 423-13. – » : « le reste sans changement » renvoie à la suite du texte de la commission à ce même numéro, dont la substance (« Les décisions prévues aux articles L. 423-3 et L. 423-10 ainsi que celle résultant de l'application de l'article L. 423-16 ont également autorité de la chose jugée... ») correspond mot pour mot à la première version de L423-21 en base.	Dans le texte r1156 sur lequel l'amendement 3701 (adopté) est déposé, les alinéas 46 à 48 comptent l'article « Art. L. 423-12 » (prescription) puis « Art. L. 423-13 » (chose jugée à l'égard des membres du groupe) : l'amendement en réécrit précisément le début, en insérant la référence L.423-4-1. Le contenu de L423-13 ainsi amendé (« décisions ... ont également autorité de la chose jugée à l'égard de chacun des membres du groupe... ») est, au fond, celui du L423-21 promulgué.	2026-09-20
faux	6a225e8a13d28b9f	assemblee	4495	Non soutenu	M. Frédéric Lefebvre	L423-23	rédigé	JORFDOLE000027383756	ART. PREMIER	Rédiger ainsi cet article : « Le titre II du livre IV du code de la consommation est complété par un chapitre III ainsi rédigé : « Chapitre III « L’action en réparation des préjudices de consommation « Section 1 « Champ d’application « Art. L. 423‑1. – L’action en réparation des préjudices de consommation a pour objet la réparation du préjudice matériel subi par un nombre significatif de consommateurs, personnes physiques, ayant contracté avec un même professionnel pour la vente d’un produit ou la fourniture d’un service et se trouvant dans des situations de droit ou de fait identiques ou simi […]	L423-23 (2014-03-19) N'est pas recevable l'action prévue à l'article L. 423-1 lorsqu'elle se fonde sur les mêmes faits, les mêmes manquements et la réparation des mêmes préjudices que ceux ayant déjà fait l'objet du jugement prévu à l'article L. 423-3 ou d'un accord homologué en application de l'article L. 423-16.		juste	faux	sonnet (arbitrage)	agent:claude-sonnet-5	agent:claude-sonnet-5	L'amendement 4495 réécrit l'article 1er en entier, plan propre. Son « Art. L. 423-15 » limite l'autorité de la chose jugée aux seuls consommateurs demandeurs ; L423-23 promulgué rend irrecevable une nouvelle action fondée sur les mêmes faits déjà jugés — même thème (chose jugée) mais règle distincte, pas la même disposition.	L'amendement 4495 rédige « Art. L. 423-15. – Le jugement a autorité de la chose jugée... » ; dans le texte en discussion (r1574, « Non modifié »), L. 423-15 porte mot pour mot « N'est pas recevable l'action prévue à l'article L. 423-1 lorsqu'elle se fonde sur les mêmes faits, les mêmes manquements et la réparation des mêmes préjudices... », identique à la première version de L423-23 en base. La place est bien devenue L423-23.	Dans r1574, « Art. L. 423-15 » (« N'est pas recevable l'action... ») est devenu L423-23 promulgué. L'amendement 4495 appelle « Art. L. 423-15 » une disposition différente sur l'autorité de la chose jugée limitée aux seuls consommateurs demandeurs de réparation : ce n'est pas la règle de non-recevabilité des actions redondantes qu'est devenue L423-23.	2026-09-20
faux	808e88ee27bf680f	assemblee	4495	Non soutenu	M. Frédéric Lefebvre	L423-18	rédigé	JORFDOLE000027383756	ART. PREMIER	Rédiger ainsi cet article : « Le titre II du livre IV du code de la consommation est complété par un chapitre III ainsi rédigé : « Chapitre III « L’action en réparation des préjudices de consommation « Section 1 « Champ d’application « Art. L. 423‑1. – L’action en réparation des préjudices de consommation a pour objet la réparation du préjudice matériel subi par un nombre significatif de consommateurs, personnes physiques, ayant contracté avec un même professionnel pour la vente d’un produit ou la fourniture d’un service et se trouvant dans des situations de droit ou de fait identiques ou simi […]	L423-18 (2014-03-19) L'action prévue à l'article L. 423-1 ne peut être engagée au-delà d'un délai de cinq ans à compter de la date à laquelle la décision mentionnée à l'article L. 423-17 n'est plus susceptible de recours.		juste	faux	sonnet (arbitrage)	agent:claude-sonnet-5	agent:claude-sonnet-5	L'amendement 4495 réécrit l'article 1er en entier, plan propre. Son « Art. L. 423-11 » donne à l'association le droit d'intervenir à l'instance ; L423-18 promulgué fixe le délai de prescription de cinq ans de l'action — dispositions sans rapport, coïncidence de place.	L'amendement 4495 rédige « Art. L. 423-11. – L'association mentionnée à l'article L. 423-3 peut intervenir... » ; dans le texte en discussion (r1574, « Non modifié »), L. 423-11 porte mot pour mot « L'action prévue à l'article L. 423-1 ne peut être engagée au-delà d'un délai de cinq ans... », identique à la première version de L423-18 en base. La place est bien devenue L423-18.	Dans r1574, « Art. L. 423-11 » (« L'action ... ne peut être engagée au-delà d'un délai de cinq ans... ») est devenu L423-18 promulgué. L'amendement 4495 appelle « Art. L. 423-11 » une disposition différente, sur le droit d'intervention de l'association à l'instance : sans rapport avec le délai de cinq ans ni avec L423-18.	2026-09-20
faux	81849b35424d80dc	assemblee	3661	Rejeté	M. Frédéric Lefebvre	L423-18	rédigé	JORFDOLE000027383756	ART. PREMIER	Rédiger ainsi cet article : Le titre II du livre IV du code de la consommation est complété par un chapitre III ainsi rédigé : « Chapitre III « L’action en réparation des préjudices de consommation « Section 1 « Champ d’application « Art. L. 423‑1. – L’action en réparation des préjudices de consommation a pour objet la réparation du préjudice matériel subi par un nombre significatif de consommateurs, personnes physiques, ayant contracté avec un même professionnel pour la vente d’un produit ou la fourniture d’un service et se trouvant dans des situations de droit ou de fait identiques ou simila […]	L423-18 (2014-03-19) L'action prévue à l'article L. 423-1 ne peut être engagée au-delà d'un délai de cinq ans à compter de la date à laquelle la décision mentionnée à l'article L. 423-17 n'est plus susceptible de recours.		juste	faux	sonnet (arbitrage)	agent:claude-sonnet-5	agent:claude-sonnet-5	L'amendement 3661 réécrit l'article 1er en entier, plan propre. Son « Art. L. 423-11 » donne à l'association le droit d'intervention à l'instance (préjudice à l'intérêt collectif) ; L423-18 promulgué fixe le délai de prescription de cinq ans — sans rapport de fond, coïncidence de numéro.	L'amendement 3661 rédige « Art. L. 423-11. – L'association mentionnée à l'article L. 423-3 peut intervenir... » ; dans le texte en discussion (r1156), L. 423-11 porte « L'action prévue à l'article L. 423-1 ne peut être engagée au-delà d'un délai de cinq ans à compter de la décision devenue définitive mentionnée à l'article L. 423-10 », identique (renvoi renuméroté mis à part) à la première version de L423-18 en base. La place est bien devenue L423-18.	Dans r1156, « Art. L. 423-11 » (« L'action ... ne peut être engagée au-delà d'un délai de cinq ans... ») est devenu L423-18 promulgué. L'amendement 3661 appelle « Art. L. 423-11 » une disposition différente, sur le droit d'intervention de l'association à l'instance : sans rapport avec le délai de cinq ans ni avec L423-18.	2026-09-20
faux	81f144f18df9b934	assemblee	4495	Non soutenu	M. Frédéric Lefebvre	L423-17	rédigé	JORFDOLE000027383756	ART. PREMIER	Rédiger ainsi cet article : « Le titre II du livre IV du code de la consommation est complété par un chapitre III ainsi rédigé : « Chapitre III « L’action en réparation des préjudices de consommation « Section 1 « Champ d’application « Art. L. 423‑1. – L’action en réparation des préjudices de consommation a pour objet la réparation du préjudice matériel subi par un nombre significatif de consommateurs, personnes physiques, ayant contracté avec un même professionnel pour la vente d’un produit ou la fourniture d’un service et se trouvant dans des situations de droit ou de fait identiques ou simi […]	L423-17 (2014-03-19) Lorsque les manquements reprochés au professionnel portent sur le respect des règles définies au titre II du livre IV du code de commerce ou des articles 101 et 102 du traité sur le fonctionnement de l'Union européenne, la responsabilité du professionnel ne peut être prononcée dans le cadre de l'action mentionnée à l'a […]		juste	faux	sonnet (arbitrage)	agent:claude-sonnet-5	agent:claude-sonnet-5	L'amendement 4495 réécrit l'article 1er en entier, plan propre. Son « Art. L. 423-10 » donne au ministre le pouvoir de demander réparation et cessation des pratiques ; L423-17 promulgué limite la responsabilité pour manquements au code de commerce/TFUE — sujets distincts.	L'amendement 4495 rédige « Art. L. 423-10. – Lors de cette action, le ministre... » ; dans le texte en discussion (r1574, article rédigé au fond), L. 423-10 porte mot pour mot « Lorsque les manquements reprochés au professionnel portent sur le respect des règles définies au titre II du livre IV du code de commerce... la responsabilité du professionnel ne peut être prononcée dans le cadre de l'action mentionnée à l'article L. 423-1... », identique à la première version de L423-17 en base. La place est bien devenue L423-17.	Dans r1574, « Art. L. 423-10 » (concurrence) est devenu L423-17 promulgué. L'amendement 4495, qui réécrit tout l'article 1er selon son propre plan ministériel, appelle « Art. L. 423-10 » une disposition sur la réparation demandée par le ministre et la cessation des pratiques illicites — sans rapport avec la concurrence ni avec L423-17.	2026-09-20
juste	a05a90aacdead51e	assemblee	3585	Non soutenu	M. Gabriel Serville	L423-17	rédigé	JORFDOLE000027383756	ART. PREMIER	Rédiger ainsi les alinéas 39 à 41 « Action de groupe intervenant dans le domaine de la concurrence « Art. L. 423‑10. – Lorsque les manquements reprochés au professionnel par les requérants portent sur le respect des règles définies au titre II du livre IV du code de commerce ou des articles 101 et 102 du traité sur le fonctionnement de l’Union européenne, l’action visée à l’article L. 423‑1 peut être engagée devant le juge notamment sur le fondement d’une décision statuant sur ces manquements, prononcée par les autorités ou juridictions nationales ou communautaires compétentes à l’encontre du  […]	L423-17 (2014-03-19) Lorsque les manquements reprochés au professionnel portent sur le respect des règles définies au titre II du livre IV du code de commerce ou des articles 101 et 102 du traité sur le fonctionnement de l'Union européenne, la responsabilité du professionnel ne peut être prononcée dans le cadre de l'action mentionnée à l'a […]		juste	juste	sonnet+sonnet	agent:claude-sonnet-5	agent:claude-sonnet-5	accord des deux juges	L'amendement 3585 rédige explicitement les alinéas 39 à 41 du texte en discussion (r1156) sous l'intitulé « Art. L. 423-10. – Lorsque les manquements reprochés au professionnel par les requérants portent sur le respect des règles définies au titre II du livre IV du code de commerce... » ; ce numéro porte, dans le texte amendé, exactement la disposition devenue L423-17 (comparée à la première version en base). La place visée est correcte.	Les alinéas 39 à 41 visés par l'amendement 3585 (« Section 5 » / titre / « Art. L. 423-10 ») correspondent bien, dans r1156, à l'article sur les manquements anticoncurrentiels devenu L423-17 promulgué ; l'amendement réécrit précisément cet « Art. L. 423-10 » en conservant le même objet (décision préalable de l'autorité de concurrence, présomption irréfragable pour l'article L. 423-3), en y ajoutant le délai de cinq ans.	2026-09-20
