verdict	cle	chambre	amendement	sort	auteur	dossier	article	segment	longueur_fenetre	vise	nb_segments_fenetre	fenetre	dispositif	segment_texte	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	00699a46747a6ef3	assemblee	306	Adopté	M. Philippe Kemel	JORFDOLE000026795365	L330-1	LEGIARTI000027805308:0	60	sans visée	1	et que la valeur estimée de celle-ci à la date du dépôt du d	Le code de la consommation est ainsi modifié : I. – À la dernière phrase du premier alinéa de l’article L. 330‑1, après le mot : « principale » sont insérés les mots : « et que la valeur estimée de celle-ci à la date du dépôt du dossier de surendettement soit égale ou supérieure au montant de l’ensemble des dettes non professionnelles exigibles et à échoir ». II. – L’article L. 331‑2 est complété  […]	La situation de surendettement des personnes physiques est caractérisée par l'impossibilité manifeste pour le débiteur de bonne foi de faire face à l'ensemble de ses dettes non professionnelles exigibles et à échoir. L'impossibilité manifeste pour une personne physique de bonne foi de faire face à l'engagement qu'elle a donné de cautionner ou d'acquitter solidairement la dette d'un entrepreneur in […]										
juste	0084b47d250847f0	assemblee	198	Adopté	M. Philippe Noguès	JORFDOLE000027750379	L117-1	LEGIARTI000029324900:1	60	sans visée	1	distributeur ne possède pas l'information demandée, il est t	Compléter cet article par les sept alinéas suivants : « II. – Le titre Ier du livre Ier du même code est complété par un chapitre VII ainsi rédigé : « Chapitre VII « Transparence sur les conditions sociales de fabrication d’un produit « Art. L. 117‑1. – Le fabricant, producteur ou distributeur d’un bien commercialisé en France transmet au consommateur qui en fait la demande et qui a connaissance d […]	Lorsque le fabricant, le producteur ou le distributeur ne possède pas l'information demandée, il est tenu d'en informer le consommateur à l'origine de la demande.										
juste	01077541bf5725db	assemblee	305	Adopté	M. Philippe Kemel	JORFDOLE000026795365	L332-5-2	LEGIARTI000027762004:1	60	sans visée	1	e greffe procède à des mesures de publicité pour permettre a	Après l'alinéa 12, insérer les treize alinéas suivants : « 5° L'avant-dernier alinéa de l’article L. 330‑1 est ainsi rédigé : « À l’occasion des recours exercés devant lui en application des articles L. 331‑4, L. 331‑7 et L. 332‑2, le juge du tribunal d’instance peut avec l’accord du débiteur, décider l’ouverture d’une procédure de rétablissement personnel avec liquidation judiciaire. Lorsqu’il st […]	Le greffe procède à des mesures de publicité pour permettre aux créanciers qui n'ont pas été avisés du recours de former tierce opposition à l'encontre de ce jugement. Les créances dont les titulaires n'ont pas formé tierce opposition dans un délai de deux mois à compter de cette publicité sont éteintes.										
juste	013b7c55b09dabbb	senat	147	Adopté	M. KERN	JORFDOLE000043701629	L121-4	LEGIARTI000044224578:28	60	sans visée	1	érogation au 24° du présent article, sont exclus du disposit	Compléter cet article par deux paragraphes ainsi rédigés : …. – L’article L. 121‑4 du code de la consommation est complété par deux alinéas ainsi rédigés : « 24° De faire figurer un drapeau français, une carte de France ou tout symbole représentatif de la France sur les emballages alimentaires lorsque les ingrédients primaires définis par le règlement (UE) n° 1169/2011 du Parlement européen et du  […]	Par dérogation au 24° du présent article, sont exclus du dispositif les ingrédients primaires dont l'origine française est difficile, voire impossible à garantir, car issus de filières non productrices en France ou dont la production est manifestement insuffisante sur le territoire.	//www.senat.fr/amendements/2020-2021/829/Amdt_147.html									
juste	02ed76489cc125cd	senat	664	Adopté	LE GOUVERNEMENT	JORFDOLE000027383756	L121-35	LEGIARTI000028747839:4	60	oui	1	gles relatives aux ventes avec primes applicables aux produi	Après l'article 13 Insérer un article additionnel ainsi rédigé : L’article L. 121-35 du code de la consommation est ainsi rédigé : « Art. L. 121-35 - Est interdite toute vente ou offre de vente de produits ou de biens ou toute prestation ou offre de prestation de services faite aux consommateurs et donnant droit, à titre gratuit, immédiatement ou à terme, à une prime consistant en produits, biens  […]	Les règles relatives aux ventes avec primes applicables aux produits et services proposés pour la gestion d'un compte de dépôt sont fixées au 2 du I de l'article L. 312-1-2 du code monétaire et financier.	//www.senat.fr/amendements/2012-2013/810/Amdt_664.html									
juste	0314b798073aa6ee	senat	146 rect. ter	Adopté	LE GOUVERNEMENT	JORFDOLE000031978450	L251-1	LEGIARTI000032748706:1	60	sans visée	1	, les mots : à l'article 38 du règlement ue n° 1379/2013 du	"Après l’article 22 sexies Insérer un article additionnel ainsi rédigé : I. – L’article L. 123‑6 du code de la consommation est complété par un alinéa ainsi rédigé : « Pour l’application de l’article L. 121‑82‑3 à Saint‑Barthélemy et Saint‑Pierre‑et‑Miquelon, les mots : ""à l’article 38 du règlement UE n° 1379/2013 du Parlement européen et du Conseil du 11 décembre 2013 portant organisation commune  […]"	"Pour l'application de l'article L. 412-6 à Saint-Barthélemy et à Saint-Pierre-et-Miquelon, les mots : "" à l'article 38 du règlement UE n° 1379/2013 du Parlement européen et du Conseil du 11 décembre 2013 portant organisation commune des marchés dans le secteur des produits de pêche et de l'aquaculture, modifiant les règlements n° 1184/2006 et n° 1224/2009 du Conseil et abrogeant le règlement n° 10 […]"	//www.senat.fr/amendements/2015-2016/431/Amdt_146.html									
juste	03bfca6e25e9708d	senat	347	Adopté	M. DOSSUS	JORFDOLE000043113774	L121-24	LEGIARTI000043959521:0	60	sans visée	1	interdite toute forme de publicité ou de communication propo	Après l’article 4 Insérer un article additionnel ainsi rédigé : Le chapitre I er du titre II du livre I er du code de la consommation est complété par une section ainsi rédigée : « Section … « Remises ou réductions annulant l’effet du malus applicable aux voitures particulières les plus polluantes « Art. L. 121‑... – Est interdite toute forme de publicité ou de communication proposant une remise o […]	Est interdite toute forme de publicité ou de communication proposant une remise ou une réduction annulant ou réduisant pour le consommateur final l'effet du malus prévu à l'article 1012 ter du code général des impôts.	//www.senat.fr/amendements/2020-2021/667/Amdt_347.html									
juste	092be6032c3f37bc	assemblee	981	Adopté	LE GOUVERNEMENT	JORFDOLE000027383756	L121-82-2	LEGIARTI000028740783:2	60	oui	1	conditions dans lesquelles le titre de maître-restaurateur e	Après l’article L. 121-82 du code de la consommation, est insérée une section 10 bis ainsi rédigée : « Section 10 bis « Qualité et transparence dans l’élaboration des plats proposés dans le cadre d’une activité de restauration commerciale « Art. L. 121-82-1. - Les personnes ou entreprises qui transforment ou distribuent des produits alimentaires dans le cadre d’une activité de restauration commerc […]	Les conditions dans lesquelles le titre de maître-restaurateur est délivré par l'autorité administrative et dans lesquelles le cahier des charges est établi sont définies par décret en Conseil d'Etat.										
juste	09b02eea38eff783	senat	158	Adopté	Mme LOISIER	JORFDOLE000043701629	L412-12	LEGIARTI000044224585:0	60	sans visée	1	n de ne pas induire en erreur le consommateur quant à l'orig	I. – Alinéa 4 Remplacer cet alinéa par quatre alinéas ainsi rédigés : b) Les deuxième à avant-dernier alinéas sont ainsi rédigés : « Le consommateur est informé, au moyen de l’étiquetage, de l’origine du cacao des produits à base de cacao et de chocolat et de l’origine de la gelée royale. « Il est également informé de tous les pays d’origine des miels composant un mélange de miels en provenance de […]	Afin de ne pas induire en erreur le consommateur quant à l'origine de la bière, le consommateur est informé, au moyen d'un étiquetage mettant en évidence ces indications, du nom du brasseur et du lieu de brassage des bières.	//www.senat.fr/amendements/2020-2021/829/Amdt_158.html									
juste	0aed383db4207bb6	senat	148	Adopté	LE GOUVERNEMENT	JORFDOLE000051045642	L122-26	LEGIARTI000051828610:1	60	sans visée	1	les modalités et le contenu de cette information sont précis	Amendement n° 120 I. – Après l’alinéa 6 Insérer un alinéa ainsi rédigé : « Les modalités et le contenu de cette information sont précisés par arrêté. II. – Alinéa 8 Rédiger ainsi cet alinéa : « Tout manquement aux dispositions du présent article est passible d’une amende administrative dont le montant ne peut excéder 15 000 € pour une personne physique et 75 000 € pour une personne morale. ». III. […]	Les modalités et le contenu de cette information sont précisés par arrêté.	//www.senat.fr/amendements/2024-2025/469/Amdt_148.html									
