verdict	cle	chambre	amendement	sort	auteur	article	cibles_de_l_article	vise	voie	texte	article_du_texte	subdivision	fenetre	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	06659a70e93f43ba	assemblee	815	Retiré	Mme Annie Genevard	L423-9	18	sans visée	alinea	assemblee/14-ta-commission-r1156-a0.asp	1er	ART. PREMIER	e, afin d’obtenir la réparation des préjudices individuels mentionnés à l’article L. 423-1. « Art. L. 423-9. – Tout accord négocié au nom du groupe est soumis à l’homologation du juge, qui lui donne	À l’alinéa 36, après le mot : « négocié » insérer les mots : « par l’association ».	L'association peut s'adjoindre, avec l'autorisation du juge, toute personne appartenant à une profession judiciaire réglementée, dont la liste est fixée par décret en Conseil d'Etat, pour l'assister, notamment afin qu'elle procède à la réception des demandes d'indemnisation des membres du groupe et plus généralement af […]		juste	juste	sonnet+sonnet	agent:claude-sonnet-5	agent:claude-sonnet-5	accord des deux juges	L'article 1er insère un nouveau chapitre III au code de la consommation ; en comptant les alinéas non vides (texte sans pastille) et en excluant la mention parenthétique « (division et intitulé nouveaux) », l'alinéa 36 est bien « Art. L. 423-9. – Tout accord négocié au nom du groupe... », où figure le mot « négocié » cité par le dispositif. Cette phrase rédige directement L. 423-9.	En comptant les alinéas de l'article 1er (pas de pastille), l'alinéa 36 est bien « Art. L. 423-9. – Tout accord négocié au nom du groupe… », sous l'instruction unique qui crée tout le nouveau chapitre III (dont L.423-9) au titre II du livre IV du code de la consommation.	2026-09-20
juste	0bf59753ae3f18d6	assemblee	346	Rejeté	Mme Laure de La Raudière	L423-11	18	sans visée	alinea	assemblee/14-ta-commission-r1156-a0.asp	1er	ART. PREMIER	nnel sont réputés établis de manière irréfragable pour l’application de l’article L. 423-3. « Art. L. 423-11. – L’action prévue à l’article L. 423-1 ne peut être engagée au-delà d’un délai de cinq ans	À l’alinéa 42, substituer aux mots : « de cinq ans » les mots : « d’un an ».	Le professionnel procède à l'indemnisation individuelle des préjudices subis par chaque consommateur, dans les conditions, limites et délais fixés par le jugement mentionné à l'article L. 423-3.		juste	juste	sonnet+sonnet	agent:claude-sonnet-5	agent:claude-sonnet-5	accord des deux juges	Le titre de section « Modalités spécifiques... dans le domaine de la concurrence » est un seul <p> avec <br>, donc un seul alinéa (2 lignes physiques). En comptant ainsi, l'alinéa 42 est « Art. L. 423-11. – L'action prévue... au-delà d'un délai de cinq ans », où figurent les mots « de cinq ans » cités par le dispositif. L'instruction rédige directement L. 423-11.	En comptant les alinéas de l'article 1er (sans pastille, en fusionnant le titre de la Section 5 imprimé sur deux lignes physiques), l'alinéa 42 est bien « Art. L. 423-11. – L'action prévue… », sous l'instruction unique qui crée le chapitre III (dont L.423-11) au titre II du livre IV du code de la consommation.	2026-09-20
juste	0f17a9941263ec51	senat	32 rect.	Retiré	M. DALLIER	L312-8	8	sans visée	alinea	senat/leg-pjl12-423.html	18	Article 18	proposées. Un arrêté fixe le format de cette fiche ainsi que son contenu. » ; 4° bis L'article L. 312-8 est complété par un alinéa ainsi rédigé : « Dans les cas où l'emprunteur présente un autre cont	Alinéa 20 Rédiger ainsi cet alinéa : « Dans les cas où l’emprunteur présente un autre contrat d’assurance à la place du contrat d’assurance proposé par le prêteur, dans les conditions prévues à l’article L. 312-9, le prêteur peut émettre un avenant à l’offre initiale. Cet avenant modifie l'offre mentionnée au premier alinéa du présent article, sans que les délais mentionnés à l’article L. 312-10 ne soient prorogés ni […]	L'offre définie à l'article précédent : 1° Mentionne l'identité des parties, et éventuellement des cautions déclarées ; 2° Précise la nature, l'objet, les modalités du prêt, notamment celles qui sont relatives aux dates et conditions de mise à disposition des fonds ainsi qu'à l'échéancier des amortissements ; 3° Indiqu […]	//www.senat.fr/amendements/2012-2013/423/Amdt_32.html	juste	juste	sonnet+sonnet	agent:claude-sonnet-5	agent:claude-sonnet-5	accord des deux juges	Texte sans pastille (Sénat 2012) : en comptant les lignes non vides de l'article 18, l'alinéa 20 est bien « Dans les cas où l'emprunteur présente un autre contrat d'assurance... » cité par le dispositif, gouverné par « 4° bis L'article L. 312-8 est complété par un alinéa ainsi rédigé ». L'instruction rédige bien L. 312-8.	En comptant chaque ligne non vide de l'article 18 (pas de pastille), l'alinéa 20 est le texte inséré après l'alinéa 19 « 4° bis L'article L. 312-8 est complété par un alinéa ainsi rédigé : » — l'instruction qui le gouverne réécrit bien L.312-8.	2026-09-20
juste	0f361f44c21e103f	senat	689	Adopté	LE GOUVERNEMENT	L141-1	1	sans visée	alinea	senat/leg-pjl12-810.html	25	Article 25	s moyens d'action en matière de protection économique du consommateur Article 25 I. - L'article L. 141-1 du code de la consommation est ainsi modifié : 1° Le I est ainsi modifié : a) Au premier alinéa	I. - Alinéa 17 Remplacer la référence : 12° par la référence : 13° II. - Après l’alinéa 23 Insérer un alinéa ainsi rédigé : « 13° Du premier alinéa de l’article L. 213-2 du code de la route »	I. - Sont constatées et poursuivies dans les conditions fixées par les articles 45, premier et troisième alinéa, 46, 47 et 52 de l'ordonnance n° 86-1243 du 1er décembre 1986 relative à la liberté des prix et de la concurrence, reproduits au paragraphe IV ci-après, les infractions aux dispositions prévues au présent cod […]	//www.senat.fr/amendements/2012-2013/810/Amdt_689.html	juste	juste	sonnet+sonnet	agent:claude-sonnet-5	agent:claude-sonnet-5	accord des deux juges	Texte sans pastille : l'alinéa 17 (« Sont ajoutés des 7° à 12° ainsi rédigés ») et l'alinéa 23 (« 12° Du troisième alinéa de l'article L. 112-6... ») sont tous deux dans le bloc ouvert par « I. - L'article L. 141-1 du code de la consommation est ainsi modifié » (alinéa 1), qui les gouverne jusqu'à l'alinéa 35 (avant « I bis »). L'amendement porte donc bien sur L. 141-1.	L'alinéa 17 de l'article 25 est « c) Sont ajoutés des 7° à 12° ainsi rédigés : » et l'alinéa 23 est le « 12° » ajouté ; les deux relèvent de « 3° Le III est ainsi modifié » sous l'instruction-mère « I. - L'article L. 141-1 du code de la consommation est ainsi modifié », ce qui confirme L141-1.	2026-09-20
juste	0f3ab0481cd80577	assemblee	305	Adopté	M. François Brottes	L121-92-1	3	sans visée	alinea	assemblee/14-ta-commission-r1574-a0.asp	9 ter	ART. 9 TER	à leurs ressources. » II. – Après l’article L. 121-92 du même code, il est inséré un article L. 121-92-1 ainsi rédigé : « Art. L. 121-92-1. – Aucuns frais liés au rejet de paiement ne peuvent être i	"À la fin de l’alinéa 4, substituer aux mots : « se trouvent en état de fragilité eu égard notamment à leurs ressources » les mots : « bénéficient de la tarification spéciale "" produit de première nécessité "" de l’électricité ou du tarif spécial de solidarité du gaz naturel »."	"Aucuns frais liés au rejet de paiement ne peuvent être imputés par un fournisseur d'électricité et de gaz naturel aux personnes physiques n'agissant pas pour des besoins professionnels qui bénéficient de la tarification spéciale ""produit de première nécessité"" de l'électricité ou du tarif spécial de solidarité du gaz n […]"		juste	juste	sonnet+sonnet	agent:claude-sonnet-5	agent:claude-sonnet-5	accord des deux juges	La ligne de statut seule « (Non modifié) » ne compte pas comme alinéa ; en l'excluant, l'alinéa 4 de l'article 9 ter est « Art. L. 121-92-1. – ... qui se trouvent en état de fragilité eu égard notamment à leurs ressources. », dont la fin correspond mot pour mot au dispositif. Il est gouverné par « II. – ... il est inséré un article L. 121-92-1 ainsi rédigé », qui rédige bien L. 121-92-1.	L'alinéa 4 de l'article 9 ter est bien « Art. L. 121-92-1. – Aucuns frais... » créé par l'instruction II. de l'alinéa 3, et contient les mots exacts visés par le dispositif (« se trouvent en état de fragilité eu égard notamment à leurs ressources »).	2026-09-20
juste	0f48fd975e379466	assemblee	420	Non soutenu	M. Daniel Fasquelle	L121-18-2	46	sans visée	alinea	assemblee/14-ta-commission-r1574-a0.asp	5	ART. 5	accompagné du formulaire type de rétractation mentionné au 2° du I de l’article L. 121-17. « Art. L. 121-18-2. – Le professionnel ne peut recevoir aucun paiement ou aucune contrepartie, sous quelque f	À l’alinéa 49, après le mot : « agréé », insérer les mots : « ou déclaré ».	Le professionnel ne peut recevoir aucun paiement ou aucune contrepartie, sous quelque forme que ce soit, de la part du consommateur avant l'expiration d'un délai de sept jours à compter de la conclusion du contrat hors établissement. Toutefois, ne sont pas soumis au premier alinéa : 1° La souscription à domicile d'un a […]		juste	juste	sonnet+sonnet	agent:claude-sonnet-5	agent:claude-sonnet-5	accord des deux juges	En comptant les lignes non vides de l'article 5 (« I A à I C. – (Supprimés) » comptant pour 1 alinéa, ce que confirme la position du mot cité), l'alinéa 49 est « 2° Les contrats à exécution successive... proposés par un organisme agréé... », où figure le mot « agréé » cité par le dispositif. Il relève de « Art. L. 121-18-2. – » qui ouvre ce paragraphe et n'est suivi d'aucun autre « Art. » avant lui ; l'instruction rédige bien L. 121-18-2.	En comptant les alinéas de l'article 5, l'alinéa 49 est bien « 2° Les contrats à exécution successive… proposés par un organisme agréé… » (contient le mot « agréé » visé), sous « Art. L. 121-18-2. » de l'alinéa 46 : la clef correspond bien à L.121-18-2.	2026-09-20
juste	0f5f2d9c91133b53	assemblee	668	Rejeté	M. Jean-Jacques Cottel	L111-3	9	sans visée	alinea	assemblee/14-ta-commission-r1156-a0.asp	4	ART. 4	de prévoyance et unions régies par le titre III du livre IX du code de la sécurité sociale. « Art. L. 111-3. – Le fabricant ou l’importateur de biens meubles doit informer le vendeur professionnel de	I. – Après la première phrase de l’alinéa 12, insérer la phrase suivante : « Il en est de même, à titre gratuit, des manuels d’utilisation et des notices de réparation. ». II. – En conséquence, rédiger ainsi le début de la dernière phrase du même alinéa : « Ces informations sont obligatoirement délivrées au ... (le reste sans changement). ». III. – En conséquence, compléter l’alinéa 13 par la phrase suivante : « Il e […]	Les dispositions des deux articles précédents s'appliquent sans préjudice des dispositions plus favorables aux consommateurs qui soumettent certaines activités à des règles particulières en ce qui concerne l'information du consommateur.		juste	juste	sonnet+sonnet	agent:claude-sonnet-5	agent:claude-sonnet-5	accord des deux juges	En comptant les lignes non vides de l'article 4, l'alinéa 12 est « Art. L. 111-3. – Le fabricant ou l'importateur... » et l'alinéa 13 le poursuit (« Pendant la période mentionnée au premier alinéa... »), tous deux avant le prochain « Art. L. 111-4. » : les deux alinéas cités par le dispositif relèvent bien de L. 111-3.	Les alinéas 12 et 13 de l'article 4 sont bien le texte de « Art. L. 111-3. – Le fabricant ou l'importateur… » et sa suite, réécrits par l'instruction I. du même article qui refond le chapitre Ier ; les deux alinéas visés par le dispositif relèvent donc de L.111-3.	2026-09-20
juste	0f68984d51dd5589	senat	561	Adopté	Mme LAMURE	L111-3	9	sans visée	alinea	senat/leg-pjl12-810.html	4	Article 4	de prévoyance et unions régies par le titre III du livre IX du code de la sécurité sociale. « Art. L. 111-3. - Le fabricant ou l'importateur de biens meubles informe le vendeur professionnel de la da	Alinéa 13 Après le mot : professionnels insérer les mots : ou aux réparateurs agréés	Les dispositions des deux articles précédents s'appliquent sans préjudice des dispositions plus favorables aux consommateurs qui soumettent certaines activités à des règles particulières en ce qui concerne l'information du consommateur.	//www.senat.fr/amendements/2012-2013/810/Amdt_561.html	juste	juste	sonnet+sonnet	agent:claude-sonnet-5	agent:claude-sonnet-5	accord des deux juges	Texte sans pastille : en comptant les lignes non vides de l'article 4, l'alinéa 13 est « Dès lors qu'il a indiqué la date... le fabricant ou l'importateur fournit aux vendeurs professionnels... », où figure le mot « professionnels » cité par le dispositif ; cette phrase suit directement « Art. L. 111-3. - » et précède « Art. L. 111-4. », donc relève bien de L. 111-3.	L'alinéa 13 de l'article 4 est « Dès lors qu'il a indiqué la date mentionnée au premier alinéa… fournit aux vendeurs professionnels… », contient bien le mot « professionnels » visé, et relève de l'Art. L. 111-3 (alinéas 12-13) réécrit par l'instruction I. de l'article 4.	2026-09-20
juste	0f9fcce4a8798161	senat	13	Rejeté	M. SALMON	L313-28	3	sans visée	alinea	senat/leg-ppl21-368.html	2	Article 2	Article 2  Le code de la consommation est ainsi modifié :  1° Aux articles L. 313-8 et L. 313-28, les mots : « de groupe » sont supprimés ;  2° L’article L. 313-30 est ainsi modifié : 	I. - Alinéas 2 et 4 Supprimer ces alinéas. II. - Après l'alinéa 4 Insérer un alinéa ainsi rédigé : ...° Après le mot : « résiliation », la fin de la deuxième phrase est ainsi rédigée : « prévu au premier alinéa de l’article L. 113-12-2 du code des assurances ou au troisième alinéa de l’article L. 221-10 du code de la mutualité. » ; III. - Alinéa 5 Remplacer les mots : est explicite et comporte l'intégralité des motif […]	Dans les cas où l'emprunteur présente un autre contrat d'assurance à la place du contrat d'assurance de groupe proposé par le prêteur dans les conditions prévues à l'article L. 313-29, le prêteur peut émettre une offre modifiée sous réserve des dispositions de l'article L. 313-32, sans que les délais mentionnés à l'art […]	//www.senat.fr/amendements/2021-2022/368/Amdt_13.html	juste	juste	sonnet+sonnet	agent:claude-sonnet-5	agent:claude-sonnet-5	accord des deux juges	Texte à pastilles : la 2e pastille précède « 1° Aux articles L. 313-8 et L. 313-28, les mots : « de groupe » sont supprimés ; » — c'est l'alinéa 2. Le I du dispositif supprime précisément les alinéas 2 et 4 ; l'alinéa 2 est bien l'instruction qui modifie L. 313-28 (suppression des mots « de groupe »).	Le texte a des pastilles ; l'alinéa 2 de l'article 2 (première ligne suivant la 2e pastille) est « 1° Aux articles L. 313-8 et L. 313-28, les mots : « de groupe » sont supprimés ; » — cet alinéa modifie explicitement L.313-28.	2026-09-20
juste	0fdff1e05d7b8ac2	senat	525	Adopté	Mme BATAILLE	L121-20-3	45	sans visée	alinea	senat/leg-pjl12-810.html	5	Article 5	e sont prévues à l'article L. 34-5 du code des postes et des communications électroniques. « Art. L. 121-20-3 (nouveau) . - Lorsqu'un professionnel contacte un consommateur par téléphone dans les cond	Après l’alinéa 79 Insérer deux alinéas ainsi rédigés : « Le numéro affiché avant l’établissement de l’appel en application du premier alinéa est affecté au professionnel pour le compte duquel l’appel est effectué. En cas de rappel du consommateur à ce numéro, ce professionnel s’identifie préalablement à la facturation de toute prestation de service autre que le prix de la communication. « Un arrêté conjoint des minis […]	Sauf si les parties en sont convenues autrement, le fournisseur doit exécuter la commande dans le délai de trente jours à compter du jour suivant celui où le consommateur a transmis sa commande au fournisseur du produit ou de service. En cas de défaut d'exécution du contrat par un fournisseur résultant de l'indisponibi […]	//www.senat.fr/amendements/2012-2013/810/Amdt_525.html	juste	faux	sonnet (arbitrage)	agent:claude-sonnet-5	agent:claude-sonnet-5	"Le HTML source (leg-pjl12-810.html) montre un seul <p class=""sh_center""><em> pour « Dispositions particulières applicables<br>aux contrats conclus hors établissement », donc un seul alinéa, exactement comme pour le titre déjà tranché ailleurs dans cette fiche ; recompté ainsi (avec cette seule fusion), l'alinéa 46 tombe bien sur Art. L.121-18-2 (confirmé par deux autres arêtes jugées de la même fiche) et l'alinéa 70 sur Art. L.121-20-1 (confirmé par l'amendement 60 sur la même fiche), preuve que ce décalage est le bon sur tout l'article 5. Avec ce même décalage, l'alinéa 79 est « Art. L. 121-20-3 (nouveau). – […] l'utilisation d'un numéro masqué est interdite. », et non L.121-20-2 comme le donnerait un compte sans fusion. Preuve indépendante décisive : le dispositif de l'amendement 525 lui-même dit insérer un alinéa parlant du « numéro affiché […] en application du premier alinéa » — soit le premier alinéa de L.121-20-3 (le numéro masqué), pas de L.121-20-2 qui ne parle que d'automate d'appel, télécopieur et courrier électronique et ne mentionne aucun numéro affiché. Les amendements 119 rect. (alinéa 76 = phrase sur les journaux/périodiques, dans L.121-20-1) et 460 (après l'alinéa 69 = fin de L.121-20, juste avant L.121-20-1) confirment la même numérotation décalée sur tout l'article."	Le titre « Dispositions particulières applicables / aux contrats conclus hors établissement » est un seul <em> avec <br> (un seul alinéa, vérifié dans le HTML), ce qui décale le compte d'une unité : l'alinéa 79 réel est bien « Art. L. 121-20-3 (nouveau). – ... l'utilisation d'un numéro masqué est interdite. », et non L. 121-20-2 comme le donnerait un compte ligne à ligne naïf. Les deux alinéas insérés après lui complètent donc L. 121-20-3, avant la rubrique « Sous-section 6 » et « Art. L. 121-21 » suivants ; l'objet de l'amendement confirme lui-même viser L. 121-20-3.	L'alinéa 79 de l'article 5 est la totalité de « Art. L. 121-20-2. – Les conditions de la prospection directe au moyen d'un automate d'appel… sont prévues à l'article L. 34-5… », et non L.121-20-3 (alinéa 80, « Art. L. 121-20-3 (nouveau) »). Les deux alinéas insérés « après l'alinéa 79 » n'ont pas d'en-tête « Art. L. … » propre et leur « premier alinéa » cité renvoie donc à L.121-20-2 (l'automate d'appel du L.34-5 CPCE impose l'affichage d'un numéro), pas à L.121-20-3.	2026-09-20
