verdict	cle	chambre	amendement	sort	auteur	article	cibles_de_l_article	vise	voie	texte	article_du_texte	subdivision	fenetre	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	00102fff5b0e3716	senat	570	Rejeté	Mme LAMURE	L421-2	3	sans visée	alinea	senat/leg-pjl12-810.html	28	Article 28	lication d'une clause dont le caractère abusif ressort des éléments du débat. » II. - L'article L. 421-2 du code de la consommation est ainsi modifié : 1° Le mot : « défenseur » est remplacé par le mo	Alinéas 3 à 8 Supprimer ces alinéas.	L421-2 (1993-07-27) — écrit par la loi du dossier, 2014-03-19 : Les associations de consommateurs mentionnées à l'article L. 421-1 et agissant dans les conditio […] ‖ avant, 1993-07-27 : Les associations de consommateurs mentionnées à l'article L. 421-1 et agissant dans les conditions précisées à cet article peuvent demander à la ju […]	//www.senat.fr/amendements/2012-2013/810/Amdt_570.html	juste		sonnet-juge-a	sonnet-juge-b		L'alinéa 3 ouvre l'instruction « L'article L. 421-2 est ainsi modifié », et les alinéas 4-6 supprimés en relèvent bien (l'instruction suivante, sur L. 421-6, ne commence qu'à l'alinéa 7).	Les alinéas 3 à 6 supprimés relèvent bien du « II. – L'article L. 421-2 ... est ainsi modifié » (1° et 2°) ; seuls 7-8 relèvent de L. 421-6, ce qui produit une seconde arête, pas une faute sur celle-ci.		2026-09-26
juste	00260b2c9da06e72	assemblee	565	Adopté	M. Razzy Hammadi	L121-23	37	sans visée	alinea	assemblee/14-projets-pl1015.asp	5	ART. 5	ée dans les conditions prévues à l’article L. 141-1-2. « Sous-section 8 « Sanctions pénales « Art. L. 121-23. – Toute infraction aux dispositions des articles L. 121-18-1 et L. 121-18-2 est punie d’un	À la deuxième phrase de l’alinéa 129, substituer aux mots : « du code pénal », les mots : « dudit code ».	L121-23 (1993-07-27) — écrit par la loi du dossier, 2014-06-14 : Toute infraction aux articles L. 121-18-1 et L. 121-18-2 est punie d'une peine d'emprisonnement […] ‖ avant, 1993-07-27 : Les opérations visées à l'article L. 121-21 doivent faire l'objet d'un contrat dont un exemplaire doit être remis au client au moment de la conclus […]		juste		sonnet-juge-a	sonnet-juge-b		L'alinéa 129 est dans le corps de « Art. L. 121-23. – Toute infraction… », seule instruction ouverte avant lui.	L'alinéa 129 est dans le corps même de « Art. L. 121-23. – Toute infraction... » ; la substitution porte sur cette phrase.		2026-09-26
juste	00714b489b371661	assemblee	311	Retiré	Mme Chantal Guittet	L121-18-2	37	sans visée	alinea	assemblee/14-ta-commission-r1156-a0.asp	5	ART. 5	accompagné du formulaire type de rétractation mentionné au 2° du I de l’article L. 121-17. « Art. L. 121-18-2. – Le professionnel ne peut recevoir aucun paiement ou aucune contrepartie, sous quelque f	Supprimer l’alinéa 49.	L121-18-2 (2014-06-14) — écrit par la loi du dossier, 2014-06-14 : Le professionnel ne peut recevoir aucun paiement ou aucune contrepartie, sous quelque forme que ce soit, de la part du consommateur avant l'expiration d'un délai de sept jours à compter de la conclusion du contrat hors établissement. Toutefois, ne sont  […]		juste		sonnet-juge-a	sonnet-juge-b		L'alinéa 49 (« 3° Les contrats conclus au cours de réunions… ») suit directement la tête « Art. L. 121-18-2. – ».	L'alinéa 49 supprimé est le 3° de « Art. L. 121-18-2. – Le professionnel ne peut recevoir... ».		2026-09-26
juste	00741bec19c65ba8	assemblee	11	Retiré	M. Marc Le Fur	L121-20	37	sans visée	alinea	assemblee/14-ta-commission-r1156-a0.asp	5	ART. 5	cas de force majeure. « Sous-section 5 « Démarchage téléphonique et prospection commerciale « Art. L. 121-20. – Sans préjudice de l’article L. 121-19-1, le professionnel qui contacte un consommateur p	Après l’alinéa 66, insérer l’alinéa suivant : « Le démarchage téléphonique, pour toute mise en relation avec une personne ou un serveur vocal, ne peut être effectué qu’au moyen d’un numéro identifiable. ».	L121-20 (1993-07-27) — écrit par la loi du dossier, 2014-06-14 : Sans préjudice de l'article L. 121-19-1, le professionnel qui contacte un consommateur par télé […] ‖ avant, 2005-12-01 : Le consommateur dispose d'un délai de sept jours francs pour exercer son droit de rétractation sans avoir à justifier de motifs ni à payer de pénal […]		juste		sonnet-juge-a	sonnet-juge-b		L'alinéa 66 est la tête même « Art. L. 121-20. – Sans préjudice… », et l'alinéa inséré après lui reste une simple phrase, non une instruction nouvelle.	L'insertion après l'alinéa 66 (« Art. L. 121-20. – ... ») ne porte aucune tête d'instruction propre (pas de verbe modificatif + article nommé) ; elle prolonge l'article L. 121-20 en cours d'écriture.		2026-09-26
juste	00ef805cbf620c3b	assemblee	578	Adopté	M. Razzy Hammadi	L211-7	4	sans visée	alinea	assemblee/14-projets-pl1015.asp	7	ART. 7	xistence d’une garantie contractuelle et d’un service après-vente. » Article 7 I. – À l’article L. 211-7 du même code, le mot : « six » est remplacé par le mot : « douze ». II. – L’article L. 211-15 d	Au début de l’alinéa 1, substituer au mot : « À », les mots : « Au premier alinéa de ».	L211-7 (2005-02-18) — écrit par la loi du dossier, 2016-03-18 : Les défauts de conformité qui apparaissent dans un délai de vingt-quatre mois à partir de la dél […] ‖ avant, 2005-02-18 : Les défauts de conformité qui apparaissent dans un délai de six mois à partir de la délivrance du bien sont présumés exister au moment de la délivr […]		juste		sonnet-juge-a	sonnet-juge-b		L'alinéa 1 de l'article 7 est l'unique instruction « À l'article L. 211-7…, le mot… est remplacé ».	L'alinéa 1 est lui-même « I. – À l'article L. 211-7 du même code, le mot : « six » est remplacé... » ; l'amendement en réécrit l'ouverture sans changer la cible.		2026-09-26
juste	015849d4010e50ee	senat	40	Rejeté	M. MICHAU	L223-8	13	sans visée	alinea	senat/leg-ppl24-469.html	3	Article 3	ainsi rédigé :  « Chapitre III bis  « Autres modes de prospection commerciale  « Art. L. 223-8. – Toute prospection commerciale de consommateurs par des professionnels par message proven	Alinéa 26 Après le mot: professionnels insérer les mots : réalisée physiquement au domicile du consommateur,	L223-8 (2025-07-02) — écrit par la loi du dossier, 2025-07-02 : La prospection commerciale de consommateurs par des professionnels par message sur un service de communications interpersonnelles, par courrier électronique ou sur un service de réseaux sociaux en ligne ayant pour objet l'offre de prestations de services,  […]	//www.senat.fr/amendements/2024-2025/469/Amdt_40.html	juste		sonnet-juge-a	sonnet-juge-b		L'alinéa 26 est la tête « Art. L. 223-8. – Toute prospection… par des professionnels… », et le mot « professionnels » que le dispositif cible y figure.	Pastille 26 du texte ppl24-469 (compte déclaré) tombe exactement sur « Art. L. 223-8. – Toute prospection commerciale... ».		2026-09-26
juste	0186190b6b55d2ff	assemblee	428	Rejeté	M. Damien Abad	L423-1	17	sans visée	alinea	assemblee/14-ta-commission-r1156-a0.asp	1er	ART. PREMIER	tion de groupe « Section 1 « Champ d’application de l’action de groupe et qualité pour agir « Art. L. 423-1. – Une association de défense des consommateurs représentative au niveau national et agréée	À l’alinéa 9, substituer aux mots : « des consommateurs et résultant d’une des causes mentionnées aux 1° et 2° » les : « matériel des consommateurs, à l’exclusion d’une atteinte à la personne et résultant d’une des causes mentionnées ci-dessus, »	L423-1 (2014-03-19) — écrit par la loi du dossier, 2014-03-19 : Une association de défense des consommateurs représentative au niveau national et agréée en application de l'article L. 411-1 peut agir devant une juridiction civile afin d'obtenir la réparation des préjudices individuels subis par des consommateurs placés […]		juste		sonnet-juge-a	sonnet-juge-b		L'alinéa 9 (« des consommateurs et résultant d'une des causes… ») est sous la tête « Art. L. 423-1. – Une association… ».	L'alinéa 9 est une phrase de « Art. L. 423-1. – Une association de défense des consommateurs... » ; la substitution de mots s'y fait sans changer d'instruction.		2026-09-26
juste	019488413beddc92	senat	451	Rejeté	M. LE CAM	L111-1	7	sans visée	alinea	senat/leg-pjl12-810.html	4	Article 4	ion est ainsi rédigé : « CHAPITRE I ER « Obligation générale d'information précontractuelle « Art. L. 111-1. - (Non modifié) Avant que le consommateur ne soit lié par un contrat de vente de biens ou	Alinéa 9 Compléter cet alinéa par les mots : , et mentionnent obligatoirement un numéro de téléphone, non surtaxé, afin de renseigner les consommateurs sur leur droit à bénéficier des tarifs sociaux de première nécessité pour l’eau, l’électricité et le gaz	L111-1 (1993-07-27) — écrit par la loi du dossier, 2014-06-14 : Avant que le consommateur ne soit lié par un contrat de vente de biens ou de fourniture de servi […] ‖ avant, 2010-07-25 : I. - Tout professionnel vendeur de biens doit, avant la conclusion du contrat, mettre le consommateur en mesure de connaître les caractéristiques e […]	//www.senat.fr/amendements/2012-2013/810/Amdt_451.html	juste		sonnet-juge-a	sonnet-juge-b		L'alinéa 9 (« Le présent article s'applique également aux contrats… eau, gaz, électricité ») relève de « Art. L. 111-1. – ».	L'alinéa 9 complète la phrase sur les contrats d'eau/gaz/électricité de « Art. L. 111-1. - (Non modifié) ... ».		2026-09-26
juste	0199068d696b4250	assemblee	68	Non soutenu	M. Jean-Louis Christ	L121-18-2	37	sans visée	alinea	assemblee/14-ta-commission-r1156-a0.asp	5	ART. 5	accompagné du formulaire type de rétractation mentionné au 2° du I de l’article L. 121-17. « Art. L. 121-18-2. – Le professionnel ne peut recevoir aucun paiement ou aucune contrepartie, sous quelque f	Après l’alinéa 51, insérer l’alinéa suivant : « Dans les conditions d’exécution des contrats proposés dans le cadre d’un démarchage à domicile, la durée de la prestation doit être limitée à une année maximum, renouvelable par tacite reconduction. ».	L121-18-2 (2014-06-14) — écrit par la loi du dossier, 2014-06-14 : Le professionnel ne peut recevoir aucun paiement ou aucune contrepartie, sous quelque forme que ce soit, de la part du consommateur avant l'expiration d'un délai de sept jours à compter de la conclusion du contrat hors établissement. Toutefois, ne sont  […]		juste		sonnet-juge-a	sonnet-juge-b		L'alinéa inséré après le 51 est une phrase ordinaire, non une instruction nouvelle ; l'alinéa 51 lui-même est sous « Art. L. 121-18-2. – ».	L'insertion après l'alinéa 51 (dans le bloc de « Art. L. 121-18-2. – ... ») ne nomme ni ne modifie un autre article ; elle prolonge L. 121-18-2.		2026-09-26
faux	01b4e61d482854a7	assemblee	506	Rejeté	M. Daniel Fasquelle	L121-33	46	sans visée	alinea	assemblee/14-ta-commission-r1574-a0.asp	5	ART. 5	imé) » II. – (Non modifié) La section 3 du même chapitre Ier comprend les articles L. 121-26 à L. 121-33 et est ainsi modifiée : 1° Son intitulé est ainsi rédigé : « Dispositions particulières aux co	Après l'alinéa 142, insérer les quinze alinéas suivants : « I bis. – Après la section 2 du chapitre Ier du titre II du livre Ier du code de la consommation, est insérée une section 2 bis ainsi rédigée : « Section 2 bis « Avis en ligne de consommateurs « Art. L. 121‑25‑1. – La présente section s’applique aux gestionnaires d’avis en ligne. « Est considérée comme gestionnaire d’avis en ligne toute entité qui assure le t […]	L121-33 (1993-07-27) — en vigueur à la loi du dossier, 1994-06-04 : Il est interdit de se rendre au domicile d'une personne physique, à sa résidence ou à son lieu de travail pour proposer la vente, la location ou la location-vente de documents ou matériels quelconques tendant à répondre aux mêmes besoins que des presta […]		faux		sonnet-juge-a	sonnet-juge-b		Le « I bis » inséré après l'alinéa 142 crée une section 2 bis et l'article L. 121-25-1 (avis en ligne), sans rapport avec L. 121-33 (démarchage à domicile) que la tête précédente (« La section 3… comprend les articles L. 121-26 à L. 121-33… ») nommait seulement en passant.	L'alinéa 142 annonce la modification des articles L. 121-26 à L. 121-33 (contrats de vente à domicile, L. 121-33 fonds : interdiction de démarchage à domicile), mais l'insertion crée une section 2 bis et un article L. 121-25-1 sur les avis en ligne, sans rapport de contenu avec L. 121-33.		2026-09-26
