verdict	cle	voie	hote	legi	distance_hote	texte	article_du_texte	numero_cite	code_cite	article_du_fonds	mention_hote	contexte	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	1e246284c75eaa4f	citation	suppose	oui	1518	assemblee/14-ta-ta0176.asp	11	L121-99	code de la consommation	L121-100 (2014-03-19) — écrit par la loi du dossier, 2014-03-19 : Toute opération d'achat de métaux précieux, notamment d'or, d'argent ou de platine, sous quelque forme que ce soit, par un professionnel auprès d'un consommateur fait l'objet d'un contrat écrit dont un exemplaire est remis au consommateur-vendeur au mome […]	chapitre sont d’ordre public. » Section 5 Autres contrats Article 11 I. – Le chapitre Ier du titre II du livre Ier du code de la consommation est complété par des sections 14 et 15 ainsi rédigées : « Section 14 « Contrats conclus dans les foires et salons « Art. L. 121-97. – Av	révues à l’article L. 141-1-2. « Section 15 « Contrats d’achat de métaux précieux (division et intitulé nouveaux) « Art. L. 121-98 (nouveau). – Tout professionnel proposant des opérations d’achat de métaux précieux, notamment d’or, d’argent ou de platine, sous quelque forme que ce soit, auprès des consommateurs doit, par voie d’affichage, indiquer les prix proposés, selon des modalités fixées par arrêté du ministre chargé de l’économie, après consultation du Conseil national de la consommation. « Art. L. 121-99 (nouveau). – Toute opération d’achat de métaux précieux, notamment d’or, d’argent ou de platine, sous quelque forme que ce soit, par un professionnel auprès d’un consommateur doit faire l’objet d’un contrat écrit dont un exemplaire doit être remis au consommateur-vendeur au moment de sa conclusion. « Art. L. 121-100 (nouveau). – Le contrat prévu à l’article L. 121-99 doit comporter, à peine de nullité, les mentions suivantes : « 1° Le nom et l’adresse complète du professionnel-a	http://www.assemblee-nationale.fr/14/ta/ta0176.asp	juste		sonnet-juge-a	sonnet-juge-b		L121-99 écrit « fait l'objet d'un contrat écrit ... remis au consommateur-vendeur au moment de sa conclusion », contenu quasi identique à L121-100 du fonds.	Le texte écrit sous L121-99 « fait l'objet d'un contrat écrit dont un exemplaire est remis au consommateur-vendeur » reprend mot pour mot le contenu promulgué sous L121-100.		2026-09-26
juste	1e38d2fbb2b67daa	citation	suppose	oui	9797	senat/petite-loi-ameli-2013-2014-348.html	11	L121-107	code de la consommation	L121-108 (2014-10-01) — écrit par la loi du dossier, 2014-10-01 : La durée des contrats mentionnés à l'article L. 121-106 ne peut excéder cinq ans.	................................. Section 5 Autres contrats Article 11 I.  Le chapitre Ier du titre II du livre Ier du code de la consommation est complété par des sections 14 à 17 ainsi rédigées : « Section 14 « Contrats conclus dans les foires et salons « Art. L. 121-97.  Ava	rreur de facturation ou de retard de livraison ; « 10° (Supprimé) « 11° Le montant des sommes à payer à lexpiration du contrat ou en cas de résiliation anticipée, notamment, le cas échéant, les frais de retrait ou de neutralisation de la citerne. « Au terme du contrat, le professionnel est tenu dinformer le consommateur propriétaire ou futur propriétaire du matériel de stockage du gaz de pétrole liquéfié des obligations qui lui incombent quant à lentretien et à la maintenance dudit matériel. « Art. L. 121-107.  La durée des contrats mentionnés à larticle L. 121-105 ne peut excéder cinq ans. « Art. L. 121-108.  Tout professionnel proposant les contrats mentionnés à larticle L. 121-105 est tenu à une obligation dinformation du consommateur sur la sécurité pendant la durée dexécution du contrat, dans des conditions définies par arrêté conjoint des ministres chargés de la consommation, de lénergie et de la sécurité des équipements sous pression. « Art. L. 121-109.  Tout projet d	http://www.senat.fr/petite-loi-ameli/2013-2014/348.html	juste		sonnet-juge-a	sonnet-juge-b		« La durée des contrats ... ne peut excéder cinq ans » est identique dans le texte (L121-107) et le fonds (L121-108), seul le renvoi interne glisse de L.121-105 à L.121-106.	« La durée des contrats mentionnés à l'article L. 121-106 ne peut excéder cinq ans » écrit sous L121-107 est identique à L121-108, seul le renvoi interne est renuméroté.		2026-09-26
juste	1efc086806f44e9d	citation	suppose	oui	6672	assemblee/14-ta-commission-r1574-a0.asp	1er	L423-9	code de la consommation	L423-16 (2014-03-19) — écrit par la loi du dossier, 2014-03-19 : Tout accord négocié au nom du groupe est soumis à l'homologation du juge, qui vérifie s'il est conforme aux intérêts de ceux auxquels il a vocation à s'appliquer et lui donne force exécutoire. Cet accord précise les mesures de publicité nécessaires pour i […]	, 809, 810, 792, 793, 795 et T.A. 213 (2012-2013). Chapitre Ier Action de groupe Article 1er Le titre II du livre IV du code de la consommation est complété par un chapitre III ainsi rédigé : « Chapitre III « Action de groupe « Section 1 « Champ d’application de l’action de group	s fixés, aux fins de l’exécution forcée du jugement mentionné au second alinéa de l’article L. 423-6. « Section 4 « Médiation « Art. L. 423-8. – (Non modifié) Seule l’association requérante peut participer à une médiation, dans les conditions fixées au chapitre Ier du titre II de la loi n° 95-125 du 8 février 1995 relative à l’organisation des juridictions et à la procédure civile, pénale et administrative, afin d’obtenir la réparation des préjudices individuels mentionnés à l’article L. 423-1. « Art. L. 423-9. – (Non modifié) Tout accord négocié au nom du groupe est soumis à l’homologation du juge, qui vérifie s’il est conforme aux intérêts de ceux auxquels il a vocation à s’appliquer et lui donne force exécutoire. Cet accord précise les mesures de publicité nécessaires pour informer les consommateurs concernés de la possibilité d’y adhérer, ainsi que les délais et modalités de cette adhésion. « Section 5 « Modalités spécifiques à l’action de groupe intervenant dans le domaine de la c	http://www.assemblee-nationale.fr/14/ta-commission/r1574-a0.asp	juste		sonnet-juge-a	sonnet-juge-b		« Tout accord négocié au nom du groupe est soumis à l'homologation du juge ... lui donne force exécutoire » est identique mot pour mot entre L423-9 du texte et L423-16 du fonds.	« Tout accord négocié au nom du groupe est soumis à l'homologation du juge... » écrit sous L423-9 est mot pour mot le contenu promulgué sous L423-16.		2026-09-26
juste	20397f2258f3a76f	citation	suppose	oui	7059	assemblee/14-projets-pl1357.asp	1er	L423-10	code de la consommation	L423-17 (2014-03-19) — écrit par la loi du dossier, 2014-03-19 : Lorsque les manquements reprochés au professionnel portent sur le respect des règles définies au titre II du livre IV du code de commerce ou des articles 101 et 102 du traité sur le fonctionnement de l'Union européenne, la responsabilité du professionnel  […]	, 792, 793, 795, 809, 810 et T.A. 213 (2012-2013). Chapitre IER Action de groupe Article 1er Le titre II du livre IV du code de la consommation est complété par un chapitre III ainsi rédigé : « Chapitre III « Action de groupe « Section 1 « Champ d’application de l’action de group	1. « Art. L. 423-9. – Tout accord négocié au nom du groupe est soumis à l’homologation du juge, qui vérifie s’il est conforme aux intérêts de ceux auxquels il a vocation à s’appliquer et lui donne force exécutoire. Cet accord précise les mesures de publicité nécessaires pour informer les consommateurs concernés de la possibilité d’y adhérer, ainsi que les délais et modalités de cette adhésion. « Section 5 « Modalités spécifiques à l’action de groupe intervenant dans le domaine de la concurrence « Art. L. 423-10. – Lorsque les manquements reprochés au professionnel portent sur le respect des règles définies au titre II du livre IV du code de commerce ou des articles 101 et 102 du traité sur le fonctionnement de l’Union européenne, la responsabilité du professionnel ne peut être prononcée dans le cadre de l’action mentionnée à l’article L. 423-1 que sur le fondement d’une décision constatant les manquements, qui n’est plus susceptible des voies de recours ordinaires ni de pourvoi en cass	https://www.assemblee-nationale.fr/14/projets/pl1357.asp	juste		sonnet-juge-a	sonnet-juge-b		La disposition sur les manquements relevant du titre II du livre IV du code de commerce ou des articles 101-102 TFUE est identique entre L423-10 du texte et L423-17 du fonds.	« Lorsque les manquements reprochés au professionnel portent sur le respect des règles... » écrit sous L423-10 est le contenu promulgué sous L423-17.		2026-09-26
juste	2139a6b31757e798	citation	suppose	oui	16583	senat/leg-pjl12-810.html	5	L121-20-2	code de la consommation	L121-34-1-1 (2014-06-14) — écrit par la loi du dossier, 2014-06-14 : Les conditions de la prospection directe au moyen d'un automate d'appel, d'un télécopieur ou d'un courrier électronique sont prévues à l'article L. 34-5 du code des postes et des communications électroniques.	B et 4 bis (Supprimés) Section 2 Démarchage et vente à distance Article 5 Le chapitre I er du titre II du livre I er du code de la consommation est ainsi modifié : I (nouveau) . - La section 2 est ainsi rédigée : « Section 2 « Contrats conclus à distance et hors établissement « S	nique, les conditions dans lesquelles les entreprises ont accès à une version actualisée de la liste et les modalités du contrôle de l'État sur l'organisme gestionnaire. « Les interdictions prévues aux deuxième et quatrième alinéas ne s'appliquent pas à la prospection en vue de la fourniture de journaux, de périodiques ou de magazines. « Le présent article s'applique sans préjudice des articles 38 à 40 de la loi n° 78-17 du 6 janvier 1978 relative à l'informatique, aux fichiers et aux libertés. « Art. L. 121-20-2. - Les conditions de la prospection directe au moyen d'un automate d'appel, d'un télécopieur ou d'un courrier électronique sont prévues à l'article L. 34-5 du code des postes et des communications électroniques. « Art. L. 121-20-3 (nouveau) . - Lorsqu'un professionnel contacte un consommateur par téléphone dans les conditions mentionnées à l'article L. 121-20, l'utilisation d'un numéro masqué est interdite. » « Sous-section 6 « Droit de rétractation applicable aux contrats con	http://www.senat.fr/leg/pjl12-810.html	juste		sonnet-juge-a	sonnet-juge-b		La phrase sur les conditions de prospection par automate d'appel renvoyant à l'article L. 34-5 CPCE est identique mot pour mot entre L121-20-2 et L121-34-1-1 du fonds.	« Les conditions de la prospection directe au moyen d'un automate d'appel... » écrit sous L121-20-2 est identique, mot pour mot, à L121-34-1-1.		2026-09-26
juste	250a2b6ad7fa62e2	citation	suppose	oui	4040	senat/leg-pjl12-810.html	1 er	L423-4	code de la consommation	L423-9 (2014-03-19) — écrit par la loi du dossier, 2014-03-19 : L'association peut s'adjoindre, avec l'autorisation du juge, toute personne appartenant à une profession judiciaire réglementée, dont la liste est fixée par décret en Conseil d'Etat, pour l'assister, notamment afin qu'elle procède à la réception des demand […]	RELATIF À LA CONSOMMATION TEXTE DE LA COMMISSION CHAPITRE I ER Action de groupe Article 1 er Le titre II du livre IV du code de la consommation est complété par un chapitre III ainsi rédigé : « CHAPITRE III « Action de groupe « Section 1 « Champ d'application de l'action de group	e ne vaut ni n'implique adhésion à celle-ci. « Lorsqu'il statue sur la responsabilité, le juge peut condamner le professionnel au paiement d'une provision à valoir sur les frais non compris dans les dépens exposés par l'association, y compris ceux afférents à la mise en oeuvre de l'article L. 423-4. « Il peut ordonner, lorsqu'il la juge nécessaire et compatible avec la nature de l'affaire, la consignation à la Caisse des dépôts et consignations d'une partie des sommes dues par le professionnel. « Art. L. 423-4. - (Non modifié) L'association peut s'adjoindre, avec l'autorisation du juge, toute personne appartenant à une profession judiciaire réglementée dont la liste est fixée par décret en Conseil d'État, pour l'assister, notamment afin qu'elle procède à la réception des demandes d'indemnisation des membres du groupe et plus généralement afin qu'elle représente les consommateurs lésés, auprès du professionnel, en vue de leur indemnisation. « Section 2 bis « Procédure d'action de groupe	http://www.senat.fr/leg/pjl12-810.html	juste		sonnet-juge-a	sonnet-juge-b		« L'association peut s'adjoindre ... toute personne appartenant à une profession judiciaire réglementée » est identique entre L423-4 du texte et L423-9 du fonds.	« L'association peut s'adjoindre, avec l'autorisation du juge, toute personne appartenant à une profession judiciaire réglementée... » écrit sous L423-4 est le texte de L423-9.		2026-09-26
juste	267bee6a845317a0	citation	suppose	oui	14550	assemblee/14-projets-pl1357.asp	5	L121-20-3	code de la consommation	L121-34-2 (2014-06-14) — écrit par la loi du dossier, 2014-06-14 : Lorsqu'un professionnel contacte un consommateur par téléphone dans les conditions mentionnées à l'article L. 121-20, l'utilisation d'un numéro masqué est interdite. Le numéro affiché avant l'établissement de l'appel en application du premier alinéa du  […]	2 du code des postes et des communications électroniques. I. – La section 2 du chapitre Ier du titre II du livre Ier du code de la consommation est ainsi rédigée : « Section 2 « Contrats conclus à distance et hors établissement « Sous-section 1 « Définitions et champ d’applicatio	il effectue cet appel, et la nature commerciale de celui-ci. « À la suite d’un démarchage par téléphone, le professionnel adresse au consommateur, sur papier ou sur support durable, une confirmation de l’offre qu’il a faite et reprenant toutes les informations mentionnées au I de l’article L. 121-17. « Le consommateur n’est engagé par cette offre qu’après l’avoir signée et acceptée par écrit ou avoir donné son consentement par voie électronique. « Art. L. 121-20-1 et L. 121-20-2. – (Supprimés) « Art. L. 121-20-3 (nouveau). – Lorsqu’un professionnel contacte un consommateur par téléphone dans les conditions mentionnées à l’article L. 121-20, l’utilisation d’un numéro masqué est interdite. « Le numéro affiché avant l’établissement de l’appel en application du premier alinéa est affecté au professionnel pour le compte duquel l’appel est effectué. En cas de rappel du consommateur à ce numéro, ce professionnel s’identifie préalablement à la facturation de toute prestation de services autre	https://www.assemblee-nationale.fr/14/projets/pl1357.asp	juste		sonnet-juge-a	sonnet-juge-b		« L'utilisation d'un numéro masqué est interdite » et la suite sur l'affichage du numéro sont identiques entre L121-20-3 et L121-34-2 du fonds.	« Lorsqu'un professionnel contacte un consommateur par téléphone... l'utilisation d'un numéro masqué est interdite » écrit sous L121-20-3 est le texte de L121-34-2.		2026-09-26
juste	272ed40cea3da5d9	citation	suppose	oui	5463	assemblee/14-ta-ta0262.asp	1er	L423-10	code de la consommation	L423-17 (2014-03-19) — écrit par la loi du dossier, 2014-03-19 : Lorsque les manquements reprochés au professionnel portent sur le respect des règles définies au titre II du livre IV du code de commerce ou des articles 101 et 102 du traité sur le fonctionnement de l'Union européenne, la responsabilité du professionnel  […]	809, 810, 792, 793, 795 et T.A. 213 (2012-2013). Chapitre Ier Action de groupe Article 1er Le titre II du livre IV du code de la consommation est complété par un chapitre III ainsi rédigé : « Chapitre III « Action de groupe « Section 1 « Champ d’application de l’action de group	Non modifié) « Art. L. 423-6. – Le juge ayant statué sur la responsabilité tranche les difficultés qui s’élèvent à l’occasion de la phase de liquidation des préjudices. « Il statue dans un même jugement sur toutes les demandes d’indemnisation auxquelles le professionnel n’a pas fait droit. « Art. L. 423-7. – (Non modifié) « Section 4 « Médiation « Art. L. 423-8 et L. 423-9. – (Non modifiés) « Section 5 « Modalités spécifiques à l’action de groupe intervenant dans le domaine de la concurrence « Art. L. 423-10. – Lorsque les manquements reprochés au professionnel portent sur le respect des règles définies au titre II du livre IV du code de commerce ou des articles 101 et 102 du traité sur le fonctionnement de l’Union européenne, la responsabilité du professionnel ne peut être prononcée dans le cadre de l’action mentionnée à l’article L. 423-1 que sur le fondement d’une décision prononcée à l’encontre du professionnel par les autorités ou juridictions nationales ou de l’Union européenn	http://www.assemblee-nationale.fr/14/ta/ta0262.asp	juste		sonnet-juge-a	sonnet-juge-b		Même disposition sur les manquements relevant du code de commerce/articles 101-102 TFUE, identique entre L423-10 du texte et L423-17 du fonds.	Même disposition que L423-10→L423-17 : « Lorsque les manquements reprochés au professionnel... » écrit sous L423-10 est le contenu promulgué sous L423-17.		2026-09-26
juste	276a34e3eea5e59c	citation	suppose	oui	4142	senat/leg-pjl09-539.html	12	L311-46	code de la consommation	L311-47 (2011-05-01) — écrit par la loi du dossier, 2011-05-01 : Lorsque le dépassement se prolonge au-delà de trois mois, le prêteur propose sans délai à l'emprunteur un autre type d'opération de crédit au sens de l'article L. 311-2, dans les conditions régies par le présent chapitre.	les seules informations contractuelles. » Article 12 ( Non modifié) I. - Le chapitre I er du titre I er du livre III du code de la consommation est complété par une section 10 ainsi rédigée : « SECTION 10 « Opérations de découvert en compte « Art. L. 311-42. - Pour l'application	frais applicables et, le cas échéant, les conditions dans lesquelles ces frais peuvent être modifiés. Dans tous les cas, le prêteur fournit ces informations par écrit ou sur un autre support durable à intervalles réguliers. « Dans le cas d'un dépassement significatif qui se prolonge au-delà d'un mois, le prêteur informe l'emprunteur, sans délai, par écrit ou sur un autre support durable, du montant du dépassement, du taux débiteur et de tous frais ou intérêts sur arriérés qui sont applicables. « Art. L. 311-46 . - Lorsque le dépassement se prolonge au-delà de trois mois, le prêteur propose sans délai à l'emprunteur un autre type d'opération de crédit au sens de l'article L. 311-2, dans les conditions régies par le présent chapitre. » II . - A. - Après le deuxième alinéa du I de l'article L. 312-1-1 du code monétaire et financier, il est inséré un alinéa ainsi rédigé : « Lorsqu'un relevé de compte est diffusé en application des stipulations de la convention visée à l'alinéa précédent e	http://www.senat.fr/leg/pjl09-539.html	juste		sonnet-juge-a	sonnet-juge-b		« Lorsque le dépassement se prolonge au-delà de trois mois, le prêteur propose ... un autre type d'opération de crédit » est identique entre L311-46 du texte et L311-47 du fonds.	« Lorsque le dépassement se prolonge au-delà de trois mois... » écrit sous L311-46 est identique mot pour mot à L311-47 promulgué.		2026-09-26
juste	27db79b106db974a	citation	suppose	oui	16677	assemblee/14-ta-commission-r1574-a0.asp	5	L121-20-3	code de la consommation	L121-34-2 (2014-06-14) — écrit par la loi du dossier, 2014-06-14 : Lorsqu'un professionnel contacte un consommateur par téléphone dans les conditions mentionnées à l'article L. 121-20, l'utilisation d'un numéro masqué est interdite. Le numéro affiché avant l'établissement de l'appel en application du premier alinéa du  […]	ge et vente à distance Article 5 I A à I C. – (Supprimés) I. – La section 2 du chapitre Ier du titre II du livre Ier du code de la consommation est ainsi rédigée : « Section 2 « Contrats conclus à distance et hors établissement « Sous-section 1 « Définitions et champ d’applicatio	ne s’appliquent pas à la prospection en vue de la fourniture de journaux, de périodiques ou de magazines. « Le présent article s’applique sans préjudice des articles 38 à 40 de la loi n° 78-17 du 6 janvier 1978 relative à l’informatique, aux fichiers et aux libertés. « Art. L. 121-20-2. – Les conditions de la prospection directe au moyen d’un automate d’appel, d’un télécopieur ou d’un courrier électronique sont prévues à l’article L. 34-5 du code des postes et des communications électroniques. « Art. L. 121-20-3. – Lorsqu’un professionnel contacte un consommateur par téléphone dans les conditions mentionnées à l’article L. 121-20, l’utilisation d’un numéro masqué est interdite. « Le numéro affiché avant l’établissement de l’appel en application du premier alinéa du présent article est affecté au professionnel pour le compte duquel l’appel est effectué. En cas de rappel du consommateur à ce numéro, ce professionnel s’identifie préalablement à la facturation de toute prestation de servi	http://www.assemblee-nationale.fr/14/ta-commission/r1574-a0.asp	juste		sonnet-juge-a	sonnet-juge-b		Même disposition sur le numéro masqué, identique mot pour mot entre L121-20-3 du texte et L121-34-2 du fonds.	« Lorsqu'un professionnel contacte un consommateur par téléphone... l'utilisation d'un numéro masqué est interdite » écrit sous L121-20-3 reprend L121-34-2, texte de commission.		2026-09-26
