verdict	cle	chambre	amendement	sort	auteur	article	formule	dossier	subdivision	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	22fe4764fc83e93f	assemblee	4393	Non soutenu	M. Philippe Tourtelier	L112-10	rédigé	JORFDOLE000020078758	ART. 85	Rédiger ainsi l’alinéa 3 : « Art. L. 112-10. – À partir du 1 er janvier 2011, le consommateur doit être informé, par voie de marquage, d’étiquetage, d’affichage ou par tout autre procédé approprié du contenu en équivalent carbone des produits et de leur emballage. »	L112-10 (2010-07-14) — écrit par la loi du dossier, 2010-07-14 : A partir du 1er juillet 2011, et après concertation avec l'ensemble des acteurs des filières concernées, une expérimentation est menée, pour une durée minimale d'une année, afin d'informer progressivement le consommateur par tout procédé approprié du cont […]	https://www.assemblee-nationale.fr/13/amendements/2449/244901541.asp	juste		sonnet-juge-a	sonnet-juge-b		Le dispositif écrit « Art. L. 112-10. – […] », rédaction directe de l'article, même objet (marquage du contenu en équivalent carbone) que le fonds.	Réécrit l'alinéa 3 en « Art. L. 112-10 » informant du contenu en équivalent carbone : même objet que le texte du fonds sous L112-10 (expérimentation d'information sur le carbone).		2026-09-26
juste	259eb69523e69416	assemblee	1476	Rejeté	M. Jean Gaubert	L121-83	inséré	JORFDOLE000018730653	AVANT L'ART. 21	Avant l'article 21, insérer l'article suivant : Après le f) de l’article L. 121-83 du code de la consommation, est inséré un g) ainsi rédigé : « g) la contrepartie associée au paiement de sommes forfaitaires dues lors de la résiliation du contrat. »	L121-83 (2004-07-10) — en vigueur à la loi du dossier, 2004-07-10 : Tout contrat souscrit par un consommateur avec un fournisseur de services de communications électroniques au sens du 6° de l'article L. 32 du code des postes et des communications électroniques doit comporter au moins les informations suivantes : a) L' […]	https://www.assemblee-nationale.fr/13/amendements/0842/084201087.asp	juste		sonnet-juge-a	sonnet-juge-b		« Après le f) […] est inséré un g) » ajoute une lettre à L121-83 lui-même, ce n'est pas une ancre vers un autre article.	Insère un g) dans la liste de l'article L. 121-83 lui-même (contrepartie de résiliation), sans passer par un autre article.		2026-09-26
juste	26df6613b3ff2231	assemblee	1837	Adopté	M. Jean-Paul Charié	L122-11-1	rédigé	JORFDOLE000018730653	AVANT L'ART. 21	Avant l'article 21, insérer l'article suivant : I. – Après l’article L. 121-1 du code de la consommation, il est inséré un article L. 121-1-1 ainsi rédigé : « Art. L. 121-1-1. – Sont réputées trompeuses au sens de l’article L. 121-1 les pratiques commerciales qui ont pour objet : « 1° pour un professionnel, de se prétendre signataire d'un code de conduite alors qu'il ne l'est pas ; « 2° d’afficher un certificat, un label de qualité ou un équivalent sans avoir obtenu l'autorisation nécessaire ; « 3° d’affirmer qu'un code de conduite a reçu l'approbation d'un organisme public ou privé alors que  […]	L122-11-1 (2008-08-06) — écrit par la loi du dossier, 2008-08-06 : Sont réputées agressives au sens de l'article L. 122-11 les pratiques commerciales qui ont pour objet : 1° De donner au consommateur l'impression qu'il ne pourra quitter les lieux avant qu'un contrat n'ait été conclu ; 2° D'effectuer des visites personn […]	https://www.assemblee-nationale.fr/13/amendements/0842/084201486.asp	juste		sonnet-juge-a	sonnet-juge-b		Le texte intégral (II) écrit « Art. L. 122-11-1. – Sont réputées agressives […] », mot pour mot le contenu du fonds ; le I qui crée L121-1-1 n'est pas jugé ici.	Le II crée « Art. L. 122-11-1 » mot pour mot le texte que la loi du dossier a rangé sous L122-11-1 (pratiques réputées agressives, 1° à 8°).		2026-09-26
juste	279b2d89f9c4c16a	assemblee	5097	Adopté	LE GOUVERNEMENT	L331-11	complété	JORFDOLE000020542090	ART. 23	Compléter cet article par les deux alinéas suivants : « 6° L’article L. 331-11 est complété par un alinéa ainsi rédigé : « Les renseignements relatifs au dépôt d’un dossier de surendettement et à la situation du débiteur ne peuvent être communiqués aux créanciers, aux établissements de paiement et aux établissements de crédit qui tiennent les comptes de dépôt du débiteur, antérieurement à la décision de recevabilité du dossier, sous peine des sanctions prévues à l’article 226-13 du code pénal. Ces dispositions ne font toutefois pas obstacle à l’application des règles prévues à l’article L. 333 […]	L331-11 (1993-07-27) — écrit par la loi du dossier, 2010-11-01 : Les membres de la commission, ainsi que toute personne qui participe à ses travaux ou est appel […] ‖ avant, 1995-08-01 : Les membres de la commission, ainsi que toute personne qui participe à ses travaux ou est appelée au traitement de la situation de surendettement,  […]	https://www.assemblee-nationale.fr/13/amendements/2150/215000350.asp	juste		sonnet-juge-a	sonnet-juge-b		« L'article L. 331-11 est complété par un alinéa » modifie directement l'article, qui reste par ailleurs la même disposition de confidentialité de la commission.	Complète directement l'article L. 331-11 par un alinéa sur la communication du dépôt de dossier de surendettement.		2026-09-26
juste	2bf5853296a06278	assemblee	1252	Rejeté	M. Christian Paul	L122-1	complété	JORFDOLE000018730653	AVANT L'ART. 21	Avant l'article 21, insérer l'article suivant : Le premier alinéa de l'article L. 122-1 du code de consommation est complété par une phrase ainsi rédigée : « Le fournisseur de produits ou de services qui met un détaillant en position de devoir nécessairement opposer un tel refus à un consommateur est regardé comme l'auteur de la pratique. »	L122-1 (1993-07-27) — en vigueur à la loi du dossier, 2001-12-12 : Il est interdit de refuser à un consommateur la vente d'un produit ou la prestation d'un service, sauf motif légitime, et de subordonner la vente d'un produit à l'achat d'une quantité imposée ou à l'achat concomitant d'un autre produit ou d'un autre ser […]	https://www.assemblee-nationale.fr/13/amendements/0842/084200852.asp	juste		sonnet-juge-a	sonnet-juge-b		« Le premier alinéa de l'article L. 122-1 […] est complété » est une modification directe de l'article, sur le même objet (refus de vente).	Complète directement le premier alinéa de l'article L. 122-1.		2026-09-26
juste	2c81f58b897d7308	assemblee	6334	Adopté	M. Richard Mallié	L112-7-1	rédigé	JORFDOLE000021673304	APRÈS L'ART. PREMIER BIS	Après l'article premier bis, insérer l'article suivant : Après l’article L. 112-7 du code de la consommation, il est inséré un article L. 112-7-1 ainsi rédigé : « Art. L. 112-7-1. – L’utilisation de mentions faisant état de présence de truffes ou de produits dérivés dans les produits alimentaires fait l’objet des dispositions suivantes : « 1° Les dénominations « truffé » ou « à la truffe » sont réservées aux produits alimentaires contenant un minimum de 3 % de truffe. « Le produit proposé à la consommation doit en outre indiquer le nom usuel de l’espèce de truffe utilisée dans la composition d […]	"L112-7-1 (2010-07-29) — écrit par la loi du dossier, 2010-07-29 : L'utilisation de mentions faisant état de présence de truffes ou de produits dérivés de truffes dans les denrées alimentaires fait l'objet des dispositions suivantes : 1° La dénomination ""truffé” est réservée aux denrées alimentaires contenant un minimum […]"	https://www.assemblee-nationale.fr/13/amendements/2636/263600376.asp	juste		sonnet-juge-a	sonnet-juge-b		Le dispositif écrit « Art. L. 112-7-1. – […] », création intégrale dont le contenu (dénominations truffées) reprend mot pour mot le fonds.	Crée « Art. L. 112-7-1 » sur les mentions « truffé »/« à la truffe », mot pour mot le texte du fonds sous L112-7-1.		2026-09-26
juste	2dd23055fef6d002	assemblee	500	Adopté	M. Nicolas Forissier	L115-29	rédigé	JORFDOLE000018730653	APRÈS L'ART. 36	Après l'article 36, insérer l'article suivant : I. – L’accréditation est l’attestation de la compétence des organismes qui effectuent des activités d’évaluation de la conformité. Afin de garantir l’impartialité de l’accréditation, il est créé une instance nationale d’accréditation, seule habilitée à délivrer les certificats d’accréditation en France. Un décret en Conseil d’État désigne cette instance et fixe ses missions. II. – Le chapitre V du titre Ier du livre Ier du code de la consommation est ainsi modifié : 1° L’intitulé de la section 5 est ainsi rédigé : « Certification des services et  […]	L115-29 (1994-01-04) — écrit par la loi du dossier, 2009-01-01 : Les dispositions des articles L. 115-27 et L. 115-28 ne sont pas applicables : 1° A la certific […] ‖ avant, 2008-05-01 : Les dispositions des articles L. 115-27 et L. 115-28 ne sont pas applicables : 1° A la certification des denrées alimentaires et des produits agric […]	https://www.assemblee-nationale.fr/13/amendements/0842/084200028.asp	juste		sonnet-juge-a	sonnet-juge-b		Le texte intégral (II 4°) écrit « Le 1° de l'article L. 115-29 est ainsi rédigé […] », réécriture directe qui correspond au 1° du fonds.	Le 4° du II réécrit le 1° de l'article L. 115-29 (« À la certification des produits agricoles, forestiers, alimentaires ou de la mer »), identique au fonds.		2026-09-26
juste	31c6774e912a1779	assemblee	1568	Adopté	M. Lionel Tardy	L132-1	remplacés	JORFDOLE000018730653	AVANT L'ART. 21	Avant l'article 21, insérer l'article suivant : I. – Les deuxième et troisième alinéas de l’article L. 132-1 du code de la consommation sont remplacés par deux alinéas ainsi rédigés : « Un décret en Conseil d'État, pris après avis de la commission instituée à l'article L. 132-2, détermine une liste de clauses présumées abusives ; en cas de litige concernant un contrat comportant une telle clause, le professionnel doit apporter la preuve du caractère non abusif de la clause litigieuse. « Un décret pris dans les mêmes conditions détermine des types de clauses qui, eu égard à la gravité des attei […]	L132-1 (1993-07-27) — écrit par la loi du dossier, 2009-01-01 : Dans les contrats conclus entre professionnels et non-professionnels ou consommateurs, sont abus […] ‖ avant, 2001-08-25 : Dans les contrats conclus entre professionnels et non-professionnels ou consommateurs, sont abusives les clauses qui ont pour objet ou pour effet d […]	https://www.assemblee-nationale.fr/13/amendements/0842/084201195.asp	juste		sonnet-juge-a	sonnet-juge-b		« Les deuxième et troisième alinéas de l'article L. 132-1 […] sont remplacés » est une réécriture directe, sur le même objet (clauses abusives).	Remplace directement les 2e et 3e alinéas de l'article L. 132-1 (décret listant les clauses abusives).		2026-09-26
juste	3425184b9b7aaaef	assemblee	1436	Non soutenu	M. Daniel Paul	L121-21	inséré	JORFDOLE000018730653	AVANT L'ART. 21	Avant l'article 21, insérer l'article suivant : Après le premier alinéa de l’article L. 121-21 du code de la consommation, est inséré un alinéa ainsi rédigé : « Sont également soumises aux dispositions de la présente section les opérations visant à proposer la vente, la location, la location vente ou la location avec option d’achat de biens ou de fournitures de services, délivrées à l’occasion d’une foire ou d’un salon tel que définis par les décrets n° 69-948 du 10 octobre 1969 et n° 2006-85 du 27 janvier 2006 »	L121-21 (1993-07-27) — en vigueur à la loi du dossier, 1993-07-27 : Est soumis aux dispositions de la présente section quiconque pratique ou fait pratiquer le démarchage, au domicile d'une personne physique, à sa résidence ou à son lieu de travail, même à sa demande, afin de lui proposer l'achat, la vente, la location, […]	https://www.assemblee-nationale.fr/13/amendements/0842/084201044.asp	juste		sonnet-juge-a	sonnet-juge-b		« Après le premier alinéa de l'article L. 121-21 […] est inséré un alinéa » insère dans l'article lui-même, non après lui comme ancre.	Insère un alinéa dans l'article L. 121-21 lui-même, qui définit le champ d'application de la section démarchage.		2026-09-26
juste	357a488e0a26dbd7	assemblee	6071	Retiré	M. Germinal Peiro	L115-16	inséré	JORFDOLE000021673304	APRÈS L'ART. PREMIER BIS	Après l'article premier bis, insérer l'article suivant : Le code de la consommation est ainsi modifié : I. – Après l'article L. 112-2, il est inséré un article L. 112-2-1 ainsi rédigé : « Art. L. 112-2-1. – Tout produit qui contient un produit bénéficiant d'une appellation d'origine contrôlée peut être présenté, y compris dans la liste des ingrédients, avec la mention du nom de l'appellation concernée sous réserve du respect des conditions suivantes : « – le produit ne contient aucun autre produit de même nature que le produit d'appellation d'origine contrôlée, « – la mention ne risque pas de  […]	L115-16 (1993-07-27) — écrit par la loi du dossier, 2010-07-29 : Est puni de deux ans d'emprisonnement et d'une amende de 37 500 € le fait : 1° De délivrer une  […] ‖ avant, 2010-05-08 : Est puni de deux ans d'emprisonnement et d'une amende de 37 500 € le fait : 1° De délivrer une appellation d'origine contrôlée sans satisfaire aux  […]	https://www.assemblee-nationale.fr/13/amendements/2636/263600082.asp	juste		sonnet-juge-a	sonnet-juge-b		Le texte intégral (II) écrit « Après le 6° de l'article L. 115-16, il est inséré un 7° […] », insertion directe dans l'article, distincte de l'ancre L112-2 du I.	Le II insère un 7° dans l'article L. 115-16 lui-même (liste des délits liés à l'AOC), bien que le I crée par ailleurs L. 112-2-1 sous un autre numéro.		2026-09-26
