verdict	cle	voie	hote	legi	distance_hote	texte	article_du_texte	numero_cite	code_cite	article_du_fonds	mention_hote	contexte	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	010d7afcb0cf0b93	declaree	suppose	oui	352	assemblee/12-ta-ta0085.asp	6 ter	L341-3	code de la consommation	"L341-3 (2004-02-05) — écrit par la loi du dossier, 2004-02-05 : Lorsque le créancier professionnel demande un cautionnement solidaire, la personne physique qui se porte caution doit, à peine de nullité de son engagement, faire précéder sa signature de la mention manuscrite suivante : ""En renonçant au bénéfice de discus […]"	s : « économiques, comptables et financières ». Article 6 ter (nouveau) I. - Le premier alinéa de l'article L. 331-2 du code de la consommation est complété par les mots : « , ainsi qu'à l'engagement qu'il a donné de cautionner ou d'acquitter solidairement la dette d'un entrepren	"» sont remplacés par les mots : « économiques, comptables et financières ». Article 6 ter (nouveau) I. - Le premier alinéa de l'article L. 331-2 du code de la consommation est complété par les mots : « , ainsi qu'à l'engagement qu'il a donné de cautionner ou d'acquitter solidairement la dette d'un entrepreneur individuel ou d'une société dès lors qu'il n'a pas été, en droit ou en fait, dirigeant de celle-ci ». II. - Le titre IV du livre III du même code est complété par les articles L. 341-2 et L. 341-3 ainsi rédigés : « Art. L. 341-2. - Toute personne physique qui s'engage par acte sous seing privé en qualité de caution envers un créancier professionnel doit, à peine de nullité de son engagement, faire précéder sa signature de la mention manuscrite suivante, et uniquement de celle-ci : ""En me portant caution de X..., dans la limite de la somme de... couvrant le paiement du principal, des intérêts et, le cas échéant, des pénalités ou intérêts de retard et pour la durée de..., je m'enga"	http://www.assemblee-nationale.fr/12/ta/ta0085.asp	juste		sonnet-juge-a	sonnet-juge-b		L'article 6 ter complète le titre IV « du même code » — code nommé une phrase plus haut au I — par les articles L341-2 et L341-3, dont le texte cité correspond mot pour mot au fonds.	L'article 6 ter complète le titre IV du livre III par les articles L.341-2 et L.341-3, qui est bien créé ici, pas seulement cité.		2026-09-26
juste	01174d69c768535d	declaree	nomme	oui	-12	assemblee/dyn-15-textes-l15b4511_texte-adopte-commission-	4 bis	L412-9	code de la consommation	L412-9 (2020-06-12) — écrit par la loi du dossier, 2021-10-20 : I.- Sans préjudice de l'article L. 412-1, dans les établissements proposant des repas à consomme […] ‖ avant, 2020-06-12 : I.-Dans les établissements proposant des repas à consommer sur place ou dans les établissements proposant des repas à consommer sur place et à empo […]	ec le droit de l’Union européenne l’obligation prévue au présent article. » Article 4 bis Le I de l’article L. 412-9 du code de la consommation est ainsi modifié : 1° Au début, sont ajoutés les mots : « Sans préjudice de l’article L. 412-1, » ; 2° Après le mot : « livrer », sont	Art. L. 412-12. – Afin de ne pas induire en erreur le consommateur quant à l’origine de la bière, le consommateur est informé, au moyen d’un étiquetage mettant en évidence ces indications, du nom du brasseur et du lieu de brassage des bières. « Les modalités d’application du présent article sont fixées par décret en Conseil d’État après que la Commission européenne a déclaré compatible avec le droit de l’Union européenne l’obligation prévue au présent article. » Article 4 bis Le I de l’article L. 412-9 du code de la consommation est ainsi modifié : 1° Au début, sont ajoutés les mots : « Sans préjudice de l’article L. 412-1, » ; 2° Après le mot : « livrer », sont insérés les mots : « ou dans les établissements sans salle de consommation sur place et proposant seulement des repas à emporter ou à livrer » ; 3° Sont ajoutés les mots : « , ainsi que pour les viandes utilisées en tant qu’ingrédient dans des préparations de viandes et des produits à base de viande lorsque l’opérateur a conna	https://www.assemblee-nationale.fr/dyn/15/textes/l15b4511_texte-adopte-commission#	juste		sonnet-juge-a	sonnet-juge-b		L'article 4 bis modifie explicitement le I de l'article L412-9, dont l'ajout « Sans préjudice de l'article L. 412-1 » correspond exactement à la version que le fonds montre.	L'article 4 bis modifie explicitement le I de l'article L.412-9 (ajout de mots en tête et en cours d'alinéa).		2026-09-26
juste	013735c6cfbbe94c	declaree	nomme	oui	60	assemblee/13-ta-ta0451.asp	1er b	L311-7	code de la consommation	L311-7 (1993-07-27) — écrit par la loi du dossier, 2011-05-01 : A sa demande, l'emprunteur reçoit sans frais, si le prêteur est disposé à lui consentir un crédi […] ‖ avant, 2006-01-06 : Lorsqu'une opération de financement comporte une prise en charge totale ou partielle des frais au sens des articles L. 311-4 à L. 311-6, le vendeur […]	nnuel qui est remis au Parlement et au Gouvernement. » Article 1er B I. – Le chapitre Ier du titre Ier du livre III du code de la consommation est ainsi modifié : 1° Les articles L. 311-7 et L. 311-7-1 deviennent respectivement les articles L. 311-28 et L. 311-29 ; 2° L’article	l’évolution et les composantes de leurs marges. Outre le Gouverneur de la Banque de France, le comité comprend un député, un sénateur et le directeur général du Trésor et de la politique économique. Il se réunit à l’initiative de son président au moins une fois par trimestre et pendant deux ans. Il établit un rapport annuel qui est remis au Parlement et au Gouvernement. » Article 1er B I. – Le chapitre Ier du titre Ier du livre III du code de la consommation est ainsi modifié : 1° Les articles L. 311-7 et L. 311-7-1 deviennent respectivement les articles L. 311-28 et L. 311-29 ; 2° L’article L. 311-9 devient l’article L. 311-16 ; 3° L’article L. 311-9-1 devient l’article L. 311-26 ; 4° L’article L. 311-12 devient l’article L. 311-19 ; 5° L’article L. 311-14 devient l’article L. 311-20 ; 6° L’article L. 311-17 devient l’article L. 311-14 ; 7° Les articles L. 311-20 à L. 311-24 deviennent respectivement les articles L. 311-31 à L. 311-35 ; 8° Les articles L. 311-26 à L. 311-28 deviennen	http://www.assemblee-nationale.fr/13/ta/ta0451.asp	faux	juste	opus-arbitre (arbitrage)	sonnet-juge-b	opus-arbitre	Remplace « faux » (sonnet-juge-a) ; B : « faux ». Rejugée sur la base de docs/60 : la coupe au départ sépare l'ancien L311-7 (« Lorsqu'une opération de financement… »), parti vers L311-28, du L311-7 neuf ; l'arête pointe l'ancien, que 1er B renumérote.	"L'article 1er B ne fait que renuméroter l'ancien L.311-7 vers L.311-28 (""deviennent respectivement les articles L.311-28 et L.311-29"") ; le nouveau L.311-7 du fonds (""À sa demande, l'emprunteur reçoit sans frais..."") est en réalité écrit par l'article 1er, retrouvé mot pour mot dans le corpus : article du texte mal identifié."	Rejugée sur la base de docs/60 : la coupe au départ sépare l'ancien L311-7 (« Lorsqu'une opération de financement… »), parti vers L311-28, du L311-7 neuf ; l'arête pointe l'ancien, que 1er B renumérote.	2026-09-26
juste	01472b9c44f46bab	declaree	nomme	oui	50	senat/leg-pjl12-810.html	53	L141-1-2	code de la consommation	L141-1-2 (2014-03-19) — écrit par la loi du dossier, 2014-03-19 : I. ― L'autorité administrative chargée de la concurrence et de la consommation est l'autorité compétente pour prononcer les amendes administratives sanctionnant les manquements aux I à III de l'article L. 141-1 ainsi que l'inexécution des mesures d'injon […]	le montant : « 300 000 € ». Section 4 Mise en place de sanctions administratives Article 53 Après l'article L. 141-1 du code de la consommation, il est inséré un article L. 141-1-2 ainsi rédigé : « Art. L. 141-1-2. - I. - L'autorité administrative chargée de la concurrence et de	s au I peuvent faire usage d'un nom d'emprunt. « Un décret en Conseil d'État précise les conditions dans lesquelles ils procèdent à leurs constatations. » III. - (Non modifié) À l'article L. 450-8 du code de commerce, les mots : « six mois » sont remplacés par les mots : « deux ans » et le montant : « 7 500 € » est remplacé par le montant : « 300 000 € ». Section 4 Mise en place de sanctions administratives Article 53 Après l'article L. 141-1 du code de la consommation, il est inséré un article L. 141-1-2 ainsi rédigé : « Art. L. 141-1-2. - I. - L'autorité administrative chargée de la concurrence et de la consommation est l'autorité compétente pour prononcer les amendes administratives sanctionnant les manquements aux I à III de l'article L. 141-1 ainsi que l'inexécution des mesures d'injonction prévues au VII du même article. « II. - L'action de l'administration pour la sanction d'un manquement passible d'une amende administrative excédant 3 000 € pour une personne physique ou 15 000	http://www.senat.fr/leg/pjl12-810.html	juste		sonnet-juge-a	sonnet-juge-b		L'article 53 insère l'article L141-1-2 lui-même (la cible, non une ancre) avec le texte « Art. L. 141-1-2. - I. - L'autorité administrative... » repris mot pour mot par le fonds.	L'article 53 insère l'article L.141-1-2 lui-même (L.141-1 n'est que l'ancre), donc porte bien sur la cible créée.		2026-09-26
juste	016e3128b8981573	declaree	nomme	oui	50	assemblee/13-ta-commission-r2636-a0.asp	1er	L541-1	code de la consommation	L541-1 (2010-07-29) — écrit par la loi du dossier, 2010-07-29 : La politique publique de l'alimentation est définie à l'article L. 230-1 du code rural et de la pêche maritime. Le programme national relatif à la nutrition et à la santé est défini à l'article L. 3231-1 du code de la santé publique.	si rédigé : « Dispositions générales relatives au contrôle sanitaire ». II. – Au chapitre Ier du titre IV du livre V du code de la consommation, il est inséré un article L. 541-1 ainsi rédigé : « Art. L. 541-1. – La politique publique de l’alimentation est définie à l’article L.	es denrées distribuées et, une fois rendues anonymes, sur les bénéficiaires de l’aide alimentaire. La collecte et la transmission de ces données s’effectuent dans le respect de la loi n° 78-17 du 6 janvier 1978 relative à l’informatique, aux fichiers et aux libertés. » 4° (nouveau) L’intitulé du chapitre Ier du titre III est ainsi rédigé : « Dispositions générales relatives au contrôle sanitaire ». II. – Au chapitre Ier du titre IV du livre V du code de la consommation, il est inséré un article L. 541-1 ainsi rédigé : « Art. L. 541-1. – La politique publique de l’alimentation est définie à l’article L. 230-1 du code rural et de la pêche maritime. « Le programme national relatif à la nutrition et à la santé est défini à l’article L. 3231-1 du code de la santé publique. » III. – Le titre unique du livre II bis de la troisième partie du code de la santé publique est ainsi modifié : 1° L’intitulé est ainsi rédigé : « Nutrition et santé » ; 2° Le chapitre unique devient le chapitre II et le	http://www.assemblee-nationale.fr/13/ta-commission/r2636-a0.asp	juste		sonnet-juge-a	sonnet-juge-b		L'article 1er insère l'article L541-1 avec le texte « La politique publique de l'alimentation est définie à l'article L. 230-1... » identique au fonds.	Le II de l'article 1er insère directement l'article L.541-1 ainsi rédigé, qui est la cible elle-même, non une ancre.		2026-09-26
juste	0177bf6dc730d309	declaree	nomme	oui	65	assemblee/14-ta-commission-r1574-a0.asp	48	L215-3-4	code de la consommation	L215-3-4 (2014-03-19) — écrit par la loi du dossier, 2014-03-19 : I.-Lorsque l'établissement de la preuve de l'infraction ou du manquement en dépend et qu'elle ne peut être établie autrement, les agents mentionnés au I de l'article L. 215-1 peuvent différer le moment où ils déclinent leur qualité au plus tard jusqu'à l […]	ode de la consommation, les mots : « d’enquête » sont supprimés. Article 48 (Non modifié) Après l’article L. 215-3-2 du code de la consommation, sont insérés des articles L. 215-3-3 et L. 215-3-4 ainsi rédigés : « Art. L. 215-3-3. – Lorsqu’ils recherchent ou constatent une infrac	e ; » 4° Il est ajouté un 13° ainsi rédigé : « 13° Les inspecteurs de l’Agence nationale chargée de la sécurité sanitaire de l’alimentation, de l’environnement et du travail, qui disposent à cet effet des pouvoirs prévus à l’article L. 5146-2 du même code. » Article 47 bis (Non modifié) À l’article L. 215-1-1 du code de la consommation, les mots : « d’enquête » sont supprimés. Article 48 (Non modifié) Après l’article L. 215-3-2 du code de la consommation, sont insérés des articles L. 215-3-3 et L. 215-3-4 ainsi rédigés : « Art. L. 215-3-3. – Lorsqu’ils recherchent ou constatent une infraction ou un manquement au présent livre, les agents mentionnés au I de l’article L. 215-1 sont habilités à relever l’identité de la personne qu’ils contrôlent. Si celle-ci refuse ou se trouve dans l’impossibilité de justifier de son identité, ils en rendent compte immédiatement à tout officier de police judiciaire territorialement compétent, qui peut alors procéder à une vérification d’identité dans les	http://www.assemblee-nationale.fr/14/ta-commission/r1574-a0.asp	juste		sonnet-juge-a	sonnet-juge-b		L'article 48 insère les articles L215-3-3 et L215-3-4 eux-mêmes (cibles nommées), le fonds montrant le même texte pour L215-3-4.	L'article 48 insère les articles L.215-3-3 ET L.215-3-4 après L.215-3-2 : L.215-3-4 est l'une des cibles créées, pas l'ancre.		2026-09-26
juste	0190ec04d043f29b	declaree	suppose	oui	399	senat/leg-pjl08-448.html	1 er b	L311-16	code de la consommation	L311-16 (1993-07-27) — écrit par la loi du dossier, 2011-05-01 : Lorsqu'il s'agit d'une ouverture de crédit qui, assortie ou non de l'usage d'une carte de crédi […] ‖ avant, 2011-05-01 : Lorsqu'il s'agit d'une ouverture de crédit qui, assortie ou non de l'usage d'une carte de crédit, offre à son bénéficiaire la possibilité de dispos […]	ui est remis au Parlement et au Gouvernement. » Article 1 er B (nouveau) Le chapitre I er du titre I er du livre III du code de la consommation est ainsi modifié : 1° Les articles L. 311-6, L. 311-7 et L. 311-7-1 deviennent respectivement les articles L. 311-27 à L. 311-29 ; 2° L	lement et au Gouvernement. » Article 1 er B (nouveau) Le chapitre I er du titre I er du livre III du code de la consommation est ainsi modifié : 1° Les articles L. 311-6, L. 311-7 et L. 311-7-1 deviennent respectivement les articles L. 311-27 à L. 311-29 ; 2° L'article L. 311-9 devient l'article L. 311-16 ; 3° L'article L. 311-9-1 devient l'article L. 311-26 ; 4° L'article L. 311-12 devient l'article L. 311 - 19 ; 5° L'article L. 311-14 devient l'article L. 311-20 ; 6° Les articles L. 311-15 et L. 311-16 deviennent l'article L. 311-14 et l'article L. 311-17 devient l'article L. 311-15 ; 7° Les articles L. 311-20 à L. 311-25 deviennent les articles L. 311-31 à L. 311-36 ; 8° L'article L. 311-25-1 devient l'article L. 311-38 ; 9° Les articles L. 311-26 à L. 311-28 deviennent les articles L. 311-39 à L. 311-41 ; 10° L'article L. 311-29 devient l'article L. 311-22 ; 11° L'article L. 311-30 devient l'article L. 311-24 ; 12° L'article L. 311-31 devient l'article L. 311-25 ; 13° L'article L.	http://www.senat.fr/leg/pjl08-448.html	juste		sonnet-juge-a	sonnet-juge-b		L'article 1er B crée L311-16 en y renumérotant l'ancien L311-9 (« L'article L. 311-9 devient l'article L. 311-16 »), ce que l'article 10 confirme lui-même (« l'article L. 311-16 ..., tel qu'il résulte de l'article 1er B »).	"Le point 2° de l'article 1er B écrit explicitement ""L'article L.311-9 devient l'article L.311-16"", destination qui correspond exactement au fonds (legi=oui, contenu inchangé confirmé dans le corpus)."		2026-09-26
juste	01939ba1a902043c	declaree	suppose	oui	2071	assemblee/14-ta-commission-r1156-a0.asp	66	L312-34	code de la consommation	L312-34 (1993-07-27) — écrit par la loi du dossier, 2014-03-19 : Le prêteur ou le bailleur qui, en infraction aux dispositions de l'article L. 312-11 ou de l'ar […] ‖ avant, 2002-01-01 : Le prêteur ou le bailleur qui, en infraction aux dispositions de l'article L. 312-11 ou de l'article L. 312-28, accepte de recevoir de l'emprunteur […]	au plus. » IX. – L’article L. 217-10-1 du code de la consommation est abrogé. Article 66 I. – L’article L. 311-50 du code de la consommation est ainsi modifié : 1° À la fin du premier alinéa, le montant : « 30 000 € » est remplacé par le montant : « 300 000 € » ; 2° Il est a	rcice ou à l’occasion de l’exercice de laquelle l’infraction a été commise, soit d’exercer une profession commerciale ou industrielle, de diriger, d’administrer, de gérer ou de contrôler à un titre quelconque, directement ou indirectement, pour leur propre compte ou pour le compte d’autrui, une entreprise commerciale ou industrielle ou une société commerciale. Ces interdictions d’exercice ne peuvent excéder une durée de cinq ans. Elles peuvent être prononcées cumulativement. » III. – L’article L. 312-34 du même code est ainsi modifié : 1° À la fin, le montant : « 30 000 € » est remplacé par le montant : « 300 000 € » ; 2° Il est ajouté un alinéa ainsi rédigé : « Les personnes physiques déclarées coupables encourent également à titre de peines complémentaires l’interdiction, suivant les modalités prévues à l’article 131-27 du code pénal, soit d’exercer une fonction publique ou d’exercer l’activité professionnelle ou sociale dans l’exercice ou à l’occasion de l’exercice de laquelle l	http://www.assemblee-nationale.fr/14/ta-commission/r1156-a0.asp	juste		sonnet-juge-a	sonnet-juge-b		L'article 66 III modifie directement L312-34 (montant porté à 300 000 € et alinéa ajouté), conforme au fonds écrit par la loi du dossier.	Le III de l'article 66 modifie directement l'article L.312-34 (montant de l'amende et ajout d'un alinéa).		2026-09-26
juste	019404cbef26990a	declaree	suppose	oui	432	assemblee/13-projets-pl1769.asp	1er b	L311-17	code de la consommation	L311-17 (1993-07-27) — écrit par la loi du dossier, 2011-05-01 : Lorsque le crédit renouvelable mentionné à l'article L. 311-16 est assorti de l'usage d'une car […] ‖ avant, 1993-07-27 : Tant que l'opération n'est pas définitivement conclue, aucun paiement, sous quelque forme et à quelque titre que ce soit, ne peut être fait par le  […]	l qui est remis au Parlement et au Gouvernement. » Article 1er B (nouveau) Le chapitre Ier du titre Ier du livre III du code de la consommation est ainsi modifié : 1° Les articles L. 311-6, L. 311-7 et L. 311-7-1 deviennent respectivement les articles L. 311-27 à L. 311-29 ; 2° L	rticle 1er B (nouveau) Le chapitre Ier du titre Ier du livre III du code de la consommation est ainsi modifié : 1° Les articles L. 311-6, L. 311-7 et L. 311-7-1 deviennent respectivement les articles L. 311-27 à L. 311-29 ; 2° L’article L. 311-9 devient l’article L. 311-16 ; 3° L’article L. 311-9-1 devient l’article L. 311-26 ; 4° L’article L. 311-12 devient l’article L. 311-19 ; 5° L’article L. 311-14 devient l’article L. 311-20 ; 6° L’article L. 311-16 devient l’article L. 311-14 et l’article L. 311-17 devient l’article L. 311-15 ; 7° Les articles L. 311-20 à L. 311-25 deviennent les articles L. 311-31 à L. 311-36 ; 8° L’article L. 311-25-1 devient l’article L. 311-38 ; 9° Les articles L. 311-26 à L. 311-28 deviennent les articles L. 311-39 à L. 311-41 ; 10° L’article L. 311-29 devient l’article L. 311-22 ; 11° L’article L. 311-30 devient l’article L. 311-24 ; 12° L’article L. 311-31 devient l’article L. 311-25 ; 13° L’article L. 311-32 devient l’article L. 311-23 ; 14° Les articles	https://www.assemblee-nationale.fr/13/projets/pl1769.asp	faux	juste	opus-arbitre (arbitrage)	sonnet-juge-b	opus-arbitre	Remplace « faux » (sonnet-juge-a) ; B : « faux ». Rejugée sur la base de docs/60 : l'arête pointe l'ancien L311-17 (« Tant que l'opération n'est pas définitivement conclue… »), que 1er B fait devenir L311-15.	"Dans la liste de l'article 1er B, le point 6° déplace l'ancien L.311-17 vers L.311-15 ; aucun point n'écrit ""devient l'article L.311-17"" : le nouveau L.311-17 (""Lorsque le crédit renouvelable mentionné à l'article L.311-16 est assorti..."") est créé par l'article 1er, retrouvé mot pour mot dans le corpus du même dossier."	Rejugée sur la base de docs/60 : l'arête pointe l'ancien L311-17 (« Tant que l'opération n'est pas définitivement conclue… »), que 1er B fait devenir L311-15.	2026-09-26
juste	019f3cd7fe7cad15	declaree	nomme	oui	-14	senat/petite-loi-ameli-2012-2013-810.html	38	L215-2-4	code de la consommation	L215-2-4 (2012-12-27) — écrit par la loi du dossier, 2014-03-19 : Les agents mentionnés à l'article L. 215-1 sont habilités à rechercher et à constater, dans le […] ‖ avant, 2012-12-27 : Les agents mentionnés à l'article L. 215-1 sont habilités à rechercher et à constater, dans les conditions prévues au présent livre, les infraction […]	cation ou tout document nécessaires aux contrôles. » Article 38 I à III.  (Non modifiés) IV.  Larticle L. 215-2-4 du code de la consommation est ainsi rédigé : « Art. L. 215-2-4.  Les agents mentionnés à larticle L. 215-1 sont habilités à rechercher et à constater, dans les	ils ont accès aux logiciels et aux données stockées ainsi quà la restitution en clair des informations propres à faciliter laccomplissement de leurs missions. Ils peuvent en demander la transcription par tout traitement approprié dans des documents directement utilisables pour les besoins du contrôle. « Ils peuvent recueillir, sur place ou sur convocation, tout renseignement, toute justification ou tout document nécessaires aux contrôles. » Article 38 I à III.  (Non modifiés) IV.  Larticle L. 215-2-4 du code de la consommation est ainsi rédigé : « Art. L. 215-2-4.  Les agents mentionnés à larticle L. 215-1 sont habilités à rechercher et à constater, dans les conditions prévues au présent livre, les infractions aux dispositions du chapitre VII du titre V du livre V du code de lenvironnement lorsquelles concernent des produits destinés aux consommateurs. » V (nouveau).  Le chapitre VII du titre V du livre V du code de lenvironnement est ainsi modifié : 1° Au premier alinéa de	http://www.senat.fr/petite-loi-ameli/2012-2013/810.html	juste		sonnet-juge-a	sonnet-juge-b		L'article 38 IV réécrit expressément L215-2-4, texte repris à l'identique par le fonds.	"Le IV de l'article 38 réécrit directement ""Art. L.215-2-4"" avec un contenu qui correspond au fonds."		2026-09-26
