verdict	cle	chambre	amendement	sort	auteur	dossier	article	segment	longueur_fenetre	vise	nb_segments_fenetre	fenetre	dispositif	segment_texte	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	13c773442a668796	assemblee	6	Adopté	Mme Audrey Linkenheld	JORFDOLE000032669047	L222-8	LEGIARTI000034072574:0	60	oui	1	mentionné à l'article l. 222-7 court à compter du jour où :	I. − Après l’alinéa 3, insérer les alinéas suivants : « 2° bis Au premier alinéa de l’article L. 222‑7, après le mot : « jours », sont insérés les mots : « calendaires révolus » ; « 2° ter L’article L. 222‑8 est ainsi rédigé : « Art. L. 222‑8. − Le délai mentionné à l’article L. 222‑7 court à compter du jour où : « 1° Le contrat à distance est conclu ; « 2° Le consommateur reçoit les conditions co […]	Le délai mentionné à l'article L. 222-7 court à compter du jour où :		juste		sonnet-A	sonnet-B		Le dispositif rédige l'article L. 222-8 avec exactement le texte du segment : « Le délai mentionné à l'article L. 222-7 court à compter du jour où : ».	Le dispositif réécrit intégralement l'article L. 222-8, avec exactement le texte du segment cité.		2026-09-24
juste	16798aac08e02ef5	assemblee	115	Adopté	LE GOUVERNEMENT	JORFDOLE000047381960	L521-1	LEGIARTI000047666693:5	60	oui	1	njonction précise le montant de l'astreinte journalière enco	Le code de la consommation est ainsi modifié : 1° L’article L. 521‑1 est complété par sept alinéas ainsi rédigés : « Toute injonction prononcée en application du présent article peut être assortie d’une astreinte journalière ne pouvant excéder un montant de 1 500 euros. « Lorsque l’infraction constatée est passible d’une peine d’au moins deux ans d’emprisonnement et est de nature à porter une atte […]	L'injonction précise le montant de l'astreinte journalière encourue.		juste		sonnet-A	sonnet-B		Le dispositif complet (base) montre que l'amendement insère à L. 521-1 l'alinéa « L'injonction précise le montant de l'astreinte journalière encourue. », identique au segment.	L'alinéa « L'injonction précise le montant de l'astreinte journalière encourue. » figure mot pour mot dans l'insertion opérée par l'amendement à l'article L. 521-1.		2026-09-24
juste	169786b65652b6ee	assemblee	2	Adopté	M. Dominique Potier	JORFDOLE000032319792	L732-3	LEGIARTI000033612444:2	60	oui	1	les créanciers disposent d'un délai fixé par décret pour ref	Rétablir cet article dans la rédaction suivante : « I. – Le titre III du livre VII du code de la consommation est ainsi modifié : 1° À l’intitulé du chapitre Ier, les mots : « de la capacité de remboursement » sont remplacés par les mots : « du montant des remboursements » ; 2° À l’article L. 731‑1, les mots : « la capacité de remboursement est fixée » sont remplacés par les mots : « le montant de […]	Les créanciers disposent d'un délai fixé par décret pour refuser la proposition de plan conventionnel de redressement élaborée par la commission. En l'absence de réponse dans ce délai, l'accord des créanciers est réputé acquis.		juste		sonnet-A	sonnet-B		Le dispositif complet (base) complète l'article L. 732-3 par un alinéa reproduisant mot pour mot le segment sur le délai des créanciers.	L'amendement complète l'article L. 732-3 par un alinéa identique au segment cité.		2026-09-24
juste	171f78da3ebce4d3	assemblee	115	Adopté	LE GOUVERNEMENT	JORFDOLE000047381960	L521-1	LEGIARTI000047666693:8	60	oui	1	tient compte, pour déterminer le montant total de l'astreint	Le code de la consommation est ainsi modifié : 1° L’article L. 521‑1 est complété par sept alinéas ainsi rédigés : « Toute injonction prononcée en application du présent article peut être assortie d’une astreinte journalière ne pouvant excéder un montant de 1 500 euros. « Lorsque l’infraction constatée est passible d’une peine d’au moins deux ans d’emprisonnement et est de nature à porter une atte […]	Elle tient compte, pour déterminer le montant total de l'astreinte liquidée, des circonstances de l'espèce.		juste		sonnet-A	sonnet-B		Le dispositif complet (base) contient l'alinéa « Elle tient compte, pour déterminer le montant total de l'astreinte liquidée, des circonstances de l'espèce. », identique au segment, inséré à L. 521-1.	L'alinéa « Elle tient compte... » figure mot pour mot dans la même insertion à l'article L. 521-1 que celle de l'amendement 115 cité aussi pour un autre segment.		2026-09-24
juste	1ab357d99e49999d	assemblee	674	Adopté	M. Razzy Hammadi	JORFDOLE000027383756	L121-101	LEGIARTI000028741131:0	60	non : L121-99	1	doit comporter, à peine de nullité, les mentions suivantes :	Compléter cet article par les vingt-quatre alinéas suivants : « Section 15 « Contrats d’achat de métaux précieux « Art. L. 121‑98. – Tout professionnel proposant des opérations d’achat de métaux précieux, notamment d’or, d’argent ou de platine, sous quelque forme que se soit, auprès des consommateurs, doit, par voie d’affichage, indiquer les prix proposés, selon des modalités fixées par arrêté du  […]	Le contrat prévu à l'article L. 121-100 doit comporter, à peine de nullité, les mentions suivantes :		juste		sonnet-A	sonnet-B		Le dispositif crée l'article L. 121-98-2 (« Le contrat prévu à l'article L. 121-99-1 doit comporter, à peine de nullité, les mentions suivantes : »), dont la rédaction correspond à L. 121-101 une fois la série renumérotée (98-2→101, 98-1→100), y compris le renvoi interne corrigé.	L'amendement crée un article provisoirement numéroté L. 121-98-2 dont la liste des huit mentions correspond exactement, après renumérotation en L. 121-101 (référence interne renumérotée en L. 121-100), au segment cité.		2026-09-24
faux	1b74e564cd2c87c4	assemblee	405	Adopté	Mme Sandra Marsaud	JORFDOLE000046027237	L215-1-1	LEGIARTI000046190107:1	60	sans visée	1	a notification et les démarches nécessaires à la résiliation	Rédiger ainsi l’alinéa 2 : « Les contrats d’assurance conclus par voie électronique et couvrant les personnes physiques en dehors de leurs activités professionnelles peuvent être résiliés, au choix de la personne souscriptrice, suivant la même modalité. À cet effet, il est mis à sa disposition une fonctionnalité gratuite permettant d’accomplir, par un mode de communication à distance, la notificat […]	A cet effet, le professionnel met à la disposition du consommateur une fonctionnalité gratuite permettant d'accomplir, par voie électronique, la notification et les démarches nécessaires à la résiliation du contrat. Lorsque le consommateur notifie la résiliation du contrat, le professionnel lui confirme la réception de la notification et l'informe, sur un support durable et dans des délais raisonn […]		faux		sonnet-A	sonnet-B		Le segment reprend quasi mot pour mot la rédaction de l'amendement 269 (« le professionnel met à... le professionnel lui confirme... »), pas celle de l'amendement 405 qui rédige une clause spécifique aux « contrats d'assurance » et à la « personne souscriptrice », destinée à un autre article/code.	L'amendement 405 vise l'article 8 du texte (régime spécifique des contrats d'assurance, selon son objet) avec une rédaction à tournure passive distincte ; l'alinéa codifié à L. 215-1-1 reprend en fait la rédaction active de l'amendement 269, déposé sur l'article 7.		2026-09-24
juste	1bc205f9227ed7f9	assemblee	269	Adopté	Mme Sandra Marsaud	JORFDOLE000046027237	L215-1-1	LEGIARTI000046190107:2	60	sans visée	1	et un accès facile, direct et permanent à la fonctionnalité	Rédiger ainsi les alinéas 5 et 6 : « II. – Les contrats conclus par voie électronique peuvent être résiliés, au choix des consommateurs, suivant la même modalité. À cet effet, le professionnel met à leur disposition une fonctionnalité gratuite permettant d’accomplir, par un mode de communication à distance, la notification et les démarches nécessaires à la résiliation des contrats souscrits. Lorsq […]	Un décret fixe notamment les modalités techniques de nature à garantir une identification du consommateur et un accès facile, direct et permanent à la fonctionnalité mentionnée au deuxième alinéa, telles que ses modalités de présentation et d'utilisation. Il détermine les informations devant être fournies par le consommateur.		juste		sonnet-A	sonnet-B		Le segment reprend presque mot pour mot l'alinéa sur le décret fixant les modalités techniques, rédigé par l'amendement 269 (« le consommateur », pas « la personne souscriptrice » de l'amendement 405).	L'amendement 269, qui rédige les alinéas 5 et 6 de l'article 7, reprend quasi mot pour mot l'alinéa codifié sur le décret d'application.		2026-09-24
juste	1d7742aafdf3d2cc	assemblee	668	Adopté	M. Razzy Hammadi	JORFDOLE000027383756	L311-36	LEGIARTI000028748093:2	60	oui	1	exercé son droit de rétractation dans le délai prévu à l'art	Après le mot : « a », le troisième alinéa de l’article L. 311‑36 du code de la consommation est ainsi rédigé : « exercé son droit de rétractation dans le délai prévu à l’article L. 311‑12. »	2° Ou si l'emprunteur a exercé son droit de rétractation dans le délai prévu à l'article L. 311-12.		juste		sonnet-A	sonnet-B		Le dispositif rédige exactement le troisième alinéa de L. 311-36 avec le texte du segment.	Le dispositif réécrit précisément le passage cité, retrouvé à l'identique dans l'alinéa codifié.		2026-09-24
juste	1d9a1be0153d6c85	assemblee	72	Adopté	M. Thomas Cazenave	JORFDOLE000051045642	L223-8	LEGIARTI000051828335:0	60	oui	1	service de communications interpersonnelles, par courrier él	Rétablir le b de l’alinéa 25 dans la rédaction suivante : « b) Après le chapitre III, il est inséré un chapitre III bis ainsi rédigé : « Chapitre III bis « Autres modes de prospection commerciale « Art. L. 223‑8 . – Toute prospection commerciale de consommateurs par des professionnels, physiquement au domicile du consommateur, par message provenant d’un service de communications interpersonnelles, […]	La prospection commerciale de consommateurs par des professionnels par message sur un service de communications interpersonnelles, par courrier électronique ou sur un service de réseaux sociaux en ligne ayant pour objet l'offre de prestations de services, la vente d'équipements ou la réalisation de travaux afférents à des logements en vue de la réalisation d'économies d'énergie, de la production d […]		juste		sonnet-A	sonnet-B		Le dispositif crée l'article L. 223-8 avec une liste de canaux de prospection identique à celle du segment (message via service de communications interpersonnelles, courrier électronique, réseaux sociaux, logements/économies d'énergie).	Le nouvel article L. 223-8 créé par l'amendement reprend une formulation quasi identique au segment, seule la référence à l'alinéa de L. 223-1 étant renumérotée.		2026-09-24
faux	1df10e96bbdf7ff9	assemblee	447	Adopté	M. Razzy Hammadi	JORFDOLE000027383756	L218-5-5	LEGIARTI000028743675:0	60	sans visée	1	i impartissant un délai raisonnable, de se conformer à ces d	I. Substituer à l’alinéa 29 les cinq alinéas suivants : « VII. - Les agents habilités à constater les infractions ou les manquements aux dispositions mentionnées aux I à III de l’article L. 141‑1 peuvent, après une procédure contradictoire, enjoindre à tout professionnel, en lui impartissant un délai raisonnable, de se conformer à ces dispositions, de cesser tout agissement illicite ou de supprime […]	Les agents habilités à constater les infractions ou manquements au présent livre ou aux textes pris pour son application peuvent, après une procédure contradictoire, enjoindre à un opérateur, en lui impartissant un délai raisonnable, de se conformer à ces dispositions.		juste	faux	opus-arbitre (arbitrage)	sonnet-B	opus-arbitre	sonnet-A avait rendu « faux », sonnet-B « juste » : La ressemblance vient d'une formule banale partagée (« en lui impartissant un délai raisonnable, de se conformer à ces dispositions ») ; le dispositif vise l'injonction de l'article L. 141-1 adressée à « tout professionnel », tandis que le segment à L. 218-5-5 concerne une injonction adressée à un « opérateur » relevant d'un autre régime (livre II).	Le paragraphe VII inséré par l'amendement conserve la formule distinctive « en lui impartissant un délai raisonnable, de se conformer à ces dispositions », reprise dans le segment malgré une reformulation du reste de la phrase.	L'amendement 447 rédige le VII de L. 141-1 (livre Ier, injonction à « tout professionnel » de se conformer, cesser tout agissement illicite ou supprimer toute clause illicite, avec amende administrative) ; L. 218-5-5 relève du livre II (sécurité des produits), vise les manquements « au présent livre », s'adresse à « un opérateur » et n'a aucune suite propre au 447. Seul le moule commun de l'injonction administrative est partagé : passage destiné à un autre article, formule banale.	2026-09-24
juste	20372bef5f69867e	assemblee	177	Adopté	M. Philippe Gosselin	JORFDOLE000050427907	L621-7	LEGIARTI000051560155:0	60	oui	1	peuvent agir devant la juridiction civile pour faire cesser	Rédiger ainsi cet article : « I. – A. – Une action de groupe est exercée en justice par un demandeur mentionné à 1 du B du présent I pour le compte de plusieurs personnes physiques ou morales, placées dans une situation similaire, subissant des dommages ayant pour cause commune un même manquement ou un manquement de même nature à ses obligations légales ou contractuelles commis par toute personne  […]	Les associations mentionnées à l'article L. 621-1 peuvent agir devant la juridiction civile pour faire cesser ou interdire tout agissement illicite portant directement ou indirectement atteinte à l'intérêt collectif des consommateurs.		juste		sonnet-A	sonnet-B		Le dispositif complet (base) réécrit L. 621-7 : « Les associations mentionnées à l'article L. 621-1 [...] peuvent agir devant la juridiction civile pour faire cesser ou interdire tout agissement illicite portant [...] atteinte à l'intérêt collectif des consommateurs. », repris par le segment.	L'amendement réécrit explicitement l'article L. 621-7 avec une phrase quasi identique au segment, simplifiée ensuite d'une référence à une autre loi.		2026-09-24
juste	20bfd5d310da8ca5	senat	96	Adopté	LE GOUVERNEMENT	JORFDOLE000049284718	L512-20-4	LEGIARTI000054403322:0	60	sans visée	2	répression des fraudes et les agents de la commission nation	Compléter cet article par un paragraphe ainsi rédigé : …. – Après l’article L. 512‑20‑3 du code de la consommation, il est inséré un article L. 512‑20‑… ainsi rédigé : « Art. L. 512‑20‑…. – Les agents de la concurrence, de la consommation et de la répression des fraudes et les agents de la Commission nationale de l’informatique et des libertés peuvent se communiquer spontanément ou sur demande tou […]	Les agents de la concurrence, de la consommation et de la répression des fraudes et les agents de la Commission nationale de l'informatique et des libertés sont autorisés à se communiquer, spontanément ou sur demande, tous les renseignements et les documents détenus ou recueillis dans le cadre de leurs missions respectives et nécessaires à la recherche et à la constatation des infractions et des m […]	//www.senat.fr/amendements/2024-2025/459/Amdt_96.html	juste		sonnet-A	sonnet-B		Le dispositif insère un article après L. 512-20-3 dont la phrase sur les échanges entre agents de la DGCCRF et de la CNIL correspond presque mot pour mot au segment (« peuvent se communiquer » devenu « sont autorisés à se communiquer »).	L'amendement insère un nouvel article après L. 512-20-3, dont la phrase reprend quasi mot pour mot le segment codifié en L. 512-20-4.		2026-09-24
