verdict	cle	chambre	amendement	sort	auteur	article	cibles_de_l_article	vise	voie	texte	article_du_texte	subdivision	fenetre	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	0153ae61a1167f14	senat	104	Non soutenu	M. REPENTIN	L331-1	1	sans visée	article_entier	senat/leg-pjl08-448.html	20	Article 20	HAPITRE I ER COMPOSITION ET COMPÉTENCES DE LA COMMISSION DE SURENDETTEMENT Article 20 L'article L. 331-1 du code de la consommation est ainsi rédigé : « Art. L. 331-1 . - Il est institué, dans chaque	Remplacer le 3° du texte proposé par cet article pour l'article L. 331‑1 du code de la consommation par deux alinéas ainsi rédigés : 3° Une personne, désignée par le représentant de l'Etat dans le département, justifiant d'une expérience dans le domaine de l'économie sociale et familiale ; 4° Un huissier de justice.	Il est institué, dans chaque département, au moins une commission d'examen des situations de surendettement des particuliers. La commission comprend le représentant de l'Etat dans le département, président, le trésorier-payeur général, vice-président, le représentant local de la Banque de France, qui en assure le secré […]	//www.senat.fr/amendements/2008-2009/448/Amdt_104.html	juste	juste	agent:qwen3p8-max	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	L'article 20 du texte ne réécrit que l'article L. 331-1 du code de la consommation (vérifié dans le corpus : il s'ouvre sur « L'article L. 331-1 … est ainsi rédigé » et se termine au règlement intérieur, avant l'article 21 ; cible unique). Le dispositif de l'amendement 104 remplace le 3° du texte proposé par cet article pour L. 331-1 — ce 3° existe bien dans la rédaction proposée — : l'amendement portait donc bien sur l'article L. 331-1 du code.	L'article 20 du texte en discussion réécrit exclusivement l'article L. 331-1 du code de la consommation (fenêtre : « L'article L. 331-1 du code de la consommation est ainsi rédigé »), et le dispositif de l'amendement 104 remplace le 3° du texte proposé pour cet article L. 331-1 : l'amendement porte bien sur A.	L'article 20 du texte ne réécrit que l'article L331-1 (cibles=1, vérifié dans le texte), et le dispositif vise explicitement « le texte proposé par cet article pour l'article L. 331‑1 du code de la consommation » qu'il modifie : l'amendement portait bien sur L331-1. Nuance : le dispositif remplace seulement le 3° de la rédaction proposée, non tout l'article, donc la voie article_entier est large — mais l'affirmation de l'arête est vraie telle qu'énoncée.	2026-09-19
juste	0938d4d10e70b877	senat	15	Rejeté	M. SUEUR	L223-1	1	sans visée	article_entier	senat/leg-ppl19-464.html	5	Article 5	. . . Article 5 (Non modifié) Après le mot : « liste », la fin du second alinéa de l’article L. 223-1 du code de la consommation est ainsi rédigée : « , sauf lorsqu’il s’agit de sollicitations inte	Rédiger ainsi cet article : Après le mot : « liste », la fin du second alinéa de l’article L. 223‑1 du code de la consommation est ainsi rédigée : « , sauf lorsqu’il s’agit de sollicitations ayant un lien direct avec l’objet d’un contrat en cours ».	Le consommateur qui ne souhaite pas faire l'objet de prospection commerciale par voie téléphonique peut gratuitement s'inscrire sur une liste d'opposition au démarchage téléphonique. Il est interdit à un professionnel, directement ou par l'intermédiaire d'un tiers agissant pour son compte, de démarcher téléphoniquement […]	//www.senat.fr/amendements/2019-2020/464/Amdt_15.html	juste	juste	agent:qwen3p8-max	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	Le dispositif « Rédiger ainsi cet article » porte bien sur tout l'article 5 ; lu dans le texte en discussion, l'article 5 ne contient qu'une instruction : réécrire la fin du second alinéa de l'article L. 223-1 du code de la consommation, sans autre cible ni autre code. L'amendement portait donc bien sur L223-1.	L'amendement 15 réécrit l'article 5 du texte, qui lui-même ne réécrit que le second alinéa de l'article L. 223-1 du code de la consommation (cibles_de_l_article=1). L'édition de l'article 5 confirme cette unique cible.	Le dispositif « Rédiger ainsi cet article : » porte sur tout l'article 5 du texte, et cet article ne contient qu'une seule instruction, visant la fin du second alinéa de l'article L. 223-1 du code de la consommation (une seule cible, vérifiée dans leg-ppl19-464). L'affirmation article_entier tient telle qu'énoncée.	2026-09-19
faux	0d709b76e710acfe	senat	34	Rejeté	LE GOUVERNEMENT	L522-7	1	sans visée	article_entier	senat/leg-ppl18-311.html	3 bis	Article 3 bis	insérés les mots : « , dans la limite du maximum légal le plus élevé » ;  2° Après l’article L. 522-7, il est inséré un article L. 522-7-1 ainsi rédigé :  « Art. L. 522-7-1. – Lorsqu’une amende	Supprimer cet article.	Lorsque, à l'occasion d'une même procédure ou de procédures séparées, plusieurs sanctions administratives ont été prononcées à l'encontre du même auteur pour des manquements en concours passibles d'amendes dont le montant maximal excède 3 000 euros pour une personne physique et 15 000 euros pour une personne morale, ce […]	//www.senat.fr/amendements/2018-2019/311/Amdt_34.html	faux	faux	agent:qwen3p8-max	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	Le dispositif « Supprimer cet article » porte bien sur l'article 3 bis entier, mais cet article du texte ne réécrit pas que L. 522-7 : son 1° modifie L. 522-7 et son 2° crée en outre un article L. 522-7-1 du même code (vérifié dans leg-ppl18-311 ; porte_sur enregistre d'ailleurs cette création comme seconde cible non_resolue). La condition de la voie article_entier — N ne réécrit que A — échoue, et cibles_de_l_article=1 ne compte que les cibles résolues.	Le dispositif « Supprimer cet article » porte bien sur l'article 3 bis entier, mais cet article ne réécrit pas que L. 522-7 : son 1° modifie L. 522-7 et son 2° insère un nouvel article L. 522-7-1 du même code (lu dans leg-ppl18-311). La condition de la voie article_entier — N ne réécrit que A — échoue ; cibles_de_l_article=1 ne compte que les cibles résolues, la création L. 522-7-1 étant enregistrée en portée non_resolue.	L'amendement « Supprimer cet article » vise bien l'article 3 bis entier, mais cet article ne réécrit pas que L522-7 : son 1° modifie L522-7 et son 2° crée en outre un article L522-7-1 (« Après l'article L. 522-7, il est inséré un article L. 522-7-1... »). La condition de la voie article_entier — N ne réécrit que A — n'est pas remplie ; cibles_de_l_article = 1 sous-compte les cibles.	2026-09-19
faux	19c27b82d8f06979	senat	114 rect.	Non soutenu	M. MAUREY	L121-83-1	1	sans visée	article_entier	senat/leg-pjl12-810.html	72 ter	Article 72 terdecies (Supprimé)	it mois après la promulgation de la présente loi. Article 72 ter (Non modifié) I. - L'article L. 121-83-1 du code de la consommation est ainsi modifié : 1° Au premier alinéa, après le mot : « consomm	Rétablir cet article dans la rédaction suivante : Dans un délai d'un an à compter de la promulgation de la présente loi, le Gouvernement remet au Parlement un rapport sur les conséquences de la fin de l'application du règlement européen (CE) n° 1400/2002 de la Commission, du 31 juillet 2002, concernant l'application de l'article 81, paragraphe 3, du traité à des catégories d'accords verticaux et de pratiques concerté […]	Tout fournisseur de services de communications électroniques au sens du 6° de l'article L. 32 du code des postes et des communications électroniques met à la disposition des consommateurs et tient à jour dans ses points de vente et par un moyen téléphonique ou électronique accessible en temps réel à un tarif raisonnabl […]	//www.senat.fr/amendements/2012-2013/810/Amdt_114.html	faux	faux	agent:qwen3p8-max	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	L'amendement déclare « Article 72 terdecies (Supprimé) » et son dispositif (« Rétablir cet article… » en un rapport sur le règlement 1400/2002) restaure cet article supprimé, pas l'article 72 ter (Non modifié) qui modifie L. 121-83-1. Confusion 72 ter / 72 terdecies dans le texte senat/leg-pjl12-810 : mauvais article du texte, l'amendement ne porte pas sur L. 121-83-1.	L'amendement 114 rect. déclare porter sur l'article 72 terdecies (Supprimé) et son dispositif le rétablit sous forme d'un rapport sur le règlement (CE) 1400/2002 : il ne touche pas L. 121-83-1, qui relève de l'article 72 ter (autre subdivision, non modifiée). La voie article_entier est en outre doublement fausse, l'article 72 ter modifiant aussi le code des postes et des communications électroniques.	L'amendement vise l'article 72 terdecies du texte (Supprimé) et « Rétablir cet article » restaure un rapport sur la fin du règlement (CE) n° 1400/2002, sans rapport avec L121-83-1 ; le lien est fait avec l'article 72 ter, qui n'est pas la subdivision déclarée et qui, de surcroît, réécrit aussi le code des postes et des communications électroniques.	2026-09-19
juste	2249ff3808df48f1	senat	1481	Non soutenu	Mme AÏCHI	L423-6	1	sans visée	article_entier	senat/leg-pjl14-371.html	11 ter	Article 11 ter	double de la valeur du ou des objets achetés. » Article 11 ter La première phrase de l'article L. 423-6 du code de la consommation est complétée par les mots : « ou, si l'association le demande, sur	Supprimer les mots : , si l’association le demande,	Toute somme reçue par l'association au titre de l'indemnisation des consommateurs lésés est immédiatement versée en compte de dépôt à la Caisse des dépôts et consignations. Ce compte ne peut faire l'objet de mouvements en débit que pour le versement des sommes dues aux intéressés.	//www.senat.fr/amendements/2014-2015/371/Amdt_1481.html	juste	juste	agent:qwen3p8-max	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	L'article 11 ter du texte ne réécrit que la première phrase de L. 423-6 du code de la consommation (lu dans le corpus : la mention de L. 423-9 n'est qu'une référence dans les mots insérés), d'où la cible unique. Le dispositif « Supprimer les mots : , si l'association le demande, » frappe exactement les mots que cet article insère dans L. 423-6 : l'amendement portait bien sur L. 423-6, et le fonds cité correspond mot pour mot à cet article.	L'amendement 1481, déposé sur l'article 11 ter, supprime les mots « si l'association le demande » qui figurent dans la phrase ajoutée par cet article ; or l'article 11 ter ne réécrit que l'article L. 423-6 du code de la consommation (cibles_de_l_article=1, vérifié au texte). L'arête « l'amendement portait sur L. 423-6 » est donc exacte.	L'article 11 ter du texte ne comporte qu'une seule instruction, qui ne réécrit que L423-6 (cibles = 1, vérifié dans le texte). Le dispositif « Supprimer les mots : , si l'association le demande, » agit sur cette unique instruction destinée à L423-6, sans nommer d'alinéa ni d'article du code : la composition à cible unique s'applique et l'amendement portait bien sur L423-6.	2026-09-19
juste	44e52fe42b3accc0	senat	86 rect. bis	Rejeté	M. MOGA	L215-1	1	sans visée	article_entier	senat/leg-pjl21-828.html	7 bis	Article 7 bis	icable aux contrats en cours d’exécution à la même date. Article 7 bis (nouveau)  L’article L. 215-1 du code de la consommation est complété par un alinéa ainsi rédigé :  « Par exception au pre	Supprimer cet article.	Pour les contrats de prestations de services conclus pour une durée déterminée avec une clause de reconduction tacite, le professionnel prestataire de services informe le consommateur par écrit, par lettre nominative ou courrier électronique dédiés, au plus tôt trois mois et au plus tard un mois avant le terme de la pé […]	//www.senat.fr/amendements/2021-2022/828/Amdt_86.html	juste	juste	agent:qwen3p8-max	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	Dispositif « Supprimer cet article. » portant sur tout l'article 7 bis ; vérifié dans leg-pjl21-828 : l'article 7 bis ne comporte que l'instruction complétant L. 215-1 du code de la consommation et l'alinéa ajouté, aucune autre cible (cibles=1). L'article du fonds cité est bien L. 215-1.	Article 7 bis (nouveau) du texte ne modifie que L. 215-1 du code de la consommation (cibles_de_l_article=1 ; la loi 86-1067 n'est que citée) ; le dispositif 'Supprimer cet article' porte donc bien sur cet article du code.	Dispositif « Supprimer cet article. » sur l'article 7 bis (nouveau), qui ne contient qu'une seule instruction : compléter l'article L. 215-1 du code de la consommation par un alinéa (exception reconduction tacite contrats TV/SVOD) ; cibles_de_l_article = 1 confirmé dans le texte leg-pjl21-828. La suppression de l'article entier vise donc bien L215-1.	2026-09-19
juste	59cb4dc21b07f6a5	senat	660	Adopté	LE GOUVERNEMENT	L218-4	1	sans visée	article_entier	senat/leg-pjl12-810.html	40	Article 40	es informations dont elle a eu connaissance dans ce cadre. » Article 40 (Non modifié) L'article L. 218-4 du code de la consommation est ainsi modifié : 1° Au premier alinéa, les mots : « qu'un lot de	Rédiger ainsi cet article : L’article L. 218‑4 du code de la consommation est ainsi rédigé : « Art. L. 218‑4. – S’il est établi que des produits ne sont pas conformes à la réglementation en vigueur ou présentent ou sont susceptibles de présenter, compte tenu de leurs conditions communes de production ou de commercialisation, un danger pour la santé publique ou la sécurité des consommateurs, le préfet ou, à Paris, le  […]	S'il est établi qu'après son départ de l'établissement d'origine un lot de produits présente ou est susceptible de présenter, compte tenu de ses conditions communes de production ou de commercialisation, un danger pour la santé publique, l'autorité administrative, sur proposition d'un des agents mentionnés à l'article  […]	//www.senat.fr/amendements/2012-2013/810/Amdt_660.html	juste	juste	agent:qwen3p8-max	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	L'amendement 660 rédige ainsi tout l'article 40 du texte, et l'article 40 vérifié dans le corpus (leg-pjl12-810) ne modifie que L. 218-4 du code de la consommation (4 alinéas, cible unique confirmée par cibles_de_l_article=1) ; le dispositif réécrit porte lui aussi uniquement sur L. 218-4, dont l'article du fonds reproduit bien l'ancienne rédaction.	L'amendement 660 réécrit entièrement l'article 40 du texte (« Rédiger ainsi cet article »), et cet article 40 ne porte que sur l'article L. 218-4 du code de la consommation (cibles_de_l_article=1, base du texte : « L'article L. 218-4 ... est ainsi modifié »). La voie article_entier est donc bien établie : N ne réécrit que A.	Dispositif « Rédiger ainsi cet article » : porte sur tout l'article 40 du texte. L'article 40 du texte ne vise que l'article L218-4 du code de la consommation (points 1° à 4°, tous dans ses alinéas ; une seule cible), et le texte de remplacement réécrit intégralement L218-4.	2026-09-19
juste	65599554d5fe5f64	senat	115 rect.	Rejeté	M. VERZELEN	L215-1	1	sans visée	article_entier	senat/leg-pjl21-828.html	7 bis	Article 7 bis	icable aux contrats en cours d’exécution à la même date. Article 7 bis (nouveau)  L’article L. 215-1 du code de la consommation est complété par un alinéa ainsi rédigé :  « Par exception au pre	Supprimer cet article.	Pour les contrats de prestations de services conclus pour une durée déterminée avec une clause de reconduction tacite, le professionnel prestataire de services informe le consommateur par écrit, par lettre nominative ou courrier électronique dédiés, au plus tôt trois mois et au plus tard un mois avant le terme de la pé […]	//www.senat.fr/amendements/2021-2022/828/Amdt_115.html	juste	juste	agent:qwen3p8-max	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	Le dispositif « Supprimer cet article » porte sur tout l'article 7 bis, dont l'unique instruction (vérifiée dans le texte complet, JORFDOLE000046027237__leg-pjl21-828.html) complète l'article L. 215-1 du code de la consommation — la mention de la loi n° 86-1067 n'est qu'une citation dans l'alinéa inséré. cibles=1, l'article du fonds est bien L. 215-1 : l'arête est vraie telle qu'énoncée.	L'amendement 115 rect. « Supprimer cet article » porte sur l'article 7 bis du texte, qui ne réécrit que L. 215-1 du code de la consommation (un seul alinéa, cibles_de_l_article=1). La suppression porte donc bien sur cette cible unique.	Dispositif « Supprimer cet article. » porte sur tout l'article 7 bis, qui dans le texte ne contient qu'une seule instruction : compléter l'article L. 215-1 du code de la consommation (une seule cible). La suppression vise donc bien cet article du code.	2026-09-19
faux	659a7ebb3ab1aa6a	assemblee	845	Rejeté	M. Bernard Accoyer	L112-13	1	sans visée	article_entier	assemblee/14-ta-commission-r2673-a0.asp	5	ART. 5	e chapitre II du titre Ier du livre Ier du code de la consommation est complété par un article L. 112-13 ainsi rédigé : « Art. L. 112-13. – Les conditions dans lesquelles la déclaration nutritionnell	Supprimer cet article.	Les conditions dans lesquelles la déclaration nutritionnelle obligatoire prévue par le règlement (UE) n° 1169/2011 du Parlement européen et du Conseil, du 25 octobre 2011, concernant l'information des consommateurs sur les denrées alimentaires, modifiant les règlements (CE) n° 1924/2006 et (CE) n° 1925/2006 du Parlemen […]		faux	faux	agent:qwen3p8-max	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	L'article 5 du texte (version commission r2673) ne se limite pas à créer L. 112-13 du code de la consommation : son I A modifie l'article L. 2133-1 du code de la santé publique et son I crée l'article L. 3232-8 du même code. L'affirmation « N ne réécrit que A » est donc fausse : supprimer tout l'article 5 ne porte pas seulement sur L. 112-13.	L'article 5 du texte réécrit aussi le code de la santé publique (L. 2133-1 et L. 3232-8), pas seulement L. 112-13 : « Supprimer cet article » porterait donc aussi sur un autre code, ce qui invalide la voie article_entier. L'article 5 n'a pas une seule cible.	Voie article_entier : le dispositif « Supprimer cet article. » vise bien tout l'article 5, mais celui-ci ne réécrit pas que L112-13 : la partie I A modifie l'article L. 2133-1 et la partie I crée l'article L. 3232-8, tous deux du code de la santé publique (seule la partie II crée L. 112-13 du code de la consommation). « Supprimer cet article » portait donc aussi sur d'autres articles et un autre code.	2026-09-19
juste	7508a442d1fa63a2	senat	2062	Retiré	Mme HAVET	L132-2	1	sans visée	article_entier	senat/leg-pjl20-667.html	4 bis b	Article 4 bis B	« , notamment en matière environnementale ». Article 4 bis B Le deuxième alinéa de l’article L. 132-2 du code de la consommation est complété par une phrase ainsi rédigée : « Ce pourcentage est por	Rédiger ainsi cet article : Le second alinéa de l’article L. 132‑2 du code de la consommation est complété par les mots : « et jusqu’à 80 % de ces dépenses lorsque la pratique commerciale trompeuse porte sur l’impact environnemental d’un bien ou d’un service ».	Les pratiques commerciales trompeuses mentionnées aux articles L. 121-2 à L. 121-4 sont punies d'un emprisonnement de deux ans et d'une amende de 300 000 euros. Le montant de l'amende peut être porté, de manière proportionnée aux avantages tirés du délit, à 10 % du chiffre d'affaires moyen annuel, calculé sur les trois […]	//www.senat.fr/amendements/2020-2021/667/Amdt_2062.html	juste	juste	agent:qwen3p8-max	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	Dispositif « Rédiger ainsi cet article » portant sur tout l'article 4 bis B, qui ne contient qu'une instruction : compléter le deuxième alinéa de l'article L. 132-2 du code de la consommation (1 cible, vérifié dans le texte complet). La rédaction proposée par l'amendement vise le même L. 132-2, et l'article du fonds (amende à 10 % du CA) correspond bien ; subdivision « Article 4 bis B » cohérente.	Voie article_entier : le dispositif « Rédiger ainsi cet article » porte sur l'article 4 bis B du texte, qui ne contient que la modification du deuxième alinéa de l'article L. 132-2 du code de la consommation ; aucune autre cible ni aucun autre code, et cibles_de_l_article=1 le confirme.	Dispositif « Rédiger ainsi cet article » = article entier ; l'article 4 bis B du texte (lu dans le corpus) ne contient qu'une seule instruction, qui complète le deuxième alinéa de L. 132-2 du code de la consommation — une seule cible, conforme à cibles_de_l_article=1 et au dispositif de l'amendement.	2026-09-19
