verdict	cle	chambre	amendement	sort	auteur	dossier	article	segment	longueur_fenetre	vise	nb_segments_fenetre	fenetre	dispositif	segment_texte	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	0033f35fcfcf295b	senat	95 rect.	Adopté	M. VERZELEN	JORFDOLE000051045642	L121-11	LEGIARTI000051830271:2	60	sans visée	1	ou au consentement au démarchage téléphonique mentionné au c	Après l'alinéa 5 Insérer cinq alinéas ainsi rédigés : .... – Le livre I er est ainsi modifié : 1° Au troisième alinéa de l’article L. 121-11, après le mot : « vendu », sont insérés les mots : « ou au consentement au démarchage téléphonique mentionné au chapitre III du titre II du livre II » ; 2° Après l’article L. 132-14, il est inséré un article L. 132-14-1 ainsi rédigé : « Art. L. 132-14-1 . – L […]	Est également interdit le fait de subordonner la vente d'un bien ou la fourniture d'un service à la conclusion d'un contrat d'assurance accessoire au bien ou au service vendu ou au consentement au démarchage téléphonique mentionné au chapitre III du titre II du livre II, sans permettre au consommateur d'acheter le bien ou d'obtenir la fourniture du service séparément.	//www.senat.fr/amendements/2024-2025/469/Amdt_95.html	juste		sonnet-A	sonnet-B		L'amendement modifie explicitement l'alinéa 3 de L.121-11 en y insérant ces mots, retrouvés au mot près dans le segment.	L'amendement insère mot pour mot cette phrase à l'article L121-11 ; le segment la reprend intégralement.		2026-09-24
juste	010f1ce3abd195dc	senat	7 rect. bis	Adopté	Mme PROCACCIA	JORFDOLE000021490698	L331-3-1	LEGIARTI000022423205:4	60	oui	1	nonobstant toute disposition légale ou toute clause contract	Après l'article 7 undecies, insérer un article additionnel ainsi rédigé : L'article L. 331-3-1 du code de la consommation est complété par un alinéa ainsi rédigé : « Nonobstant toute disposition légale ou toute clause contractuelle, aucune indivisibilité, résiliation ou résolution d'un contrat en cours ne peut résulter du seul fait de la décision déclarant la recevabilité de la demande. »	Nonobstant toute disposition légale ou toute clause contractuelle, aucune indivisibilité, résiliation ou résolution d'un contrat en cours ne peut résulter du seul fait de la décision déclarant la recevabilité de la demande.	//www.senat.fr/amendements/2009-2010/704/Amdt_7.html	juste		sonnet-A	sonnet-B		L'amendement complète L.331-3-1 par cet alinéa, identique au mot près au segment.	Phrase intégralement identique, insérée par l'amendement dans L331-3-1, article correctement nommé dans le dispositif.		2026-09-24
juste	012f61e79c0e57ee	assemblee	539	Adopté	M. Razzy Hammadi	JORFDOLE000027383756	L121-34	LEGIARTI000028747663:5	60	sans visée	1	tat, pris après avis de la commission nationale de l'informa	Compléter cet article par les douze alinéas suivants : « III. – La section 4 du même chapitre Ier est ainsi rédigée : « Section 4 « Régime d’opposition au démarchage téléphonique « Art. L. 121‑34. – Le consommateur qui ne souhaite pas faire l’objet de prospection commerciale par voie téléphonique peut gratuitement s’inscrire sur une liste d’opposition au démarchage téléphonique. « Il est interdit  […]	Un décret en Conseil d'Etat, pris après avis de la Commission nationale de l'informatique et des libertés, détermine les modalités de fonctionnement du mécanisme d'opposition au démarchage téléphonique, les conditions dans lesquelles les entreprises ont accès à une version actualisée de la liste et les modalités du contrôle de l'Etat sur l'organisme gestionnaire.		juste		sonnet-A	sonnet-B		Le dispositif complet (amdt 539) rédige entièrement L.121-34, et la phrase sur le décret en Conseil d'État y figure verbatim.	La phrase sur le décret en Conseil d'État est bien dans le corps de l'article L. 121-34 créé par l'amendement, avant l'article L. 121-34-1 suivant.		2026-09-24
juste	01d165a9998c4ec1	senat	523	Adopté	Mme BATAILLE	JORFDOLE000027383756	L121-45	LEGIARTI000028744506:0	60	sans visée	1	ostes et des communications électroniques, propose aux conso	I. – Après l’alinéa 9 Insérer trois alinéas ainsi rédigés : « Art. L. 121‑44‑1. – Tout fournisseur d’un service téléphonique au public, au sens du 7° de l’article L. 32 du code des postes et des communications électroniques, propose aux consommateurs avec lesquels il est en relation contractuelle un dispositif leur permettant de signaler, par messages textuels, les appels et messages textuels non  […]	Tout fournisseur d'un service téléphonique au public, au sens du 7° de l'article L. 32 du code des postes et des communications électroniques, propose aux consommateurs avec lesquels il est en relation contractuelle un dispositif leur permettant de signaler, par messages textuels, les appels et messages textuels non sollicités émis par des professionnels et le numéro de téléphone de leurs émetteur […]	//www.senat.fr/amendements/2012-2013/810/Amdt_523.html	juste		sonnet-A	sonnet-B		L'amendement crée l'Art. L.121-44-1 dont le texte, vérifié verbatim dans la version en vigueur de L.121-45, correspond au premier alinéa de cet article après renumérotation lors de la publication.	L'amendement écrit ce texte pour L121-44-1 (loi Hamon 2014) ; seule version connue de L121-45 (unique lignée, effective 2016-03-18, recodification) porte ce même texte mot pour mot, c'est la même disposition renumérotée.		2026-09-24
juste	0299650fa8bcf1a4	assemblee	539	Adopté	M. Razzy Hammadi	JORFDOLE000027383756	L121-34	LEGIARTI000028747663:2	60	sans visée	1	un professionnel est amené à recueillir auprès d'un consomma	Compléter cet article par les douze alinéas suivants : « III. – La section 4 du même chapitre Ier est ainsi rédigée : « Section 4 « Régime d’opposition au démarchage téléphonique « Art. L. 121‑34. – Le consommateur qui ne souhaite pas faire l’objet de prospection commerciale par voie téléphonique peut gratuitement s’inscrire sur une liste d’opposition au démarchage téléphonique. « Il est interdit  […]	Lorsqu'un professionnel est amené à recueillir auprès d'un consommateur des données téléphoniques, il l'informe de son droit à s'inscrire sur la liste d'opposition au démarchage téléphonique. Lorsque ce recueil d'information se fait à l'occasion de la conclusion d'un contrat, le contrat mentionne, de manière claire et compréhensible, l'existence de ce droit pour le consommateur.		juste		sonnet-A	sonnet-B		Même amendement 539 : cet alinéa figure verbatim dans la rédaction complète de L.121-34 qu'il propose.	Même amendement 539 (16926) que 012f61..., cette phrase est aussi dans le corps de l'article L. 121-34 créé, texte identique au segment.		2026-09-24
juste	03245a9e018423ad	senat	112	Adopté	M. MARINI	JORFDOLE000017760197	L311-4	LEGIARTI000006292383:1	60	oui	1	iser l'identité du prêteur, la nature, l'objet et la durée d	Après l'article 59, insérer un article additionnel ainsi rédigé : Le code de la consommation est ainsi modifié : I. - L'article L. 311-4 est ainsi rédigé : « Art. L. 311-4 . – Toute publicité faite, reçue ou perçue en France qui, quel que soit son support, porte sur l'une des opérations de crédit à la consommation visées à l'article L. 311-2, est loyale et informative. Son contenu doit : « 1º Préc […]	1° Préciser l'identité du prêteur, la nature, l'objet et la durée de l'opération proposée ainsi que le coût total et, s'il y a lieu, le taux effectif global annuel du crédit, à l'exclusion de tout autre taux, ainsi que les perceptions forfaitaires ;	//www.senat.fr/amendements/2002-2003/166/Amdt_112.html	juste		sonnet-A	sonnet-B		L'amendement réécrit intégralement L.311-4 ; le 1° cité correspond au mot près au segment.	L'amendement réécrit tout L311-4 ; le 1° est identique dans sa première moitié (où tombe la fenêtre), seule la fin a été retouchée avant adoption (ajout « à l'exclusion de tout autre taux », réordonnancement).		2026-09-24
juste	03339089bedbef6f	assemblee	312	Adopté	Mme Chantal Guittet	JORFDOLE000027383756	L121-97	LEGIARTI000028741121:1	60	sans visée	1	sans préjudice des informations précontractuelles prévues au	Après l’alinéa 4, insérer l’alinéa suivant : « Sans préjudice des informations précontractuelles prévues au premier alinéa, les offres de contrat faites dans les foires et les salons doivent mentionner, en des termes clairs et lisibles, l’absence de délai de rétractation. ».	Sans préjudice des informations précontractuelles prévues au premier alinéa du présent article, les offres de contrat faites dans les foires et les salons mentionnent l'absence de délai de rétractation, en des termes clairs et lisibles, dans un encadré apparent.		juste		sonnet-A	sonnet-B		L'amendement insère cet alinéa à L.121-97 ; la version en vigueur dès la promulgation montre la même disposition légèrement retouchée (mentionnent, ajout dans un encadré apparent).	Fenêtre dans le début identique de l'alinéa ; la fin a été retouchée avant adoption (« du présent article », « dans un encadré apparent » ajoutés), même disposition.		2026-09-24
juste	03438a9b63f3d209	assemblee	18	Adopté	Mme Mathilde Panot	JORFDOLE000051045642	L521-28	LEGIARTI000051828492:2	60	sans visée	2	tre conservatoire, l'autorité administrative chargée de la c	Après l’alinéa 57, insérer l’alinéa suivant : « II. – À titre conservatoire, l’autorité administrative chargée de la concurrence et de la consommation peut suspendre l’agrément dit « Mon accompagnateur rénov’ » lorsque les agents habilités ont constaté que les conditions d’indépendance nécessaires pour obtenir cet agrément ne sont plus réunies. Cette suspension n’emporte pas d’effets sur l’éligibi […]	II. - A titre conservatoire, l'autorité administrative chargée de la concurrence et de la consommation peut suspendre, pour une durée de six mois renouvelable une fois, l'agrément prévu à l'article L. 232-3 du code de l'énergie lorsqu'au moins une des conditions nécessaires pour obtenir cet agrément n'est plus remplie, lorsqu'est constaté un manquement aux règles prévues au titre Ier de la loi n°  […]		faux	juste	opus-arbitre (arbitrage)	sonnet-B	opus-arbitre	sonnet-A et sonnet-B avait rendu « faux » : Le dispositif suspend l'agrément Mon accompagnateur rénov', le segment porte sur un agrément différent (art. L.232-3 du code de l'énergie) : formule administrative passe-partout réutilisée.	Formule passe-partout (« À titre conservatoire, l'autorité administrative... peut suspendre... ») : l'amendement vise l'agrément « Mon accompagnateur rénov' », le segment L521-28 concerne l'agrément de l'article L232-3 du code de l'énergie, deux dispositifs distincts.	L'agrément « Mon Accompagnateur Rénov' » est l'agrément de l'article L. 232-3 du code de l'énergie. Le tableau comparatif de la CMP (RAPPANR5L17B1368) met en face le II (nouveau) de L. 521-28 issu de l'amendement 18 et sa rédaction par le Sénat (« pour une durée de six mois renouvelable une fois, l'agrément prévu par l'article L. 232-3 du code de l'énergie… ») : c'est le même paragraphe, retouché en navette, et l'alinéa en vigueur en descend. Pas une formule passe-partout (docs/55 § 3).	2026-09-24
juste	075006710b3f42ef	assemblee	305	Adopté	M. Philippe Kemel	JORFDOLE000026795365	L332-5-2	LEGIARTI000027762004:1	60	oui	1	e greffe procède à des mesures de publicité pour permettre a	Après l'alinéa 12, insérer les treize alinéas suivants : « 5° L'avant-dernier alinéa de l’article L. 330‑1 est ainsi rédigé : « À l’occasion des recours exercés devant lui en application des articles L. 331‑4, L. 331‑7 et L. 332‑2, le juge du tribunal d’instance peut avec l’accord du débiteur, décider l’ouverture d’une procédure de rétablissement personnel avec liquidation judiciaire. Lorsqu’il st […]	Le greffe procède à des mesures de publicité pour permettre aux créanciers qui n'ont pas été avisés du recours de former tierce opposition à l'encontre de ce jugement. Les créances dont les titulaires n'ont pas formé tierce opposition dans un délai de deux mois à compter de cette publicité sont éteintes.		juste		sonnet-A	sonnet-B		Le dispositif complet (amdt 305) crée bien Art. L.332-5-2 avec cet alinéa sur le greffe, verbatim à un mot et un délai près retouchés ensuite.	L'amendement crée explicitement L. 332-5-2 avec cette phrase ; seul un détail (délai d'un mois → deux mois, « auraient » supprimé) a été retouché avant adoption, vise confirme.		2026-09-24
faux	087fd9057974cba7	assemblee	677	Adopté	M. Razzy Hammadi	JORFDOLE000027383756	L121-21-4	LEGIARTI000028741420:2	60	sans visée	1	% si le retard est compris entre trente et soixante jours,	Rédiger ainsi l’alinéa 94 : « Au-delà, les sommes dues sont de plein droit majorées de 5 % si le remboursement intervient au plus tard trente jours après l’expiration des délais fixés par les deux premiers alinéas, de 10 % si le retard est compris entre trente et soixante jours, de 35 % entre soixante et quatre-vingt dix jours, et de cinq points supplémentaires par nouveau mois de retard jusqu’au  […]	Au-delà, les sommes dues sont de plein droit majorées du taux d'intérêt légal si le remboursement intervient au plus tard dix jours après l'expiration des délais fixés aux deux premiers alinéas, de 5 % si le retard est compris entre dix et vingt jours, de 10 % si le retard est compris entre vingt et trente jours, de 20 % si le retard est compris entre trente et soixante jours, de 50 % entre soixan […]		faux		sonnet-A	sonnet-B		Rédaction non retenue : la version en vigueur de L.121-21-4 porte un barème de majoration différent (seuils en jours et pourcentages tous changés) de celui proposé par l'amendement.	Le barème proposé (5/10/35 %, à 30/60/90 j) a été substantiellement révisé avant adoption (intérêt légal/5/10/20/50 %, à 10/20/30/60/90 j) : au point de la fenêtre, le taux passe de 10 % à 20 % pour la même tranche 30-60 j, ce n'est pas une simple retouche.		2026-09-24
