verdict	cle	chambre	amendement	sort	auteur	article	formule	dossier	subdivision	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	00dcf6b9a4dedc78	assemblee	24283	Adopté	M. Razzy Hammadi	L121-42	rédigé	JORFDOLE000027383756	APRÈS ART. 72	I. – Après l’article L. 121‑41 du code de la consommation, la section 7 est ainsi rédigée : « Section 7 « Achats par l’intermédiaire des opérateurs de communications électroniques « Art. L. 121‑42. – L’opérateur de communications électroniques, au sens du 6° de l’article L. 32 du code des postes et des communications électroniques, exploitant un numéro à valeur ajoutée, son abonné auquel ce numéro est affecté, et, s’il est différent, le fournisseur du produit ou du service à valeur ajoutée, mettent gratuitement à la disposition des consommateurs un outil accessible en ligne permettant d’identi […]	L121-42 (2016-03-18) — écrit par la loi du dossier, 2016-03-18 : L'opérateur de communications électroniques, au sens du 6° de l'article L. 32 du code des postes et des communications électroniques, exploitant un numéro à valeur ajoutée, son abonné auquel ce numéro est affecté et, s'il est différent, le fournisseur du  […]		juste		sonnet-juge-a	sonnet-juge-b		« la section 7 est ainsi rédigée » crée l'Art. L. 121-42 lui-même, au contenu conforme à l'article du fonds.	test		2026-09-26
juste	00ee0af1fe5d9589	assemblee	23532		M. Frédéric Lefebvre	L121-91	modifié	JORFDOLE000027383756	APRÈS ART. 12	La section 12 du chapitre Ier du titre II du livre Ier du code de la consommation est ainsi modifiée : 1° L’article L. 121‑87 est ainsi modifié : a) Le 14° est complété par les mots : « et d’établissement de la facture de clôture » ; b) Après le mot : « dérogé », la fin du dernier alinéa est ainsi rédigée : « à l’obligation mentionnée à la seconde phrase de l’alinéa précédent lorsque le consommateur emménage dans un site. » ; 2° L’article L. 121‑88 est ainsi modifié : a) Au début de la deuxième phrase du premier alinéa, les mots : « À la demande du consommateur, » sont supprimés ; b) Au 4°, ap […]	L121-91 (2007-07-01) — en vigueur à la loi du dossier, 2011-03-01 : Toute offre de fourniture d'électricité ou de gaz permet, au moins une fois par an, une facturation en fonction de l'énergie consommée. Les factures de fourniture de gaz naturel et d'électricité sont présentées dans les conditions fixées par un arrêté  […]		juste		sonnet-juge-a	sonnet-juge-b		Le 3° du dispositif modifie explicitement L. 121-91 par substitutions de mots, au-delà du seul L. 121-91-1 créé en 4°.	Le 3e du dispositif dit : L'article L. 121-91 est ainsi modifie, a, b, c.		2026-09-26
juste	0166afb174236108	assemblee	22264	Adopté	M. Dominique Potier	L732-3	complété	JORFDOLE000032319792	ART. 25 BIS	Rétablir cet article dans la rédaction suivante : « I. – Le titre III du livre VII du code de la consommation est ainsi modifié : 1° À l’intitulé du chapitre Ier, les mots : « de la capacité de remboursement » sont remplacés par les mots : « du montant des remboursements » ; 2° À l’article L. 731‑1, les mots : « la capacité de remboursement est fixée » sont remplacés par les mots : « le montant des remboursements est fixé » ; 3° À l’article L. 732‑1, après la référence : « L. 724‑1 », sont insérés les mots : « et que le débiteur est propriétaire d’un bien immobilier » ; 4° L’article L. 732‑3 e […]	L732-3 (2016-07-01) — écrit par la loi du dossier, 2018-01-01 : Le plan prévoit les modalités de son exécution. Sa durée totale, y compris lorsqu'il fait l'obje […] ‖ avant, 2016-07-01 : Le plan prévoit les modalités de son exécution. Sa durée totale, y compris lorsqu'il fait l'objet d'une révision ou d'un renouvellement, ne peut ex […]		juste		sonnet-juge-a	sonnet-juge-b		Le 4° du dispositif complète L. 732-3 par un alinéa, conforme au contenu de l'article du fonds.	Le 4e du dispositif dit : L'article L. 732-3 est complete par un alinea ainsi redige (verifie en base, amendement 22264).		2026-09-26
juste	01966a8d29d3aa06	assemblee	11900	Adopté	M. Razzy Hammadi	L311-36	rédigé	JORFDOLE000027383756	APRÈS ART. 19	Après le mot : « a », le troisième alinéa de l’article L. 311‑36 du code de la consommation est ainsi rédigé : « exercé son droit de rétractation dans le délai prévu à l’article L. 311‑12. »	L311-36 (1993-07-27) — écrit par la loi du dossier, 2014-07-26 : Le contrat de vente ou de prestation de services est résolu de plein droit, sans indemnité : 1° […] ‖ avant, 2011-05-01 : Le contrat de vente ou de prestation de services est résolu de plein droit, sans indemnité : 1° Si le prêteur n'a pas, dans un délai de sept jours  […]		juste		sonnet-juge-a	sonnet-juge-b		Le dispositif réécrit directement le troisième alinéa de L. 311-36, l'article visé lui-même.	Le dispositif reecrit nommement le troisieme alinea de l'article L. 311-36.		2026-09-26
juste	02fede619d61651d	senat	140914	Rejeté	M. DOSSUS	L111-4	complété	JORFDOLE000043113774	art. add. avant Article 13	Avant l'article 13 Insérer un article additionnel ainsi rédigé : Le deuxième alinéa de l’article L. 111‑4 du code de la consommation est complété par une phrase ainsi rédigée : « Il offre notamment la possibilité au consommateur de pouvoir changer aisément et par lui‑même, lorsque cela est possible, la batterie en lui permettant l’accès à cette pièce de rechange pour une durée de dix ans à compter de la dernière date de commercialisation du produit. »	L111-4 (2016-07-01) — écrit par la loi du dossier, 2022-01-01 : Le fabricant ou l'importateur de biens meubles informe le vendeur professionnel de la disponibil […] ‖ avant, 2016-07-01 : Le fabricant ou l'importateur de biens meubles informe le vendeur professionnel de la période pendant laquelle ou de la date jusqu'à laquelle les p […]	//www.senat.fr/amendements/2020-2021/667/Amdt_363.html	juste		sonnet-juge-a	sonnet-juge-b		Le dispositif complète directement le deuxième alinéa de L. 111-4, sans passer par une ancre.	Le dispositif complete directement le deuxieme alinea de l'article L. 111-4.		2026-09-26
juste	033efd3254170e19	senat	118410	Rejeté	Mme TERRADE	L311-17	rédigé	JORFDOLE000020542090	Article 5	I. - Rédiger comme suit le texte proposé par le E du II de cet article pour l'article L. 311‑17 du code de la consommation : « Art. L. 311‑17. - Aucun crédit renouvelable ne peut être associé à une carte ouvrant droit à des avantages commerciaux et promotionnels ou à une carte de paiement. » II. - Supprimer le F.	L311-17 (1993-07-27) — écrit par la loi du dossier, 2011-05-01 : Lorsque le crédit renouvelable mentionné à l'article L. 311-16 est assorti de l'usage d'une car […] ‖ avant, 1993-07-27 : Tant que l'opération n'est pas définitivement conclue, aucun paiement, sous quelque forme et à quelque titre que ce soit, ne peut être fait par le  […]	//www.senat.fr/amendements/2008-2009/448/Amdt_68.html	juste		sonnet-juge-a	sonnet-juge-b		Le dispositif réécrit le texte proposé par le projet pour L. 311-17 lui-même ; que la rédaction n'ait pas été retenue (Rejeté) ne change pas l'action visée.	Le dispositif redige en toutes lettres Art. L. 311-17.		2026-09-26
juste	03529c75d1a8bb26	senat	116512	Rejeté	M. MANO	L311-3	complété	JORFDOLE000017760141	art. add. avant Article 27	Avant l'article 27, insérer un article additionnel ainsi rédigé : I. - Le troisième alinéa (2°) de l'article L. 311-3 du code de la consommation est complété par le membre de phrase suivant : « et qui est revalorisée chaque année en fonction de l'indice des prix à la consommation de l'ensemble des ménages, hors tabac, France entière. » II. - L'avant-dernier alinéa (c du 4°) du même article est complété par le membre de phrase suivant : « et qui est revalorisé chaque année en fonction de l'indice des prix à la consommation de l'ensemble des ménages, hors tabac, France entière. »	L311-3 (1993-07-27) — en vigueur à la loi du dossier, 1993-07-27 : Sont exclus du champ d'application du présent chapitre : 1° Les prêts, contrats et opérations de crédit passés en la forme authentique ; 2° Ceux qui sont consentis pour une durée totale inférieure ou égale à trois mois, ainsi que ceux dont le montant es […]	//www.senat.fr/amendements/2002-2003/398/Amdt_273.html	juste		sonnet-juge-a	sonnet-juge-b		Le dispositif complète deux alinéas de L. 311-3 lui-même.	Le dispositif complete nommement deux alineas de l'article L. 311-3.		2026-09-26
juste	03918d6542823671	senat	131465	Retiré	M. BIGOT	L733-6	rédigé	JORFDOLE000030962821	Article 18 sexies (Supprimé)	Rétablir cet article dans la rédaction suivante : I. – Le livre VII du code de la consommation est ainsi modifié : 1° Au premier alinéa de l’article L. 711‑5, les références : « L. 741‑3, L. 741‑7, L. 741‑8 » sont remplacées par les références : « L. 741‑2, L. 741‑6 et L. 741‑7 » ; 2° Le second alinéa de l’article L. 711‑8 est ainsi modifié : a) Les mots : « par l’article L. 733‑1, jusqu’à l’homologation par le juge des mesures recommandées en application des articles » sont remplacés par la référence : « aux articles L. 733‑1, » ; b) Les références : « L. 733‑7, L. 733‑8 » sont remplacées par […]	L733-6 (2018-01-01) — écrit par la loi du dossier, 2018-01-01 : Les dettes fiscales font l'objet d'un rééchelonnement ou de remises totales ou partielles dans les mêmes conditions que les autres dettes.	//www.senat.fr/amendements/2015-2016/840/Amdt_55.html	juste		sonnet-juge-a	sonnet-juge-b		Le 15° réécrit L. 733-6, dont le contenu (« dettes fiscales... ») concorde mot pour mot avec l'article du fonds.	Le 15e du dispositif (verifie en base, amendement 131465) cree Art. L. 733-6, texte identique a celui du fonds.		2026-09-26
juste	0398d75de0712338	assemblee	107730	Adopté	M. Philippe Gosselin	L621-7	rédigé	JORFDOLE000050427907	ART. 14	Rédiger ainsi cet article : « I. – A. – Une action de groupe est exercée en justice par un demandeur mentionné à 1 du B du présent I pour le compte de plusieurs personnes physiques ou morales, placées dans une situation similaire, subissant des dommages ayant pour cause commune un même manquement ou un manquement de même nature à ses obligations légales ou contractuelles commis par toute personne agissant dans l’exercice ou à l’occasion de son activité professionnelle, par toute personne morale de droit public ou par tout organisme de droit privé chargé de la gestion d’un service public. « L’a […]	L621-7 (2016-07-01) — écrit par la loi du dossier, 2025-05-03 : Les associations mentionnées à l'article L. 621-1 peuvent agir devant la juridiction civile pour […] ‖ avant, 2016-07-01 : Les associations mentionnées à l'article L. 621-1 et les organismes justifiant de leur inscription sur la liste publiée au Journal officiel de l'Un […]		juste		sonnet-juge-a	sonnet-juge-b		Le 2° du dispositif réécrit explicitement L. 621-7, au contenu proche de l'article du fonds.	Le dispositif integral (verifie en base, amendement 107730) contient : l'article L. 621-7 est ainsi redige : Art. L. 621-7.		2026-09-26
juste	03a578855263d7df	senat	147409	Adopté	M. GONTARD	L122-26	rédigé	JORFDOLE000051045642	art. add. après Article 3	Après l’article 3 Insérer un article additionnel ainsi rédigé : La section 3 du chapitre II du titre II du livre I er du code de la consommation est complétée par une sous‑section ainsi rédigée : « Sous‑section 9 : « Information sur l’existence du service public de la performance énergétique de l’habitat « Art. L. 122‑26. – Tout support de promotion ou de publicité proposant des travaux de rénovation énergétique, en particulier les sites internet, fait obligatoirement mention de l’existence et du rôle du service public de la performance énergétique de l’habitat défini aux articles L. 232‑1 à L […]	L122-26 (2025-07-02) — écrit par la loi du dossier, 2025-07-02 : Tout support de promotion ou de publicité proposant des travaux de rénovation énergétique fait mention de l'existence et du rôle du service public de la performance énergétique de l'habitat défini aux articles L. 232-1 à L. 232-3 du code de l'énergie. Les […]	//www.senat.fr/amendements/2024-2025/469/Amdt_120.html	juste		sonnet-juge-a	sonnet-juge-b		Le dispositif crée L. 122-26 dans une sous-section nouvelle, au contenu quasi identique à l'article du fonds.	La sous-section inseree contient Art. L. 122-26, cree par le dispositif.		2026-09-26
juste	041fbdc52e337b20	assemblee	22375	Non soutenu	M. Yann Galut	L313-30	rédigés	JORFDOLE000032319792	ART. 29 BIS B	Compléter cet article par les trois alinéas suivants : « III. – Les deux derniers alinéas de l’article L. 313‑30 du code de la consommation sont ainsi rédigés : « Au-delà de la période de douze mois susmentionnée, l’emprunteur peut résilier le contrat tous les ans tel que mentionné dans l’article L. 113‑12 du code des assurances ou au deuxième alinéa de l’article L. 221‑10 du code de la mutualité et procéder à sa substitution dans les mêmes conditions que prévues au premier alinéa du présent article. Toute clause contraire est réputée non écrite. « Toute décision de refus doit être motivée. ».	L313-30 (2016-07-01) — en vigueur à la loi du dossier, 2016-07-01 : Jusqu'à la signature par l'emprunteur de l'offre mentionnée à l'article L. 313-24, le prêteur ne peut pas refuser en garantie un autre contrat d'assurance dès lors que ce contrat présente un niveau de garantie équivalent au contrat d'assurance de group […]		juste		sonnet-juge-a	sonnet-juge-b		Le III réécrit directement les deux derniers alinéas de L. 313-30.	Le dispositif reecrit nommement les deux derniers alineas de l'article L. 313-30 du code de la consommation.		2026-09-26
