verdict	cle	chambre	amendement	sort	auteur	article	formule	dossier	subdivision	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	0a896cacebfb4a6e	assemblee	16995	Adopté	M. Jean-Louis Bricout	L121-109	rédigé	JORFDOLE000027383756	ART. 11	I. – Après l’alinéa 35, insérer les vingt-cinq alinéas suivants : « Section 17 « Contrats relatifs au gaz de pétrole liquéfié « Art. L. 121‑105. – Les dispositions de la présente section s’appliquent aux contrats souscrits par un consommateur ayant pour objet la fourniture de gaz de pétrole liquéfié en vrac, la mise à disposition ou la vente de matériels de stockage de gaz de pétrole liquéfié en vrac d’un poids supérieur à 50 kilogrammes, ou l’entretien de tels matériels. « Art. L. 121‑106. – Les contrats visés à l’article L. 121‑105 sont écrits, le consommateur n’étant engagé que par sa signa […]	L121-109 (2014-10-01) Tout professionnel proposant les contrats mentionnés à l'article L. 121-106 est tenu à une obligation d'information du consommateur sur la sécurité pendant la durée d'exécution du contrat, dans des conditions définies par arrêté conjoint des ministres chargés de la consommation, de l'énergie et de la sécurité des équip […]		juste		sonnet-A	sonnet-B		L'art. interne L.121-108 de l'amdt 16995 (« Tout professionnel proposant les contrats… obligation d'information… sécurité… arrêté conjoint… ») est verbatim l'art. L121-109 promulgué.	L'amdt 16995 rédige en L.121-108 interne l'obligation d'info sécurité, quasi mot pour mot le texte promulgué de L121-109 (numérotation finale décalée de +1).		2026-09-24
juste	0e6c7bbf5e73684b	assemblee	16995	Adopté	M. Jean-Louis Bricout	L121-110	rédigé	JORFDOLE000027383756	ART. 11	I. – Après l’alinéa 35, insérer les vingt-cinq alinéas suivants : « Section 17 « Contrats relatifs au gaz de pétrole liquéfié « Art. L. 121‑105. – Les dispositions de la présente section s’appliquent aux contrats souscrits par un consommateur ayant pour objet la fourniture de gaz de pétrole liquéfié en vrac, la mise à disposition ou la vente de matériels de stockage de gaz de pétrole liquéfié en vrac d’un poids supérieur à 50 kilogrammes, ou l’entretien de tels matériels. « Art. L. 121‑106. – Les contrats visés à l’article L. 121‑105 sont écrits, le consommateur n’étant engagé que par sa signa […]	L121-110 (2014-10-01) Tout projet de modification des conditions contractuelles à l'initiative du professionnel est communiqué par écrit par ce professionnel au consommateur au moins un mois avant son entrée en vigueur, assorti de l'information, énoncée de manière claire, précise et visible, selon laquelle ce dernier peut, tant qu'il n'a pa […]		juste		sonnet-A	sonnet-B		L'art. interne L.121-109 de l'amdt 16995 (modification des conditions contractuelles, un mois, trois mois) est verbatim l'art. L121-110 promulgué.	L'amdt 16995 rédige en L.121-109 interne le préavis de modification des conditions contractuelles (un mois), texte quasi identique au L121-110 promulgué.		2026-09-24
faux	384c993a0f3b2ed6	senat	62467	Rejeté	M. LE CAM	L311-16	rédigé	JORFDOLE000027383756	Article 19 ter	Alinéas 2 à 6 Remplacer ces alinéas par un alinéa ainsi rédigé : « Art. L. 311‑17. – Tout crédit qui, assorti ou non de l’usage d’une carte de crédit, offre à son bénéficiaire la possibilité de disposer de façon fractionnée, aux dates de son choix, du montant du crédit consenti, est interdit. »	L311-16 (1993-07-27) Lorsque l'offre préalable stipule que le prêteur se réserve le droit d'agréer la personne de l'emprunteur, le contrat accepté par l'emprunteur ne devient parfait qu'à la double condition que, dans ce même délai de sept jours, ledit emprunteur n'ait pas usé de la faculté de rétractation visée à l'article L. 311-15 et qu […]	//www.senat.fr/amendements/2013-2014/283/Amdt_210.html	faux		sonnet-A	sonnet-B		L'amdt 62467 propose d'interdire le crédit renouvelable (« … est interdit »), en reprenant seulement la formule définitoire du crédit renouvelable ; l'art. L311-16 (versions 2011-2014) régit ce crédit sans l'interdire, et l'amendement, rejeté, n'a jamais produit cette interdiction.	L'amdt 62467 reprend la clause définissant le crédit fractionné de L311-16 (version 2011-2014) pour l'interdire sous un nouvel art. L311-17, mais L311-16 promulgué ne comporte aucune interdiction : l'amendement cite A pour le remplacer, il ne l'écrit pas.		2026-09-24
faux	390c6bff6a04713f	assemblee	14414		M. Frédéric Lefebvre	L136-1	rédigé	JORFDOLE000027383756	APRÈS ART. 11	Après l’article L. 121‑103 du code de la consommation, est insérée une section 16 ainsi rédigée : « Section 16 « Contrats relatifs au gaz de pétrole liquéfié « Art. L. 121‑104. – Lorsqu’un contrat comporte une clause de reconduction tacite, le professionnel informe le consommateur par écrit, au plus tôt trois mois et au plus tard un mois avant le terme de la période autorisant le rejet de la reconduction, de la possibilité de ne pas reconduire le contrat qu’il a conclu avec une clause de reconduction tacite. « Lorsque cette information ne lui a pas été adressée conformément au premier alinéa,  […]	L136-1 (2005-07-28) Le professionnel prestataire de services informe le consommateur par écrit, au plus tôt trois mois et au plus tard un mois avant le terme de la période autorisant le rejet de la reconduction, de la possibilité de ne pas reconduire le contrat qu'il a conclu avec une clause de reconduction tacite. Lorsque cette informati […]		faux		sonnet-A	sonnet-B		L'amdt 14414 crée un nouvel art. L.121-104 (gaz de pétrole liquéfié) qui reprend la formule de la reconduction tacite déjà en vigueur à L136-1 depuis 2005 ; il ne rédige pas L136-1 (sujet distinct, simple ressemblance de formule, article jamais modifié par cet amendement).	Le dispositif de l'amdt 14414, inséré sous « Section 16 gaz de pétrole liquéfié » Art. L.121-104, recopie mot pour mot le texte préexistant de L136-1 (reconduction tacite, version 2008), sans rapport avec le GPL ni avec une renumérotation de L136-1 : coïncidence/erreur de rédaction, pas une écriture de la disposition de L136-1.		2026-09-24
juste	73c60898a5da2ffd	assemblee	14562		M. Frédéric Lefebvre	L121-109	rédigé	JORFDOLE000027383756	APRÈS ART. 11	Après l’article L. 121‑103 du code de la consommation, est insérée une section 16 ainsi rédigée : « Section 16 « Contrats relatifs au gaz de pétrole liquéfié « Art. L. 121‑104. – Toute entreprise proposant les contrats objets de la présente section est tenue à une obligation d’information du consommateur sur la sécurité pendant la durée d’exécution du contrat, dans des conditions définies par arrêté conjoint des ministres chargés de la consommation, de l’énergie et de la sécurité des équipements sous pression. ».	L121-109 (2014-10-01) Tout professionnel proposant les contrats mentionnés à l'article L. 121-106 est tenu à une obligation d'information du consommateur sur la sécurité pendant la durée d'exécution du contrat, dans des conditions définies par arrêté conjoint des ministres chargés de la consommation, de l'énergie et de la sécurité des équip […]		juste		sonnet-A	sonnet-B		L'art. interne L.121-104 de l'amdt 14562 (« Toute entreprise proposant les contrats… obligation d'information… sécurité… arrêté conjoint… ») correspond en substance à l'art. L121-109 promulgué (seule la désignation du redevable diffère : entreprise/professionnel).	L'amdt 14562 rédige en L.121-104 interne l'obligation d'info sécurité des contrats GPL, quasi identique au texte promulgué de L121-109.		2026-09-24
faux	857c517a27fd28ce	assemblee	14123	Rejeté	Mme Valérie Boyer	L121-82	rédigé	JORFDOLE000027383756	APRÈS ART. 4	Après l'article L. 121-103 du code de la consommation, est insérée une section 16 ainsi rédigée : « Section 16 « Appellation de pâtissier et enseigne de pâtisserie « Art. L. 121‑104. – Ne peuvent utiliser l’appellation de « pâtissier » et l’enseigne commerciale de « pâtisserie » ou une dénomination susceptible de porter à confusion les professionnels qui n’assurent pas eux-mêmes, à partir de matières premières choisies, la fabrication des pâtisseries. Les produits ne peuvent à aucun stade de la production ou de la vente être surgelés ou congelés ; « Art. L. 121‑105. – Cette dénomination peut é […]	L121-82 (1998-05-26) La recherche et la constatation des infractions aux dispositions des articles L. 121-80 et L. 121-81 sont exercées dans les conditions prévues à l'article L. 121-2 et punies des peines prévues à l'article L. 213-1 et, le cas échéant, au second alinéa de l'article L. 121-6.		faux		sonnet-A	sonnet-B		L'art. interne L.121-106 de l'amdt 14123 (rejeté) est une clause de répression calquée sur la formule de L121-82, mais renvoyant à ses propres art. L121-104/105 sur l'appellation « pâtissier » — sujet distinct de L121-82 qui réprime les infractions aux art. L121-80/81, préexistants et sans rapport.	L'art. L.121-106 interne de l'amdt 14123 (recherche des infractions aux art. L.121-104/105 sur l'appellation « pâtissier ») reprend la formule de L121-82 mais L121-82 promulgué sanctionne les infractions à L121-80/81 sur le « boulanger » : même formule, sujet différent.		2026-09-24
juste	88aa2d1e261b52ae	assemblee	16995	Adopté	M. Jean-Louis Bricout	L121-107	rédigé	JORFDOLE000027383756	ART. 11	I. – Après l’alinéa 35, insérer les vingt-cinq alinéas suivants : « Section 17 « Contrats relatifs au gaz de pétrole liquéfié « Art. L. 121‑105. – Les dispositions de la présente section s’appliquent aux contrats souscrits par un consommateur ayant pour objet la fourniture de gaz de pétrole liquéfié en vrac, la mise à disposition ou la vente de matériels de stockage de gaz de pétrole liquéfié en vrac d’un poids supérieur à 50 kilogrammes, ou l’entretien de tels matériels. « Art. L. 121‑106. – Les contrats visés à l’article L. 121‑105 sont écrits, le consommateur n’étant engagé que par sa signa […]	L121-107 (2014-10-01) Les contrats mentionnés à l'article L. 121-106 sont écrits, le consommateur n'étant engagé que par sa signature. Ces contrats doivent préciser au moins les informations suivantes sous une forme claire, détaillée et aisément accessible : 1° L'identité du professionnel, ses adresses postale et électronique, ses coordonné […]		juste		sonnet-A	sonnet-B		L'art. interne L.121-106 de l'amdt 16995 (contrats écrits, informations à préciser) est verbatim l'art. L121-107 promulgué.	L'amdt 16995 rédige en L.121-106 interne les contrats écrits et la liste des mentions obligatoires, texte repris quasi à l'identique par le L121-107 promulgué.		2026-09-24
juste	97849dfc2054b7cc	assemblee	14231	Adopté	M. Razzy Hammadi	L121-47	rédigé	JORFDOLE000027383756	APRÈS ART. 72	I. – Après l’article L. 121‑41 du code de la consommation, la section 7 est ainsi rédigée : « Section 7 « Achats par l’intermédiaire des opérateurs de communications électroniques « Art. L. 121‑42. – Tout fournisseur d’un service téléphonique au public, au sens du 7° de l’article L. 32 du code des postes et des communications électroniques, propose au consommateur une option gratuite permettant de bloquer les communications à destination de certaines tranches de numéros à valeur ajoutée. Ces tranches de numéros sont définies par un arrêté conjoint du ministre chargé de la consommation et du mi […]	L121-47 (2016-03-18) Tout fournisseur d'un service téléphonique au public, au sens du 7° de l'article L. 32 du code des postes et des communications électroniques, propose au consommateur une option gratuite permettant de bloquer les communications à destination de certaines tranches de numéros à valeur ajoutée. Ces tranches de numéros son […]		juste		sonnet-A	sonnet-B		L'art. interne L.121-42 de l'amdt 14231 (adopté), sur le blocage gratuit des numéros à valeur ajoutée, est quasi verbatim l'art. L121-47 promulgué (recodifié en 2016).	L'amdt 14231 rédige en L.121-42 interne l'option gratuite de blocage des numéros surtaxés, texte quasi mot pour mot celui du L121-47 promulgué (recodifié en 2016).		2026-09-24
juste	9c477818ea83a663	assemblee	16995	Adopté	M. Jean-Louis Bricout	L121-106	rédigé	JORFDOLE000027383756	ART. 11	I. – Après l’alinéa 35, insérer les vingt-cinq alinéas suivants : « Section 17 « Contrats relatifs au gaz de pétrole liquéfié « Art. L. 121‑105. – Les dispositions de la présente section s’appliquent aux contrats souscrits par un consommateur ayant pour objet la fourniture de gaz de pétrole liquéfié en vrac, la mise à disposition ou la vente de matériels de stockage de gaz de pétrole liquéfié en vrac d’un poids supérieur à 50 kilogrammes, ou l’entretien de tels matériels. « Art. L. 121‑106. – Les contrats visés à l’article L. 121‑105 sont écrits, le consommateur n’étant engagé que par sa signa […]	L121-106 (2014-10-01) La présente section s'applique aux contrats souscrits par un consommateur ayant pour objet la fourniture de gaz de pétrole liquéfié en vrac, la mise à disposition ou la vente de matériels de stockage de gaz de pétrole liquéfié en vrac d'un poids supérieur à 50 kilogrammes ou l'entretien de tels matériels.		juste		sonnet-A	sonnet-B		L'art. interne L.121-105 de l'amdt 16995 (champ d'application, gaz de pétrole liquéfié en vrac, >50 kg) est verbatim l'art. L121-106 promulgué.	L'amdt 16995 rédige en L.121-105 interne le champ d'application aux contrats GPL, texte identique au L121-106 promulgué.		2026-09-24
juste	9fb62dca69e277e6	assemblee	14720		M. Frédéric Lefebvre	L121-106	rédigé	JORFDOLE000027383756	APRÈS ART. 11	Après l’article L. 121‑103 du code de la consommation, est insérée une section 16 ainsi rédigée : « Section 16 « Contrats relatifs au gaz de pétrole liquéfié « Art. L. 121‑104. – La présente section s’applique aux contrats souscrits par un consommateur ou un non-professionnel ayant pour objet la fourniture de gaz de pétrole liquéfié en vrac, la mise à disposition ou la vente de matériels de stockage de gaz de pétrole liquéfié en vrac d’un poids supérieur à cinquante kilogrammes ou l’entretien de tels matériels. ».	L121-106 (2014-10-01) La présente section s'applique aux contrats souscrits par un consommateur ayant pour objet la fourniture de gaz de pétrole liquéfié en vrac, la mise à disposition ou la vente de matériels de stockage de gaz de pétrole liquéfié en vrac d'un poids supérieur à 50 kilogrammes ou l'entretien de tels matériels.		juste		sonnet-A	sonnet-B		L'art. interne L.121-104 de l'amdt 14720 (champ d'application, gaz de pétrole liquéfié en vrac) correspond quasi mot pour mot à l'art. L121-106 promulgué (ajout mineur « ou un non-professionnel »).	L'amdt 14720 rédige en L.121-104 interne le champ d'application aux contrats GPL, quasi identique au L121-106 promulgué (seule variante : mention des non-professionnels).		2026-09-24
