verdict	cle	voie	hote	legi	distance_hote	texte	article_du_texte	numero_cite	code_cite	article_du_fonds	mention_hote	contexte	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	0459c37a4aea50fc	citation	nomme	oui	76	assemblee/14-projets-pl1357.asp	72 quater a	L111-4	code de la consommation		chargé de la consommation ; » 2° (Supprimé) Article 72 quater A (nouveau) Le chapitre Ier du titre Ier du livre Ier du code de la consommation est complété par un article L. 111-4 ainsi rédigé : « Art. L. 111-4. – Sans préjudice des obligations d’information prévues à l’article	x ans après la promulgation de la présente loi. Article 72 ter I. – (Non modifié) II. – Le code des postes et des communications électroniques est ainsi modifié : 1° Le 12° du II de l’article L. 32-1 est ainsi rédigé : « 12° À prendre en compte l’intérêt des consommateurs, conjointement avec le ministre chargé de la consommation ; » 2° (Supprimé) Article 72 quater A (nouveau) Le chapitre Ier du titre Ier du livre Ier du code de la consommation est complété par un article L. 111-4 ainsi rédigé : « Art. L. 111-4. – Sans préjudice des obligations d’information prévues à l’article 19 de la loi n° 2004-575 du 21 juin 2004 pour la confiance dans l’économie numérique, toute personne dont l’activité consiste en la fourniture d’informations en ligne permettant la comparaison des prix et des caractéristiques de biens et de services proposés par des professionnels est tenue d’apporter une information loyale, claire et transparente, dont les modalités et le contenu sont fixés par décret. » Article	https://www.assemblee-nationale.fr/14/projets/pl1357.asp	juste		sonnet-juge-a	sonnet-juge-b		Le texte écrit sous « Art. L. 111-4 » reprend mot pour mot le corps de L. 111-5 produit par ce dossier (version du 2014-03-19), seule une clause finale sur la publicité ajoutée en navette manque au brouillon.	article_du_fonds vide dans la fiche (id 320 absent d'article_courant) mais en base l'article 320 porte le numéro L111-5 (2014-03-19) au contenu identique mot pour mot au « Art. L. 111-4 » écrit.		2026-09-26
juste	07a775ff80a88fa5	citation	nomme	oui	78	assemblee/dyn-15-textes-l15b2966_texte-adopte-commission	5 bis	L412-10	code de la consommation	L412-12 (2020-06-12) Le nom et l'adresse du producteur de bière sont indiqués en évidence sur l'étiquetage de manière à ne pas induire en erreur le consommateur quant à l'origine de la bière, d'une manière quelconque, y compris en raison de la présentation générale de l'étiquette.	78, 341, 342 et TA 73 (2019-2020). Article 5 bis (Non modifié) La section 2 du chapitre II du titre Ier du livre IV du code de la consommation est complétée par un article L. 412-10 ainsi rédigé : « Art. L. 412-10. – Le nom et l’adresse du producteur de bière sont indiqués en év	MMISSION DES AFFAIRES ÉCONOMIQUES ANNEXE AU RAPPORT PROPOSITION DE LOI relative à la transparence de l’information sur les produits agricoles et alimentaires (Deuxième lecture) Voir les numéros : Assemblée nationale : 1ère lecture : 1786, 2441 et TA 362. 2ème lecture : 2743. Sénat : 1ère lecture : 178, 341, 342 et TA 73 (2019-2020). Article 5 bis (Non modifié) La section 2 du chapitre II du titre Ier du livre IV du code de la consommation est complétée par un article L. 412-10 ainsi rédigé : « Art. L. 412-10. – Le nom et l’adresse du producteur de bière sont indiqués en évidence sur l’étiquetage de manière à ne pas induire en erreur le consommateur quant à l’origine de la bière, d’une manière quelconque, y compris en raison de la présentation générale de l’étiquette. »	http://www.assemblee-nationale.fr/dyn/15/textes/l15b2966_texte-adopte-commission	juste		sonnet-juge-a	sonnet-juge-b		Le texte écrit sous « Art. L. 412-10 » est identique, mot pour mot, à L. 412-12 (version du 2020-06-12) que ce dossier a produite.	le contenu écrit sous « Art. L. 412-10 » (bière, origine, étiquetage) est identique mot pour mot à L412-12 (2020-06-12).		2026-09-26
juste	0fac88a624af3141	citation	suppose	oui	9186	assemblee/14-ta-ta0176.asp	45	L218-5-5	code de la consommation	L218-5-6 (2014-03-19) Sans préjudice des autres sanctions encourues, lorsque la non-conformité à la réglementation d'un produit a été établie par un essai ou une analyse, réalisé à la suite d'un prélèvement d'échantillon effectué en application du présent livre, le responsable de la mise sur le marché du produit ou, le […]	ion est jointe à la proposition de transaction adressée à l’auteur de l’infraction. » Article 36 L’article L. 217-5 du code de la consommation est ainsi rétabli : « Art. L. 217-5. – Tout opérateur ayant connaissance, après avoir acquis ou cédé des produits, de la non-conformité	’arrêté préfectoral. « Art. L. 218-5-4. – S’il est établi qu’un produit a été mis sur le marché sans avoir été l’objet de l’autorisation, de l’enregistrement ou de la déclaration exigé par la règlementation applicable à ce produit, le préfet ou, à Paris, le préfet de police peut ordonner la suspension de sa mise sur le marché et son retrait jusqu’à la mise en conformité avec la réglementation en vigueur. » Article 45 La même sous-section 2 est complétée par un article L. 218-5-5 ainsi rédigé : « Art. L. 218-5-5. – Sans préjudice des autres sanctions encourues, lorsque la non-conformité à la règlementation d’un produit a été établie par un essai ou une analyse, réalisé à la suite d’un prélèvement d’échantillon effectué en application du présent livre, le responsable de la mise sur le marché du produit ou, le cas échéant, toute autre personne responsable de la non-conformité supporte, à titre de sanction infligée par l’autorité administrative, les frais de prélèvement, de transport, d’a	http://www.assemblee-nationale.fr/14/ta/ta0176.asp	juste		sonnet-juge-a	sonnet-juge-b		Le premier alinéa écrit sous « Art. L. 218-5-5 » reprend mot pour mot celui de L. 218-5-6 (version du 2014-03-19 produite par ce dossier), seul l'alinéa sur le décret n'est pas cité.	le contenu écrit sous « Art. L. 218-5-5 » (sanctions, frais de prélèvement) est identique à L218-5-6 (2014-03-19).		2026-09-26
juste	1046fbdbd6d7e7cd	citation	nomme	oui	77	assemblee/15-propositions-pion1786.asp	5	L412-9	code de la consommation	L412-11 (2020-06-01) Les exploitants d'établissements titulaires d'une licence de débit de boissons à consommer sur place ou à emporter ou d'une licence de restaurant indiquent, de manière lisible, sur leurs cartes ou sur tout autre support la provenance et, le cas échéant, la dénomination de l'appellation d'origine pr […]	du nom et de l’imagerie utilisés sur le contenant. » Article 5 La section 2 du chapitre II du titre Ier du livre IV du code de la consommation est complétée par un article L. 412-9 ainsi rédigé : « Art. L. 412-9. – Les exploitants d’établissements titulaires d’une licence de déb	indiquée en évidence sur l’étiquetage de manière à ne pas induire en erreur le consommateur quant au pays d’origine du produit, d’une manière quelconque, y compris en raison de la présentation générale de l’étiquette. « Le non-respect des dispositions du premier alinéa est notamment apprécié au regard du nom et de l’imagerie utilisés sur le contenant. » Article 5 La section 2 du chapitre II du titre Ier du livre IV du code de la consommation est complétée par un article L. 412-9 ainsi rédigé : « Art. L. 412-9. – Les exploitants d’établissements titulaires d’une licence de débit de boissons, à consommer sur place ou à emporter, ou d’une licence de restaurant indiquent, de manière lisible, sur leurs cartes ou sur tout autre support, la provenance et, le cas échéant, la dénomination de l’appellation d’origine protégée ou de l’indication géographique protégée des vins mis en vente sous forme de bouteille, de pichet ou de verre. » Article 6 Au dernier alinéa de l’article L. 661-8 du code r	http://www.assemblee-nationale.fr/15/propositions/pion1786.asp	juste		sonnet-juge-a	sonnet-juge-b		Le texte écrit sous « Art. L. 412-9 » correspond, virgules près, à L. 412-11 (version du 2020-06-01) que ce dossier a produite.	le contenu écrit sous « Art. L. 412-9 » (licence de débit de boissons, provenance des vins) est identique à L412-11 (2020-06-01).		2026-09-26
juste	10beaa35d8f4fd2c	citation	nomme	oui	82	senat/leg-tas19-073.html	5 bis	L412-10	code de la consommation	L412-12 (2020-06-12) Le nom et l'adresse du producteur de bière sont indiqués en évidence sur l'étiquetage de manière à ne pas induire en erreur le consommateur quant à l'origine de la bière, d'une manière quelconque, y compris en raison de la présentation générale de l'étiquette.	A, 1er, 2, 2 bis, 2 ter et 3 à 5 (Conformes) Article 5 bis  La section 2 du chapitre II du titre Ier du livre IV du code de la consommation est complétée par un article L. 412-10 ainsi rédigé :  « Art. L. 412-10. – Le nom et l’adresse du producteur de bière sont indiqués e	ée nationale en première lecture, dont la teneur suit : Voir les numéros : Assemblée nationale (15e législature) : 1786, 2441 et T.A. 362. Sénat : 178, 341 et 342 (2019-2020). Proposition de loi relative à la transparence de l’information sur les produits agricoles et alimentaires Articles 1er A, 1er, 2, 2 bis, 2 ter et 3 à 5 (Conformes) Article 5 bis  La section 2 du chapitre II du titre Ier du livre IV du code de la consommation est complétée par un article L. 412-10 ainsi rédigé :  « Art. L. 412-10. – Le nom et l’adresse du producteur de bière sont indiqués en évidence sur l’étiquetage de manière à ne pas induire en erreur le consommateur quant à l’origine de la bière, d’une manière quelconque, y compris en raison de la présentation générale de l’étiquette. » Articles 6 à 8 (Conformes) Délibéré en séance publique, à Paris, le 4 mars 2020. Le Président, Signé : Gérard LARCHER Les thèmes associés à ce texte Agriculture et pêche Page mise à jour le 19 avril 2023 Partager	https://www.senat.fr/leg/tas19-073.html	juste		sonnet-juge-a	sonnet-juge-b		Même texte, mot pour mot, que L. 412-12 (2020-06-12) — cette lecture sénatoriale reprend l'article adopté par l'Assemblée.	même texte que 07a775ff80a88fa5 en lecture Sénat conforme : « Art. L. 412-10 » écrit correspond mot pour mot à L412-12.		2026-09-26
juste	1a03488f34a8a813	citation	suppose	oui	524	assemblee/13-ta-ta0075.asp	7 quater	L121-84-8	code de la consommation	L121-84-10 (2008-06-01) Lorsqu'ils proposent d'assurer la mise en relation à la suite de la fourniture d'un numéro de téléphone, les fournisseurs de renseignements téléphoniques ont l'obligation d'informer le consommateur du tarif de cette mise en relation. Cette information doit être fournie systématiquement et préala […]	aisonnable dans les conditions prévues au I de l’article L. 34-8. » Article 7 quater I. – Après l’article L. 121-84 du code de la consommation, il est inséré un article L. 121-84-7 ainsi rédigé : « Art. L. 121-84-7. – Sans préjudice du tarif appliqué au titre de la fourniture de	il est inséré un article L. 121-84-7 ainsi rédigé : « Art. L. 121-84-7. – Sans préjudice du tarif appliqué au titre de la fourniture des prestations de renseignements téléphoniques, aucun tarif de communication spécifique autre que celui d’une communication nationale ne peut être appliqué, par les opérateurs de téléphonie mobile, aux appels émis vers des services de renseignements téléphoniques. » II. – Après l’article L. 121-84 du même code, il est inséré un article L. 121-84-8 ainsi rédigé : « Art. L. 121-84-8. – Lorsqu’ils proposent d’assurer la mise en relation à la suite de la fourniture d’un numéro de téléphone, les fournisseurs de renseignements téléphoniques ont l’obligation d’informer le consommateur du tarif de cette mise en relation. Cette information doit être fournie systématiquement et préalablement à l’acceptation expresse de l’offre de mise en relation par le consommateur. » Article 7 quinquies ...................................Suppression maintenue..................	http://www.assemblee-nationale.fr/13/ta/ta0075.asp	juste		sonnet-juge-a	sonnet-juge-b		Le texte écrit sous « Art. L. 121-84-8 » est identique, mot pour mot, à L. 121-84-10 (version du 2008-06-01) que ce dossier a produite.	le contenu écrit sous « Art. L. 121-84-8 » (tarif de mise en relation) est identique à L121-84-10 (2008-06-01).		2026-09-26
juste	59dc080eedb18bbb	citation	suppose	oui	267	assemblee/13-ta-ta0451.asp	14	L311-47	code de la consommation	L311-48 (2011-05-01) Le prêteur qui accorde un crédit sans communiquer à l'emprunteur les informations précontractuelles dans les conditions fixées par les articles L. 311-6 ou L. 311-43, sans remettre et faire signer ou valider par voie électronique la fiche mentionnée à l'article L. 311-10, ou sans remettre à l'empru […]	53-1. » Chapitre VII Sanctions et procédure Article 14 I. – La section 11 du chapitre Ier du titre Ier du livre III du code de la consommation, telle qu’elle résulte du I de l’article 7, est intitulée : « Sanctions » et comprend les articles L. 311-47 à L. 311-49-1. II. – A. – L	et constatées dans les conditions fixées à l’article L. 353-5 et sont punies des peines prévues à l’article L. 353-1. » Chapitre VII Sanctions et procédure Article 14 I. – La section 11 du chapitre Ier du titre Ier du livre III du code de la consommation, telle qu’elle résulte du I de l’article 7, est intitulée : « Sanctions » et comprend les articles L. 311-47 à L. 311-49-1. II. – A. – Le chapitre Ier du titre Ier du livre III du même code est complété par un article L. 311-47 ainsi rédigé : « Art. L. 311-47. – Le prêteur qui accorde un crédit sans communiquer à l’emprunteur les informations précontractuelles dans les conditions fixées par les articles L. 311-6 ou L. 311-43, sans remettre et faire signer ou valider par voie électronique la fiche mentionnée à l’article L. 311-10, ou sans remettre à l’emprunteur un contrat satisfaisant aux conditions fixées par les articles L. 311-11, L. 311-12, L. 311-16, L. 311-18, L. 311-19, L. 311-29, le dernier alinéa de l’article L. 311-17 et le	http://www.assemblee-nationale.fr/13/ta/ta0451.asp	juste		sonnet-juge-a	sonnet-juge-b		Le texte écrit sous « Art. L. 311-47 » reprend celui de L. 311-48 (2011-05-01) que ce dossier a produite, au seul renvoi interne L. 311-46 devenu L. 311-45 près.	le contenu écrit sous « Art. L. 311-47 » (déchéance du droit aux intérêts) est identique à L311-48 (2011-05-01).		2026-09-26
juste	5f88d8d885c14d97	citation	nomme	oui	81	senat/leg-ppl19-342.html	5	L412-9	code de la consommation	L412-11 (2020-06-01) Les exploitants d'établissements titulaires d'une licence de débit de boissons à consommer sur place ou à emporter ou d'une licence de restaurant indiquent, de manière lisible, sur leurs cartes ou sur tout autre support la provenance et, le cas échéant, la dénomination de l'appellation d'origine pr […]	ots : « , sauf pour les vins, ». Article 5 (Conforme)  I. – La section 2 du chapitre II du titre Ier du livre IV du code de la consommation est complétée par un article L. 412-9 ainsi rédigé :  « Art. L. 412-9. – Les exploitants d’établissements titulaires d’une licence de	s traditionnels, l’information du consommateur doit être assurée en complément des mentions prévues au premier alinéa selon des modalités fixées par décret. » Article 4 (Conforme) Au deuxième alinéa de l’article L. 413-8 du code de la consommation, après le mot : « Toutefois », sont insérés les mots : « , sauf pour les vins, ». Article 5 (Conforme)  I. – La section 2 du chapitre II du titre Ier du livre IV du code de la consommation est complétée par un article L. 412-9 ainsi rédigé :  « Art. L. 412-9. – Les exploitants d’établissements titulaires d’une licence de débit de boissons à consommer sur place ou à emporter ou d’une licence de restaurant indiquent, de manière lisible, sur leurs cartes ou sur tout autre support la provenance et, le cas échéant, la dénomination de l’appellation d’origine protégée ou de l’indication géographique protégée des vins mis en vente sous forme de bouteille, de pichet ou de verre. »  II. – Le I du présent article entre en vigueur le 1er juin	https://www.senat.fr/leg/ppl19-342.html	juste		sonnet-juge-a	sonnet-juge-b		Identique, mot pour mot, à L. 412-11 (2020-06-01) que ce dossier a produite — texte conforme voté par le Sénat.	même disposition que 1046fbdbd6d7e7cd en lecture Sénat conforme : « Art. L. 412-9 » écrit correspond à L412-11.		2026-09-26
juste	656df3bc8b1731f7	citation	nomme	oui	77	assemblee/13-projets-pl0351.asp	7	L121-84-3	code de la consommation	L121-84-5 (2008-06-01) Le présent article est applicable à tout fournisseur de services de communications électroniques, au sens du 6° de l'article L. 32 du code des postes et des communications électroniques, proposant au consommateur, directement ou par l'intermédiaire d'un tiers, un service après-vente, un service d […]	présente loi. Elles sont applicables aux contrats en cours à cette date. Article 7 I. – Après l’article L. 121-84-2 du code de la consommation, il est inséré un article L. 121-84-3 ainsi rédigé : « Art. L. 121-84-3. – Les dispositions du présent article sont applicables à tout f	peut excéder dix jours à compter de la réception par le fournisseur de la demande de résiliation, nonobstant toute clause contraire relative à la prise d’effet de cette résiliation. » II. – Les dispositions du I entrent en vigueur le premier jour du troisième mois suivant celui de la publication de la présente loi. Elles sont applicables aux contrats en cours à cette date. Article 7 I. – Après l’article L. 121-84-2 du code de la consommation, il est inséré un article L. 121-84-3 ainsi rédigé : « Art. L. 121-84-3. – Les dispositions du présent article sont applicables à tout fournisseur de services de communications électroniques au sens du 6° de l’article L. 32 du code des postes et des communications électroniques, proposant au consommateur, directement ou par l’intermédiaire d’un tiers, un service après-vente, un service d’assistance technique ou tout autre service chargé du traitement des réclamations se rapportant à l’exécution du contrat conclu avec ce fournisseur, et accessible	https://www.assemblee-nationale.fr/13/projets/pl0351.asp	juste		sonnet-juge-a	sonnet-juge-b		Le texte écrit sous « Art. L. 121-84-3 » porte la même disposition que L. 121-84-5 (2008-06-01), à la formule d'ouverture près.	le contenu écrit sous « Art. L. 121-84-3 » (service après-vente, renvoi L.32 6°) est le même que L121-84-5 (2008-06-01), à une reformulation légistique près (« les dispositions du présent article sont applicables » / « le présent article est applicable »).		2026-09-26
juste	6b5d3c8d98d45312	citation	suppose	oui	1587	senat/leg-tas08-098.html	14	L311-47	code de la consommation	L311-48 (2011-05-01) Le prêteur qui accorde un crédit sans communiquer à l'emprunteur les informations précontractuelles dans les conditions fixées par les articles L. 311-6 ou L. 311-43, sans remettre et faire signer ou valider par voie électronique la fiche mentionnée à l'article L. 311-10, ou sans remettre à l'empru […]	TRE VI DISPOSITIONS APPLICABLES AUX INTERMÉDIAIRES DE CRÉDIT Article 13 I. - Au premier alinéa de l'article L. 321-2 du code de la consommation, après les mots : « par un particulier », sont insérés les mots : « , à l'exception des opérations de crédit mentionnées à l'article L.	322-3 du même code est complété par une phrase ainsi rédigée : « Le non respect des articles L. 321-3 et L. 321-4 est puni de la même peine. » IV. - L'article L. 322-5 du même code est abrogé. CHAPITRE VII SANCTIONS - PROCÉDURE Article 14 I. - La section 11 du chapitre I er du titre I er du livre III du même code, telle qu'elle résulte du I de l'article 7, est intitulée : « Sanctions » et comprend les articles L. 311-47 à L. 311-49. II. - A. - L'article L. 311-47 du même code est ainsi rédigé : « Art. L. 311-47 . - Le prêteur qui accorde un crédit sans communiquer à l'emprunteur les informations précontractuelles dans les conditions fixées par les articles L. 311-6 ou L. 311-43, ou sans remettre à l'emprunteur une offre de contrat satisfaisant aux conditions fixées par les articles L. 311-11, L. 311-12, L. 311-16, L. 311-18, L. 311-19, L. 311-29, le dernier alinéa de l'article L. 311-17 et le cas échéant les articles L. 311 - 43 et L. 311-45, est déchu du droit aux intérêts. « Lorsque	http://www.senat.fr/leg/tas08-098.html	juste		sonnet-juge-a	sonnet-juge-b		Ce brouillon de 2008 porte déjà la déchéance du droit aux intérêts que promulgue L. 311-48 (2011-05-01), la clause sur la fiche L. 311-10 n'étant ajoutée qu'en navette.	le texte du Sénat en 1re lecture écrit sous « Art. L. 311-47 » une version plus courte (sans la clause sur la fiche de l'article L.311-10) de la même disposition que L311-48 (2011-05-01) — même objet, même sanction, évolution normale en navette.		2026-09-26
