verdict	cle	chambre	amendement	sort	auteur	dossier	article	segment	longueur_fenetre	vise	nb_segments_fenetre	fenetre	dispositif	segment_texte	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	069c6ba04df17911	assemblee	798	Adopté	M. François-Michel Lambert	JORFDOLE000029310724	L121-117	LEGIARTI000031052562:1	60	oui	1	blit la liste des catégories de pièces concernées et précise	Compléter cet article par les quatorze alinéas suivants : « V. – Le livre Ier du code de la consommation est ainsi modifié : « 1° Les articles L. 113‑7, dans sa rédaction résultant de la loi n° 2014‑344 du 17 mars 2014 relative à la consommation, et L. 113‑8 deviennent, respectivement, les articles L. 121‑116 et L. 121‑118 ; « 2° L’article L. 113‑9 est abrogé ; « 3° Le chapitre Ier du titre II du  […]	Un décret en Conseil d'Etat établit la liste des catégories de pièces concernées et précise la définition des pièces issues de l'économie circulaire, au sens du présent article. Il définit également les conditions dans lesquelles le professionnel n'est pas tenu de proposer ces pièces du fait de leur indisponibilité ou d'autres motifs légitimes.		juste		agent:claude-sonnet-5	agent:claude-sonnet-5		Le 2e alinéa de l'article L.121-117 créé par l'amendement 798 (« Un décret en Conseil d'État établit la liste des catégories de pièces concernées et précise... ») correspond mot pour mot au segment 1 de la première version LEGIARTI000031052562.	Le 4° du V de l'amendement 798 insère l'article L.121-117 ; son 2e alinéa (« Un décret en Conseil d'État établit la liste des catégories de pièces concernées et précise... ») est identique à la première version LEGIARTI000031052562 (lignée créée par cet amendement, sans version antérieure).		2026-09-21
juste	4e482a2ade1df14b	assemblee	798	Adopté	M. François-Michel Lambert	JORFDOLE000029310724	L123-6	LEGIARTI000031052560:0	60	oui	1	l'article l. 121-118 n'est pas applicable en guadeloupe, en	Compléter cet article par les quatorze alinéas suivants : « V. – Le livre Ier du code de la consommation est ainsi modifié : « 1° Les articles L. 113‑7, dans sa rédaction résultant de la loi n° 2014‑344 du 17 mars 2014 relative à la consommation, et L. 113‑8 deviennent, respectivement, les articles L. 121‑116 et L. 121‑118 ; « 2° L’article L. 113‑9 est abrogé ; « 3° Le chapitre Ier du titre II du  […]	L'article L. 121-118 n'est pas applicable en Guadeloupe, en Guyane, en Martinique, à La Réunion, à Mayotte, à Saint-Barthélemy, à Saint-Martin et à Saint-Pierre-et-Miquelon.		juste		agent:claude-sonnet-5	agent:claude-sonnet-5		Le 6° du V de l'amendement 798 crée l'article L.123-6 « L'article L.121-118 n'est pas applicable en Guadeloupe, en Guyane... » : texte identique à la première version LEGIARTI000031052560 du code.	Le 6° du V de l'amendement 798 crée l'article L.123-6 (« L'article L.121-118 n'est pas applicable en Guadeloupe... ») : texte identique à la première et unique version LEGIARTI000031052560.		2026-09-21
juste	5ce3b0de16a03f5b	assemblee	798	Adopté	M. François-Michel Lambert	JORFDOLE000029310724	L121-117	LEGIARTI000031052562:3	60	oui	1	de litige, il appartient au professionnel de prouver qu'il a	Compléter cet article par les quatorze alinéas suivants : « V. – Le livre Ier du code de la consommation est ainsi modifié : « 1° Les articles L. 113‑7, dans sa rédaction résultant de la loi n° 2014‑344 du 17 mars 2014 relative à la consommation, et L. 113‑8 deviennent, respectivement, les articles L. 121‑116 et L. 121‑118 ; « 2° L’article L. 113‑9 est abrogé ; « 3° Le chapitre Ier du titre II du  […]	En cas de litige, il appartient au professionnel de prouver qu'il a exécuté ses obligations.		juste		agent:claude-sonnet-5	agent:claude-sonnet-5		4e et dernier alinéa de L.121-117 créé par l'amendement (« En cas de litige, il appartient au professionnel de prouver qu'il a exécuté ses obligations. ») identique au segment 3 de la première version LEGIARTI000031052562.	4e alinéa de L.121-117 créé par le 4° du V de l'amendement 798 (« En cas de litige, il appartient au professionnel de prouver qu'il a exécuté ses obligations. ») identique au segment 3 de la première version LEGIARTI000031052562.		2026-09-21
juste	8718b8b6adb7e767	assemblee	798	Adopté	M. François-Michel Lambert	JORFDOLE000029310724	L123-6	LEGIARTI000031052560:0	60	oui	1	l'article l. 121-118 n'est pas applicable en guadeloupe, en	Compléter cet article par les quatorze alinéas suivants : « V. – Le livre Ier du code de la consommation est ainsi modifié : « 1° Les articles L. 113‑7, dans sa rédaction résultant de la loi n° 2014‑344 du 17 mars 2014 relative à la consommation, et L. 113‑8 deviennent, respectivement, les articles L. 121‑116 et L. 121‑118 ; « 2° L’article L. 113‑9 est abrogé ; « 3° Le chapitre Ier du titre II du  […]	L'article L. 121-118 n'est pas applicable en Guadeloupe, en Guyane, en Martinique, à La Réunion, à Mayotte, à Saint-Barthélemy, à Saint-Martin et à Saint-Pierre-et-Miquelon.		juste		agent:claude-sonnet-5	agent:claude-sonnet-5		Même création de L.123-6 par le 6° du V de l'amendement 798, identique à la première version LEGIARTI000031052560.	Même création de L.123-6 par le 6° du V de l'amendement 798 (« L'article L.121-118 n'est pas applicable... »), identique à la première version LEGIARTI000031052560.		2026-09-21
juste	8b3ed05392f087f2	assemblee	798	Adopté	M. François-Michel Lambert	JORFDOLE000029310724	L121-117	LEGIARTI000031052562:3	60	oui	1	de litige, il appartient au professionnel de prouver qu'il a	Compléter cet article par les quatorze alinéas suivants : « V. – Le livre Ier du code de la consommation est ainsi modifié : « 1° Les articles L. 113‑7, dans sa rédaction résultant de la loi n° 2014‑344 du 17 mars 2014 relative à la consommation, et L. 113‑8 deviennent, respectivement, les articles L. 121‑116 et L. 121‑118 ; « 2° L’article L. 113‑9 est abrogé ; « 3° Le chapitre Ier du titre II du  […]	En cas de litige, il appartient au professionnel de prouver qu'il a exécuté ses obligations.		juste		agent:claude-sonnet-5	agent:claude-sonnet-5		Même alinéa 4 de L.121-117, identique à la première version LEGIARTI000031052562.	Même 4e alinéa de L.121-117 (« En cas de litige, il appartient au professionnel de prouver... »), identique au segment 3 de la première version LEGIARTI000031052562.		2026-09-21
juste	9dc0a461baae2a5f	assemblee	798	Adopté	M. François-Michel Lambert	JORFDOLE000029310724	L121-117	LEGIARTI000031052562:0	60	oui	1	out professionnel qui commercialise des prestations d'entret	Compléter cet article par les quatorze alinéas suivants : « V. – Le livre Ier du code de la consommation est ainsi modifié : « 1° Les articles L. 113‑7, dans sa rédaction résultant de la loi n° 2014‑344 du 17 mars 2014 relative à la consommation, et L. 113‑8 deviennent, respectivement, les articles L. 121‑116 et L. 121‑118 ; « 2° L’article L. 113‑9 est abrogé ; « 3° Le chapitre Ier du titre II du  […]	Tout professionnel qui commercialise des prestations d'entretien ou de réparation de véhicules automobiles permet aux consommateurs d'opter pour l'utilisation, pour certaines catégories de pièces de rechange, de pièces issues de l'économie circulaire à la place de pièces neuves.		juste		agent:claude-sonnet-5	agent:claude-sonnet-5		Le 4° du V de l'amendement 798 insère l'article L.121-117 ; son premier alinéa « Tout professionnel qui commercialise des prestations d'entretien ou de réparation de véhicules automobiles permet aux consommateurs d'opter... » est identique à la première version LEGIARTI000031052562 (en vigueur au 1er janvier 2016, comme prévu au VI de l'amendement).	1er alinéa de L.121-117 créé par le 4° du V de l'amendement 798 (« Tout professionnel qui commercialise des prestations d'entretien ou de réparation de véhicules automobiles permet aux consommateurs d'opter... »), identique au segment 0 de la première version LEGIARTI000031052562.		2026-09-21
juste	ac49423f392b13a9	assemblee	798	Adopté	M. François-Michel Lambert	JORFDOLE000029310724	L121-117	LEGIARTI000031052562:1	60	oui	1	blit la liste des catégories de pièces concernées et précise	Compléter cet article par les quatorze alinéas suivants : « V. – Le livre Ier du code de la consommation est ainsi modifié : « 1° Les articles L. 113‑7, dans sa rédaction résultant de la loi n° 2014‑344 du 17 mars 2014 relative à la consommation, et L. 113‑8 deviennent, respectivement, les articles L. 121‑116 et L. 121‑118 ; « 2° L’article L. 113‑9 est abrogé ; « 3° Le chapitre Ier du titre II du  […]	Un décret en Conseil d'Etat établit la liste des catégories de pièces concernées et précise la définition des pièces issues de l'économie circulaire, au sens du présent article. Il définit également les conditions dans lesquelles le professionnel n'est pas tenu de proposer ces pièces du fait de leur indisponibilité ou d'autres motifs légitimes.		juste		agent:claude-sonnet-5	agent:claude-sonnet-5		Même alinéa 2 de L.121-117, identique à la première version LEGIARTI000031052562.	Même 2e alinéa de L.121-117 (« Un décret en Conseil d'État établit la liste des catégories de pièces concernées... »), identique au segment 1 de la première version LEGIARTI000031052562.		2026-09-21
juste	cbfb3e632ada9f21	assemblee	798	Adopté	M. François-Michel Lambert	JORFDOLE000029310724	L121-117	LEGIARTI000031052562:2	60	oui	1	odalités d'information du consommateur sont arrêtées dans le	Compléter cet article par les quatorze alinéas suivants : « V. – Le livre Ier du code de la consommation est ainsi modifié : « 1° Les articles L. 113‑7, dans sa rédaction résultant de la loi n° 2014‑344 du 17 mars 2014 relative à la consommation, et L. 113‑8 deviennent, respectivement, les articles L. 121‑116 et L. 121‑118 ; « 2° L’article L. 113‑9 est abrogé ; « 3° Le chapitre Ier du titre II du  […]	Les modalités d'information du consommateur sont arrêtées dans les conditions prévues à l'article L. 113-3.		juste		agent:claude-sonnet-5	agent:claude-sonnet-5		3e alinéa de L.121-117 créé par l'amendement 798 (« Les modalités d'information du consommateur sont arrêtées dans les conditions prévues à l'article L.113-3. ») identique au segment 2 de la première version LEGIARTI000031052562.	3e alinéa de L.121-117 créé par le 4° du V de l'amendement 798 (« Les modalités d'information du consommateur sont arrêtées dans les conditions prévues à l'article L. 113-3. »), identique au segment 2 de la première version LEGIARTI000031052562.		2026-09-21
juste	dbc7911e6fa0833b	senat	614 rect.	Adopté	LE GOUVERNEMENT	JORFDOLE000031589829	L112-8	LEGIARTI000033216993:0	60	sans visée	2	ntreprises dont le chiffre d'affaires est supérieur à un seu	Rédiger ainsi cet article : I. – Après le o du I de l’article L. 33‑1 du code des postes et des communications électroniques, il est inséré un p ainsi rédigé : « p) Un accès des utilisateurs finals sourds , malentendants, sourdaveugles et aphasiques à une offre de services de communications électroniques, incluant pour les appels passés et reçus, la fourniture, d’un service de traduction simultané […]	Les entreprises dont le chiffre d'affaires est supérieur à un seuil défini par décret rendent le numéro de téléphone destiné à recueillir l'appel d'un consommateur en vue d'obtenir la bonne exécution d'un contrat conclu avec un professionnel ou le traitement d'une réclamation accessible aux personnes sourdes, malentendantes, sourdaveugles et aphasiques par la mise à disposition d'un service de tra […]	//www.senat.fr/amendements/2015-2016/535/Amdt_614.html	juste		agent:claude-sonnet-5	agent:claude-sonnet-5		Le III de l'amendement 614 rect. crée dans le code de la consommation un article (provisoirement noté « L.224-58-... ») dont le 1er alinéa correspond mot pour mot (à la seule référence de loi près, complétée ensuite) à la première version LEGIARTI000033216993 de L.112-8, entrée en vigueur le 2016-10-09, jour de promulgation de la loi République numérique.	Le III du dispositif de l'amendement 614 rect. crée « Art. L. 224‑58‑… » ; « ce numéro » y reprend le numéro de téléphone SAV non surtaxé déjà défini à L.121-16 (« Le numéro de téléphone destiné à recueillir l'appel d'un consommateur... »). La légistique a explicité ce renvoi et renuméroté l'article en L.112-8 ; le segment 0 de la première version LEGIARTI000033216993 (créée le 2016-10-09 par le texte issu de ce même dossier JORFDOLE000031589829) en reprend le fond mot pour mot.		2026-09-21
juste	dde91b0230f1cab2	senat	614 rect.	Adopté	LE GOUVERNEMENT	JORFDOLE000031589829	L112-8	LEGIARTI000048050276:1	60	sans visée	2	es services d'accueil téléphonique concernés sont accessible	Rédiger ainsi cet article : I. – Après le o du I de l’article L. 33‑1 du code des postes et des communications électroniques, il est inséré un p ainsi rédigé : « p) Un accès des utilisateurs finals sourds , malentendants, sourdaveugles et aphasiques à une offre de services de communications électroniques, incluant pour les appels passés et reçus, la fourniture, d’un service de traduction simultané […]	Les services d'accueil téléphonique concernés sont accessibles directement ou, à défaut, par l'intermédiaire d'une plateforme en ligne dédiée délivrant le service de traduction simultanée écrite et visuelle. L'accessibilité est soit assurée directement par l'entreprise, soit confiée par elle, sous sa responsabilité, à un opérateur spécialisé qui en assure la mise en œuvre et l'exécution, soit assu […]	//www.senat.fr/amendements/2015-2016/535/Amdt_614.html	faux	juste	agent:claude-opus-5 (arbitrage)	agent:claude-sonnet-5	agent:claude-sonnet-5	Arbitrage : l'alinéa a été écrit par l'amendement 614 rect. sous « Art. L. 224-58-… », codifié L. 112-8 en 2016, et complété d'une clause en 2023 par une autre loi. La provenance au grain de l'alinéa admet la retouche ultérieure (docs/25 : la trame signale une retouche) ; l'origine de l'alinéa est bien cet amendement. Le juge A a raison.	Le segment testé est l'alinéa 1 de LEGIARTI000048050276 (version 2023-09-08), qui ajoute « soit assurée par l'intermédiaire de la solution d'accessibilité téléphonique universelle... » à la phrase de 2016. produite_par montre que cette version a deux origines : CREE par JORFTEXT000033202746 (dossier de l'amendement 614 rect., 2016) puis MODIFIE par JORFTEXT000048049544 (dossier JORFDOLE000048050653, sans rapport) ; l'alinéa tel que segmenté ne résulte donc pas intégralement de l'amendement 614 rect.	Verdict initial du juge A : les deux premiers alinéas correspondent, texte quasi identique, un ajout ultérieur conservant l'alinéa d'origine (version LEGIARTI000048050276).	2026-09-21
