verdict	cle	chambre	amendement	sort	auteur	dossier	article	segment	longueur_fenetre	vise	nb_segments_fenetre	fenetre	dispositif	segment_texte	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	031fc446ea9bc474	assemblee	519 (2ème rect.)	Adopté	M. François Brottes	JORFDOLE000021673304	L112-7-1	LEGIARTI000022657479:0	60	oui	1	'utilisation de mentions faisant état de présence de truffes	Après l'article premier bis, insérer l'article suivant : Après l’article L. 112-7 du code de la consommation, il est inséré un article L. 112-7-1 ainsi rédigé : « Art. L. 112-7-1. – L’utilisation de mentions faisant état de présence de truffes ou de produits dérivés dans les produits alimentaires fait l’objet des dispositions suivantes : « 1° Les dénominations « truffé » ou « à la truffe » sont ré […]	L'utilisation de mentions faisant état de présence de truffes ou de produits dérivés de truffes dans les denrées alimentaires fait l'objet des dispositions suivantes :	https://www.assemblee-nationale.fr/13/amendements/2636/263600519.asp	juste		sonnet-juge-a	sonnet-juge-b		L'amendement écrit la phrase d'introduction mot pour mot, seule la formule « denrées/produits alimentaires » et « produits dérivés de truffes » diffère, une retouche de navette.	Le dispositif de 519 (2e rect.) dit déjà « l'utilisation de mentions... fait l'objet des dispositions suivantes » ; seule la terminologie (denrées/produits, « de truffes ») est retouchée.		2026-09-26
juste	089b0dade33e72b1	assemblee	108	Adopté	M. François Loos	JORFDOLE000020542090	L332-5-1	LEGIARTI000022439785:0	60	oui	1	tie peut contester devant le juge de l'exécution le rétablis	Après l’alinéa 6, insérer les six alinéas suivants : « 1° bis Après l’article L. 332-5, il est inséré un article L. 332-5-1 ainsi rédigé : « Art. L. 332-5-1. – Une partie peut contester devant le juge de l'exécution le rétablissement personnel sans liquidation judiciaire recommandé par la commission dans les quinze jours de la notification qui lui en est faite. « Avant de statuer, le juge peut fai […]	Une partie peut contester devant le juge de l'exécution le rétablissement personnel sans liquidation judiciaire recommandé par la commission dans les quinze jours de la notification qui lui en est faite.	https://www.assemblee-nationale.fr/13/amendements/2150/215000108.asp	juste		sonnet-juge-a	sonnet-juge-b		Le nouvel article L.332-5-1 inséré par l'amendement correspond mot pour mot à l'alinéa codifié.	L'alinéa reprend mot pour mot le texte inséré par l'amendement 108 (« Art. L. 332-5-1. – Une partie peut contester... »).		2026-09-26
juste	090dc4016b0a4b2c	assemblee	107	Adopté	M. François Loos	JORFDOLE000020542090	L332-5	LEGIARTI000022439787:2	60	sans visée	1	permettre aux créanciers qui n'auraient pas été avisés de la	Rédiger ainsi l’alinéa 6 : « Le greffe procède à des mesures de publicité pour permettre aux créanciers qui n'auraient pas été avisés de la recommandation de la commission de former tierce opposition à l'encontre de la décision du juge lui conférant force exécutoire. Les créances dont les titulaires n'auraient pas formé tierce opposition dans un délai de deux mois à compter de cette publicité sont […]	Le greffe procède à des mesures de publicité pour permettre aux créanciers qui n'auraient pas été avisés de la recommandation de la commission de former tierce opposition à l'encontre de la décision du juge lui conférant force exécutoire. Les créances dont les titulaires n'auraient pas formé tierce opposition dans un délai de deux mois à compter de cette publicité sont éteintes.	https://www.assemblee-nationale.fr/13/amendements/2150/215000107.asp	juste		sonnet-juge-a	sonnet-juge-b		« Rédiger ainsi l'alinéa 6 » remplace tout l'alinéa, repris mot pour mot — pas le jumeau de l'amendement 108 sur L332-5-1, dont la phrase diffère par « ce jugement ».	L'amendement 107 rédige entièrement l'alinéa 6 ; le texte adopté le reprend mot pour mot.		2026-09-26
juste	0bf4d4fcfecac78a	assemblee	28	Adopté	M. Nicolas Forissier	JORFDOLE000018730653	L115-32	LEGIARTI000019298940:0	60	oui	1	s modalités d'application des articles l. 115-27 et l. 115-2	Après l'article 36, insérer l'article suivant : I. – L’accréditation est l’attestation de la compétence des organismes qui effectuent des activités d’évaluation de la conformité. Afin de garantir l’impartialité de l’accréditation, il est créé une instance nationale d’accréditation, seule habilitée à délivrer les certificats d’accréditation en France. Un décret en Conseil d’État désigne cette insta […]	Les modalités d'application des articles L. 115-27 et L. 115-28 sont fixées par décret en Conseil d'Etat.	https://www.assemblee-nationale.fr/13/amendements/0842/084200028.asp	juste		sonnet-juge-a	sonnet-juge-b		L'amendement réécrit tout l'article L.115-32, repris mot pour mot.	Vérifié en base : le 6° de l'amendement 28 rédige L. 115-32 mot pour mot (« Les modalités d'application des articles L. 115-27 et L. 115-28 sont fixées par décret en Conseil d'État »).		2026-09-26
juste	0c5c4d0eeb59b763	assemblee	108	Adopté	M. François Loos	JORFDOLE000020542090	L332-5-1	LEGIARTI000022439785:4	60	oui	1	constate que la situation du débiteur n'est pas irrémédiable	Après l’alinéa 6, insérer les six alinéas suivants : « 1° bis Après l’article L. 332-5, il est inséré un article L. 332-5-1 ainsi rédigé : « Art. L. 332-5-1. – Une partie peut contester devant le juge de l'exécution le rétablissement personnel sans liquidation judiciaire recommandé par la commission dans les quinze jours de la notification qui lui en est faite. « Avant de statuer, le juge peut fai […]	S'il constate que la situation du débiteur n'est pas irrémédiablement compromise, il renvoie le dossier à la commission.	https://www.assemblee-nationale.fr/13/amendements/2150/215000108.asp	juste		sonnet-juge-a	sonnet-juge-b		Le sixième des six alinéas insérés par l'amendement correspond mot pour mot à l'alinéa codifié.	Dernière phrase du même bloc de six alinéas inséré par l'amendement 108 pour L. 332-5-1, reprise mot pour mot.		2026-09-26
juste	0fcc6752728248d8	assemblee	1486 rect.	Adopté	M. Jean-Paul Charié	JORFDOLE000018730653	L122-11-1	LEGIARTI000019293650:6	60	oui	1	iger le paiement immédiat ou différé de produits fournis par	Avant l'article 21, insérer l'article suivant : I. – Après l’article L. 121-1 du code de la consommation, il est inséré un article L. 121-1-1 ainsi rédigé : « Art. L. 121-1-1. – Sont réputées trompeuses au sens de l’article L. 121-1 les pratiques commerciales qui ont pour objet : « 1° pour un professionnel, de se prétendre signataire d'un code de conduite alors qu'il ne l'est pas ; « 2° d’afficher […]	6° D'exiger le paiement immédiat ou différé de produits fournis par le professionnel sans que le consommateur les ait demandés, ou exiger leur renvoi ou leur conservation, sauf lorsqu'il s'agit d'un produit de substitution fourni conformément à l'article L. 121-20-3 ;	https://www.assemblee-nationale.fr/13/amendements/0842/084201486.asp	juste		sonnet-juge-a	sonnet-juge-b		Le 6° de L.122-11-1 inséré par l'amendement correspond mot pour mot, moins « du présent code », à l'alinéa codifié.	Vérifié en base : le II de l'amendement 1486 rect. insère L. 122-11-1 dont le 6° reprend mot pour mot le segment jugé (son I insère L. 121-1-1, article distinct, non ciblé ici).		2026-09-26
juste	1846487baf8aeabf	assemblee	349 rect.	Adopté	LE GOUVERNEMENT	JORFDOLE000020542090	L331-3-1	LEGIARTI000022423205:1	60	sans visée	1	, y compris les découverts mentionnés aux 10° et 11° de l'ar	À l’alinéa 21, après le mot : « alimentaire », insérer les mots : « , y compris les découverts mentionnés aux 10° et 11° de l’article L. 311-1, ».	Cette suspension et cette interdiction emportent interdiction pour le débiteur de faire tout acte qui aggraverait son insolvabilité, de payer, en tout ou partie, une créance autre qu'alimentaire, y compris les découverts mentionnés aux 10° et 11° de l'article L. 311-1, née antérieurement à la suspension ou à l'interdiction, de désintéresser les cautions qui acquitteraient des créances nées antérie […]	https://www.assemblee-nationale.fr/13/amendements/2150/215000349.asp	faux		opus-arbitre (arbitrage)	sonnet-juge-b		Remplace « faux » (sonnet-juge-a). Définition fixée le 26 septembre 2026 (docs/59 § 1) : l'alinéa résulte aussi de l'amendement qui l'a retouché — mots insérés, supprimés ou substitués — quand la retouche est dans l'alinéa en vigueur. L'incise « , y compris les découverts mentionnés aux 10° et 11° de l'article L. 311-1, » est dans l'alinéa.	349 rect. n'insère que « y compris les découverts... L. 311-1, » dans un alinéa 21 déjà rédigé ailleurs (l'alinéa voisin de la même version est attribué à l'amendement 192) : l'alinéa entier est attribué au mauvais amendement du dossier.		2026-09-26
juste	1a588e573dc2743b	assemblee	244	Adopté	M. Jean Dionis du Séjour	JORFDOLE000017841208	L121-84-8	LEGIARTI000018047982:0	60	sans visée	1	ne somme ne peut être facturée au consommateur pour un appel	à l'amendement n° 43 de la commission des affaires économiques ---------- APRÈS L'ARTICLE 7 La première phrase de l’alinéa 2 de cet amendement est ainsi rédigée : « Dans le respect de l’article L. 121-1 du code de la consommation, aucune somme ne peut être facturée au consommateur pour un appel depuis le territoire national à un service téléphonique lorsqu’il lui a été indiqué, sous quelque forme  […]	Dans le respect de l'article L. 121-1, aucune somme ne peut être facturée au consommateur pour un appel depuis le territoire métropolitain, les départements d'outre-mer et les collectivités territoriales de Mayotte, Saint-Barthélemy, Saint-Martin et Saint-Pierre-et-Miquelon à un service téléphonique lorsqu'il lui a été indiqué, sous quelque forme que ce soit, que l'appel à ce service est gratuit.  […]	https://www.assemblee-nationale.fr/13/amendements/0351/035100244.asp	juste	juste	opus-arbitre (arbitrage)	sonnet-juge-b	opus-arbitre	Remplace « faux » (sonnet-juge-a) ; B : « juste ». 244 réécrit la première phrase, substance de l'alinéa (« Dans le respect de l'article L. 121-1, aucune somme… ») ; territoires étendus en navette ; la seconde phrase vient de 43, l'alinéa descend du passage de 244.	244 réécrit toute la première phrase de l'alinéa 2 de l'amendement 43 ; l'énumération des territoires ultramarins précise en navette ce que « territoire national » visait déjà.	244 réécrit la première phrase, substance de l'alinéa (« Dans le respect de l'article L. 121-1, aucune somme… ») ; territoires étendus en navette ; la seconde phrase vient de 43, l'alinéa descend du passage de 244.	2026-09-26
juste	1b48c310f9135dd5	assemblee	236	Adopté	M. Jean-Paul Charié	JORFDOLE000017841208	L121-84-6	LEGIARTI000018047976:4	60	sans visée	2	u montant dû au titre de la fraction non échue de la période	à l'amendement n° 42 de la commission des affaires économiques ---------- APRÈS L'ARTICLE 7 I. – Dans l’alinéa 5 de cet amendement, supprimer les mots : « sans pouvoir toutefois excéder un montant maximum déterminé par décret. » II. – En conséquence, dans l’alinéa 6 de cet amendement, substituer aux mots : « le montant maximum déterminé par décret. », les mots : « le tiers du montant dû au titre d […]	2° D'offrir au consommateur la possibilité de résilier par anticipation le contrat à compter de la fin du douzième mois suivant l'acceptation d'une telle clause moyennant le paiement par le consommateur d'au plus le quart du montant dû au titre de la fraction non échue de la période minimum d'exécution du contrat.	https://www.assemblee-nationale.fr/13/amendements/0351/035100236.asp	faux		opus-arbitre (arbitrage)	sonnet-juge-b		Remplace « faux » (sonnet-juge-a). Définition fixée le 26 septembre 2026 (docs/59 § 1) : l'alinéa résulte aussi de l'amendement qui l'a retouché — mots insérés, supprimés ou substitués — quand la retouche est dans l'alinéa en vigueur. Le plafond « sans pouvoir toutefois excéder un montant maximum déterminé par décret » que 236 supprime n'est plus dans l'alinéa.	236 (identique à 177 et 241) propose « le tiers du montant dû », mais l'alinéa adopté dit « le quart » : aucun amendement du dossier n'écrit « quart », la rédaction chiffrée n'a pas été retenue.		2026-09-26
juste	1f52eee0374937b8	assemblee	207	Adopté	M. Jean Dionis du Séjour	JORFDOLE000020913188	L111-1	LEGIARTI000022517087:0	60	oui	1	tout professionnel vendeur de biens doit, avant la conclusio	Après l'article 17, insérer l'article suivant : I. – L'article L. 441-6 du code de commerce est complété par un II et un III ainsi rédigés : « II. - Lorsque le prix d'un service ou d'un type de service ne peut être déterminé a priori ou indiqué avec exactitude, le prestataire de services est tenu de communiquer au destinataire qui en fait la demande la méthode de calcul du prix permettant de vérif […]	I. - Tout professionnel vendeur de biens doit, avant la conclusion du contrat, mettre le consommateur en mesure de connaître les caractéristiques essentielles du bien.	https://www.assemblee-nationale.fr/13/amendements/2388/238800207.asp	juste		sonnet-juge-a	sonnet-juge-b		Le I de l'article L.111-1, réécrit intégralement par l'amendement, correspond mot pour mot à l'alinéa codifié.	Vérifié en base : le II de l'amendement 207 réécrit L. 111-1, dont le I dit mot pour mot le segment jugé (le I du dispositif modifie L. 441-6 du code de commerce, article distinct, non ciblé ici).		2026-09-26
