verdict	cle	chambre	amendement	sort	auteur	dossier	article	segment	longueur_fenetre	vise	nb_segments_fenetre	fenetre	dispositif	segment_texte	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
faux	0086aa6c3b1c26eb	assemblee	884	Adopté	Mme Louise Morel	JORFDOLE000047533100	L133-1	LEGIARTI000049566973:0	60	sans visée	1	chiffre d'affaires mondial hors taxes réalisé au cours de l'	Rétablir le II de l’alinéa 5 dans la rédaction suivante : « II. – L’Autorité de régulation de la communication audiovisuelle et numérique peut mettre en demeure une personne dont l’activité est d’éditer un service de communication au public en ligne permettant l’accès à un contenu pornographique de se conformer, dans un délai d’un mois , au référentiel mentionné au deuxième alinéa du I. Elle rend  […]	Est puni d'un emprisonnement de deux ans et d'une amende de 300 000 euros, dont le montant peut être porté, de manière proportionnée aux avantages tirés du délit, à 6 % du chiffre d'affaires mondial hors taxes réalisé au cours de l'exercice précédent pour une personne morale, le fait pour un fournisseur de places de marché :		faux		sonnet-juge-a	sonnet-juge-b		Le dispositif entier (ARCOM, vérification d'âge des sites pornographiques) ne partage avec l'alinéa L133-1 sur les places de marché que la formule « chiffre d'affaires mondial hors taxes réalisé au cours de l'exercice précédent ».	Le passage cité (6 % du CA mondial hors taxes) relève du régime de sanction ARCOM sur la vérification d'âge pour contenu pornographique, sans rapport avec le délit de fraude des places de marché de l'article L133-1 ; seule la formule chiffrée est partagée.		2026-09-26
juste	00966e58a963eafe	assemblee	30	Adopté	M. Jean-Louis Bricout	JORFDOLE000027383756	L121-109	LEGIARTI000028741264:0	60	oui	1	t tenu à une obligation d'information du consommateur sur la	I. – Après l’alinéa 35, insérer les vingt-cinq alinéas suivants : « Section 17 « Contrats relatifs au gaz de pétrole liquéfié « Art. L. 121‑105. – Les dispositions de la présente section s’appliquent aux contrats souscrits par un consommateur ayant pour objet la fourniture de gaz de pétrole liquéfié en vrac, la mise à disposition ou la vente de matériels de stockage de gaz de pétrole liquéfié en v […]	Tout professionnel proposant les contrats mentionnés à l'article L. 121-106 est tenu à une obligation d'information du consommateur sur la sécurité pendant la durée d'exécution du contrat, dans des conditions définies par arrêté conjoint des ministres chargés de la consommation, de l'énergie et de la sécurité des équipements sous pression.		juste		sonnet-juge-a	sonnet-juge-b		Le dispositif crée mot pour mot l'alinéa (Art. L.121-108 visant L.121-105), et le renvoi devenu « L.121-106 » suit le même décalage de +1 que toute la section 17.	Le dispositif écrit la même phrase sous 'Art. L. 121-108' (renvoi à L.121-105) ; la renumérotation en navette (+1, renvoi devenu L.121-106) en a fait L.121-109, sans changer le contenu.		2026-09-26
juste	00c17c8c52a7cfcf	assemblee	40	Adopté	M. Frédéric Barbier	JORFDOLE000027383756	L121-43	LEGIARTI000028744500:0	60	sans visée	1	s de mise en place et de fonctionnement de l'outil prévu à l	Substituer à l’alinéa 8 les cinq alinéas suivants : « L’opérateur mentionné au premier alinéa prévoit dans le contrat avec l’abonné auquel il affecte un numéro à valeur ajoutée, sous peine de résiliation, que l’abonné l’informe de toute modification concernant son identité et son adresse, lesquelles doivent figurer dans le contrat. « Ce même contrat prévoit également, sous peine de la suspension d […]	Les coûts de mise en place et de fonctionnement de l'outil prévu à l'article L. 121-42 sont mutualisés par les professionnels mentionnés au premier alinéa du même article.		juste		sonnet-juge-a	sonnet-juge-b		L'amendement crée l'article L.121-42-1 dans les mots exacts de l'alinéa, devenu L.121-43 par un simple décalage de numérotation.	Le dispositif crée 'Art. L. 121-42-1' avec le texte mot pour mot du segment ; la loi l'a rangé sous L121-43, simple écart de numéro.		2026-09-26
juste	0144c4bd61b723e9	assemblee	312	Adopté	Mme Chantal Guittet	JORFDOLE000027383756	L121-97	LEGIARTI000028741121:1	60	sans visée	1	sans préjudice des informations précontractuelles prévues au	Après l’alinéa 4, insérer l’alinéa suivant : « Sans préjudice des informations précontractuelles prévues au premier alinéa, les offres de contrat faites dans les foires et les salons doivent mentionner, en des termes clairs et lisibles, l’absence de délai de rétractation. ».	Sans préjudice des informations précontractuelles prévues au premier alinéa du présent article, les offres de contrat faites dans les foires et les salons mentionnent l'absence de délai de rétractation, en des termes clairs et lisibles, dans un encadré apparent.		juste		sonnet-juge-a	sonnet-juge-b		L'alinéa en vigueur reprend la phrase insérée par l'amendement, seulement retouchée en navette (ordre des mots, « dans un encadré apparent » ajouté).	L'alinéa inséré (foires et salons, absence de délai de rétractation, termes clairs et lisibles) est retrouvé presque mot pour mot dans le segment, réordonné et complété en navette.		2026-09-26
juste	01b3386403b66160	senat	33 rect.	Adopté	M. BÉTEILLE	JORFDOLE000020542090	L331-5	LEGIARTI000022423223:0	60	oui	1	a la demande du débiteur, la commission peut saisir, avant l	Rédiger comme suit le 5° de cet article : 5° L'article L. 331‑5 est ainsi modifié : a) le premier alinéa est ainsi rédigé : « A la demande du débiteur, la commission peut saisir, avant la décision de recevabilité visée à l'article L. 331-3, le juge de l'exécution aux fins de suspension des procédures d'exécution diligentées contre le débiteur et portant sur les dettes autres qu'alimentaires. En ca […]	A la demande du débiteur, la commission peut saisir, avant la décision de recevabilité visée à l'article L. 331-3, le juge de l'exécution aux fins de suspension des procédures d'exécution diligentées à l'encontre des biens du débiteur ainsi que des cessions de rémunération consenties par celui-ci et portant sur les dettes autres qu'alimentaires. En cas d'urgence, la saisine du juge peut intervenir […]	//www.senat.fr/amendements/2008-2009/448/Amdt_33.html	juste		sonnet-juge-a	sonnet-juge-b		La structure et les renvois (L.331-3, L.331-3-1) de l'alinéa réécrit par l'amendement sont conservés ; seule la portée du gage a été retouchée en navette.	L'amendement réécrit lui-même le premier alinéa de L.331-5, retrouvé quasi mot pour mot dans le segment, retouché ensuite (cessions de rémunération ajoutées).		2026-09-26
juste	04fac4630d65cb57	senat	947	Adopté	LE GOUVERNEMENT	JORFDOLE000037080861	L222-16-1	LEGIARTI000038612265:2	60	oui	1	iture de services sur actifs numériques au sens de l'article	A. – Alinéa 4 Supprimer les mots : par une des personnes entrant dans le champ d’application de l’article L. 54‑10‑3 B. – Alinéas 31 à 35 Remplacer ces alinéas par quatre alinéas ainsi rédigés : 1° Après le premier alinéa de l’article L. 222‑16‑1, sont insérés trois alinéas ainsi rédigés : « Est également interdite toute publicité, directe ou indirecte, diffusée par voie électronique ayant pour ob […]	a) La fourniture de services sur actifs numériques au sens de l'article L. 54-10-2 du même code, à l'exception de ceux pour la fourniture desquels l'annonceur est agréé dans les conditions prévues à l'article L. 54-10-5 dudit code ;	//www.senat.fr/amendements/2018-2019/255/Amdt_947.html	juste		sonnet-juge-a	sonnet-juge-b		Le 1° inséré par l'amendement est mot pour mot l'alinéa jugé, seule la puce « 1° » devenant « a) ».	L'amendement insère lui-même le 1° après le premier alinéa de L.222-16-1, mot pour mot identique au segment.		2026-09-26
juste	05a808201da6f536	assemblee	115	Adopté	LE GOUVERNEMENT	JORFDOLE000047381960	L521-2	LEGIARTI000047666686:2	60	oui	1	en cas d'inexécution par le professionnel de la mesure de pu	Le code de la consommation est ainsi modifié : 1° L’article L. 521‑1 est complété par sept alinéas ainsi rédigés : « Toute injonction prononcée en application du présent article peut être assortie d’une astreinte journalière ne pouvant excéder un montant de 1 500 euros. « Lorsque l’infraction constatée est passible d’une peine d’au moins deux ans d’emprisonnement et est de nature à porter une atte […]	En cas d'inexécution par le professionnel de la mesure de publicité prévue au premier alinéa du présent article dans le délai imparti, l'autorité administrative peut le mettre en demeure de publier la décision sous peine d'une astreinte journalière de 150 euros à compter de la notification de la mise en demeure et jusqu'à publication effective.		juste		sonnet-juge-a	sonnet-juge-b		L'alinéa complétant L.521-2 reprend le texte de l'amendement quasi mot pour mot, avec un renvoi précisé (« du présent article »).	Le 2° de l'amendement complète explicitement L.521-2, texte identique au segment (astreinte de 150 euros pour défaut de mesure de publicité).		2026-09-26
juste	05e843197287f567	senat	229 rect.	Adopté	LE GOUVERNEMENT	JORFDOLE000021369332	L121-36	LEGIARTI000024039767:0	60	oui	1	lorsque la participation à cette opération est conditionnée	Après l'article 26, insérer un article additionnel ainsi rédigé : Le code de la consommation est ainsi modifié : 1° Les 1°, 4° et 5° de l'article L. 115-30 sont abrogés ; 2° Le dernier alinéa de l'article L. 121-8 est supprimé ; 3° Le premier alinéa de l'article L. 121-35 est complété par les mots : « dès lors que la pratique en cause revêt un caractère déloyal au sens de l'article L. 120-1 » ; 4° […]	Les opérations publicitaires réalisées par voie d'écrit qui tendent à faire naître l'espérance d'un gain attribué à chacun des participants, quelles que soient les modalités de tirage au sort, ne peuvent être pratiquées que si elles n'imposent aux participants aucune contrepartie financière ni dépense sous quelque forme que ce soit. Lorsque la participation à cette opération est conditionnée à une […]	//www.senat.fr/amendements/2010-2011/21/Amdt_229.html	juste		sonnet-juge-a	sonnet-juge-b		La phrase que l'amendement ajoute au premier alinéa de L.121-36 (« Lorsque la participation... L.120-1 ») figure mot pour mot dans l'alinéa en vigueur.	L'amendement ne fait que compléter le premier alinéa de L.121-36 par la phrase 'Lorsque la participation...L.120-1', retrouvée mot pour mot dans le segment en vigueur.		2026-09-26
juste	060e9dfdf49fb1e5	assemblee	3	Adopté	Mme Audrey Linkenheld	JORFDOLE000032669047	L315-13	LEGIARTI000034072692:0	60	oui	1	qu'il est dit à l'article 1305-4 du code civil, le débiteur	I. − Rédiger ainsi l’alinéa 4 : « 3° À l’article L. 312‑19 et au premier alinéa de l’article L. 312‑51, après le mot : « jours », sont insérés les mots : « calendaires révolus » ; II. − Rédiger ainsi l’alinéa 6 : « Art. L. 312‑20. − Le délai mentionné à l’article L. 312‑19 court à compter du jour de l’acceptation de l’offre de contrat de crédit comprenant les informations prévues à l’article L. 31 […]	Ainsi qu'il est dit à l'article 1305-4 du code civil, le débiteur ne peut réclamer le bénéfice du terme s'il ne fournit pas les sûretés promises au créancier ou s'il diminue celles qui garantissent l'obligation.		juste		sonnet-juge-a	sonnet-juge-b		L'amendement rédige L.315-13 mot pour mot dans les termes de l'alinéa jugé.	Le 11° ter de l'amendement réécrit explicitement L.315-13, texte identique mot pour mot au segment.		2026-09-26
juste	07ee1083c5724c20	assemblee	72	Adopté	M. Thomas Cazenave	JORFDOLE000051045642	L223-8	LEGIARTI000051828335:0	60	oui	1	service de communications interpersonnelles, par courrier él	Rétablir le b de l’alinéa 25 dans la rédaction suivante : « b) Après le chapitre III, il est inséré un chapitre III bis ainsi rédigé : « Chapitre III bis « Autres modes de prospection commerciale « Art. L. 223‑8 . – Toute prospection commerciale de consommateurs par des professionnels, physiquement au domicile du consommateur, par message provenant d’un service de communications interpersonnelles, […]	La prospection commerciale de consommateurs par des professionnels par message sur un service de communications interpersonnelles, par courrier électronique ou sur un service de réseaux sociaux en ligne ayant pour objet l'offre de prestations de services, la vente d'équipements ou la réalisation de travaux afférents à des logements en vue de la réalisation d'économies d'énergie, de la production d […]		juste		sonnet-juge-a	sonnet-juge-b		La structure de la liste de canaux et de l'exception créée par l'amendement pour L.223-8 se retrouve dans l'alinéa, retouchée (clause supprimée, renvoi 3e→4e alinéa).	L'amendement crée explicitement L.223-8 avec une rédaction quasi identique au segment, retouchée en navette (alinéa 3→4, formulation de l'exception).		2026-09-26
