verdict	cle	voie	hote	legi	distance_hote	texte	article_du_texte	numero_cite	code_cite	article_du_fonds	mention_hote	contexte	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	000121dce95ea9ed	declaree	suppose	oui	118	assemblee/dyn-15-textes-l15t0651_texte-adopte-seance	30	L111-4	code de la consommation	L111-4 (2016-07-01) Le fabricant ou l'importateur de biens meubles informe le vendeur professionnel de la période pendant laquelle ou de la date jusqu'à laquelle les pièces détachées indispensables à l'utilisation des biens sont disponibles sur le marché. Cette information est délivrée obligatoirement au consommateur p […]	garantir un service de proximité. » TITRE III PRODUIRE ET TRAVAILLER Chapitre Ier Verdir l’économie Article 30 I. – Le code de la consommation est ainsi modifié : 1° Les cinquième et avant‑dernière phrases du premier alinéa de l’article L. 111‑4, dans sa rédaction résultant de l	ploi ou réutilisation, notamment des dispositifs de collecte mis en place par les producteurs ou leur éco‑organisme, ainsi que des laveuses et lieux de stockage des emballages consignés, en tenant compte des fonctions urbaines sur les territoires et de manière à garantir un service de proximité. » TITRE III PRODUIRE ET TRAVAILLER Chapitre Ier Verdir l’économie Article 30 I. – Le code de la consommation est ainsi modifié : 1° Les cinquième et avant‑dernière phrases du premier alinéa de l’article L. 111‑4, dans sa rédaction résultant de l’article 19 de la loi n° 2020‑105 du 10 février 2020 relative à la lutte contre le gaspillage et à l’économie circulaire, sont remplacées par trois phrases ainsi rédigées : « Les fabricants et les importateurs d’équipements électroménagers, de petits équipements informatiques et de télécommunications, d’écrans et de moniteurs assurent, pour une liste de produits fixée par voie réglementaire, la disponibilité des pièces détachées de ces produits pendant l	https://www.assemblee-nationale.fr/dyn/15/textes/l15t0651_texte-adopte-seance	juste		sonnet-A	sonnet-B		L'article 30 remplace trois phrases du premier alinéa de L111-4, qui est bien modifié.	L'article 30 réécrit explicitement trois phrases du premier alinéa de L111-4.		2026-09-24
juste	004bd2e684bc09db	declaree	suppose	oui	9128	assemblee/16-ta-commission-r1674-a0.asp	26	L521-3-1	code de la consommation	L521-3-1 (2020-12-05) Lorsque les agents habilités constatent, avec les pouvoirs prévus au présent livre, une infraction ou un manquement aux dispositions mentionnées aux articles L. 511-5, L. 511-6 et L. 511-7 ainsi qu'aux règles relatives à la conformité et à la sécurité des produits à partir d'une interface en ligne […]	t étrangères à l’impôt et au domaine. » Chapitre II Modification du code de la consommation Article 26 (Non modifié) Le code de la consommation est ainsi modifié : 1° L’article liminaire est ainsi modifié : a) Le 15° est ainsi rédigé : « 15° Plateforme en ligne : une plateforme e	ans l’exercice de leurs missions, avec les agents du coordinateur des services numériques mentionné à l’article 7‑2 de la loi n° 2004‑575 du 21 juin 2004 pour la confiance dans l’économie numérique. À ce titre, ils peuvent se communiquer les informations et les documents détenus ou recueillis dans l’exercice de leurs missions respectives, sans que les dispositions de l’article 11 du code de procédure pénale ou celles relatives au secret professionnel ne leur soient opposables. » ; 11° L’article L. 521‑3‑1 est ainsi modifié : a) Au premier alinéa, après le mot : « produits », sont insérés les mots : « et des services » et, après la référence : « L. 521‑1 », sont insérés les mots : « ou à une mesure prise en application des articles L. 521‑7, L. 521‑16, L. 521‑17, L. 521‑20 et L. 521‑23 » ; b) Au 1°, les mots : « opérateurs de plateformes en ligne au sens du I de l’article L. 111‑7 » sont remplacés par les mots : « fournisseurs de plateformes en ligne, de moteurs de recherche en ligne, d	https://www.assemblee-nationale.fr/16/ta-commission/r1674-a0.asp	juste		sonnet-A	sonnet-B		L'article 26, 11°, modifie explicitement L521-3-1 (insertion de mots au premier alinéa et au 1°).	Le 11° de l'article 26 modifie explicitement l'article L521-3-1.		2026-09-24
juste	005c30287564ed09	declaree	suppose	oui	1576	senat/petite-loi-ameli-2012-2013-810.html	71	L221-10	code de la consommation		ion daucun frais. » Section 2 Autres dispositions diverses Article 70 A (Supprimé) Article 70 (Conforme) Article 71 Le code de la consommation est ainsi modifié : 1°A (nouveau)°Le premier alinéa de larticle L. 121-5 est supprimé ; 1° Le chapitre VII du titre III du livre Ier es	a est ainsi rédigé : « En matière de contrôle bactériologique ou de pureté biologique, le procureur de la République ou le juge dinstruction commet deux experts à lexpertise de léchantillon prélevé, exception faite du cas où lintéressé a déclaré sen rapporter à lexpert unique désigné dans les mêmes conditions. » ; b) Au troisième alinéa, les mots : « , commis par le procureur de la République ou le juge dinstruction, » sont supprimés ; 6° La première phrase du premier alinéa de larticle L. 221‑10 est ainsi rédigée : « Les décrets prévus à larticle L. 221-3 sont pris après avis de lagence mentionnée à larticle L. 5311-1 du code de la santé publique lorsquils concernent des produits entrant dans son champ de compétence, ou après avis de lagence mentionnée à larticle L. 1313-1 du même code lorsquils comportent des dispositions visant à prévenir des risques sanitaires ou nutritionnels. » ; 7° À larticle L. 221-11, les mots : « décisions de la Commission européenne qui conti	http://www.senat.fr/petite-loi-ameli/2012-2013/810.html	juste		sonnet-A	sonnet-B		L'article 71, 6°, réécrit la première phrase du premier alinéa de L221-10.	Le 6° de l'article 71 réécrit la première phrase du premier alinéa de L221-10.		2026-09-24
juste	00747ffe2ff67b42	declaree	suppose	oui	178	assemblee/17-ta-commission-r0633-a0.asp	3	L221-16	code de la consommation	L221-16 (2016-07-01) Sans préjudice des dispositions de l'article L. 221-12, le professionnel qui contacte un consommateur par téléphone en vue de conclure un contrat portant sur la vente d'un bien ou sur la fourniture d'un service indique au début de la conversation son identité, le cas échéant l'identité de la person […]	icle L. 151‑2 » sont remplacés par les mots : « les infractions prévues aux articles L. 151‑2 et L. 151‑2‑1 ». II. – Le code de la consommation est ainsi modifié : 1° Le titre II est ainsi modifié : A. – Le livre II est ainsi modifié : aa)(nouveau) La seconde phrase du premier al	inie à l’article L. 151‑2 » sont remplacés par les mots : « des infractions définies aux articles L. 151‑2 et L. 151‑2‑1 » ; 4° À la fin de l’article L. 151‑5, les mots : « l’infraction prévue par l’article L. 151‑2 » sont remplacés par les mots : « les infractions prévues aux articles L. 151‑2 et L. 151‑2‑1 ». II. – Le code de la consommation est ainsi modifié : 1° Le titre II est ainsi modifié : A. – Le livre II est ainsi modifié : aa)(nouveau) La seconde phrase du premier alinéa de l’article L. 221‑16 est supprimée ; ab)(nouveau) Au début de l’intitulé du chapitre III, le mot : « Opposition » est remplacé par le mot : « Consentement » ; a) L’article L. 223‑1 est ainsi modifié : – les deux premiers alinéas sont remplacés par trois alinéas ainsi rédigés : « Il est interdit de démarcher téléphoniquement, directement ou par l’intermédiaire d’un tiers agissant pour son compte, un consommateur qui n’a pas exprimé préalablement son consentement pour faire l’objet de prospections commercial	https://www.assemblee-nationale.fr/17/ta-commission/r0633-a0.asp	juste		sonnet-A	sonnet-B		L'article 3, II, 1°, A, aa), supprime la seconde phrase du premier alinéa de L221-16.	Le aa) de l'article 3 supprime la seconde phrase du premier alinéa de L221-16.		2026-09-24
faux	00a9d67db664d795	declaree	nomme	non	80	assemblee/dyn-17-textes-l17t0087_texte-adopte-seance	14	L132-1	code de la consommation	L132-1 (2016-07-01) Le délit de pratique commerciale trompeuse défini aux articles L. 121-2 à L. 121-4 est constitué dès lors que la pratique est mise en œuvre ou qu'elle produit ses effets en France.	as le maximum légal le plus élevé. « Le risque d’une condamnation à la sanction civile n’est pas assurable. » XII. – Le code de la consommation est ainsi modifié : 1° Au troisième alinéa de l’article L. 132‑1 A et au deuxième alinéa des articles L. 241‑1‑1, L. 241‑5 et L. 242‑18‑	morale, ce montant ne peut être supérieur au quintuple du montant du profit réalisé. « Lorsqu’une sanction civile est susceptible d’être cumulée avec une amende administrative ou pénale infligée en raison des mêmes faits à l’auteur du manquement, le montant global des amendes prononcées ne dépasse pas le maximum légal le plus élevé. « Le risque d’une condamnation à la sanction civile n’est pas assurable. » XII. – Le code de la consommation est ainsi modifié : 1° Au troisième alinéa de l’article L. 132‑1 A et au deuxième alinéa des articles L. 241‑1‑1, L. 241‑5 et L. 242‑18‑1, les mots : « , L. 622‑1 et L. 623‑1 » sont remplacés par les mots : « et L. 622‑1 du présent code et des III à XI de l’article 14 de la loi n° du portant diverses dispositions d’adaptation au droit de l’Union européenne en matière économique, financière, environnementale, énergétique, de transport, de santé et de circulation des personnes » ; 2° L’article L. 621‑7 est ainsi rédigé : « Art. L. 621‑7. – Les associat	https://www.assemblee-nationale.fr/dyn/17/textes/l17t0087_texte-adopte-seance	faux		sonnet-A	sonnet-B		L'article 14, XII, 1°, modifie le troisième alinéa de L132-1 A (et non L132-1) ainsi que L241-1-1, L241-5 et L242-18-1 ; L132-1 n'est pas cité, confusion avec L132-1 A.	L'article 14 (XII) modifie en réalité L132-1 A, un article distinct de L132-1 ; ce dernier n'est pas cité ni modifié dans la fenêtre.		2026-09-24
juste	012d5d07c8e9080d	declaree	suppose	oui	201	assemblee/15-ta-ta0258.asp	206	L341-34-1	code de la consommation	L341-34-1 (2018-01-01) Est réputée non écrite toute clause par laquelle le prêteur subordonne l'octroi du prêt ou la conclusion de l'avenant au contrat de crédit initial à la condition de domiciliation mentionnée à l'article L. 313-25-1 sans l'assortir en contrepartie de l'avantage individualisé mentionné au même artic […]	s du budget ordinaire (services civils) pour le premier trimestre de l’exercice 1947 est abrogé. XV. – Le livre III du code de la consommation est ainsi modifié : 1° Le 10° de l’article L. 313‑25 est abrogé ; 2° L’article L. 313‑25‑1 est abrogé ; 3° Le troisième alinéa de l’artic	développement des émissions obligataires est ratifiée. B. – L’article 82 de la loi n° 46‑2914 du 23 décembre 1946 portant ouverture de crédits provisoires applicables aux dépenses du budget ordinaire (services civils) pour le premier trimestre de l’exercice 1947 est abrogé. XV. – Le livre III du code de la consommation est ainsi modifié : 1° Le 10° de l’article L. 313‑25 est abrogé ; 2° L’article L. 313‑25‑1 est abrogé ; 3° Le troisième alinéa de l’article L. 313‑39 est supprimé ; 4° L’article L. 341‑34‑1 est abrogé. XVI. – A. – L’ordonnance n° 2017‑1107 du 22 juin 2017 relative aux marchés d’instruments financiers et à la séparation du régime juridique des sociétés de gestion de portefeuille de celui des entreprises d’investissement est ratifiée. B. – Le code monétaire et financier est ainsi modifié : 1° L’article L. 532‑9 est complété par un IX ainsi rédigé : « IX. – La société de gestion de portefeuille nomme un commissaire aux comptes. » ; 2° Au dernier alinéa de l’article L. 532‑	http://www.assemblee-nationale.fr/15/ta/ta0258.asp	juste		sonnet-A	sonnet-B		Le XV, 4°, de l'article 206 abroge L341-34-1.	Le XV.4° de l'article 206 abroge explicitement l'article L341-34-1.		2026-09-24
juste	0156af723187bd82	declaree	nomme	oui	-13	assemblee/15-ta-ta0394.asp	6	L242-21	code de la consommation	L242-21 (2016-07-01) Tout manquement aux dispositions des articles L. 224-43 à L. 224-54 est passible d'une amende administrative dont le montant ne peut excéder 3 000 euros pour une personne physique et 15 000 euros pour une personne morale. Cette amende est prononcée dans les conditions prévues au chapitre II du titr […]	service à valeur ajoutée en cause. » ; 1° et 2° (Supprimés) II (nouveau). – Le premier alinéa de l’article L. 242‑21 du code de la consommation est ainsi modifié : 1° Le montant : « 3 000 euros » est remplacé par le montant : « 75 000 € » ; 2° Le montant : « 15 000 euros » est re	évues au I du présent article, tout fournisseur d’un service téléphonique au public, au sens du 7° de l’article L. 32 du code des postes et des communications électroniques, peut suspendre, après en avoir informé l’opérateur cocontractant, l’accès de ses abonnés au numéro ou aux numéros à valeur ajoutée concernés et, en cas de réitération, à tous les numéros du fournisseur de produit ou de service à valeur ajoutée en cause. » ; 1° et 2° (Supprimés) II (nouveau). – Le premier alinéa de l’article L. 242‑21 du code de la consommation est ainsi modifié : 1° Le montant : « 3 000 euros » est remplacé par le montant : « 75 000 € » ; 2° Le montant : « 15 000 euros » est remplacé par le montant : « 375 000 € ». III (nouveau). – L’article L. 44 du code des postes et des communications électroniques est ainsi modifié : 1° (Supprimé) 2° Sont ajoutés des V et VI ainsi rédigés : « V. – Les opérateurs sont tenus de s’assurer que, lorsque leurs utilisateurs finals utilisent un numéro issu du plan de n	http://www.assemblee-nationale.fr/15/ta/ta0394.asp	juste		sonnet-A	sonnet-B		Le II de l'article 6 modifie le premier alinéa de L242-21 (montants d'amende relevés).	Le II de l'article 6 modifie explicitement le premier alinéa de L242-21.		2026-09-24
juste	021e15a012d93852	citation	suppose	oui	180	assemblee/15-ta-ta0385.asp	4 quater d	L217-21	code de la consommation	L217-21 (2020-02-12) Le fabricant de biens comportant des éléments numériques informe le vendeur de la durée au cours de laquelle les mises à jour des logiciels fournis lors de l'achat du bien restent compatibles avec un usage normal de l'appareil. L'usage du bien est considéré comme normal lorsque ses fonctionnalités  […]	dans le mode d’emploi ou la notice d’utilisation. » Article 4 quater D I. – Le chapitre VII du titre Ier du livre II du code de la consommation est complété par une section 5 ainsi rédigée : « Section 5 « Information du consommateur et obligations du vendeur concernant les mises	le résulte de l’article 7 de la présente loi, est complétée par un article L. 541‑9‑9 ainsi rédigé : « Art. L. 541‑9‑9. – Les étapes de réparation des pannes les plus courantes peuvent être intégrées dans le mode d’emploi ou la notice d’utilisation. » Article 4 quater D I. – Le chapitre VII du titre Ier du livre II du code de la consommation est complété par une section 5 ainsi rédigée : « Section 5 « Information du consommateur et obligations du vendeur concernant les mises à jour de logiciels « Art. L. 217‑21. – Le fabricant de biens comportant des éléments numériques informe le vendeur de la durée au cours de laquelle les mises à jour des logiciels fournis lors de l’achat du bien restent compatibles avec un usage normal de l’appareil. L’usage du bien est considéré comme normal lorsque ses fonctionnalités répondent aux attentes légitimes du consommateur. Le vendeur met ces informations à la disposition du consommateur. Les modalités d’application du présent article sont précisées par	http://www.assemblee-nationale.fr/15/ta/ta0385.asp	juste		sonnet-A	sonnet-B		L'article 4 quater D crée l'article L217-21 dans une nouvelle section du code de la consommation.	L'article 4 quater D crée directement l'article L217-21 dans la nouvelle section 5.		2026-09-24
juste	0234df440b99f715	declaree	nomme	non	-12	assemblee/dyn-17-textes-l17t0112_texte-adopte-seance	1er ter	L711-4	code de la consommation	L711-4 (2016-07-01) Sauf accord du créancier, sont exclues de toute remise, de tout rééchelonnement ou effacement : 1° Les dettes alimentaires ; 2° Les réparations pécuniaires allouées aux victimes dans le cadre d'une condamnation pénale ; 3° Les dettes ayant pour origine des manœuvres frauduleuses commises au préjudic […]	et en Conseil d’État détermine les modalités d’application du présent article. » Article 1er ter L’article L. 711‑4 du code de la consommation est ainsi modifié : 1° Le 3° est complété par les mots : « ou des collectivités territoriales débitrices de prestations et d’aides socia	sion pour la même durée. « II. – En cas de manquement délibéré ou de manœuvres frauduleuses, les autorités mentionnées au I peuvent rejeter la demande d’une aide publique. Elles peuvent également rejeter le versement d’une aide publique, sous réserve, le cas échéant, du retrait de la décision d’octroi de l’aide dans les conditions prévues aux articles L. 241‑2 et L. 242‑2. « III. – Un décret en Conseil d’État détermine les modalités d’application du présent article. » Article 1er ter L’article L. 711‑4 du code de la consommation est ainsi modifié : 1° Le 3° est complété par les mots : « ou des collectivités territoriales débitrices de prestations et d’aides sociales » ; 2° L’avant‑dernier alinéa est complété par les mots : « , soit par une sanction prononcée par le président du conseil départemental dans les conditions prévues à l’article L. 262‑52 du code de l’action sociale et des familles ». Article 2 I. – Le code monétaire et financier est ainsi modifié : 1° Après l’article L. 561	https://www.assemblee-nationale.fr/dyn/17/textes/l17t0112_texte-adopte-seance	juste		sonnet-A	sonnet-B		L'article 1er ter modifie L711-4 (complète le 3° et l'avant-dernier alinéa).	L'article 1er ter modifie explicitement l'article L711-4 (3° complété, avant-dernier alinéa complété).		2026-09-24
juste	02f049e6e9a08d0d	declaree	suppose	oui	929	assemblee/15-ta-commission-r2616-a0.asp	6	L224-47	code de la consommation	L224-47 (2016-07-01) Un mécanisme de signalement impose à l'opérateur de vérifier les renseignements présents dans l'outil afin de procéder en cas d'inexactitude à la suspension de l'accès au numéro et, le cas échéant, à la résiliation prévues à l'article L. 224-46.	erformances ou sa qualité. » Article 6 I. – La sous-section 1 de la section 4 du chapitre IV du titre II du livre II du code de la consommation est ainsi modifiée : 1° A L’article L. 224‑46 est ainsi modifié : a) Au début du premier alinéa, est ajoutée la mention : « I. – » ; b)	ions devant figurer dans l’outil mentionné à l’article L. 224‑43 sont absentes, inexactes, obsolètes ou incomplètes ; « 2° Si aucun produit ou service réel n’est associé à ce numéro ; « 3° Si le produit ou service associé à ce numéro fait partie de ceux que l’opérateur exclut au titre de ses règles déontologiques. « III. – La résiliation du contrat est subordonnée à une mise en demeure infructueuse, dans les conditions prévues au second alinéa de l’article 1225 du code civil. » ; 1° B L’article L. 224‑47 est ainsi rédigé : « Art. L. 224‑47. – Un mécanisme de signalement des anomalies concernant un numéro à valeur ajoutée permet au consommateur de signaler de manière claire, précise et compréhensible : « 1° Si une ou plusieurs des informations devant figurer dans l’outil prévu à l’article L. 224‑43 sont absentes, inexactes, obsolètes ou incomplètes ; « 2° Si le service associé ne respecte pas les règles déontologiques fixées par l’opérateur ; « 3° Si l’exercice du droit de réclamation p	http://www.assemblee-nationale.fr/15/ta-commission/r2616-a0.asp	juste		sonnet-A	sonnet-B		L'article 6, 1° B, réécrit entièrement L224-47.	Le 1° B de l'article 6 réécrit directement l'article L224-47.		2026-09-24
juste	0315aa56881d1b2f	declaree	nomme	oui	-12	assemblee/15-ta-commission-r2193-a0.asp	3 septies	L511-7	code de la consommation	L511-7 (2016-07-01) Les agents sont habilités à rechercher et à constater les infractions ou les manquements aux dispositions : 1° Du règlement (CE) n° 1371/2007 du Parlement européen et du Conseil du 23 octobre 2007 sur les droits et obligations des voyageurs ferroviaires ; 2° De l'article 23 du règlement (CE) n° 1008 […]	nostic de performance énergétique et définis par voie réglementaire. » I bis. – Au début du 8° de l’article L. 511‑7 du code de la consommation, est insérée la référence : « De l’article L. 134‑4‑3, ». II. – Après le 10° de l’article 3 de la loi n° 89‑462 du 6 juillet 1989 tendan	s pour une personne morale. Cette amende est prononcée dans les conditions prévues au chapitre II du titre II du livre V du code de la consommation. » ; 4° Après le 3° de l’article L. 721‑1, il est inséré un 4° ainsi rédigé : « 4° Pour les lots à usage d’habitation et à titre d’information, une indication sur le montant des dépenses théoriques de l’ensemble des usages énumérés dans le diagnostic de performance énergétique et définis par voie réglementaire. » I bis. – Au début du 8° de l’article L. 511‑7 du code de la consommation, est insérée la référence : « De l’article L. 134‑4‑3, ». II. – Après le 10° de l’article 3 de la loi n° 89‑462 du 6 juillet 1989 tendant à améliorer les rapports locatifs et portant modification de la loi n° 86‑1290 du 23 décembre 1986, il est inséré un alinéa ainsi rédigé : « Le contrat de location mentionne également, à titre d’information, une indication sur le montant des dépenses théoriques de l’ensemble des usages énumérés dans le diagnostic de performa	http://www.assemblee-nationale.fr/15/ta-commission/r2193-a0.asp	juste		sonnet-A	sonnet-B		Le I bis de l'article 3 septies insère une référence au début du 8° de L511-7, qui est bien modifié.	Le I bis de l'article 3 septies insère une référence au début du 8° de l'article L511-7, qui est bien modifié.		2026-09-24
juste	045ae3b967b52dbe	declaree	suppose	oui	2759	assemblee/17-ta-commission-r1368-a0.asp	3 bis ab	L512-59-1	code de la consommation	L512-59-1 (2025-07-02) Lorsque des supports de données informatiques ont été placés sous scellés fermés provisoires en application de l'article L. 512-59, les agents habilités peuvent recourir à toute personne qualifiée pour procéder à l'ouverture des scellés en vue de réaliser une ou plusieurs copies de ces données, a […]	L. 532‑3, la référence : « L. 521‑22 » est remplacée par la référence : « L. 521‑24 ». Article 3 bis AB Le livre V du code de la consommation est ainsi modifié : 1° Après l’article L. 512‑2, il est inséré un article L. 512‑2‑1 ainsi rédigé : « Art. L. 512‑2‑1. – I. – Dans l’exe	51‑1. – Les agents habilités peuvent recourir à toute personne qualifiée dans les conditions prévues à l’article L. 512‑17. » ; b) L’article L. 512‑59 est ainsi modifié : – au deuxième alinéa, après le mot : « habilités, », sont insérés les mots : « la personne qualifiée mentionnée à l’article L. 512‑51‑1, » ; – le dernier alinéa est complété par les mots : « , dans les conditions prévues à l’article 56 du code de procédure pénale » ; c) Après le même article L. 512‑59, il est inséré un article L. 512‑59‑1 ainsi rédigé : « Art. L. 512‑59‑1. – Lorsque des supports de données informtiques ont été placés sous scellés fermés provisoires en application de l’article L. 512‑59, les agents habilités peuvent recourir à toute personne qualifiée pour procéder à l’ouverture des scellés en vue de réaliser une ou plusieurs copies de ces données, après avoir procédé aux éventuelles opérations techniques nécessaires à leur mise à disposition dans un format permettant leur exploitation, sans porter att	https://www.assemblee-nationale.fr/17/ta-commission/r1368-a0.asp	juste		sonnet-A	sonnet-B		L'article 3 bis AB, c), insère l'article L512-59-1 après L512-59, dans le livre V modifié.	L'article 3 bis AB crée directement l'article L512-59-1 après L512-59.		2026-09-24
