fiche	cle	article	formule	verdict	issue	directives	cibles_tisseuse
precision-vise-2.tsv	06f6da5ce0ae64d3	L141-1	complété	juste	aucune		
precision-vise-2.tsv	071496f0bc6909bd	L122-23	modifié	juste	meme_article	insert_after insert_after insert_after	11I L122-23
precision-vise-2.tsv	072a00b21166afd5	L121-107	rédigé	douteux	autre_cible	insert_after	L121-103
precision-vise-2.tsv	07614d65e424401f	L131-4	complété	faux	meme_article	insert_after insert_after	L131-4
precision-vise-2.tsv	088f7db6e1949b60	L311-8-1	rédigé	juste	aucune		
precision-vise-2.tsv	089fc5b38104d932	L423-15	rédigé	juste	aucune		
precision-vise-2.tsv	08bb2d9283343a61	L113-7	rédigé	juste	aucune		
precision-vise-2.tsv	08ea939e098413cf	L217-9	complété	juste	meme_article	insert_after insert_after	4I L217-9
precision-vise-2.tsv	0938d4d10e70b877	L223-1	rédigé	juste	aucune		
precision-vise-2.tsv	094b23eb9819d82f	L116-1	rédigé	juste	autre_cible	insert_after	
precision-vise-2.tsv	09adfa31bf54b5c1	L121-1-1	inséré	juste	meme_article	insert_after insert_after	24I L121-1-1
precision-vise-2.tsv	0a7ca4be02ca0ce0	L331-3	inséré	juste	aucune		
precision-vise-2.tsv	0b8d44066267868e	L224-3	complété	juste	autre_cible	insert_after insert_after	13I L224-12
precision-vise-2.tsv	0e2fe1f774bd8804	L423-8	rédigé	douteux	aucune		
precision-vise-2.tsv	0ea085f61e9e5d47	L121-84-4	complété	juste	meme_article	insert_after	L121-84-4
precision-vise-2.tsv	0f33514c33b55b2a	L733-7	rédigé	juste	autre_cible	replace	
precision-vise-2.tsv	0fcc9381f63a659f	L312-9	modifié	juste	meme_article	insert_after insert_after insert_after	L312-9
precision-vise-2.tsv	102079adf0510528	L411-1	insérés	faux	aucune		
precision-vise-2.tsv	1049cf409d00a8c8	L311-3	complété	juste	aucune		
precision-vise-2.tsv	10573b6a323bd424	L113-7	rédigé	juste	aucune		
precision-vise-3.tsv	1095ccb758a3202c	L733-10	rédigé	juste	autre_cible	replace replace replace	L711-5 L711-8
precision-vise-3.tsv	10a89915f2289930	L341-4	rédigé	juste	aucune		
precision-vise-3.tsv	10c71ae2ab462961	L423-5	rédigé	juste	aucune		
precision-vise-3.tsv	1176f4e4775917a1	L217-23	complété	juste	meme_article	insert_after insert_after	13I L217-23
precision-vise-3.tsv	11cbe53fbe887feb	L711-8	modifié	juste	meme_article	replace replace replace	L711-5 L711-8
precision-vise-3.tsv	11d2cb52fcd14677	L122-3	rédigé	juste	autre_cible	delete delete delete insert_after	26 L115-30 L121-35 L121-8
precision-vise-3.tsv	1212a202a47eb749	L534-6	abrogés	juste	autre_cible	delete delete delete delete delete	64BISI L221-3 L531-2 L531-3 L531-4 L534-10 L534-8 L534-9
precision-vise-3.tsv	129278174c626ead	L412-9	complété	juste	meme_article	insert_after	L412-9
precision-vise-3.tsv	14108d95db232f30	L121-1	complété	juste	meme_article	insert_after	L121-1
precision-vise-3.tsv	1487784f6bb2bd27	L332-9	insérés	juste	aucune		
precision-vise-3.tsv	153153818184ebd4	L421-3	complété	juste	meme_article	insert_after	L421-3
precision-vise-3.tsv	161c7296c61ea9d7	L733-10	rédigé	juste	autre_cible	replace	
precision-vise-3.tsv	16a81990cc994b22	L116-1	rédigé	juste	aucune		
precision-vise-3.tsv	183d35ed84b9f3ba	L733-2	modifié	juste	autre_cible	replace replace replace	L711-5 L711-8
precision-vise-3.tsv	18597dad1f79bed0	L741-2	modifié	juste	meme_article	delete delete delete delete delete delete delete delete delete delete delete delete delete_portion	1NONIESI L741-2 L742-22
precision-vise-3.tsv	186af8e343f08000	L511-12	complété	juste	aucune		
precision-vise-3.tsv	19458c115a88c139	L113-5	complété	juste	autre_cible	replace replace	78
precision-vise-3.tsv	19a31a3278376bd1	L311-17	rédigé	juste	aucune		
