verdict	cle	chambre	amendement	sort	auteur	dossier	article	segment	longueur_fenetre	vise	nb_segments_fenetre	fenetre	dispositif	segment_texte	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	06852ff2151bf7fa	assemblee	152	Adopté	LE GOUVERNEMENT	JORFDOLE000039451785	L412-10	LEGIARTI000041983720:0	60	sans visée	1	les dénominations utilisées pour désigner des denrées alimen	Substituer aux alinéas 2 à 4 l'alinéa suivant : « Art. L. 412-7-2 . – Les dénominations utilisées pour désigner des denrées alimentaires d’origine animale ne peuvent être utilisées pour décrire, commercialiser ou promouvoir des denrées alimentaires comportant des protéines végétales. Un décret fixe la part de protéines végétales au-delà de laquelle cette dénomination n’est pas possible. Ce décret  […]	Les dénominations utilisées pour désigner des denrées alimentaires d'origine animale ne peuvent être utilisées pour décrire, commercialiser ou promouvoir des denrées alimentaires comportant des protéines végétales. Un décret fixe la part de protéines végétales au-delà de laquelle cette dénomination n'est pas possible. Ce décret définit également les modalités d'application du présent article et le […]		juste		sonnet-juge-a	sonnet-juge-b		Article L. 412-7-2 rédigé par l'amendement 152, mot pour mot repris sous le numéro du fonds L412-10.	Le dispositif substitue l'alinéa mot pour mot identique au segment, sous le numéro L.412-7-2 plutôt que L412-10 : le fonds a glissé, pas la rédaction.		2026-09-26
juste	0cc026d9851484c1	assemblee	228	Adopté	M. Julien Dive	JORFDOLE000043701629	L121-4	LEGIARTI000044224578:27	60	oui	1	24° de faire figurer un drapeau français, une carte de franc	L’article L. 121‑4 du code de la consommation est complété par un 24° ainsi rédigé : « 24° De faire figurer un drapeau français, une carte de France ou tout symbole représentatif de la France sur les emballages alimentaires lorsque les ingrédients primaires tels que définis par le Règlement (UE) n° 1169/2011 du Parlement européen et du Conseil du 25 octobre 2011 concernant l’information des consom […]	24° De faire figurer un drapeau français, une carte de France ou tout symbole représentatif de la France sur les emballages alimentaires lorsque les ingrédients primaires définis par le règlement (UE) n° 1169/2011 du Parlement européen et du Conseil du 25 octobre 2011 concernant l'information des consommateurs sur les denrées alimentaires, modifiant les règlements (CE) n° 1924/2006 et (CE) n° 1925 […]		juste		sonnet-juge-a	sonnet-juge-b		Le 24° adopté reprend le dispositif de l'amendement 228 mot pour mot, la navette n'ajoutant que la citation complète du règlement visé (renvoi précisé) et un accord grammatical.	Le 24° inséré est repris mot pour mot ; la navette n'a fait qu'expliciter les directives abrogées par le règlement (UE) 1169/2011 déjà cité.		2026-09-26
juste	1026e34bef6d2c7b	assemblee	334	Adopté	M. Antoine Herth	JORFDOLE000043701629	L122-24	LEGIARTI000044221550:1	60	sans visée	1	l'avis de l'organisation interprofessionnelle est réputé fav	Après l’alinéa 4, insérer les deux alinéas suivants : « L’avis de l’organisation interprofessionnelle est réputé favorable en l’absence de réponse dans un délai prévu par le décret mentionné au premier alinéa. » « La publicité est réputée autorisée en l’absence de réponse de l’administration dans un délai prévu par le décret mentionné au premier alinéa. »	L'avis de l'organisation interprofessionnelle est réputé favorable en l'absence de réponse dans un délai fixé par le décret mentionné au premier alinéa.		juste		sonnet-juge-a	sonnet-juge-b		L'amendement 334 insère l'alinéa quasi mot pour mot ('prévu' devenu 'fixé' par le décret) ; rédaction retenue.	L'amendement 334 insère cet alinéa mot pour mot, « prévu » devenu « fixé » en navette ; 409, identique, dépose le même texte.		2026-09-26
juste	1385d56d81bff758	assemblee	29	Adopté	M. Christophe Naegelen	JORFDOLE000037775649	L242-16	LEGIARTI000042155954:5	60	non : L522-6	1	lorsque la publication serait de nature à perturber graveme	L’article L. 522‑6 du code de la consommation est ainsi modifié : 1° Au premier alinéa, les mots : « peut être » sont remplacés par le mot : « est » ; 2° Sont ajoutés trois alinéas ainsi rédigés : « L’autorité administrative chargée de la concurrence et de la consommation peut décider de reporter la publication d’une décision ou de publier cette dernière sous une forme anonymisée ou de ne pas la p […]	2° Lorsque la publication serait de nature à perturber gravement le déroulement d'une enquête ou d'un contrôle en cours.		faux	juste	opus-arbitre (arbitrage)	sonnet-juge-b	opus-arbitre	Remplace « juste » (sonnet-juge-a) ; B : « faux ». La version de 2016 de L242-16 n'a pas ce passage ; celle de 2020 reprend presque mot pour mot les alinéas que 29 écrivait pour L522-6, déplacés en navette sous L242-16 « par dérogation à l'article L. 522-6 » : l'alinéa descend du passage de 29.	L'amendement 29 modifie L522-6, pas L242-16 : l'article 3 du texte, « non modifié », montre que L242-16 et sa liste de circonstances préexistaient à l'amendement.	La version de 2016 de L242-16 n'a pas ce passage ; celle de 2020 reprend presque mot pour mot les alinéas que 29 écrivait pour L522-6, déplacés en navette sous L242-16 « par dérogation à l'article L. 522-6 » : l'alinéa descend du passage de 29.	2026-09-26
juste	1591ddb670cd34ad	assemblee	178	Adopté	Mme Agnès Firmin Le Bodo	JORFDOLE000044125588	L711-9	LEGIARTI000045171187:0	60	oui	1	l'entrepreneur individuel relevant du statut défini à la se	Rédiger ainsi cet article : « I. – Le livre VI du code de commerce est ainsi modifié : 1° À la deuxième phrase du premier alinéa de l’article L. 611‑13, après le mot : « limitée », sont insérés les mots : « ou entrepreneur individuel relevant du statut défini à la section 3 du chapitre VI du titre II du livre V, » ; 2° Après l’article L. 611‑16, il est inséré un article L. 611‑17 ainsi rédigé : «  […]	Le présent livre est applicable à l'entrepreneur individuel relevant du statut défini à la section 3 du chapitre VI du titre II du livre V du code de commerce lorsque la commission de surendettement est saisie dans les conditions prévues au titre VIII bis du livre VI du même code et sous les réserves ci-après énoncées.		juste		sonnet-juge-a	sonnet-juge-b		L'amendement 178 rédige l'article créant L711-9 ; l'alinéa en vigueur reprend la même formule avec une reformulation mineure ('le présent livre est applicable' pour 'les dispositions du présent livre sont applicables').	Le III du dispositif crée L711-9 mot pour mot, « le présent livre est applicable » devenu « les dispositions du présent livre sont applicables » en navette.		2026-09-26
juste	17b982fb6c91c1b4	assemblee	355	Adopté	M. Vincent Thiébaut	JORFDOLE000042956321	L217-33	LEGIARTI000044328570:3	60	sans visée	1	que mise à jour est effectuée sans coût supplémentaire pour	Substituer aux alinéas 2 et 3 les six alinéas suivants : « Art. L. 217‑24 . – S’agissant des mises à jour de logiciels qui ne sont pas nécessaires au maintien de la conformité du bien, le vendeur respecte les conditions suivantes : « - Le contrat autorise le principe de telles mises à jour et en fournit une raison valable ; « - Le vendeur informe le consommateur, de manière claire et compréhensibl […]	3° Chaque mise à jour est effectuée sans coût supplémentaire pour le consommateur ;		juste		sonnet-juge-a	sonnet-juge-b		L'amendement 355 substitue six alinéas dont celui-ci ('chaque mise à jour est effectuée sans coût supplémentaire'), repris mot pour mot sous le numéro du fonds L217-33.	Le quatrième tiret du dispositif devient le 3° du segment mot pour mot, sous un numéro d'article différent (L217-24 au dépôt, L217-33 au fonds).		2026-09-26
juste	17f35215a30cd177	assemblee	334	Adopté	M. Antoine Herth	JORFDOLE000043701629	L122-24	LEGIARTI000044221550:2	60	sans visée	1	la publicité est réputée autorisée en l'absence de réponse d	Après l’alinéa 4, insérer les deux alinéas suivants : « L’avis de l’organisation interprofessionnelle est réputé favorable en l’absence de réponse dans un délai prévu par le décret mentionné au premier alinéa. » « La publicité est réputée autorisée en l’absence de réponse de l’administration dans un délai prévu par le décret mentionné au premier alinéa. »	La publicité est réputée autorisée en l'absence de réponse de l'administration dans un délai fixé par le même décret.		juste		sonnet-juge-a	sonnet-juge-b		Second alinéa inséré par le même amendement 334, repris mot pour mot ('prévu' devenu 'fixé', le renvoi simplifié en 'le même décret').	Le second alinéa inséré par 334 est repris mot pour mot, seul « prévu » devenant « fixé par le même décret ».		2026-09-26
juste	187e6c27db29fc01	assemblee	2537	Adopté	Mme Graziella Melchior	JORFDOLE000038746653	L241-2-1	LEGIARTI000041556254:0	60	non : L211-2	1	ce dans les documents contractuels remis aux consommateurs d	Rétablir cet article dans la rédaction suivante : « I. – L’article L. 211‑2 du code de la consommation est ainsi modifié : « 1° Au début du premier alinéa, est ajoutée la mention « I. – », « 2° Il est ajouté un II ainsi rédigé : « II. – Pour certaines catégories de biens fixés par décret, le document de facturation remis au consommateur mentionne l’existence et la durée de la garantie légale de co […]	L'absence dans les documents contractuels remis aux consommateurs des mentions prévues à l'article L. 211-2 est passible d'une amende administrative dont le montant ne peut excéder 3 000 € pour une personne physique et 15 000 € pour une personne morale. Cette amende est prononcée dans les conditions prévues au chapitre II du titre II du livre V.		juste		sonnet-juge-a	sonnet-juge-b		L'amendement 2537 rétablit l'article et rédige L241-2-1 mot pour mot (seul l'euro remplace 'euros').	Le dispositif crée L241-2-1 mot pour mot identique au segment, malgré le drapeau « vise: non L211-2 » qui porte sur une autre partie de l'amendement.		2026-09-26
juste	19ab57a534619dcd	assemblee	1813	Adopté	Mme Véronique Riotton	JORFDOLE000038746653	L441-5	LEGIARTI000041556410:0	60	oui	1	n et s'il a donné les consignes de sécurité adéquates pour q	Après l'alinéa 5, insérer l'alinéa suivant : « Art. L. 441‑5. – S’il a conçu son appareil en prévoyant les cas d’auto-réparation et s’il a donné les consignes de sécurité adéquates pour qu’un utilisateur puisse réaliser une auto-réparation, le fabricant ne peut être tenu responsable d’un dommage survenu lors d’une auto-réparation, dans la mesure où ce dommage est lié à une maladresse de l’utilisat […]	S'il a conçu son appareil en prévoyant les cas d'autoréparation et s'il a donné les consignes de sécurité adéquates pour qu'un utilisateur puisse réaliser une autoréparation, le fabricant ne peut être tenu responsable d'un dommage survenu lors d'une autoréparation dans la mesure où ce dommage est lié à une maladresse de l'utilisateur ou au non-respect par ce dernier des consignes de réparation du  […]		juste		sonnet-juge-a	sonnet-juge-b		L'amendement 1813 insère l'article L441-5 en entier, repris mot pour mot (seule l'orthographe d'auto-réparation est lissée).	L'alinéa inséré par 1813 est repris mot pour mot, seule l'orthographe « auto-réparation » ayant été normalisée en « autoréparation ».		2026-09-26
juste	2169a583a3aa29e2	assemblee	7234	Adopté	M. Vincent Thiébaut	JORFDOLE000043113774	L113-3	LEGIARTI000043960821:0	60	oui	1	magasins de vente au détail de plus de 400 mètres carrés qu	Le chapitre III du titre I er du livre I er du code de la consommation est ainsi modifié : 1° L’intitulé est ainsi rédigé : « Autres informations » ; 2° Au début, est ajoutée une section 1, comprenant les articles L. 113‑1 et L. 113‑2, ainsi rédigée : « Section 1 « Information sur les conditions sociales de fabrication des produits » 3° Est ajoutée une section 2 ainsi rédigée : « Section 2 « Infor […]	Les magasins de vente au détail de plus de 400 mètres carrés qui commercialisent des denrées alimentaires mettent à la disposition des consommateurs, tout au long de l'année, une information claire et lisible relative à la saisonnalité des fruits et légumes frais qu'ils proposent à la vente. L'affichage de cette information peut être effectué par voie électronique.		juste		sonnet-juge-a	sonnet-juge-b		L'amendement 7234 crée L113-3 en entier ; la navette retouche seulement la modalité (l'affichage devient possible par voie électronique), l'obligation et son seuil restant ceux de l'amendement.	L'obligation créée par l'amendement (magasins >400 m², information sur la saisonnalité) est reprise ; la navette a seulement déplacé « par voie d'affichage » vers une phrase précisant que l'affichage peut être électronique.		2026-09-26
