verdict	cle	voie	hote	legi	distance_hote	texte	article_du_texte	numero_cite	code_cite	article_du_fonds	mention_hote	contexte	url
	003517fb882267aa	declaree	nomme	oui	-129	senat/leg-tas19-054.html	21	L217-7	code de la consommation	L217-7 (2016-07-01) Les défauts de conformité qui apparaissent dans un délai de vingt-quatre mois à partir de la délivrance du bien sont présumés exister au moment de la délivrance, sauf preuve contraire. Pour les biens vendus d'occasion, ce délai est fixé à six mois. Le vendeur peut combattre cette présomption si cell […]	du code de la consommation, le mot : « six » est remplacé par le mot : « douze ». Article 22  L’article L. 217-9 du code de la consommation est complété par deux alinéas ainsi rédigés :  « Tout produit réparé dans le cadre de la garantie légale de conformité bénéficie d’un	 b) La sous-section 2 est complétée par un article L. 241-2-1 ainsi rédigé :  « Art. L. 241-2-1. – L’absence dans les documents contractuels remis aux consommateurs des mentions prévues à l’article L. 211-2 est passible d’une amende administrative dont le montant ne peut excéder 3 000 € pour une personne physique et 15 000 € pour une personne morale. Cette amende est prononcée dans les conditions prévues au chapitre II du titre II du livre V. » Article 21 Au deuxième alinéa de l’article L. 217-7 du code de la consommation, le mot : « six » est remplacé par le mot : « douze ». Article 22  L’article L. 217-9 du code de la consommation est complété par deux alinéas ainsi rédigés :  « Tout produit réparé dans le cadre de la garantie légale de conformité bénéficie d’une extension de ladite garantie de six mois.  « Dès lors que le consommateur fait le choix de la réparation mais que celle-ci n’est pas mise en œuvre par le vendeur, le consommateur peut demander le remplaceme	https://www.senat.fr/leg/tas19-054.html
	0051f953927edac8	declaree	suppose	oui	198	senat/leg-pjl13-283.html	64	L121-79-3	code de la consommation	L121-79-3 (2010-01-01) Est puni de 30 000 € d'amende le fait, pour tout professionnel, d'exiger ou de recevoir du consommateur, directement ou indirectement, tout versement ou engagement de versement, à quelque titre et sous quelque forme que ce soit, avant l'expiration des délais de rétractation prévus aux articles L. […]	IV, V, VI et VII. - (Non modifiés) VII bis . - (Non modifié) La section 9 du chapitre I er du titre II du livre I er du code de la consommation est ainsi modifiée : 1° Au premier alinéa de l'article L. 121-79-2, le montant : « 15 000 € » est remplacé par le montant : « 150 000 €	ôt et au domaine. « IX. - Les modalités d'application du présent article sont fixées par décret en Conseil d'État. » Section 5 Adaptation de sanctions pénales Article 64 I, II, III, IV, V, VI et VII. - (Non modifiés) VII bis . - (Non modifié) La section 9 du chapitre I er du titre II du livre I er du code de la consommation est ainsi modifiée : 1° Au premier alinéa de l'article L. 121-79-2, le montant : « 15 000 € » est remplacé par le montant : « 150 000 € » ; 2° Au premier alinéa de l'article L. 121-79-3, le montant : « 30 000 € » est remplacé par le montant : « 300 000 € » ; 3° L'article L. 121-79-4 est ainsi rédigé : « Art. L. 121-79-4 . - Les personnes physiques déclarées coupables de l'une des infractions prévues aux articles L. 121-79-1 et L. 121-79-2 du présent code encourent également, à titre de peines complémentaires, l'interdiction, suivant les modalités prévues à l'article 131-27 du code pénal, soit d'exercer une fonction publique ou d'exercer l'activité professionnelle ou	http://www.senat.fr/leg/pjl13-283.html
	007053ea37fe5110	declaree	suppose	oui	1692	assemblee/dyn-16-textes-l16b2334_texte-adopte-commission-	2	L421-3	code de la consommation	L421-3 (2016-07-01) Les produits et les services doivent présenter, dans des conditions normales d'utilisation ou dans d'autres conditions raisonnablement prévisibles par le professionnel, la sécurité à laquelle on peut légitimement s'attendre et ne pas porter atteinte à la santé des personnes.	ts réseaux connectés ou des petits réseaux isolés dans les conditions prévues au 5 du même article 6. Article 2 I. – Le code de la consommation est ainsi modifié : 1° L’article liminaire est complété par un 17° ainsi rédigé : « 17° Prestataire de service : toute personne qui offr	ilisés par les consommateurs même s’ils ne leur sont pas destinés satisfont aux dispositions du règlement (UE) 2023/988 du Parlement européen et du Conseil du 10 mai 2023 relatif à la sécurité générale des produits, modifiant le – 5 – règlement (UE) n° 1025/2012 du Parlement européen et du Conseil et la directive (UE) 2020/1828 du Parlement européen et du Conseil, et abrogeant la directive 2001/95/CE du Parlement européen et du Conseil et la directive 87/357/CEE du Conseil. » ; b) À l’article L. 421-3, les mots : « produits et les » sont remplacés par les mots : « prestations de » ; c) Les articles L. 421-4 à L. 421-7 sont abrogés ; d) L’article L. 422-1 est ainsi rédigé : « Art. L. 422-1. – Les produits ne satisfaisant pas aux exigences du règlement (UE) 2023/988 du Parlement européen et du Conseil du 10 mai 2023 relatif à la sécurité générale des produits, modifiant le règlement (UE) n° 1025/2012 du Parlement européen et du Conseil et la directive (UE) 2020/1828 du Parlement europé	https://www.assemblee-nationale.fr/dyn/16/textes/l16b2334_texte-adopte-commission#
	009c89cb4af90cb1	declaree	suppose	oui	1586	assemblee/14-ta-commission-r2145-a0.asp	34	L121-87	code de la consommation	L121-87 (2007-07-01) L'offre de fourniture d'électricité ou de gaz naturel précise, dans des termes clairs et compréhensibles, les informations suivantes : 1° L'identité du fournisseur, l'adresse de son siège social et son numéro d'inscription au registre du commerce et des sociétés ou tout document équivalent pour les […]	du II de l’article 1522 bis du code général des impôts relatives aux impositions dues au titre de 2015. Article 34 Le code de la consommation est ainsi modifié : 1° Le 1° de l’article L. 121-15 est ainsi rédigé : « 1° Sur une opération commerciale soumise à autorisation ou à dé	r 3 000 € pour une personne physique et 15 000 € pour une personne morale. L’amende est prononcée dans les conditions prévues à l’article L. 141-1-2. » ; 4° L’article L. 121-49, dans sa rédaction résultant de l’article 145 de la loi n° 2014-344 du 17 mars 2014 relative à la consommation, est complété par un alinéa ainsi rédigé : « Les manquements aux dispositions de la présente section sont recherchés et constatés dans les conditions prévues au I de l’article L. 141-1. » ; 5° Au 2° de l’article L. 121-87, les mots : « , le cas échéant, » sont supprimés ; 6° La section 14 du chapitre Ier du titre II du livre Ier est ainsi modifiée : a) Le dernier alinéa de l’article L. 121-97 est supprimé ; b) Il est ajouté un article L. 121-98-1 ainsi rédigé : « Art. L. 121-98-1. – Tout manquement aux dispositions de la présente section est passible d’une amende administrative dont le montant ne peut excéder 3 000 € pour une personne physique et 15 000 € pour une personne morale. L’amende est prononcée	http://www.assemblee-nationale.fr/14/ta-commission/r2145-a0.asp
	00b8c5b0ec9c52b5	declaree	suppose	oui	1228	assemblee/dyn-16-textes-l16t0003_texte-adopte-seance-	9	L454-1	code de la consommation	L454-1 (2016-07-01) Le délit de tromperie est constitué par la violation de l'interdiction prévue à l'article L. 441-1. Il est puni d'une peine d'emprisonnement de deux ans et d'une amende de 300 000 euros.	ase ainsi rédigée : « La publicité est effectuée aux frais du professionnel qui fait l’objet de l’injonction. » I. – Le code de la consommation est ainsi modifié : 1° Après l’article L. 132-2, sont insérés des articles L. 132-2-1 et L. 132-2-2 ainsi rédigés : « Art. L. 132-2-1. –	. L. 132-11-1. – Lorsque les pratiques commerciales agressives mentionnées aux articles L. 121-6 et L. 121-7 ont été suivies de la conclusion d’un ou de plusieurs contrats, la peine d’emprisonnement prévue à l’article L. 132-11 est portée à trois ans. « Art. L. 132-11-2. – Lorsque les pratiques commerciales agressives mentionnées aux articles L. 121-6 et L. 121-7 ont été commises en bande organisée, la peine d’emprisonnement prévue à l’article L. 132-11 est portée à sept ans. » ; 3° À l’article L. 454-1, le mot : « deux » est remplacé par le mot : « trois » ; 4° (nouveau) Le premier alinéa de l’article L. 512-20 est ainsi modifié : a) Après le mot : « habilités », sont insérés les mots : « et les officiers et agents de police judiciaire » ;             – 20 – b) Après le mot : « respectives », la fin est ainsi rédigée : « , sans que les dispositions de l’article 11 du code de procédure pénale ou celles relatives au secret professionnel fassent obstacle à une te	https://www.assemblee-nationale.fr/dyn/16/textes/l16t0003_texte-adopte-seance#
	00dbf62706a77472	declaree	suppose	oui	8858	assemblee/13-ta-commission-r2150-a0.asp	21	L331-4	code de la consommation	L331-4 (1993-07-27) La commission peut entendre toutes les personnes dont l'audition lui paraît utile.	. « La commission adopte un règlement intérieur rendu public. » Article 21 Le chapitre Ier du titre III du livre III du code de la consommation est ainsi modifié : 1° L’article L. 331-2 est ainsi rédigé : « Art. L. 331-2. – La commission a pour mission de traiter, dans les condit	e maximale d’un an et, selon les cas, jusqu’à l’approbation du plan conventionnel de redressement prévu à l’article L. 331-6, jusqu’à la décision imposant les mesures prévues par l’article L. 331-7, jusqu’à l’homologation par le juge des mesures recommandées en application des articles L. 331-7-1, L. 331-7-2 et L. 332-5 ou jusqu’au jugement d’ouverture d’une procédure de rétablissement personnel avec liquidation judiciaire. » ; 4°bis (nouveau) A la deuxième phrase du premier alinéa de l'article L. 331-4, les mots : « titres de créances » sont remplacés par les mots : « créances, des titres qui les constatent » ; 5° L’article L. 331-5 est ainsi modifié : a) Le premier alinéa est ainsi rédigé : « À la demande du débiteur, la commission peut saisir, avant la décision de recevabilité visée à l’article L. 331-3, le juge de l’exécution aux fins de suspension des procédures d’exécution diligentées contre le débiteur et portant sur les dettes autres qu’alimentaires. En cas d’urgence, la saisin	http://www.assemblee-nationale.fr/13/ta-commission/r2150-a0.asp
	00e0e442f66beb95	declaree	suppose	oui	593	senat/leg-pjl08-448.html	33	L313-14	code de la consommation		de la présente loi. La remise de ce rapport met fin à la commission. Article 33 I. - Le IV de l'article L. 121-20-12 du code de la consommation est ainsi modifié : 1° Au premier alinéa, les mots : « définis à l'article L. 311-20 » sont remplacés par les mots : « définis au 9° de	ticle L. 311-20 » sont remplacés par les mots : « définis au 9° de l'article L. 311-1 », et les mots : « et par dérogation aux dispositions de l'article L. 311-24 » sont supprimés ; 2° Au début de la première phrase du second alinéa, les mots : « Par dérogation aux dispositions de l'article L. 311-25 » sont supprimés. II. - Au 4° du I de l'article L. 141-1 du même code, les mots : « les sections 5 et 7 » sont remplacés par les mots : « les sections 9 à 11 ». III. - Au second alinéa de l'article L. 313-14 du même code, la référence : « L. 311-9 » est remplacée par la référence : « L. 311-16 ». IV. - L'article L. 313-14-1 du même code est ainsi modifié : 1° Au premier alinéa, les mots : « offre préalable de crédit » sont remplacés par les mots : « contrat de crédit » ; 2° Au 8°, les mots : « articles L. 311-30 et L. 311-32 » sont remplacés par les mots : « articles L. 311-23 et L. 311-24 ». V. - Au 6° de l'article L. 341-2 du code monétaire et financier, les mots : « la section 5 » sont	http://www.senat.fr/leg/pjl08-448.html
	00e1954c013faff6	declaree	suppose	oui	3924	assemblee/14-ta-commission-r1156-a0.asp	34	L215-15	code de la consommation	L215-15 (1993-07-27) Lorsqu'un produit est rapidement altérable ou lorsqu'il s'agit d'un objet ou d'une marchandise qui, en raison de sa valeur, de sa nature ou de la trop faible quantité du produit, ne peut, sans inconvénient, faire l'objet d'un prélèvement en trois échantillons, la juridiction commet immédiatement le […]	nt des moyens d’action relatifs à la sécurité et à la conformité des produits Article 29 Après l’article L. 215-1-1 du code de la consommation, il est inséré un article L. 215-1-2 ainsi rédigé : « Art. L. 215-1-2. – Lorsque la législation de l’Union européenne prévoit une coopé	cle L. 215-1 ou du rapport d’essai ou d’analyse et, au besoin, après enquête préalable, que des poursuites doivent être engagées ou une information ouverte, saisit, suivant le cas, le tribunal ou le juge d’instruction. « S’il y a lieu à expertise, celle-ci est ordonnée et exécutée selon les prescriptions et dans les formes prévues aux articles 156 à 169 du code de procédure pénale, sous les réserves mentionnées aux articles de la présente section. » Article 34 À la première phrase de l’article L. 215-15 du même code, les mots : « trois échantillons » sont remplacés par les mots : « plusieurs échantillons et que la contre-expertise ne peut être réalisée sur l’échantillon utilisé ». Article 35 Après le premier alinéa de l’article L. 216-11 du même code, il est inséré un alinéa ainsi rédigé : « Une copie du procès-verbal de constatation de l’infraction est jointe à la proposition de transaction adressée à l’auteur de l’infraction. » Article 36 L’article L. 217-5 du code de la consomma	http://www.assemblee-nationale.fr/14/ta-commission/r1156-a0.asp
	00f4a7f785d11676	declaree	suppose	oui	1109	assemblee/dyn-15-textes-l15t0625_texte-adopte-seance	14 bis	L511-5	code de la consommation	L511-5 (2016-07-01) Les agents sont habilités à rechercher et à constater les infractions ou les manquements aux dispositions suivantes : 1° Les sections 1,2,5,10 et 11 du chapitre Ier du titre II du livre Ier ; 2° Les sections 1 et 2 et les sous-sections 1,2 et 3 de la section 3 du chapitre II du titre II du livre Ier […]	-1 du code de commerce. Cette étude formule des scénarios d’évolution possible de cette rémunération. Article 14 bis Le code de la consommation est ainsi modifié : 1° (nouveau) La section 3 du chapitre II du titre II du livre Ier est complétée par une sous-section 7 ainsi rédigée	réalablement à la conclusion d’un contrat, les fournisseurs de services d’accès à l’internet et de communications électroniques interpersonnelles accessibles au public communiquent, dans le cadre des informations sur les prix, pour une offre groupée de services ou une offre groupée de services et d’équipements terminaux, le prix des différents éléments de l’offre groupée dans la mesure où ils sont également commercialisés séparément. » ;          – 10 – 3° (nouveau) Au 2° de l’article L. 511-5, les mots : « et 3 » sont remplacés par les mots : « , 3 et 7 ». Article 14 ter (nouveau) Après l’article L. 541-9-3 du code de l’environnement, dans sa rédaction résultant de la loi n° 2020-105 du 10 février 2020 précitée, il est inséré un article L. 541-9-3-1 ainsi rédigé : « Art. L. 541-9-3-1. – Les distributeurs d’équipements informatiques communiquent sans frais aux consommateurs de leurs produits, au cours de leur utilisation, des alertes et conseils d’usage ou d’opérations d’entr	https://www.assemblee-nationale.fr/dyn/15/textes/l15t0625_texte-adopte-seance
	01105a6839a383c5	declaree	nomme	oui	-12	senat/petite-loi-ameli-2014-2015-323.html	40 quater	L141-1	code de la consommation		sommation sont applicables à ces mêmes manquements. » Article 40 quater (nouveau) Au 9° du III de larticle L. 141-1 du code de la consommation dans sa rédaction résultant du III de larticle 32 bis de la présente loi, avant les mots : « du code », sont insérées les références :	ter (nouveau) L Larticle L. 342-5 du code de laction sociale et des familles est ainsi rédigé : M « Art. L. 342-5.  Les manquements aux articles L. 342-1, L. 342-2, L. 342-3 et L. 342-4 sont constatés et poursuivis dans les conditions fixées par les articles L. 450-1, L. 450-2, L. 450-3, L. 450-8 et L. 470-5 du code de commerce. N « Les articles L. 111-6 et L. 113-3-2 du code de la consommation sont applicables à ces mêmes manquements. » Article 40 quater (nouveau) Au 9° du III de larticle L. 141-1 du code de la consommation dans sa rédaction résultant du III de larticle 32 bis de la présente loi, avant les mots : « du code », sont insérées les références : « , L. 314-10-1 et L. 314-10-2 ». Article 41 L Larticle L. 312-9 du code de laction sociale et des familles est complété par un alinéa ainsi rédigé : M « Dans des conditions fixées par décret, les établissements et services relevant du 6° du I de larticle L. 312-1 transmettent périodiquement à la Caisse nationale de solidar	http://www.senat.fr/petite-loi-ameli/2014-2015/323.html
