verdict	cle	chambre	amendement	sort	auteur	dossier	article	segment	longueur_fenetre	vise	nb_segments_fenetre	fenetre	dispositif	segment_texte	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	0c6bcc9a3d6e3fa2	assemblee	539	Adopté	M. Razzy Hammadi	JORFDOLE000027383756	L121-34-1	LEGIARTI000028742042:0	60	sans visée	1	ut manquement à l'article l. 121-34 est passible d'une amend	Compléter cet article par les douze alinéas suivants : « III. – La section 4 du même chapitre Ier est ainsi rédigée : « Section 4 « Régime d’opposition au démarchage téléphonique « Art. L. 121‑34. – Le consommateur qui ne souhaite pas faire l’objet de prospection commerciale par voie téléphonique peut gratuitement s’inscrire sur une liste d’opposition au démarchage téléphonique. « Il est interdit  […]	Tout manquement à l'article L. 121-34 est passible d'une amende administrative dont le montant ne peut excéder 15 000 € pour une personne physique et 75 000 € pour une personne morale. L'amende est prononcée dans les conditions prévues à l'article L. 141-1-2.		juste		agent:claude-sonnet-5	agent:claude-sonnet-5		L'amendement 539 (adopté) crée l'article L. 121-34-1 dans ces termes exacts (« Tout manquement à l'article L. 121-34 est passible d'une amende administrative... L. 141-1-2. ») ; c'est la toute première version du fonds pour cet article.	Le dispositif complet (III) crée « Art. L. 121-34-1. – Tout manquement à l'article L. 121-34 est passible d'une amende... L. 141-1-2. » qui correspond mot pour mot au segment codifié. Adopté.		2026-09-21
juste	12a367a4fe9e2700	senat	682	Adopté	M. FAUCONNIER	JORFDOLE000027383756	L121-105	LEGIARTI000028741141:0	60	sans visée	1	lorsque le consommateur prend personnellement livraison des	I. - Après l'alinéa 32 Insérer trois alinéas ainsi rédigés : « Section 16 « Contrats de transport hors déménagement « Art. L. 121-104. – Lorsque le consommateur prend personnellement livraison des objets transportés et lorsque le voiturier ne justifie pas lui avoir laissé la possibilité de vérifier effectivement leur bon état, le délai mentionné à l’article L. 133-3 du code de commerce est porté à […]	Lorsque le consommateur prend personnellement livraison des objets transportés et lorsque le voiturier ne justifie pas lui avoir laissé la possibilité de vérifier effectivement leur bon état, le délai mentionné à l'article L. 133-3 du code de commerce est porté à dix jours.	//www.senat.fr/amendements/2012-2013/810/Amdt_682.html	juste		agent:claude-sonnet-5	agent:claude-sonnet-5		L'amendement rédige « Art. L. 121-104 » avec ce texte, mais le fonds a codifié ce même texte, mot pour mot, sous L121-105 (version créée le 2014-03-19) ; simple renumérotation lors de la codification finale de la loi.	Le dispositif rédige « Art. L. 121-104 » avec le texte exact du segment ; la version_article LEGIARTI000028741141 (depuis 2014-03-19, texte identique) montre qu'il a simplement été renuméroté L.121-105 à la codification. Adopté.		2026-09-21
juste	145e4fb46e2b92d7	senat	40	Adopté	M. HÉRISSON	JORFDOLE000017759461	L121-27	LEGIARTI000006292091:0	60	sans visée	1	aux articles l. 121-18, l. 121-19, l. 121-20, l. 121-20-1 et	Après l'article 13, insérer un article additionnel ainsi rédigé : A la fin de la dernière phrase de l'article L. 121‑27 du code de la consommation, les références : « aux articles L. 121‑16 et L. 121‑19 » sont remplacées par les références : « aux articles L. 121‑18, L. 121‑19, L. 121‑20, L. 121‑20‑1 et L. 121‑20‑3 ».	A la suite d'un démarchage par téléphone ou par tout moyen technique assimilable, le professionnel doit adresser au consommateur une confirmation de l'offre qu'il a faite. Le consommateur n'est engagé que par sa signature. Il bénéficie alors des dispositions prévues aux articles L. 121-18, L. 121-19, L. 121-20, L. 121-20-1 et L. 121-20-3.	//www.senat.fr/amendements/2002-2003/195/Amdt_40.html	juste		agent:claude-sonnet-5	agent:claude-sonnet-5		L'amendement substitue la liste finale de références (« aux articles L. 121-18, L. 121-19, L. 121-20, L. 121-20-1 et L. 121-20-3 ») à l'ancienne ; la version du fonds du 2004-06-22 porte exactement cette liste, contre l'ancienne liste (L. 121-16 et L. 121-19) dans la version de 1993.	L'amendement remplace dans L.121-27 les références « aux articles L. 121-16 et L. 121-19 » par « aux articles L. 121-18, L. 121-19, L. 121-20, L. 121-20-1 et L. 121-20-3 » ; la version 2004-06-22 de l'article reprend exactement cette liste. Adopté.		2026-09-21
juste	1948d2fb7ede0f91	senat	1449 rect. bis	Adopté	M. DALLIER	JORFDOLE000029883713	L121-16-1	LEGIARTI000031012897:12	60	sans visée	1	ontrats portant sur la création, l'acquisition ou le transfe	I. – Alinéa 3 Remplacer cet alinéa par cinq alinéas ainsi rédigés : 1° bis L’article L. 121–16–1 est ainsi modifié : a) Le I est complété par un alinéa ainsi rédigé : « ...° Les contrats portant sur la création, l’acquisition ou le transfert de biens immobiliers ou de droits sur des biens immobiliers, la construction d’immeubles neufs, la transformation importante d’immeubles existants ou la locat […]	12° Les contrats portant sur la création, l'acquisition ou le transfert de biens immobiliers ou de droits sur des biens immobiliers, la construction d'immeubles neufs, la transformation importante d'immeubles existants ou la location d'un logement à des fins résidentielles.	//www.senat.fr/amendements/2014-2015/371/Amdt_1449.html	juste		agent:claude-sonnet-5	agent:claude-sonnet-5		L'amendement ajoute un alinéa au I de L121-16-1 (« Les contrats portant sur la création, l'acquisition ou le transfert de biens immobiliers... résidentielles. ») ; absent de la version 2014-06-14, présent mot pour mot en 12° dans la version 2015-08-08.	Le a) ajouté au I de L.121-16-1 rédige l'alinéa sur « les contrats portant sur la création, l'acquisition ou le transfert de biens immobiliers... », identique au segment codifié en 12°. Adopté.		2026-09-21
juste	8a2a7a788c3f4d97	assemblee	40	Adopté	M. Frédéric Barbier	JORFDOLE000027383756	L121-43	LEGIARTI000028744500:0	60	sans visée	1	s de mise en place et de fonctionnement de l'outil prévu à l	Substituer à l’alinéa 8 les cinq alinéas suivants : « L’opérateur mentionné au premier alinéa prévoit dans le contrat avec l’abonné auquel il affecte un numéro à valeur ajoutée, sous peine de résiliation, que l’abonné l’informe de toute modification concernant son identité et son adresse, lesquelles doivent figurer dans le contrat. « Ce même contrat prévoit également, sous peine de la suspension d […]	Les coûts de mise en place et de fonctionnement de l'outil prévu à l'article L. 121-42 sont mutualisés par les professionnels mentionnés au premier alinéa du même article.		juste		agent:claude-sonnet-5	agent:claude-sonnet-5		L'amendement crée « Art. L. 121-42-1 » (« Les coûts de mise en place et de fonctionnement de l'outil prévu à l'article L. 121-42 sont mutualisés... »), devenu L121-43 dans le fonds (version créée le 2016-03-18), texte identique.	Le dernier alinéa substitué crée « Art. L. 121-42-1. – Les coûts de mise en place et de fonctionnement de l'outil prévu à l'article L. 121-42 sont mutualisés... », identique au texte codifié (LEGIARTI000028744500, article renuméroté L.121-43). Adopté.		2026-09-21
juste	a19a6e325eb1b5db	senat	517	Adopté	Mme BATAILLE	JORFDOLE000027383756	L121-84-10-1	LEGIARTI000028742160:0	60	sans visée	1	sseur de services de communications électroniques aux person	Après l’article 9 Insérer un article additionnel ainsi rédigé : I. - Après l’article L. 121‑84‑10 du code de la consommation, il est inséré un article L. 121‑84‑11 ainsi rédigé : « Art. L. 121-84-1. - Aucun frais lié au rejet de paiement ne peut être imputé par un fournisseur de services de communications électroniques aux personnes physiques n’agissant pas pour des besoins professionnels qui se t […]	Aucuns frais liés au rejet de paiement ne peuvent être imputés par un fournisseur de services de communications électroniques aux personnes physiques n'agissant pas pour des besoins professionnels qui se trouvent en état de fragilité eu égard notamment à leurs ressources.	//www.senat.fr/amendements/2012-2013/810/Amdt_517.html	juste		agent:claude-sonnet-5	agent:claude-sonnet-5		Le I crée un article (« Aucun frais lié au rejet de paiement ne peut être imputé par un fournisseur de services de communications électroniques... ») codifié en L121-84-10-1 (version créée le 2014-03-19), texte identique au singulier/pluriel près.	Le I insère « Art. L. 121-84-11 » sur l'absence de frais de rejet de paiement pour les personnes fragiles ; la version_article LEGIARTI000028742160 (depuis 2014-03-19, article renuméroté L.121-84-10-1) reprend ce texte à l'accord près. Adopté.		2026-09-21
juste	a1c027e724557058	assemblee	48	Adopté	M. Frédéric Barbier	JORFDOLE000027383756	L121-45	LEGIARTI000028744506:2	60	sans visée	1	premier alinéa agrègent les signalements par numéro des éme	Substituer à l’alinéa 12 les deux alinéas suivants : « Les fournisseurs mentionnés au premier alinéa agrègent les signalements par numéro des émetteurs des appels et messages textuels non sollicités ainsi que par numéro auquel le consommateur est invité à envoyer un message textuel ou qu’il est incité à appeler. Les opérateurs mentionnés au premier alinéa de l’article L. 121-42 sont informés des n […]	Les fournisseurs mentionnés au même premier alinéa agrègent les signalements par numéro des émetteurs des appels et messages textuels non sollicités ainsi que par numéro auquel le consommateur est invité à envoyer un message textuel ou qu'il est incité à appeler. Les opérateurs mentionnés au premier alinéa de l'article L. 121-42 sont informés des numéros les concernant.		juste		agent:claude-sonnet-5	agent:claude-sonnet-5		L'amendement 48 substitue à l'alinéa 12 un texte dont le premier alinéa (« Les fournisseurs mentionnés au premier alinéa agrègent... ») se retrouve, légèrement reformulé, au 3e alinéa de la version créée le 2016-03-18 de L121-45.	Le premier des deux alinéas substitués à l'alinéa 12 (« Les fournisseurs mentionnés au premier alinéa agrègent les signalements... ») correspond au 3e alinéa de LEGIARTI000028744506 (article renuméroté L.121-45). Adopté.		2026-09-21
juste	cab9bdde056e3b04	assemblee	48	Adopté	M. Frédéric Barbier	JORFDOLE000027383756	L121-46	LEGIARTI000028744509:0	60	sans visée	1	s modalités du mécanisme de signalement prévu à l'article l.	Substituer à l’alinéa 12 les deux alinéas suivants : « Les fournisseurs mentionnés au premier alinéa agrègent les signalements par numéro des émetteurs des appels et messages textuels non sollicités ainsi que par numéro auquel le consommateur est invité à envoyer un message textuel ou qu’il est incité à appeler. Les opérateurs mentionnés au premier alinéa de l’article L. 121-42 sont informés des n […]	Les modalités du mécanisme de signalement prévu à l'article L. 121-42 et les modalités selon lesquelles les opérateurs sont informés des numéros les concernant en application de l'article L. 121-45 sont fixées par décret.		juste		agent:claude-sonnet-5	agent:claude-sonnet-5		L'amendement 48 crée « Art. L. 121-42-4 » (« Les modalités du mécanisme de signalement prévu à l'article L. 121-42... sont fixées par décret. »), devenu L121-46 (version créée le 2016-03-18), texte identique.	Le second alinéa substitué crée « Art. L. 121-42-4. – Les modalités du mécanisme de signalement prévu à l'article L. 121-42... », devenu L.121-46 (LEGIARTI000028744509) avec la référence interne mise à jour (L.121-42-3→L.121-45). Adopté.		2026-09-21
juste	e5ff0f15c26121f9	senat	33 rect.	Adopté	M. BÉTEILLE	JORFDOLE000020542090	L331-5	LEGIARTI000022423223:0	60	oui	1	a la demande du débiteur, la commission peut saisir, avant l	Rédiger comme suit le 5° de cet article : 5° L'article L. 331‑5 est ainsi modifié : a) le premier alinéa est ainsi rédigé : « A la demande du débiteur, la commission peut saisir, avant la décision de recevabilité visée à l'article L. 331-3, le juge de l'exécution aux fins de suspension des procédures d'exécution diligentées contre le débiteur et portant sur les dettes autres qu'alimentaires. En ca […]	A la demande du débiteur, la commission peut saisir, avant la décision de recevabilité visée à l'article L. 331-3, le juge de l'exécution aux fins de suspension des procédures d'exécution diligentées à l'encontre des biens du débiteur ainsi que des cessions de rémunération consenties par celui-ci et portant sur les dettes autres qu'alimentaires. En cas d'urgence, la saisine du juge peut intervenir […]	//www.senat.fr/amendements/2008-2009/448/Amdt_33.html	juste		agent:claude-sonnet-5	agent:claude-sonnet-5		Le a) du 5° réécrit le premier alinéa de L331-5 (« A la demande du débiteur, la commission peut saisir, avant la décision de recevabilité visée à l'article L. 331-3... dettes autres qu'alimentaires. »), repris dans la version créée le 2010-11-01, avec une clause du milieu harmonisée en cours de navette (« diligentées à l'encontre des biens du débiteur ainsi que des cessions de rémunération... » au lieu de « diligentées contre le débiteur »).	Le a) rédige le 1er alinéa de L.331-5 : structure, procédure d'urgence et information de la commission repris mot pour mot dans LEGIARTI000022423223 (depuis 2010-11-01) ; la clause « à l'encontre des biens du débiteur ainsi que des cessions de rémunération consenties par celui-ci » remplace/étoffe « contre le débiteur » du dispositif, reformulation restant dans le même alinéa créé par cet amendement. Adopté.		2026-09-21
juste	f0bcfa747631df46	senat	345	Adopté	M. FAUCONNIER	JORFDOLE000027383756	L312-32-1	LEGIARTI000028742578:0	60	sans visée	1	le prêteur qui ne respecte pas l'une des obligations relativ	Après l’alinéa 9 Insérer un paragraphe ainsi rédigé : … - Après l’article L. 312-32 du code de la consommation, il est inséré un article L. 312-32-… ainsi rédigé : « Art. L. 312-32 -... Le prêteur qui ne respecte pas l’une des obligations relatives lui incombant au titre des cinquième et sixième alinéas de l’article L. 312-9 est puni d’une amende de 3 000 €. »	Le prêteur qui ne respecte pas l'une des obligations relatives lui incombant au titre des cinquième et sixième alinéas de l'article L. 312-9 est puni d'une amende de 3 000 €.	//www.senat.fr/amendements/2013-2014/283/Amdt_345.html	juste		agent:claude-sonnet-5	agent:claude-sonnet-5		L'amendement crée « Art. L. 312-32-... » (« Le prêteur qui ne respecte pas l'une des obligations relatives lui incombant au titre des cinquième et sixième alinéas de l'article L. 312-9 est puni d'une amende de 3 000 €. »), codifié en L312-32-1 (version créée le 2014-03-19), texte identique.	L'amendement insère « Art. L. 312-32-... Le prêteur qui ne respecte pas l'une des obligations relatives lui incombant au titre des cinquième et sixième alinéas de l'article L. 312-9 est puni d'une amende de 3 000 €. », identique au segment codifié L.312-32-1. Adopté.		2026-09-21
